Gear,Month,StatArea,Section,LocationName,Sample,2,3,4,5,6,7,8,9,10
Other,1,13,132,Deepwater Bay,58,5,24,33,12,13,2,2,NA,NA
Other,1,14,143,Little Qualicum Rvr,1,13,29,22,16,7,4,1,NA,NA
Other,1,14,143,Little Qualicum Rvr,3,32,37,10,4,7,NA,NA,NA,NA
Other,1,14,143,Little Qualicum Rvr,50,16,34,21,10,3,NA,NA,NA,NA
Other,1,14,143,Northwest Bay,16,13,17,27,20,8,1,1,NA,NA
Other,1,14,143,Qualicum Bay,26,8,22,23,18,4,1,1,NA,NA
Other,1,14,143,Qualicum Beach,27,13,25,19,12,3,5,NA,NA,NA
Other,1,14,143,Qualicum Beach,38,21,43,16,1,1,NA,NA,NA,NA
Other,1,17,172,Descanso Bay,23,42,27,2,1,NA,1,NA,NA,NA
Other,1,17,172,Descanso Bay,45,36,27,14,3,1,NA,NA,NA,NA
Other,1,17,172,Edgell Banks,22,17,41,17,8,3,1,NA,1,NA
Other,1,17,172,Edgell Banks,24,21,29,21,4,5,3,2,NA,NA
Other,1,17,172,Edgell Banks,25,13,17,28,13,7,1,1,NA,NA
Other,1,17,172,Edgell Banks,42,20,38,14,10,3,2,NA,NA,NA
Other,1,17,172,Gabriola Is (N Shore),21,20,38,18,9,6,1,1,1,NA
Other,1,17,172,Lantzville,2,18,8,7,2,2,NA,3,NA,NA
Other,1,17,172,Lantzville,4,19,33,23,9,3,2,NA,NA,NA
Other,1,17,172,Lantzville,10,15,34,28,4,2,1,1,NA,NA
Other,1,17,172,Lantzville,28,7,28,20,14,10,3,1,NA,NA
Other,1,17,172,Lantzville,43,18,25,15,16,7,3,NA,NA,NA
Other,1,17,172,Maude Is,6,40,39,9,1,NA,1,NA,NA,NA
Other,1,17,172,Maude Is,7,22,40,21,5,1,3,NA,NA,NA
Other,1,17,172,Winchelsea Is,37,30,31,14,5,4,3,1,NA,NA
Other,1,29,291,"Galiano Is, East side",15,33,47,7,3,NA,NA,NA,NA,NA
Other,1,29,291,"Galiano Is, East side",46,41,32,8,6,2,1,NA,NA,NA
Other,2,17,172,Maude Is,12,20,32,20,7,3,1,1,NA,NA
Other,2,17,172,Maude Is,30,25,27,12,3,NA,3,NA,NA,NA
Other,2,17,172,Sunrise Beach +,33,23,19,22,6,3,2,NA,NA,NA
Other,11,13,132,Deepwater Bay,68,7,20,12,14,9,4,2,NA,NA
Other,11,13,132,Deepwater Bay,91,16,31,14,7,2,3,NA,NA,NA
Other,11,13,132,Deepwater Bay,98,26,18,19,6,8,6,NA,NA,NA
Other,11,14,143,French Cr,18,29,26,12,6,NA,1,1,NA,NA
Other,11,14,143,Qualicum Beach,8,6,16,11,1,2,NA,NA,NA,NA
Other,11,14,143,Qualicum Beach,40,5,30,29,12,11,3,NA,NA,NA
Other,11,14,143,Rathtrevor Beach,34,29,38,9,7,1,1,NA,NA,NA
Other,11,17,172,Gabriola Is (N Shore),29,66,20,2,NA,NA,NA,NA,NA,NA
