region,mp,sbt,sbo,dep,tac,hr,,region,mp,sbt,sbo,dep,tac,hr,,region,mp,sbt,sbo,dep,tac,hr
PRD,HS30-60_HR10,31.4207,42.9458,0.731636155,3.14207,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,48.9128,49.0136,0.997943428,4.89128,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,50.6183,60.0258,0.843275725,5.06183,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,34.5817,66.8777,0.517088656,2.50243159,0.072362885,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,34.975,91.7526,0.381188108,0.946518026,0.027062703,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,73.0681,61.2776,1.192411256,7.30681,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,65.1408,57.7728,1.127534064,6.51408,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,60.3678,46.1281,1.308699036,6.03678,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,80.7536,57.5807,1.402442138,8.07536,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,38.8573,48.0935,0.807953258,3.88573,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,56.9742,52.7153,1.080790586,5.69742,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,31.8678,55.8414,0.570684116,2.875369092,0.090228039,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,31.702,65.8446,0.481466969,1.917621952,0.06048899,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,36.8523,65.2406,0.564867582,3.25365987,0.088289194,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,47.2967,64.5292,0.732950354,4.72967,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,66.0614,49.6749,1.329874846,6.60614,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,83.1267,83.0104,1.001401029,8.31267,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,37.6462,127.999,0.294113235,0,0,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,46.8193,203.666,0.229882749,0,0,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,49.5176,74.5806,0.663947461,4.95176,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,48.09,49.8974,0.963777672,4.809,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,38.5765,68.9377,0.559584959,3.337959718,0.08652832,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,47.4964,68.899,0.68936269,4.74964,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,25.8077,50.2024,0.514073032,1.841577532,0.071357677,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,49.1159,67.1853,0.731051287,4.91159,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,35.5721,48.2329,0.737506971,3.55721,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,22.0754,62.2819,0.354443265,0.400618952,0.018147755,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,65.4793,69.4093,0.943379345,6.54793,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,52.88,48.7809,1.08403084,5.288,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,42.1807,49.833,0.846441113,4.21807,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,53.0494,48.8822,1.085249846,5.30494,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,41.7202,46.2202,0.902639971,4.17202,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,44.3472,43.643,1.016135463,4.43472,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,41.3885,42.2563,0.979463417,4.13885,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,38.6022,56.9206,0.678176267,3.86022,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,35.4181,59.5581,0.594681496,3.479019563,0.098227165,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,80.7052,70.8989,1.138313853,8.07052,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,55.1681,64.2277,0.858945595,5.51681,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,17.7001,53.8843,0.328483436,0.168053221,0.009494479,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,34.5094,55.6023,0.620646988,3.45094,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,20.5262,50.608,0.405592001,0.722467512,0.035197334,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,50.1677,76.7407,0.653730029,5.01677,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,43.7676,70.9925,0.616510195,4.37676,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,65.8883,48.7597,1.351286001,6.58883,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,37.7088,47.75,0.789713089,3.77088,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,67.2115,72.2463,0.930310618,6.72115,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,65.983,66.3986,0.993740832,6.5983,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,46.7995,52.7428,0.887315425,4.67995,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,75.1184,63.629,1.180568609,7.51184,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,51.6307,47.1718,1.094524695,5.16307,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,59.354,50.481,1.175769101,5.9354,0.1,,,,,,,,,,,,,,,,
