Year,Harvest,Biomass,Region
1951,0,0,A27
1952,0,0,A27
1953,0,0,A27
1954,0,0,A27
1955,0,0,A27
1956,0,0,A27
1957,0,0,A27
1958,0,0,A27
1959,0,0,A27
1960,0,0,A27
1961,0,0,A27
1962,0,0,A27
1963,0,0,A27
1964,0,0,A27
1965,0,0,A27
1966,0,0,A27
1967,0,0,A27
1968,0,0,A27
1969,0,0,A27
1970,0,0,A27
1971,0,0,A27
1972,0,0,A27
1973,0,0,A27
1974,0,0,A27
1975,0,0,A27
1976,0,0,A27
1977,0,0,A27
1978,0,0,A27
1979,0,0,A27
1980,0,0,A27
1981,0,0,A27
1982,0,0,A27
1983,11995.694032,39.25117404685061,A27
1984,2540.1152,8.31152441436752,A27
1985,14524.01584,47.524109240722844,A27
1986,16824.180872,55.0504914380903,A27
1987,22866.479904,74.82153013876702,A27
1988,31149.523416,101.92452073354653,A27
1989,28158.99136,92.13918493641705,A27
1990,33168.915,108.53218264296872,A27
1991,27460.45968,89.853515722466,A27
1992,43771.628,143.22537606901167,A27
1993,27648.70036,90.46945904960216,A27
1994,26089.704655999998,85.36826094028409,A27
1995,41957.26,137.28857291589205,A27
1996,29266.663024,95.76360326139661,A27
1997,21333.338944,69.80493147438092,A27
1998,21643.595871999998,70.82012481356436,A27
1999,21611.39084,70.71474655759651,A27
2000,15010.266464,49.11517248575891,A27
2001,17612.97736,57.63151660890907,A27
2002,8607.815384,28.165678359187925,A27
2003,13157.343144,43.05221226563547,A27
2004,20638.889592,67.53262006752436,A27
2005,22441.4642,73.43083400014874,A27
2006,19541.650544,63.94233836067525,A27
2007,23900.216072,78.20402373525694,A27
2008,18729.267272,61.28413474886594,A27
2009,19198.2814,62.81879836394736,A27
2010,8228.612472,26.92488650018592,A27
2011,14749.451063999999,48.26175703249796,A27
2012,14038.218808,45.93453019647506,A27
2013,6807.962328,22.276369631293228,A27
2014,4376.255616,14.319569205324612,A27
2015,0,0,A27
2016,0,0,A27
2017,0,0,A27
2018,0,0,A27
2019,0,0,A27
2020,0,0,A27
