Year,Harvest,Biomass,Region
1951,0,0,CC
1952,0,0,CC
1953,0,0,CC
1954,0,0,CC
1955,0,0,CC
1956,0,0,CC
1957,0,0,CC
1958,0,0,CC
1959,0,0,CC
1960,0,0,CC
1961,0,0,CC
1962,0,0,CC
1963,0,0,CC
1964,0,0,CC
1965,0,0,CC
1966,0,0,CC
1967,0,0,CC
1968,0,0,CC
1969,0,0,CC
1970,0,0,CC
1971,0,0,CC
1972,0,0,CC
1973,0,0,CC
1974,0,0,CC
1975,0,0,CC
1976,0,0,CC
1977,0,0,CC
1978,0,0,CC
1979,6001.02216,19.60128389,CC
1980,3000.057488,9.799160367,CC
1981,5901.23192,19.27533662,CC
1982,5208.143344,17.01148463,CC
1983,14626.07404,47.77349955,CC
1984,21681.6976,70.81945351,CC
1985,20058.74542,65.51836555,CC
1986,15587.68908,50.91444603,CC
1987,21552.42388,70.39720363,CC
1988,24496.23596,80.01264826,CC
1989,25266.43518,82.5283686,CC
1990,23436.19146,76.55019925,CC
1991,41127.18664,134.3347249,CC
1992,37050.75534,121.0197787,CC
1993,36796.74382,120.1900947,CC
1994,34979.20067,114.2534096,CC
1995,54770.78041,178.8991254,CC
1996,70866.94612,231.4744209,CC
1997,67570.69306,220.7077898,CC
1998,96221.37814,314.2902158,CC
1999,87521.02999,285.8720581,CC
2000,100426.176,328.0244487,CC
2001,42289.28934,138.1305291,CC
2002,154164.1274,503.5500197,CC
2003,152258.5874,497.3259084,CC
2004,151955.1344,496.3347323,CC
2005,98022.13838,320.1720825,CC
2006,191801.3772,626.4854795,CC
2007,59237.30083,193.4882291,CC
2008,0,0,CC
2009,0,0,CC
2010,0,0,CC
2011,0,0,CC
2012,0,0,CC
2013,0,0,CC
2014,108799.0307,355.3729067,CC
2015,76870.23624,251.0831127,CC
2016,159643.0652,521.4460068,CC
2017,178146.8972,581.8855211,CC
2018,129776.7535,423.8929503,CC
2019,161497.8029,527.5041813,CC
2020,20346.77634,66.45916791,CC
2021,294269,436,CC
