Year,Harvest,Biomass,Region
1951,0,0,HG
1952,0,0,HG
1953,0,0,HG
1954,0,0,HG
1955,0,0,HG
1956,0,0,HG
1957,0,0,HG
1958,0,0,HG
1959,0,0,HG
1960,0,0,HG
1961,0,0,HG
1962,0,0,HG
1963,0,0,HG
1964,0,0,HG
1965,0,0,HG
1966,0,0,HG
1967,0,0,HG
1968,0,0,HG
1969,0,0,HG
1970,0,0,HG
1971,0,0,HG
1972,0,0,HG
1973,0,0,HG
1974,0,0,HG
1975,0,0,HG
1976,0,0,HG
1977,0,0,HG
1978,0,0,HG
1979,0,0,HG
1980,0,0,HG
1981,0,0,HG
1982,0,0,HG
1983,0,0,HG
1984,0,0,HG
1985,0,0,HG
1986,0,0,HG
1987,0,0,HG
1988,0,0,HG
1989,85213.607488,278.33526809632684,HG
1990,0,0,HG
1991,0,0,HG
1992,0,0,HG
1993,0,0,HG
1994,0,0,HG
1995,0,0,HG
1996,0,0,HG
1997,0,0,HG
1998,0,0,HG
1999,0,0,HG
2000,0,0,HG
2001,0,0,HG
2002,0,0,HG
2003,0,0,HG
2004,0,0,HG
2005,0,0,HG
2006,0,0,HG
2007,0,0,HG
2008,0,0,HG
2009,0,0,HG
2010,0,0,HG
2011,0,0,HG
2012,0,0,HG
2013,0,0,HG
2014,0,0,HG
2015,0,0,HG
2016,0,0,HG
2017,0,0,HG
2018,0,0,HG
2019,0,0,HG
2020,0,0,HG
2021,0,0,HG
2022,0,0,HG
