Year,Harvest,Biomass,Region
1951,0,0,PRD
1952,0,0,PRD
1953,0,0,PRD
1954,0,0,PRD
1955,0,0,PRD
1956,0,0,PRD
1957,0,0,PRD
1958,0,0,PRD
1959,0,0,PRD
1960,0,0,PRD
1961,0,0,PRD
1962,0,0,PRD
1963,0,0,PRD
1964,0,0,PRD
1965,0,0,PRD
1966,0,0,PRD
1967,0,0,PRD
1968,0,0,PRD
1969,0,0,PRD
1970,0,0,PRD
1971,0,0,PRD
1972,0,0,PRD
1973,0,0,PRD
1974,0,0,PRD
1975,11445.486936,37.384670931496274,PRD
1976,21134.944781538463,69.03358155326279,PRD
1977,48987.936,160.01048074353417,PRD
1978,54000.1276,176.38192344923834,PRD
1979,86980.80192,284.1074980312973,PRD
1980,50997.34856,166.57387361106984,PRD
1981,62600.23192,204.472652290881,PRD
1982,58819.089008,192.12221370312082,PRD
1983,63251.13644,206.59871747483444,PRD
1984,54332.156944,177.46643892983343,PRD
1985,56904.023584,185.86698916886897,PRD
1986,42144.139903999996,137.65642395225225,PRD
1987,52085.062176,170.1266989149865,PRD
1988,59131.613896,193.14302130712355,PRD
1989,59079.904408,192.97412135522762,PRD
1990,60609.870224,197.97148572141225,PRD
1991,66203.566768,216.2423120966832,PRD
1992,67337.546768,219.94625841019095,PRD
1993,71447.09028799999,233.36935985034293,PRD
1994,81621.158848,266.6011661751344,PRD
1995,73668.330312,240.62464988924197,PRD
1996,83950.80736,274.2105534816047,PRD
1997,80261.290032,262.1593937559759,PRD
1998,77571.943064,253.37511467886094,PRD
1999,84383.534128,275.62397939483924,PRD
2000,74961.521104,244.84863026516615,PRD
2001,70425.601104,230.03284501113518,PRD
2002,80902.66912,264.2543457908959,PRD
2003,67709.038616,221.1596712224961,PRD
2004,61295.701328,200.2116324518217,PRD
2005,70843.359336,231.39737883303144,PRD
2006,37286.169584,121.78871794518517,PRD
2007,50694.349104,165.58417915610062,PRD
2008,75555.726624,246.78949813344423,PRD
2009,71757.347216,234.38275956171864,PRD
2010,49366.231728,161.24611723372035,PRD
2011,56075.764592,183.1616267814829,PRD
2012,39686.623807200005,129.62937965947089,PRD
2013,33064.58884,107.99966660925853,PRD
2014,51377.912248,167.8169179938831,PRD
2015,38131.6197128,124.55023215868397,PRD
2016,12442.02856,40.63969895180688,PRD
2017,37465.338424,122.37394146271939,PRD
2018,9449.228544,30.864243841197254,PRD
2019,6993.4814559999995,22.8429777046649,PRD
2020,0,0,PRD
2021,0,0,PRD
2022,0,0,PRD
2023,0,0,PRD
2024,0,0,PRD
2025,0,0,PRD
