Year,Harvest,Biomass,Region
1951,0,0,SoG
1952,0,0,SoG
1953,0,0,SoG
1954,0,0,SoG
1955,0,0,SoG
1956,0,0,SoG
1957,0,0,SoG
1958,0,0,SoG
1959,0,0,SoG
1960,0,0,SoG
1961,0,0,SoG
1962,0,0,SoG
1963,0,0,SoG
1964,0,0,SoG
1965,0,0,SoG
1966,0,0,SoG
1967,0,0,SoG
1968,0,0,SoG
1969,0,0,SoG
1970,0,0,SoG
1971,0,0,SoG
1972,0,0,SoG
1973,0,0,SoG
1974,0,0,SoG
1975,172.36496,0.5629998396531758,SoG
1976,7149.063512,23.351159138878167,SoG
1977,24493.968,80.00524037176709,SoG
1978,18002.159295999998,58.800888516198,SoG
1979,16000.004208,52.26120090506874,SoG
1980,17000.62816,55.529563132107974,SoG
1981,19998.87128,65.32279718502241,SoG
1982,20503.719176,66.97179408379607,SoG
1983,18131.886608,59.22461997446329,SoG
1984,9443.78544,30.84646489889242,SoG
1985,12148.554536,39.681117645871076,SoG
1986,0,0,SoG
1987,0,0,SoG
1988,0,0,SoG
1989,0,0,SoG
1990,0,0,SoG
1991,0,0,SoG
1992,0,0,SoG
1993,0,0,SoG
1994,0,0,SoG
1995,0,0,SoG
1996,0,0,SoG
1997,0,0,SoG
1998,0,0,SoG
1999,0,0,SoG
2000,0,0,SoG
2001,0,0,SoG
2002,0,0,SoG
2003,0,0,SoG
2004,0,0,SoG
2005,0,0,SoG
2006,0,0,SoG
2007,0,0,SoG
2008,0,0,SoG
2009,0,0,SoG
2010,0,0,SoG
2011,0,0,SoG
2012,0,0,SoG
2013,0,0,SoG
2014,0,0,SoG
2015,0,0,SoG
2016,0,0,SoG
2017,0,0,SoG
2018,0,0,SoG
2019,0,0,SoG
2020,0,0,SoG
2021,0,0,SoG
