mp,om,label,obj1,hiab,obj2,ncn1,ncn2,ncn3,obj3,obj4,catch,esc,abs_esc,hr,cap,num_end_yrs,lrp,usr
1,DDM,NoFish_FSC,0.92,0.77,0.83,0.76,0.68,0.78,0,0.14,1,NA,NA,NA,NA,NA,NA,NA
2,DDM,HS30-60_HR10_cap5,0.9,0.61,0.8,0.68,0.56,0.69,38.83,2.92,0.19,NA,NA,0.1,5,1,0.3,0.6
3,DDM,HS30-60_HR05,0.91,0.74,0.82,0.73,0.62,0.74,40.76,1.74,0.24,NA,NA,0.05,NA,1,0.3,0.6
4,DDM,minE50_HR10,0.9,0.7,0.81,0.69,0.56,0.7,53.22,2.92,0.33,0.5,0,0.1,NA,1,NA,NA
1,DIM,NoFish_FSC,0.85,0.48,0.74,0.64,0.51,0.65,0,0.14,1,NA,NA,NA,NA,NA,NA,NA
2,DIM,HS30-60_HR10_cap5,0.81,0.32,0.67,0.52,0.4,0.54,52.19,2.45,0.29,NA,NA,0.1,5,1,0.3,0.6
3,DIM,HS30-60_HR05,0.83,0.39,0.71,0.58,0.44,0.59,50.38,1.38,0.35,NA,NA,0.05,NA,1,0.3,0.6
4,DIM,minE50_HR10,0.82,0.33,0.68,0.52,0.4,0.54,70.82,2.21,0.44,0.5,0,0.1,NA,1,NA,NA
1,conM,NoFish_FSC,0.92,0.48,0.83,0.76,0.68,0.78,0,0.14,1,NA,NA,NA,NA,NA,NA,NA
2,conM,HS30-60_HR10_cap5,0.9,0.32,0.8,0.68,0.56,0.69,38.83,2.92,0.19,NA,NA,0.1,5,1,0.3,0.6
3,conM,HS30-60_HR05,0.91,0.39,0.82,0.73,0.62,0.74,40.76,1.74,0.24,NA,NA,0.05,NA,1,0.3,0.6
4,conM,minE50_HR10,0.9,0.33,0.81,0.69,0.56,0.7,53.22,2.92,0.33,0.5,0,0.1,NA,1,NA,NA
