mp,om,label,obj1,hiab,obj2,ncn1,ncn2,ncn3,obj3,obj4,catch,esc,abs_esc,hr,cap,num_end_yrs,lrp,usr
1,DDM,NoFish_FSC,0.98,0.94,0.87,0.78,0.93,0.93,0,0.14,1,NA,NA,NA,NA,NA,NA,NA
2,DDM,HS50-60_HR20_cap2.5,0.97,0.92,0.83,0.73,0.92,0.89,36.62,2.13,0.21,NA,NA,0.2,2.5,1,0.5,0.6
3,DDM,HS30-60_HR10_cap2.5,0.96,0.91,0.83,0.73,0.91,0.88,26.53,2.25,0.12,NA,NA,0.2,2.5,1,0.3,0.6
4,DDM,HS30-60_HR05,0.97,0.92,0.84,0.75,0.92,0.9,45.71,2.33,0.18,NA,NA,0.05,NA,1,0.3,0.6
5,DDM,minE50_HR10,0.96,0.89,0.77,0.63,0.87,0.79,39.83,4.21,0.2,0.5,0,0.1,NA,1,NA,NA
6,DDM,minE50_HR20,0.93,0.81,0.64,0.48,0.78,0.52,50.09,6.43,0.25,0.5,0,0.2,NA,1,NA,NA
7,DDM,minE30_HR10,0.94,0.86,0.74,0.61,0.84,0.74,31.19,4.38,0.06,0.3,0,0.1,NA,1,NA,NA
1,DIM,NoFish_FSC,0.94,0.87,0.76,0.65,0.87,0.68,0,0.14,1,NA,NA,NA,NA,NA,NA,NA
2,DIM,HS50-60_HR20_cap2.5,0.92,0.82,0.69,0.56,0.8,0.58,42.6,1.96,0.31,NA,NA,0.2,2.5,1,0.5,0.6
3,DIM,HS30-60_HR10_cap2.5,0.91,0.8,0.68,0.55,0.78,0.57,35.58,2.07,0.18,NA,NA,0.2,2.5,1,0.3,0.6
4,DIM,HS30-60_HR05,0.93,0.83,0.71,0.57,0.82,0.59,51.69,1.82,0.26,NA,NA,0.05,NA,1,0.3,0.6
5,DIM,minE50_HR10,0.89,0.78,0.63,0.49,0.74,0.5,52.38,3.35,0.29,0.5,0,0.1,NA,1,NA,NA
6,DIM,minE50_HR20,0.85,0.68,0.51,0.38,0.64,0.31,63.44,5.1,0.35,0.5,0,0.2,NA,1,NA,NA
7,DIM,minE30_HR10,0.87,0.74,0.59,0.47,0.7,0.47,33.96,3.77,0.1,0.3,0,0.1,NA,1,NA,NA
