mp,om,label,obj1,hiab,obj2,obj3,obj4,catch,esc,abs_esc,hr,cap,num_end_yrs,lrp,usr
8,DDM,NoFish_FSC,0.94,0.85,0.63,0,0.14,1,NA,NA,NA,NA,NA,NA,NA
13,DDM,HS50 - 60_HR20_cap2.5,0.92,0.82,0.56,28.61,1.77,0.38,NA,NA,0.2,2.5,1,0.5,0.6
6,DDM,HS30 - 60_HR10_cap2.5,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2.5,1,0.3,0.6
7,DDM,HS30 - 60_HR05,0.92,0.81,0.57,45.95,1.8,0.28,NA,NA,0.05,NA,1,0.3,0.6
3,DDM,minE0.5B0_HR10,0.92,0.8,0.5,43.08,3.17,0.39,0.5,0,0.1,NA,1,NA,NA
2,DDM,minE0.5B0_HR20,0.89,0.72,0.36,60.35,4.77,0.42,0.5,0,0.2,NA,1,NA,NA
14,DDM,minE0.3B0_HR10,0.88,0.74,0.45,34.62,3.69,0.13,0.3,0,0.1,NA,1,NA,NA
8,DIM,NoFish_FSC,0.87,0.75,0.47,6.67,0.14,1,NA,NA,NA,NA,NA,NA,NA
7,DIM,HS30 - 60_HR05,0.85,0.7,0.43,50.95,1.34,0.35,NA,NA,0.05,NA,1,0.3,0.6
13,DIM,HS50 - 60_HR20_cap2.5,0.85,0.7,0.43,42.55,1.46,0.48,NA,NA,0.2,2.5,1,0.5,0.6
6,DIM,HS30 - 60_HR10_cap2.5,0.84,0.68,0.42,35.97,1.74,0.28,NA,NA,0.1,2.5,1,0.3,0.6
3,DIM,minE.5B0_HR10,0.83,0.66,0.34,49.21,2.47,0.46,0.5,0,0.1,NA,1,NA,NA
2,DIM,minE.5B0_HR20,0.78,0.58,0.26,73.54,3.42,0.51,0.5,0,0.2,NA,1,NA,NA
14,DIM,minE0.3B0_HR10,NA,NA,NA,NA,NA,NA,0.3,0,0.1,NA,1,NA,NA
8,conM,NoFish_FSC,1,0.97,0.76,6.67,0.14,1,NA,NA,NA,NA,NA,NA,NA
7,conM,HS30 - 60_HR05,1,0.96,0.71,46.71,1.89,0.18,NA,NA,0.05,NA,1,0.3,0.6
13,conM,HS50 - 60_HR20_cap2.5,1,0.96,0.7,28.55,1.96,0.28,NA,NA,0.2,2.5,1,0.5,0.6
3,conM,minE.5B0_HR10,0.98,0.91,0.57,41.62,3.64,0.26,0.5,0,0.1,NA,1,NA,NA
6,conM,HS30 - 60_HR10_cap2.5,0.98,0.94,0.68,29.25,2.1,0.12,NA,NA,0.1,2.5,1,0.3,0.6
14,conM,minE0.3B0_HR10,0.97,0.88,0.51,29.37,4.2,0.04,0.3,0,0.1,NA,1,NA,NA
2,conM,minE.5B0_HR20,0.94,0.82,0.41,56.35,5.74,0.31,0.5,0,0.2,NA,1,NA,NA
