mp,om,label,obj1,hiab,obj2,ncn1,ncn2,ncn3,obj3,obj4,catch,esc,abs_esc,hr,cap,num_end_yrs,lrp,usr
6,DDM,NoFish_FSC,0.8,0.6,0.68,0.54,0.41,0.65,0,0.14,1,NA,NA,NA,NA,NA,NA,NA
1,DDM,HS30-60_HR10,0.77,0.53,0.63,0.46,0.33,0.59,69.87,4.92,0.28,NA,NA,0.1,NA,1,0.3,0.6
2,DDM,HS30-60_HR15,0.76,0.49,0.59,0.42,0.27,0.56,64.75,6.97,0.28,NA,NA,0.15,NA,1,0.3,0.6
3,DDM,HS30-60_HR20,0.74,0.44,0.54,0.37,0.23,0.52,65.7,8.8,0.28,NA,NA,0.2,NA,1,0.3,0.6
4,DDM,minE30_HR10,0.76,0.5,0.6,0.44,0.31,0.57,47.88,6.15,0.26,0.3,0,0.1,NA,1,NA,NA
7,DDM,minE30_HR15,0.73,0.45,0.54,0.39,0.25,0.53,45.96,8.59,0.26,0.3,0,0.15,NA,1,NA,NA
5,DDM,minE30_HR20,0.7,0.39,0.5,0.33,0.2,0.48,49.45,10.79,0.27,0.3,0,0.2,NA,1,NA,NA
6,DIM,NoFish_FSC,0.78,0.57,0.65,0.51,0.41,0.63,0,0.14,1,NA,NA,NA,NA,NA,NA,NA
1,DIM,HS30-60_HR10,0.75,0.51,0.59,0.45,0.33,0.58,71.39,4.58,0.3,NA,NA,0.1,NA,1,0.3,0.6
2,DIM,HS30-60_HR15,0.73,0.48,0.56,0.41,0.28,0.55,68.93,6.48,0.29,NA,NA,0.15,NA,1,0.3,0.6
3,DIM,HS30-60_HR20,0.72,0.43,0.52,0.37,0.23,0.51,67.81,8.18,0.28,NA,NA,0.2,NA,1,0.3,0.6
4,DIM,minE30_HR10,0.74,0.51,0.59,0.45,0.33,0.58,67.87,4.36,0.44,0.3,0,0.1,NA,1,NA,NA
7,DIM,minE30_HR15,0.7,0.45,0.53,0.38,0.26,0.52,50.49,7.88,0.27,0.3,0,0.15,NA,1,NA,NA
5,DIM,minE30_HR20,0.67,0.4,0.49,0.34,0.21,0.47,48.1,10.04,0.28,0.3,0,0.2,NA,1,NA,NA
