mp,om,label,obj1,obj2,hiab,ncn1,ncn2,ncn3,obj3,obj4,catch,esc,abs_esc,hr,cap,num_end_yrs,lrp,usr
1,DDM,HS30-60_HR10_cap2,0.82,0.27,0.67,0.53,0.4,0.38,60.72,1.15,0.48,NA,NA,0.1,2,1,0.3,0.6
2,DDM,HS30-60_HR15_cap2,0.81,0.27,0.67,0.53,0.4,0.39,57.13,1.3,0.45,NA,NA,0.15,2,1,0.3,0.6
3,DDM,HS50-60_HR10,0.82,0.25,0.67,0.52,0.37,0.36,89.73,1.28,0.61,NA,NA,0.1,NA,1,0.5,0.6
4,DDM,HS50-60_HR15,0.81,0.23,0.64,0.48,0.33,0.32,82.56,2.08,0.61,NA,NA,0.15,NA,1,0.5,0.6
5,DDM,minE30_HR05,0.82,0.27,0.68,0.54,0.41,0.39,59.45,1.01,0.43,0.3,0,0.05,NA,1,NA,NA
6,DDM,minE30_HR10,0.8,0.24,0.65,0.5,0.35,0.34,75.21,1.87,0.44,0.3,0,0.1,NA,1,NA,NA
7,DDM,NoFish_FSC,0.84,0.33,0.71,0.57,0.45,0.43,0,0.14,1,NA,NA,NA,NA,NA,NA,NA
1,DIM,HS30-60_HR10_cap2,0.63,0.15,0.48,0.32,0.21,0.22,71.81,0.79,0.6,NA,NA,0.1,2,1,0.3,0.6
2,DIM,HS30-60_HR15_cap2,0.62,0.15,0.47,0.31,0.21,0.22,80.94,0.83,0.59,NA,NA,0.15,2,1,0.3,0.6
3,DIM,HS50-60_HR10,0.62,0.14,0.46,0.3,0.2,0.2,96.54,0.72,0.72,NA,NA,0.1,NA,1,0.5,0.6
4,DIM,HS50-60_HR15,0.61,0.12,0.44,0.28,0.18,0.19,107.55,1,0.72,NA,NA,0.15,NA,1,0.5,0.6
5,DIM,minE30_HR05,0.63,0.15,0.48,0.32,0.22,0.22,70.09,0.76,0.51,0.3,0,0.05,NA,1,NA,NA
6,DIM,minE30_HR10,0.61,0.13,0.43,0.29,0.19,0.2,83.98,1.26,0.53,0.3,0,0.1,NA,1,NA,NA
7,DIM,NoFish_FSC,0.65,0.17,0.51,0.36,0.25,0.25,0,0.14,1,NA,NA,NA,NA,NA,NA,NA
