Year,Spawn index,101,102,103
1951,927,0.000,1.000,0.000
1952,809,0.000,1.000,0.000
1953,"3,122",0.000,1.000,0.000
1954,"1,313",0.000,0.906,0.094
1955,372,0.000,0.951,0.049
1956,"1,306",0.000,1.000,0.000
1957,412,0.000,1.000,0.000
1958,"1,982",0.000,0.998,0.002
1959,580,0.000,0.982,0.018
1960,481,0.000,1.000,0.000
1961,489,0.000,1.000,0.000
1962,415,0.000,1.000,0.000
1963,202,0.000,1.000,0.000
1964,457,0.000,1.000,0.000
1965,679,0.000,1.000,0.000
1966,457,0.000,1.000,0.000
1967,612,0.000,1.000,0.000
1968,505,0.000,1.000,0.000
1969,386,0.000,1.000,0.000
1970,"1,337",0.000,0.982,0.018
1971,"1,960",0.000,0.975,0.025
1972,"1,226",0.000,1.000,0.000
1973,"1,776",0.000,0.987,0.013
1974,648,0.000,0.987,0.013
1975,310,0.000,0.772,0.228
1976,420,0.000,0.948,0.052
1977,237,0.000,0.891,0.109
1978,919,0.000,0.946,0.054
1979,228,0.000,0.993,0.007
1980,641,0.000,0.728,0.272
1981,449,0.000,0.997,0.003
1982,900,0.000,0.990,0.010
1983,252,0.000,1.000,0.000
1984,470,0.000,0.992,0.008
1985,413,0.000,1.000,0.000
1986,244,0.000,1.000,0.000
1987,627,0.000,1.000,0.000
1988,830,0.000,1.000,0.000
1989,701,0.000,0.866,0.134
1990,63,0.000,1.000,0.000
1991,"1,221",0.000,1.000,0.000
1992,607,0.000,1.000,0.000
1993,710,0.000,1.000,0.000
1994,"1,636",0.000,1.000,0.000
1995,"1,588",0.000,1.000,0.000
1996,"1,373",0.000,1.000,0.000
1997,"NA",0.000,0.000,0.000
1998,"1,600",0.000,0.985,0.015
1999,"1,262",0.000,1.000,0.000
2000,780,0.000,1.000,0.000
2001,896,0.000,1.000,0.000
2002,"1,158",0.000,1.000,0.000
2003,768,0.000,1.000,0.000
2004,930,0.000,1.000,0.000
2005,"1,158",0.000,1.000,0.000
2006,235,0.000,1.000,0.000
2007,"NA",0.000,0.000,0.000
2008,305,0.000,0.943,0.057
2009,390,0.000,0.191,0.809
2010,"NA",0.000,0.000,0.000
2011,"NA",0.000,0.000,0.000
2012,"NA",0.000,0.000,0.000
2013,267,0.000,1.000,0.000
2014,493,0.000,1.000,0.000
2015,"NA",0.000,0.000,0.000
2016,588,0.000,0.967,0.033
2017,"2,206",0.000,1.000,0.000
2018,477,0.000,1.000,0.000
2019,570,0.000,1.000,0.000
2020,888,0.000,1.000,0.000
2021,350,0.000,1.000,0.000
