Year,Spawn index,6,7,8
1951,"15,390",0.286,0.714,0
1952,"10,295",0.135,0.854,0.01
1953,"18,237",0.113,0.886,0.001
1954,"13,967",0.057,0.943,0
1955,"13,564",0.029,0.953,0.018
1956,"6,626",0.001,0.936,0.063
1957,"4,607",0,1,0
1958,"3,549",0.116,0.744,0.14
1959,"3,904",0.239,0.692,0.069
1960,"12,615",0.243,0.675,0.082
1961,"4,265",0.361,0.398,0.241
1962,"11,948",0.309,0.615,0.077
1963,"6,485",0.058,0.869,0.073
1964,"6,464",0.096,0.892,0.012
1965,"2,097",0.169,0.808,0.023
1966,"1,863",0.528,0.385,0.086
1967,"5,434",0.847,0.153,0
1968,"5,790",0.283,0.702,0.015
1969,"1,837",0.039,0.901,0.059
1970,"8,230",0.632,0.343,0.025
1971,"4,156",0.159,0.675,0.166
1972,"3,572",0.241,0.669,0.089
1973,"12,434",0.591,0.332,0.077
1974,"8,852",0.137,0.715,0.148
1975,"8,037",0.316,0.545,0.139
1976,"13,849",0.114,0.784,0.103
1977,"14,613",0.223,0.738,0.039
1978,"7,747",0.304,0.579,0.118
1979,"5,669",0.46,0.397,0.143
1980,"12,957",0.319,0.608,0.073
1981,"15,811",0.301,0.647,0.052
1982,"16,239",0.261,0.704,0.035
1983,"18,214",0.342,0.612,0.046
1984,"13,788",0.376,0.555,0.069
1985,"8,483",0.405,0.511,0.084
1986,"20,096",0.115,0.803,0.083
1987,"12,463",0.393,0.5,0.107
1988,"29,146",0.18,0.75,0.07
1989,"23,198",0.276,0.662,0.062
1990,"28,546",0.199,0.753,0.047
1991,"18,429",0.234,0.645,0.121
1992,"42,594",0.217,0.746,0.037
1993,"31,717",0.186,0.773,0.042
1994,"28,790",0.269,0.674,0.057
1995,"21,343",0.137,0.85,0.013
1996,"20,344",0.166,0.761,0.074
1997,"27,280",0.128,0.773,0.098
1998,"29,736",0.249,0.613,0.138
1999,"30,208",0.272,0.592,0.136
2000,"30,810",0.238,0.725,0.037
2001,"24,334",0.235,0.612,0.153
2002,"20,318",0.279,0.54,0.181
2003,"24,401",0.293,0.496,0.211
2004,"28,245",0.376,0.401,0.223
2005,"23,903",0.24,0.627,0.133
2006,"9,081",0.305,0.605,0.09
2007,"9,264",0.591,0.278,0.131
2008,"4,255",0.571,0.329,0.1
2009,"10,771",0.515,0.468,0.018
2010,"8,671",0.306,0.605,0.089
2011,"10,534",0.241,0.645,0.114
2012,"7,592",0.216,0.575,0.209
2013,"20,369",0.217,0.777,0.006
2014,"13,309",0.287,0.673,0.04
2015,"32,146",0.223,0.706,0.072
2016,"32,508",0.245,0.726,0.028
2017,"23,517",0.359,0.584,0.057
2018,"12,264",0.322,0.626,0.052
2019,"46,255",0.323,0.641,0.036
2020,"42,713",0.417,0.55,0.033
2021,"28,674",0.257,0.697,0.045
