Year,Spawn index,Cumshewa/Selwyn,Juan Perez/Skincuttle,Louscoone
1951,"4,213",0.000,1.000,0.000
1952,"2,578",0.037,0.963,0.000
1953,"7,555",0.027,0.973,0.000
1954,"12,408",0.163,0.837,0.000
1955,"6,437",0.000,1.000,0.000
1956,"6,042",0.000,1.000,0.000
1957,"1,592",0.000,1.000,0.000
1958,815,0.000,1.000,0.000
1959,"8,981",0.143,0.785,0.071
1960,"6,599",0.018,0.654,0.328
1961,"8,981",0.000,0.869,0.131
1962,"5,730",0.007,0.898,0.095
1963,"7,297",0.002,0.998,0.000
1964,"4,104",0.000,0.779,0.221
1965,"1,378",0.196,0.681,0.123
1966,"2,824",0.013,0.987,0.000
1967,710,0.121,0.873,0.006
1968,833,0.000,0.978,0.022
1969,"2,075",0.000,1.000,0.000
1970,"5,552",0.470,0.502,0.028
1971,"13,291",0.545,0.393,0.062
1972,"9,542",0.631,0.206,0.163
1973,"7,960",0.190,0.430,0.380
1974,"14,510",0.097,0.752,0.152
1975,"9,686",0.217,0.537,0.247
1976,"15,986",0.116,0.650,0.234
1977,"15,717",0.116,0.805,0.080
1978,"16,885",0.136,0.835,0.030
1979,"14,289",0.247,0.722,0.032
1980,"30,455",0.027,0.950,0.023
1981,"18,823",0.193,0.796,0.012
1982,"22,159",0.086,0.888,0.027
1983,"19,470",0.184,0.791,0.025
1984,"22,120",0.167,0.819,0.015
1985,"17,232",0.115,0.865,0.020
1986,"5,679",0.411,0.589,0.000
1987,"10,750",0.176,0.809,0.015
1988,"13,631",0.254,0.666,0.080
1989,"23,638",0.143,0.641,0.217
1990,"25,404",0.256,0.667,0.077
1991,"16,204",0.177,0.775,0.048
1992,"11,068",0.273,0.637,0.090
1993,"6,630",0.239,0.719,0.042
1994,"12,820",0.232,0.763,0.005
1995,"4,701",0.033,0.967,0.000
1996,"7,374",0.095,0.888,0.017
1997,"10,778",0.115,0.880,0.005
1998,"20,622",0.189,0.811,0.000
1999,"8,971",0.093,0.902,0.005
2000,"5,341",0.139,0.861,0.000
2001,"13,859",0.096,0.885,0.018
2002,"2,286",0.390,0.566,0.044
2003,"7,302",0.148,0.852,0.000
2004,"4,906",0.333,0.667,0.000
2005,"3,614",0.219,0.642,0.139
2006,"4,097",0.274,0.726,0.000
2007,"9,436",0.165,0.825,0.011
2008,"4,213",0.249,0.751,0.000
2009,"9,794",0.106,0.894,0.000
2010,"6,845",0.323,0.655,0.022
2011,"7,554",0.226,0.749,0.026
2012,"9,720",0.158,0.821,0.020
2013,"16,025",0.057,0.864,0.079
2014,"10,566",0.068,0.932,0.000
2015,"13,102",0.060,0.940,0.000
2016,"6,888",0.053,0.947,0.000
2017,"3,016",0.018,0.982,0.000
2018,"4,588",0.234,0.766,0.000
2019,"11,624",0.065,0.919,0.016
2020,"20,423",0.077,0.923,0.000
2021,"18,234",0.025,0.975,0.000
2022,"5,281",0.150,0.850,0.000
2023,"1,584",0.038,0.962,0.000
2024,"11,732",0.087,0.906,0.007
2025,"8,947",0.092,0.908,0.000
