Year,Spawn index,03,04,05
1951,"27,149",0.041,0.688,0.271
1952,"24,047",0.020,0.953,0.028
1953,"28,468",0.011,0.920,0.069
1954,"13,535",0.012,0.503,0.485
1955,"14,482",0.000,0.569,0.431
1956,"14,533",0.084,0.489,0.427
1957,"27,518",0.182,0.582,0.236
1958,"9,882",0.604,0.277,0.119
1959,"40,961",0.003,0.936,0.061
1960,"16,545",0.085,0.620,0.295
1961,"12,059",0.090,0.383,0.527
1962,"26,329",0.147,0.614,0.239
1963,"16,981",0.000,0.724,0.276
1964,"26,919",0.000,0.885,0.115
1965,"6,055",0.000,0.295,0.705
1966,"7,105",0.001,0.993,0.006
1967,"3,386",0.044,0.715,0.240
1968,"5,197",0.256,0.635,0.109
1969,965,0.055,0.444,0.502
1970,"8,814",0.368,0.261,0.371
1971,"8,480",0.359,0.261,0.379
1972,"8,774",0.188,0.669,0.143
1973,"10,959",0.122,0.727,0.151
1974,"9,244",0.194,0.588,0.218
1975,"10,565",0.018,0.441,0.540
1976,"15,199",0.049,0.639,0.312
1977,"10,425",0.040,0.451,0.508
1978,"4,734",0.107,0.396,0.497
1979,"7,600",0.453,0.157,0.390
1980,"11,001",0.131,0.308,0.562
1981,"12,939",0.186,0.457,0.357
1982,"16,108",0.072,0.688,0.241
1983,"23,575",0.042,0.707,0.251
1984,"25,702",0.026,0.833,0.140
1985,"30,163",0.006,0.878,0.116
1986,"25,580",0.004,0.779,0.217
1987,"38,673",0.058,0.734,0.208
1988,"33,957",0.054,0.858,0.088
1989,"14,876",0.110,0.453,0.437
1990,"21,177",0.038,0.860,0.103
1991,"24,305",0.039,0.726,0.235
1992,"38,585",0.030,0.687,0.283
1993,"23,251",0.000,0.870,0.130
1994,"14,683",0.156,0.630,0.214
1995,"16,879",0.021,0.821,0.159
1996,"22,664",0.044,0.872,0.083
1997,"23,607",0.050,0.871,0.080
1998,"17,997",0.012,0.601,0.387
1999,"27,742",0.154,0.554,0.292
2000,"17,943",0.145,0.528,0.326
2001,"35,070",0.006,0.689,0.304
2002,"20,503",0.027,0.678,0.295
2003,"34,630",0.013,0.714,0.272
2004,"31,104",0.098,0.673,0.229
2005,"28,172",0.058,0.731,0.210
2006,"10,255",0.010,0.675,0.315
2007,"15,700",0.035,0.780,0.184
2008,"12,728",0.028,0.724,0.248
2009,"11,961",0.007,0.917,0.076
2010,"28,607",0.036,0.744,0.219
2011,"21,097",0.022,0.757,0.220
2012,"22,716",0.038,0.774,0.188
2013,"25,755",0.026,0.750,0.224
2014,"17,125",0.148,0.595,0.257
2015,"17,407",0.056,0.756,0.188
2016,"18,985",0.007,0.808,0.185
2017,"19,235",0.052,0.632,0.317
2018,"14,155",0.057,0.667,0.277
2019,"27,190",0.010,0.452,0.538
2020,"25,845",0.026,0.542,0.432
2021,"33,062",0.068,0.717,0.214
2022,"35,220",0.001,0.793,0.207
2023,"42,202",0.000,0.720,0.280
2024,"50,054",0.000,0.913,0.086
2025,"45,417",0.038,0.531,0.431
