Year,Spawn index,14&17,ESoG,Lazo,SDodd
1951,"66,143",0.879,0.055,0.018,0.048
1952,"72,376",0.778,0.056,0.028,0.138
1953,"111,274",0.619,0.046,0.019,0.316
1954,"82,141",0.505,0.075,0.011,0.409
1955,"69,854",0.555,0.067,0.119,0.259
1956,"25,667",0.667,0.070,0.034,0.229
1957,"24,465",0.812,0.091,0.006,0.091
1958,"16,911",0.409,0.181,0.035,0.376
1959,"47,864",0.695,0.054,0.059,0.192
1960,"55,709",0.489,0.110,0.302,0.099
1961,"44,326",0.397,0.272,0.188,0.143
1962,"35,131",0.581,0.307,0.036,0.076
1963,"35,117",0.466,0.428,0.011,0.095
1964,"35,954",0.510,0.138,0.271,0.081
1965,"38,390",0.415,0.243,0.322,0.021
1966,"7,211",0.063,0.703,0.080,0.154
1967,"9,647",0.216,0.495,0.158,0.131
1968,"9,442",0.417,0.362,0.021,0.200
1969,"14,039",0.145,0.609,0.098,0.147
1970,"30,132",0.379,0.437,0.012,0.172
1971,"38,921",0.356,0.253,0.271,0.120
1972,"25,139",0.387,0.221,0.264,0.128
1973,"16,191",0.344,0.271,0.090,0.294
1974,"40,571",0.737,0.043,0.034,0.185
1975,"70,208",0.675,0.096,0.081,0.148
1976,"60,817",0.740,0.065,0.067,0.128
1977,"75,988",0.883,0.032,0.054,0.032
1978,"100,673",0.904,0.015,0.022,0.058
1979,"62,596",0.671,0.134,0.039,0.157
1980,"83,777",0.800,0.033,0.094,0.073
1981,"52,365",0.828,0.036,0.017,0.119
1982,"99,378",0.869,0.023,0.078,0.030
1983,"66,201",0.640,0.022,0.246,0.093
1984,"25,994",0.570,0.064,0.003,0.363
1985,"25,024",0.582,0.119,0.003,0.296
1986,"41,575",0.853,0.012,0.001,0.135
1987,"41,737",0.664,0.032,0.097,0.206
1988,"24,976",0.741,0.039,0.000,0.220
1989,"66,052",0.934,0.013,0.001,0.052
1990,"67,150",0.722,0.004,0.065,0.210
1991,"45,629",0.924,0.000,0.000,0.075
1992,"82,710",0.882,0.004,0.045,0.069
1993,"90,197",0.856,0.000,0.012,0.132
1994,"67,138",0.899,0.000,0.033,0.068
1995,"64,898",0.943,0.000,0.000,0.057
1996,"71,346",0.980,0.001,0.002,0.017
1997,"58,296",0.947,0.001,0.000,0.052
1998,"74,616",0.972,0.017,0.000,0.011
1999,"85,094",0.821,0.000,0.120,0.060
2000,"72,688",0.952,0.009,0.003,0.036
2001,"100,248",0.721,0.024,0.207,0.047
2002,"117,862",0.651,0.000,0.309,0.040
2003,"152,150",0.872,0.011,0.000,0.117
2004,"122,839",0.915,0.014,0.029,0.042
2005,"102,651",0.926,0.005,0.006,0.063
2006,"50,258",0.898,0.000,0.000,0.102
2007,"38,524",0.967,0.000,0.000,0.033
2008,"34,507",0.861,0.000,0.011,0.128
2009,"53,652",0.921,0.000,0.000,0.079
2010,"50,454",0.886,0.000,0.002,0.112
2011,"85,001",0.984,0.000,0.000,0.016
2012,"52,636",0.855,0.009,0.084,0.052
2013,"83,693",0.928,0.000,0.055,0.016
2014,"120,468",0.758,0.020,0.212,0.010
2015,"104,481",0.525,0.014,0.354,0.106
2016,"129,502",0.902,0.000,0.090,0.009
2017,"81,064",0.806,0.000,0.194,0.000
2018,"91,939",0.984,0.001,0.014,0.000
2019,"63,038",0.985,0.001,0.014,0.000
2020,"116,151",0.758,0.109,0.126,0.007
2021,"70,938",0.773,0.032,0.196,0.000
2022,"86,114",0.801,0.024,0.154,0.021
2023,"74,507",0.769,0.013,0.205,0.013
2024,"81,775",0.790,0.116,0.002,0.092
