Year,StatArea,Section,Survey,Index
1951,27,271,Surface,NA
1951,27,272,Surface,625.2898444450681
1951,27,273,Surface,1329.951312178336
1951,27,274,Surface,NA
1952,27,271,Surface,NA
1952,27,272,Surface,NA
1952,27,273,Surface,484.37846641971004
1952,27,274,Surface,NA
1953,27,271,Surface,NA
1953,27,272,Surface,270.122949576162
1953,27,273,Surface,4019.6900829883525
1953,27,274,Surface,328.21743569399996
1954,27,271,Surface,NA
1954,27,272,Surface,443.106409458888
1954,27,273,Surface,2040.514576127904
1954,27,274,Surface,162.8215906482
1955,27,271,Surface,61.359021776000006
1955,27,272,Surface,70.26689045376
1955,27,273,Surface,443.2478346048
1955,27,274,Surface,NA
1956,27,271,Surface,NA
1956,27,272,Surface,NA
1956,27,273,Surface,1.4655699874199999
1956,27,274,Surface,NA
1957,27,271,Surface,NA
1957,27,272,Surface,NA
1957,27,273,Surface,184.03466008697
1957,27,274,Surface,NA
1958,27,271,Surface,NA
1958,27,272,Surface,NA
1958,27,273,Surface,38.617109001856
1958,27,274,Surface,NA
1959,27,271,Surface,NA
1959,27,272,Surface,NA
1959,27,273,Surface,60.46734024448
1959,27,274,Surface,NA
1960,27,271,Surface,NA
1960,27,272,Surface,151.458705778884
1960,27,273,Surface,72.48863875136001
1960,27,274,Surface,NA
1961,27,271,Surface,NA
1961,27,272,Surface,NA
1961,27,273,Surface,161.42716154240003
1961,27,274,Surface,7.558908268449999
1962,27,271,Surface,NA
1962,27,272,Surface,NA
1962,27,273,Surface,77.49178626579202
1962,27,274,Surface,24.12909145955
1963,27,271,Surface,NA
1963,27,272,Surface,NA
1963,27,273,Surface,386.17109001856005
1963,27,274,Surface,21.125333152
1964,27,271,Surface,NA
1964,27,272,Surface,NA
1964,27,273,Surface,NA
1964,27,274,Surface,NA
1965,27,271,Surface,3.4295443519999997
1965,27,272,Surface,1158.224298415794
1965,27,273,Surface,1345.844721281432
1965,27,274,Surface,9.0442832557
1966,27,271,Surface,NA
1966,27,272,Surface,68.96965670415202
1966,27,273,Surface,12.759701223807998
1966,27,274,Surface,NA
1967,27,271,Surface,NA
1967,27,272,Surface,30.773008735854003
1967,27,273,Surface,15.463743867263998
1967,27,274,Surface,NA
1968,27,271,Surface,68.143555168
1968,27,272,Surface,NA
1968,27,273,Surface,73.54135975679999
1968,27,274,Surface,NA
1969,27,271,Surface,NA
1969,27,272,Surface,1518.78349938404
1969,27,273,Surface,679.633508184576
1969,27,274,Surface,NA
1970,27,271,Surface,NA
1970,27,272,Surface,2081.98351421219
1970,27,273,Surface,203.38481942508795
1970,27,274,Surface,148.3479762483
1971,27,271,Surface,NA
1971,27,272,Surface,NA
1971,27,273,Surface,104.417203730688
1971,27,274,Surface,185.58353160899998
1972,27,271,Surface,NA
1972,27,272,Surface,NA
1972,27,273,Surface,26.148039024640003
1972,27,274,Surface,224.14269685075
1973,27,271,Surface,NA
1973,27,272,Surface,1672.9106065425522
1973,27,273,Surface,728.7615471541881
1973,27,274,Surface,176.49731713544998
1974,27,271,Surface,NA
1974,27,272,Surface,NA
1974,27,273,Surface,NA
1974,27,274,Surface,NA
1975,27,271,Surface,NA
1975,27,272,Surface,NA
1975,27,273,Surface,1606.178651809294
1975,27,274,Surface,NA
1976,27,271,Surface,NA
1976,27,272,Surface,NA
1976,27,273,Surface,152.509085154688
1976,27,274,Surface,57.929477424
1977,27,271,Surface,13.643622096000001
1977,27,272,Surface,NA
1977,27,273,Surface,573.930631583908
1977,27,274,Surface,50.612556703950005
1978,27,271,Surface,NA
1978,27,272,Surface,972.7617753366239
1978,27,273,Surface,2584.594130954632
1978,27,274,Surface,37.67054502399999
1979,27,271,Surface,NA
1979,27,272,Surface,2000.3216679389998
1979,27,273,Surface,4908.2841869740005
1979,27,274,Surface,NA
1980,27,271,Surface,NA
1980,27,272,Surface,8322.29073552
1980,27,273,Surface,6096.766653905001
1980,27,274,Surface,NA
1981,27,271,Surface,NA
1981,27,272,Surface,NA
1981,27,273,Surface,1828.32045383
1981,27,274,Surface,NA
1982,27,271,Surface,NA
1982,27,272,Surface,NA
1982,27,273,Surface,1467.62049686
1982,27,274,Surface,NA
1983,27,271,Surface,NA
1983,27,272,Surface,NA
1983,27,273,Surface,2500.47207576
1983,27,274,Surface,NA
1984,27,271,Surface,NA
1984,27,272,Surface,NA
1984,27,273,Surface,3004.2199903
1984,27,274,Surface,NA
1985,27,271,Surface,NA
1985,27,272,Surface,914.809481719006
1985,27,273,Surface,467.1949324303638
1985,27,274,Surface,NA
1986,27,271,Surface,NA
1986,27,272,Surface,NA
1986,27,273,Surface,3494.6898649837553
1986,27,274,Surface,NA
1987,27,271,Surface,NA
1987,27,272,Surface,NA
1987,27,273,Surface,952.3285917819094
1987,27,274,Surface,NA
1988,27,271,Dive,NA
1988,27,272,Dive,NA
1988,27,273,Dive,1612.2328874497784
1988,27,274,Dive,NA
1989,27,271,Dive,NA
1989,27,272,Dive,2926.9591118963795
1989,27,273,Dive,1684.7374106633865
1989,27,274,Dive,NA
1990,27,271,Dive,NA
1990,27,272,Dive,1646.7383503198212
1990,27,273,Dive,3565.44878988
1990,27,274,Dive,NA
1991,27,271,Dive,NA
1991,27,272,Dive,1201.6843315300434
1991,27,273,Dive,2011.6836091538653
1991,27,274,Dive,NA
1992,27,271,Dive,NA
1992,27,272,Dive,1504.612226837255
1992,27,273,Dive,1274.026013039389
1992,27,274,Dive,NA
1993,27,271,Dive,NA
1993,27,272,Dive,893.2622730298806
1993,27,273,Dive,4683.151488869522
1993,27,274,Dive,NA
1994,27,271,Dive,NA
1994,27,272,Dive,624.4676741104591
1994,27,273,Dive,4604.298460849058
1994,27,274,Dive,NA
1995,27,271,Dive,NA
1995,27,272,Dive,165.8945368335715
1995,27,273,Dive,2319.8158210097613
1995,27,274,Dive,NA
1996,27,271,Dive,NA
1996,27,272,Dive,NA
1996,27,273,Dive,1373.2528473419227
1996,27,274,Dive,NA
1997,27,271,Dive,NA
1997,27,272,Dive,155.71656953428047
1997,27,273,Dive,1807.1826450480296
1997,27,274,Dive,NA
1998,27,271,Dive,NA
