Year,StatArea,Section,Survey,Index
1951,6,67,Surface,4408.865547
1951,7,72,Surface,17.15965061
1951,7,73,Surface,5328.253883
1951,7,74,Surface,3392.975108
1951,7,75,Surface,14.73511186
1951,7,76,Surface,1711.726099
1951,7,77,Surface,NA
1951,7,78,Surface,516.4748103
1951,8,85,Surface,NA
1951,8,86,Surface,NA
1952,6,67,Surface,1394.375833
1952,7,72,Surface,63.80741822
1952,7,73,Surface,4803.384955
1952,7,74,Surface,3559.666595
1952,7,75,Surface,NA
1952,7,76,Surface,367.8738249
1952,7,77,Surface,NA
1952,7,78,Surface,NA
1952,8,85,Surface,106.2860528
1952,8,86,Surface,NA
1953,6,67,Surface,2056.49095
1953,7,72,Surface,143.4414544
1953,7,73,Surface,7232.155109
1953,7,74,Surface,7055.619458
1953,7,75,Surface,NA
1953,7,76,Surface,1727.089442
1953,7,77,Surface,NA
1953,7,78,Surface,NA
1953,8,85,Surface,21.80593765
1953,8,86,Surface,NA
1954,6,67,Surface,793.8040593
1954,7,72,Surface,337.0793523
1954,7,73,Surface,7014.91468
1954,7,74,Surface,4312.533433
1954,7,75,Surface,752.8908015
1954,7,76,Surface,756.1196645
1954,7,77,Surface,NA
1954,7,78,Surface,NA
1954,8,85,Surface,NA
1954,8,86,Surface,NA
1955,6,67,Surface,392.7242814
1955,7,72,Surface,1126.771382
1955,7,73,Surface,4557.820331
1955,7,74,Surface,6825.344245
1955,7,75,Surface,NA
1955,7,76,Surface,419.4900397
1955,7,77,Surface,NA
1955,7,78,Surface,NA
1955,8,85,Surface,83.31993608
1955,8,86,Surface,158.8973423
1956,6,67,Surface,7.248629938
1956,7,72,Surface,NA
1956,7,73,Surface,337.238605
1956,7,74,Surface,2850.367959
1956,7,75,Surface,NA
1956,7,76,Surface,3015.29708
1956,7,77,Surface,NA
1956,7,78,Surface,NA
1956,8,85,Surface,137.7266161
1956,8,86,Surface,278.2769004
1957,6,67,Surface,NA
1957,7,72,Surface,318.8407141
1957,7,73,Surface,2266.042311
1957,7,74,Surface,1932.502791
1957,7,75,Surface,NA
1957,7,76,Surface,89.45742776
1957,7,77,Surface,NA
1957,7,78,Surface,NA
1957,8,85,Surface,NA
1957,8,86,Surface,NA
1958,6,67,Surface,412.5984704
1958,7,72,Surface,278.0018474
1958,7,73,Surface,1007.547835
1958,7,74,Surface,1203.435005
1958,7,75,Surface,NA
1958,7,76,Surface,150.5800833
1958,7,77,Surface,NA
1958,7,78,Surface,NA
1958,8,85,Surface,496.4904739
1958,8,86,Surface,NA
1959,6,67,Surface,933.1059778
1959,7,72,Surface,136.2871103
1959,7,73,Surface,432.1629159
1959,7,74,Surface,1466.925021
1959,7,75,Surface,NA
1959,7,76,Surface,666.9731617
1959,7,77,Surface,NA
1959,7,78,Surface,NA
1959,8,85,Surface,142.962292
1959,8,86,Surface,125.3443656
1960,6,67,Surface,3060.921852
1960,7,72,Surface,588.2171299
1960,7,73,Surface,3510.689852
1960,7,74,Surface,1998.471979
1960,7,75,Surface,NA
1960,7,76,Surface,2420.74437
1960,7,77,Surface,NA
1960,7,78,Surface,NA
1960,8,85,Surface,1035.558815
1960,8,86,Surface,NA
1961,6,67,Surface,1540.03246
1961,7,72,Surface,NA
1961,7,73,Surface,1082.319519
1961,7,74,Surface,89.80264533
1961,7,75,Surface,7.327296063
1961,7,76,Surface,517.2352827
1961,7,77,Surface,NA
1961,7,78,Surface,NA
1961,8,85,Surface,1028.371158
1961,8,86,Surface,NA
1962,6,67,Surface,3686.722877
1962,7,72,Surface,1787.572675
1962,7,73,Surface,2329.522249
1962,7,74,Surface,1239.401712
1962,7,75,Surface,935.9563842
1962,7,76,Surface,1050.827639
1962,7,77,Surface,NA
1962,7,78,Surface,NA
1962,8,85,Surface,917.8827556
1962,8,86,Surface,NA
1963,6,67,Surface,377.4440645
1963,7,72,Surface,1748.189238
1963,7,73,Surface,2168.386888
1963,7,74,Surface,738.212498
1963,7,75,Surface,222.41558
1963,7,76,Surface,759.978353
1963,7,77,Surface,NA
1963,7,78,Surface,NA
1963,8,85,Surface,284.1789434
1963,8,86,Surface,186.5820768
1964,6,67,Surface,621.116205
1964,7,72,Surface,1079.420007
1964,7,73,Surface,519.1210263
1964,7,74,Surface,1471.345076
1964,7,75,Surface,NA
1964,7,76,Surface,2693.43532
1964,7,77,Surface,NA
1964,7,78,Surface,NA
1964,8,85,Surface,79.40931253
1964,8,86,Surface,NA
1965,6,67,Surface,353.432866
1965,7,72,Surface,166.9198656
1965,7,73,Surface,1.093235991
1965,7,74,Surface,1317.028239
1965,7,75,Surface,158.8186251
1965,7,76,Surface,50.25588148
1965,7,77,Surface,NA
1965,7,78,Surface,NA
1965,8,85,Surface,49.06335972
1965,8,86,Surface,NA
1966,6,67,Surface,984.665484
1966,7,72,Surface,22.33080705
1966,7,73,Surface,189.1694483
1966,7,74,Surface,413.053677
1966,7,75,Surface,NA
1966,7,76,Surface,93.38896916
1966,7,77,Surface,NA
1966,7,78,Surface,NA
1966,8,85,Surface,160.8436174
1966,8,86,Surface,NA
1967,6,67,Surface,4604.539427
1967,7,72,Surface,41.39907365
1967,7,73,Surface,24.96222179
1967,7,74,Surface,261.608141
1967,7,75,Surface,79.40931253
1967,7,76,Surface,422.3549213
1967,7,77,Surface,NA
1967,7,78,Surface,NA
1967,8,85,Surface,NA
1967,8,86,Surface,NA
1968,6,67,Surface,1640.797575
1968,7,72,Surface,527.6434791
1968,7,73,Surface,181.9030324
1968,7,74,Surface,1907.567116
1968,7,75,Surface,NA
1968,7,76,Surface,1445.029151
1968,7,77,Surface,NA
1968,7,78,Surface,NA
1968,8,85,Surface,NA
1968,8,86,Surface,86.59404327
1969,6,67,Surface,72.23216848
1969,7,72,Surface,146.0900512
1969,7,73,Surface,77.741226
1969,7,74,Surface,509.6048714
1969,7,75,Surface,NA
1969,7,76,Surface,922.4975454
1969,7,77,Surface,NA
1969,7,78,Surface,NA
1969,8,85,Surface,NA
1969,8,86,Surface,108.9295748
1970,6,67,Surface,5201.071059
1970,7,72,Surface,478.1459888
1970,7,73,Surface,NA
1970,7,74,Surface,762.9261623
1970,7,75,Surface,1065.203037
1970,7,76,Surface,518.0076967
1970,7,77,Surface,NA
1970,7,78,Surface,NA
1970,8,85,Surface,204.5228066
1970,8,86,Surface,NA
1971,6,67,Surface,662.6994824
1971,7,72,Surface,861.5880179
1971,7,73,Surface,NA
1971,7,74,Surface,830.7674721
1971,7,75,Surface,NA
1971,7,76,Surface,1111.396473
1971,7,77,Surface,NA
1971,7,78,Surface,NA
1971,8,85,Surface,NA
1971,8,86,Surface,689.2648381
1972,6,67,Surface,862.052868
1972,7,72,Surface,309.8872357
1972,7,73,Surface,NA
1972,7,74,Surface,1452.559296
1972,7,75,Surface,155.8893287
1972,7,76,Surface,472.1134504
1972,7,77,Surface,NA
1972,7,78,Surface,NA
1972,8,85,Surface,319.336258
1972,8,86,Surface,NA
1973,6,67,Surface,7348.446472
1973,7,72,Surface,832.9260325
1973,7,73,Surface,NA
1973,7,74,Surface,2719.756262
1973,7,75,Surface,158.6687209
1973,7,76,Surface,410.6527693
1973,7,77,Surface,NA
1973,7,78,Surface,NA
1973,8,85,Surface,940.3896345
1973,8,86,Surface,23.22163286
1974,6,67,Surface,1215.695445
1974,7,72,Surface,531.0992489
1974,7,73,Surface,NA
1974,7,74,Surface,2734.321257
1974,7,75,Surface,1000.025139
1974,7,76,Surface,2061.263535
1974,7,77,Surface,NA
1974,7,78,Surface,NA
1974,8,85,Surface,1275.260545
1974,8,86,Surface,34.38560312
1975,6,67,Surface,2536.636178
1975,7,72,Surface,1357.457368
1975,7,73,Surface,330.0593484
1975,7,74,Surface,693.5942164
1975,7,75,Surface,806.1489728
1975,7,76,Surface,1193.845683
1975,7,77,Surface,NA
1975,7,78,Surface,NA
1975,8,85,Surface,1008.986989
1975,8,86,Surface,109.8949793
1976,6,67,Surface,1577.996192
1976,7,72,Surface,1040.95184
1976,7,73,Surface,67.32120368
1976,7,74,Surface,7185.630798
1976,7,75,Surface,695.9631093
1976,7,76,Surface,1861.150098
1976,7,77,Surface,NA
1976,7,78,Surface,NA
1976,8,85,Surface,1419.957741
1976,8,86,Surface,NA
1977,6,67,Surface,3256.087578
1977,7,72,Surface,2507.699169
1977,7,73,Surface,469.3043258
1977,7,74,Surface,4475.653323
1977,7,75,Surface,1454.759489
1977,7,76,Surface,1880.60862
1977,7,77,Surface,NA
1977,7,78,Surface,NA
1977,8,85,Surface,295.4596136
1977,8,86,Surface,273.87115
1978,6,67,Surface,2351.404778
1978,7,72,Surface,466.8960133
1978,7,73,Surface,NA
1978,7,74,Surface,2214.837096
1978,7,75,Surface,1406.70112
1978,7,76,Surface,395.8350927
1978,7,77,Surface,NA
1978,7,78,Surface,NA
1978,8,85,Surface,911.2769994
1978,8,86,Surface,NA
1979,6,67,Surface,2609.768809
1979,7,72,Surface,493.4472716
1979,7,73,Surface,NA
1979,7,74,Surface,790.86484
1979,7,75,Surface,425.2328124
1979,7,76,Surface,540.310677
1979,7,77,Surface,NA
1979,7,78,Surface,NA
1979,8,85,Surface,808.9445688
1979,8,86,Surface,NA
1980,6,67,Surface,4134.720841
1980,7,72,Surface,3116.718253
1980,7,73,Surface,NA
1980,7,74,Surface,2837.602422
1980,7,75,Surface,1787.606754
1980,7,76,Surface,78.04019138
1980,7,77,Surface,NA
1980,7,78,Surface,52.30550867
1980,8,85,Surface,950.2241088
1980,8,86,Surface,NA
1981,6,67,Surface,4761.810661
1981,7,72,Surface,3207.744166
1981,7,73,Surface,NA
1981,7,74,Surface,6476.079983
1981,7,75,Surface,191.180105
1981,7,76,Surface,352.7733909
1981,7,77,Surface,NA
1981,7,78,Surface,NA
1981,8,85,Surface,800.433447
1981,8,86,Surface,21.02532307
1982,6,67,Surface,4238.086469
1982,7,72,Surface,4823.055961
1982,7,73,Surface,NA
1982,7,74,Surface,5432.458573
1982,7,75,Surface,613.0579706
1982,7,76,Surface,512.3106454
1982,7,77,Surface,NA
1982,7,78,Surface,47.5454091
1982,8,85,Surface,572.8888436
1982,8,86,Surface,NA
1983,6,67,Surface,6238.009752
1983,7,72,Surface,7870.128534
1983,7,73,Surface,NA
1983,7,74,Surface,2865.356638
1983,7,75,Surface,158.7965999
1983,7,76,Surface,247.5092395
1983,7,77,Surface,NA
1983,7,78,Surface,NA
1983,8,85,Surface,783.3105528
1983,8,86,Surface,51.01688777
1984,6,67,Surface,5178.465576
1984,7,72,Surface,3716.733216
1984,7,73,Surface,NA
1984,7,74,Surface,2395.430808
1984,7,75,Surface,145.0303451
1984,7,76,Surface,7.811823794
1984,7,77,Surface,1392.525409
1984,7,78,Surface,NA
1984,8,85,Surface,951.6379988
1984,8,86,Surface,NA
1985,6,67,Surface,3438.522818
1985,7,72,Surface,2101.802674
1985,7,73,Surface,NA
1985,7,74,Surface,1200.533813
1985,7,75,Surface,NA
1985,7,76,Surface,31.56214189
1985,7,77,Surface,1000.359549
1985,7,78,Surface,NA
1985,8,85,Surface,709.8182319
1985,8,86,Surface,NA
1986,6,67,Surface,2302.880589
1986,7,72,Surface,3309.083232
1986,7,73,Surface,NA
1986,7,74,Surface,5819.885587
1986,7,75,Surface,141.8261616
1986,7,76,Surface,723.2251833
1986,7,77,Surface,2982.573381
1986,7,78,Surface,3155.983282
1986,8,85,Surface,1660.60732
1986,8,86,Surface,NA
1987,6,67,Surface,4893.464469
1987,7,72,Surface,3699.744393
1987,7,73,Surface,NA
1987,7,74,Surface,2297.165992
1987,7,75,Surface,NA
1987,7,76,Surface,NA
1987,7,77,Surface,239.8738913
1987,7,78,Surface,NA
1987,8,85,Surface,1042.645804
1987,8,86,Surface,290.4124345
1988,6,67,Dive,5246.23214
1988,7,72,Dive,4116.768062
1988,7,73,Dive,NA
1988,7,74,Dive,15449.50184
1988,7,75,Dive,NA
1988,7,76,Dive,94.75486171
1988,7,77,Dive,2201.063781
1988,7,78,Dive,NA
1988,8,85,Dive,2037.753554
1988,8,86,Dive,NA
1989,6,67,Dive,6399.569041
1989,7,72,Dive,5248.590113
1989,7,73,Dive,NA
1989,7,74,Dive,3913.251829
1989,7,75,Dive,119.7164032
1989,7,76,Dive,520.6235299
1989,7,77,Dive,2076.808659
1989,7,78,Dive,3470.0352
1989,8,85,Dive,1231.169534
1989,8,86,Dive,218.4910564
1990,6,67,Dive,5694.672008
1990,7,72,Dive,4633.071572
1990,7,73,Dive,NA
1990,7,74,Dive,10490.77139
1990,7,75,Dive,NA
1990,7,76,Dive,770.886608
1990,7,77,Dive,4758.386547
1990,7,78,Dive,850.6736843
1990,8,85,Dive,1331.984394
1990,8,86,Dive,15.77643844
1991,6,67,Dive,4312.757663
1991,7,72,Dive,8485.270856
1991,7,73,Dive,NA
1991,7,74,Dive,1076.202268
1991,7,75,Dive,NA
1991,7,76,Dive,196.7570117
1991,7,77,Dive,1370.846766
1991,7,78,Dive,762.354295
1991,8,85,Dive,1923.888889
1991,8,86,Dive,300.4739372
1992,6,67,Dive,9222.578833
1992,7,72,Dive,16268.82885
1992,7,73,Dive,30.8420271
1992,7,74,Dive,12860.35465
1992,7,75,Dive,161.4019442
1992,7,76,Dive,655.8870076
1992,7,77,Dive,1812.068911
1992,7,78,Dive,NA
1992,8,85,Dive,819.0911752
1992,8,86,Dive,763.2502987
1993,6,67,Dive,5897.380611
1993,7,72,Dive,11175.39464
1993,7,73,Dive,NA
1993,7,74,Dive,8227.241281
1993,7,75,Dive,191.0015864
1993,7,76,Dive,970.2826025
1993,7,77,Dive,1398.669451
1993,7,78,Dive,2539.766794
1993,8,85,Dive,1059.315392
1993,8,86,Dive,258.1331024
1994,6,67,Dive,7731.588092
1994,7,72,Dive,3212.56732
1994,7,73,Dive,NA
1994,7,74,Dive,9305.655245
1994,7,75,Dive,NA
1994,7,76,Dive,1213.624919
1994,7,77,Dive,2968.866093
1994,7,78,Dive,2714.095368
1994,8,85,Dive,1306.973717
1994,8,86,Dive,336.3560612
1995,6,67,Dive,2923.452571
1995,7,72,Dive,12315.86092
1995,7,73,Dive,NA
1995,7,74,Dive,4549.944433
1995,7,75,Dive,NA
1995,7,76,Dive,808.4422208
1995,7,77,Dive,315.8050368
1995,7,78,Dive,143.0563057
1995,8,85,Dive,286.376355
1995,8,86,Dive,NA
1996,6,67,Dive,3372.704957
1996,7,72,Dive,9736.903576
1996,7,73,Dive,NA
1996,7,74,Dive,2658.681946
1996,7,75,Dive,NA
1996,7,76,Dive,397.2384133
1996,7,77,Dive,1900.708594
1996,7,78,Dive,778.3884163
1996,8,85,Dive,1499.67301
1996,8,86,Dive,NA
1997,6,67,Dive,3497.049384
1997,7,72,Dive,14356.78105
1997,7,73,Dive,NA
1997,7,74,Dive,3372.583547
1997,7,75,Dive,1191.4824
1997,7,76,Dive,856.7761353
1997,7,77,Dive,NA
1997,7,78,Dive,1322.769946
1997,8,85,Dive,1121.987651
1997,8,86,Dive,1560.556054
1998,6,67,Dive,7404.224917
1998,7,72,Dive,7762.067071
1998,7,73,Dive,247.5040197
1998,7,74,Dive,2494.118501
1998,7,75,Dive,207.3608514
1998,7,76,Dive,1001.831621
1998,7,77,Dive,1763.904527
1998,7,78,Dive,4758.817759
1998,8,85,Dive,535.8734962
1998,8,86,Dive,3560.02175
1999,6,67,Dive,8218.948537
1999,7,72,Dive,3735.489833
1999,7,73,Dive,NA
1999,7,74,Dive,2570.439823
1999,7,75,Dive,649.3905605
