N_ag1_age2_1951,N_ag1_age3_1951,N_ag1_age4_1951,N_ag1_age5_1951,N_ag1_age6_1951,N_ag1_age7_1951,N_ag1_age8_1951,N_ag1_age9_1951,N_ag1_age10_1951
255.826,497.41,490.938,99.248,18.2814,14.1679,10.6499,7.78477,11.5806
225.864,428.099,521.136,100.512,17.8152,0.98709,5.89086,1.85533,32.4398
248.168,537.439,577.519,154.419,8.09742,1.27462,14.777,12.0304,47.8002
290.174,482.636,639.681,124.323,3.41865,21.4605,0.89865,11.798,3.35896
476.75,577.482,607.489,106.767,5.11306,3.47181,4.22698,44.6721,0.812314
315.083,484.299,675.66,121.155,8.19036,14.2791,37.0347,20.7194,1.61468
232.963,452.631,529.517,122.095,40.8354,1.59439,1.13335,3.45736,6.01756
161.226,342.126,423.626,67.0629,0.381218,27.3025,5.08622,6.12435,34.6911
287.008,513.668,594.131,82.5976,3.33031,13.5389,10.9815,0.628497,19.7304
222.278,322.444,555.23,76.0065,2.89958,18.5681,3.49083,7.75816,3.00662
548.258,667.436,754.388,135.03,44.8333,21.2613,1.21849,15.1429,15.0897
369.32,650.101,805.015,132.765,5.6267,96.1555,3.68558,2.77225,14.0196
219.24,433.944,647.397,132.645,2.68075,10.2914,51.1378,11.3244,3.36305
299.687,394.631,762.126,64.0499,21.5706,31.8364,33.8521,6.25027,14.44
340.068,869.807,633.378,88.7379,10.5148,4.64879,91.6551,2.27836,5.15414
325.255,857.178,598.589,149.745,13.8812,8.74944,41.3165,6.61822,9.05368
251.139,523.403,656.894,74.6652,5.28284,32.1344,16.3598,8.38105,32.0154
329.186,651.14,443.392,102.562,12.3343,47.1653,0.830506,2.03716,22.2865
359.613,616.643,833.52,97.9198,7.40589,1.34231,0.685423,1.24435,64.7625
374.65,757.883,653.579,84.2906,51.3139,12.8532,0.665317,0.449819,6.26154
445.61,725.525,702.133,110.987,43.7056,13.4833,16.2538,3.25624,9.75201
300.426,624.706,602.107,163.531,28.7758,17.3112,8.0681,0.796729,5.28856
170.445,341.661,464.967,96.3822,1.11256,43.3536,24.128,1.45314,1.96938
237.352,485.145,426.214,88.7427,31.2427,11.0215,4.97532,7.76156,15.0508
