m_age2_1951,m_age2_1952,m_age2_1953,m_age2_1954,m_age2_1955,m_age2_1956,m_age2_1957,m_age2_1958,m_age2_1959,m_age2_1960,m_age2_1961,m_age2_1962,m_age2_1963,m_age2_1964,m_age2_1965,m_age2_1966,m_age2_1967,m_age2_1968,m_age2_1969,m_age2_1970,m_age2_1971,m_age2_1972,m_age2_1973,m_age2_1974,m_age2_1975,m_age2_1976,m_age2_1977,m_age2_1978,m_age2_1979,m_age2_1980,m_age2_1981,m_age2_1982,m_age2_1983,m_age2_1984,m_age2_1985,m_age2_1986,m_age2_1987,m_age2_1988,m_age2_1989,m_age2_1990,m_age2_1991,m_age2_1992,m_age2_1993,m_age2_1994,m_age2_1995,m_age2_1996,m_age2_1997,m_age2_1998,m_age2_1999,m_age2_2000,m_age2_2001,m_age2_2002,m_age2_2003,m_age2_2004,m_age2_2005,m_age2_2006,m_age2_2007,m_age2_2008,m_age2_2009,m_age2_2010,m_age2_2011,m_age2_2012,m_age2_2013,m_age2_2014,m_age2_2015,m_age2_2016,m_age2_2017,m_age2_2018,m_age2_2019,m_age2_2020
0.446959,0.390253,0.339967,0.29502,0.255769,0.223161,0.198289,0.182372,0.177092,0.18418,0.205968,0.246062,0.308761,0.395947,0.499835,0.598681,0.664117,0.67492,0.629903,0.548451,0.458608,0.381854,0.325923,0.290875,0.274339,0.273827,0.28701,0.31103,0.343061,0.380005,0.418072,0.452854,0.479866,0.495388,0.497247,0.485301,0.46147,0.429264,0.392989,0.356945,0.324504,0.297635,0.277325,0.264052,0.25816,0.260164,0.270909,0.291484,0.323197,0.367348,0.424611,0.493857,0.570659,0.647789,0.71648,0.768135,0.796532,0.79963,0.780136,0.743798,0.697241,0.646866,0.598169,0.555528,0.522355,0.500907,0.491881,0.494956,0.508964,0.531551
0.334218,0.338333,0.337915,0.326541,0.302753,0.270053,0.234989,0.204524,0.184306,0.177026,0.184018,0.20731,0.249982,0.314268,0.395864,0.479663,0.543701,0.56836,0.547583,0.492586,0.424885,0.363629,0.317421,0.288043,0.274564,0.275414,0.28876,0.312031,0.342591,0.37756,0.413478,0.446382,0.472269,0.487801,0.49095,0.481409,0.46067,0.431669,0.398157,0.364021,0.332472,0.305585,0.284582,0.270201,0.263046,0.263916,0.273965,0.294514,0.327041,0.372909,0.432563,0.503965,0.58071,0.653331,0.711866,0.748691,0.761144,0.752635,0.731662,0.706706,0.682485,0.660194,0.638029,0.6117,0.575162,0.523817,0.458714,0.385696,0.312749,0.247079
0.506249,0.429594,0.364184,0.308587,0.262466,0.225883,0.199023,0.182331,0.176895,0.184098,0.206098,0.246384,0.309099,0.395892,0.498729,0.595841,0.659249,0.668469,0.622974,0.542304,0.454153,0.379539,0.325958,0.293509,0.280084,0.283638,0.30241,0.334112,0.37628,0.425714,0.477731,0.52599,0.563092,0.581971,0.578241,0.551967,0.507663,0.452799,0.395609,0.343199,0.299962,0.267307,0.245078,0.232605,0.229278,0.234795,0.24926,0.273325,0.308078,0.354775,0.414358,0.486647,0.569271,0.657364,0.74362,0.818832,0.873255,0.89858,0.89003,0.848851,0.782876,0.704001,0.624862,0.556369,0.507057,0.482493,0.485092,0.516888,0.580399,0.676883
0.533927,0.40353,0.308543,0.243548,0.2016,0.176959,0.165802,0.166165,0.177689,0.201427,0.239554,0.294671,0.368182,0.457141,0.549778,0.625687,0.664274,0.65464,0.601485,0.522367,0.438801,0.366722,0.312142,0.275296,0.254381,0.247474,0.253146,0.270418,0.298913,0.338358,0.387676,0.44383,0.50058,0.547879,0.574905,0.574715,0.547046,0.498429,0.439551,0.381548,0.33215,0.294362,0.268485,0.253743,0.249153,0.25381,0.26699,0.288495,0.318502,0.35732,0.405115,0.46157,0.52551,0.594616,0.665218,0.732236,0.78944,0.830075,0.847922,0.839574,0.806231,0.753377,0.689282,0.623044,0.562982,0.514753,0.480101,0.458375,0.447519,0.444296
0.539311,0.485313,0.434424,0.384446,0.33648,0.293298,0.258087,0.233913,0.223985,0.23094,0.257961,0.31004,0.393106,0.508897,0.642927,0.758427,0.812263,0.781037,0.678193,0.54401,0.419408,0.326169,0.265764,0.23257,0.221129,0.22808,0.251463,0.288839,0.337182,0.3921,0.447315,0.495383,0.529505,0.545628,0.542943,0.523449,0.491337,0.451937,0.410645,0.372152,0.339682,0.314727,0.297736,0.288667,0.28733,0.293523,0.307107,0.32819,0.357039,0.393908,0.4388,0.49114,0.549395,0.610991,0.672265,0.728526,0.774372,0.80429,0.813559,0.800455,0.7678,0.722222,0.672524,0.628085,0.598135,0.590506,0.610363,0.662217,0.750566,0.878005
0.593149,0.49125,0.405865,0.333946,0.274499,0.227206,0.191797,0.168043,0.156107,0.15623,0.169355,0.197828,0.245145,0.313912,0.400514,0.490964,0.564071,0.599786,0.590018,0.54333,0.479743,0.418829,0.370555,0.337855,0.320268,0.315946,0.322114,0.334854,0.350465,0.3658,0.378355,0.386578,0.390172,0.390172,0.387922,0.384315,0.379745,0.374117,0.366878,0.357092,0.344088,0.328254,0.310901,0.293989,0.279878,0.271251,0.27091,0.281042,0.303645,0.34079,0.394211,0.463874,0.545642,0.631498,0.710794,0.772349,0.807618,0.813545,0.793559,0.754567,0.703567,0.646556,0.588082,0.531222,0.477781,0.428649,0.384153,0.34424,0.308613,0.276834
0.446656,0.389033,0.338944,0.296065,0.260524,0.232644,0.212912,0.202184,0.202066,0.214523,0.2421,0.288149,0.355762,0.44432,0.542874,0.6282,0.67429,0.665535,0.60613,0.517363,0.425487,0.348912,0.293322,0.257757,0.2394,0.235654,0.244467,0.263884,0.292359,0.328321,0.36951,0.412546,0.452806,0.484788,0.503394,0.505441,0.490577,0.461389,0.422644,0.380036,0.338601,0.30172,0.271348,0.248502,0.233774,0.227841,0.231764,0.246904,0.275178,0.319063,0.381005,0.461784,0.557757,0.660333,0.756827,0.832796,0.876142,0.88121,0.850742,0.793991,0.723073,0.649976,0.584672,0.534721,0.506265,0.504591,0.534309,0.601634,0.71511,0.883368
0.32361,0.279335,0.242231,0.212907,0.191268,0.177011,0.170005,0.170609,0.179983,0.200008,0.23328,0.282935,0.351534,0.438273,0.534164,0.620838,0.677233,0.688769,0.654855,0.589046,0.512055,0.441682,0.386371,0.348244,0.326616,0.320011,0.326866,0.345501,0.374461,0.412043,0.455462,0.500072,0.538861,0.562848,0.564557,0.541666,0.497932,0.4417,0.38292,0.330352,0.289181,0.260688,0.244384,0.239369,0.244882,0.260252,0.284709,0.317758,0.358931,0.40747,0.462086,0.520809,0.580964,0.639088,0.691056,0.732459,0.759137,0.767804,0.756667,0.726768,0.682548,0.630721,0.578818,0.534066,0.503083,0.491141,0.501339,0.536142,0.597793,0.686865
0.461874,0.427155,0.394906,0.365177,0.338621,0.316278,0.29947,0.289868,0.289645,0.300745,0.324726,0.362745,0.414664,0.476985,0.539869,0.588333,0.608839,0.594986,0.550553,0.487671,0.421519,0.364001,0.320037,0.290231,0.273393,0.267798,0.271453,0.28196,0.297224,0.315486,0.33517,0.354911,0.373697,0.391008,0.406337,0.418762,0.426909,0.429004,0.423038,0.407107,0.380801,0.346523,0.308632,0.272082,0.241344,0.220099,0.211264,0.216699,0.238731,0.281031,0.348148,0.442479,0.557823,0.677617,0.778441,0.838608,0.848776,0.816967,0.764424,0.71138,0.668889,0.640842,0.626267,0.62038,0.614544,0.598868,0.567817,0.521328,0.464169,0.40388
0.294881,0.309894,0.32464,0.337514,0.347706,0.355422,0.362008,0.370012,0.383131,0.404707,0.436912,0.48046,0.533626,0.590468,0.638912,0.664207,0.65682,0.616623,0.552915,0.480268,0.413139,0.361137,0.326954,0.30994,0.308491,0.320653,0.343382,0.371367,0.398713,0.420164,0.432181,0.434021,0.428138,0.419603,0.413031,0.410853,0.41356,0.419813,0.426259,0.42736,0.417603,0.395104,0.362047,0.323632,0.28622,0.255761,0.23666,0.230856,0.239616,0.264812,0.30914,0.37495,0.461318,0.562913,0.669431,0.766341,0.83836,0.874558,0.872412,0.837092,0.778121,0.706615,0.632927,0.565284,0.509515,0.468733,0.443182,0.43159,0.431797,0.440587
