ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
388.234,0.826862,0.446959,267.277,260.387,0.219498,1.30951, 32.8363, 51.4735,0.330579,0.998923,37.6685,2.85093,0.415081,3.21449,0.388163,5.09228,0.479828,2.055,0.05,2.055,0.05,-935.491
340.145,0.844465,0.334218,254.574,94.8621,0.2006,1.17216, 46.6432, 49.2091,0.328716,0.983753,46.8056,2.79824,0.403239,3.17425,0.380052,5.17641,0.497561,2.055,0.05,2.055,0.05,-835.508
426.095,0.856859,0.506249,281.138,329.279,0.254071,1.2651, 30.936, 52.1306,0.309223,1.0054,38.6718,3.03032,0.518985,3.29075,0.396692,5.18654,0.500328,2.055,0.05,2.055,0.05,-850.49
466.908,0.771313,0.533927,279.467,234.641,0.24388,1.08248, 45.3416, 60.511,0.309156,0.988662,42.1813,2.77213,0.399999,3.23735,0.399297,5.05267,0.459478,2.055,0.05,2.055,0.05,-827.964
435.596,0.878371,0.539311,305.91,241.33,0.186566,1.06249, 19.5511, 47.9663,0.272045,0.993368,46.8999,2.74867,0.395285,3.20876,0.382718,5.09616,0.481746,2.055,0.05,2.055,0.05,-837.008
327.832,0.755137,0.593149,235.558,516.531,0.1968,1.1614, 53.3274, 47.8649,0.35985,1.0022,54.7696,2.93152,0.448907,3.21885,0.387121,4.94438,0.444235,2.055,0.05,2.055,0.05,-835.179
397.076,0.917132,0.446656,271.389,140.491,0.199634,1.14741, 20.7845, 50.5581,0.331078,0.986469,43.3393,2.94768,0.466076,3.1543,0.369996,5.26492,0.514639,2.055,0.05,2.055,0.05,-845.695
345.86,0.86203,0.32361,284.364,87.556,0.207928,1.32647, 23.9015, 44.1502,0.300327,1.0022,25.7865,2.78226,0.404434,3.18767,0.381195,5.01176,0.472601,2.055,0.05,2.055,0.05,-839.736
383.407,0.841192,0.461874,262.293,177.255,0.242573,1.19164, 31.7744, 50.0864,0.348762,0.984442,35.5956,2.95822,0.434932,3.17522,0.375727,5.08932,0.477254,2.055,0.05,2.055,0.05,-826.218
475.04,0.668749,0.294881,276.86,70.6634,0.250152,1.18367, 51.0817, 57.7885,0.331314,1.00151,48.3521,2.85011,0.410648,3.22769,0.393171,5.16546,0.502499,2.055,0.05,2.055,0.05,-819.727
478.231,0.73424,0.639495,305.95,731.879,0.230222,1.063, 29.1897, 52.974,0.288456,0.987306,31.7301,2.73485,0.354095,3.20868,0.379591,5.15682,0.490546,2.055,0.05,2.055,0.05,-831.532
355.989,0.860213,0.721582,271.315,923.406,0.256466,1.13617, 53.5659, 44.5585,0.313427,1.00153,48.2612,2.65312,0.371723,3.21943,0.38194,5.10098,0.49217,2.055,0.05,2.055,0.05,-837.503
426.96,0.764017,0.486807,261.483,273.447,0.215216,1.18462, 47.1412, 55.9655,0.316634,1.00868,37.6745,2.65476,0.352916,3.17851,0.373559,5.12837,0.492423,2.055,0.05,2.055,0.05,-835.9
381.48,0.896772,0.473792,308.892,374.044,0.201755,1.14211, 38.6941, 41.5013,0.28146,1.00276,44.795,2.75889,0.386848,3.23821,0.378455,5.12967,0.476876,2.055,0.05,2.055,0.05,-842.748
433.861,0.892927,0.759937,295.796,1006.2,0.272701,1.19027, 29.0276, 52.1906,0.294542,1.013,47.8821,2.89262,0.432697,3.21645,0.391054,5.0022,0.470914,2.055,0.05,2.055,0.05,-831.629
392.772,0.86226,0.698656,270.002,997.819,0.242873,1.27821, 32.1395, 50.6662,0.329278,0.989899,39.3886,2.89095,0.518586,3.19091,0.373399,5.16534,0.496841,2.055,0.05,2.055,0.05,-843.708
396.327,0.707331,0.495692,264.425,378.167,0.234134,1.31894, 22.4001, 52.0449,0.333703,0.985313,30.0298,2.78565,0.427854,3.08274,0.346378,4.98708,0.454709,2.055,0.05,2.055,0.05,-843.895
426.223,0.73552,0.471777,274.825,221.731,0.170708,0.873891, 36.9265, 51.9844,0.31695,0.99901,52.5285,2.73748,0.378235,3.18595,0.377046,5.165,0.493394,2.055,0.05,2.055,0.05,-830.778
402.281,0.805787,0.819772,264.33,749.537,0.232451,1.03929, 17.4097, 51.7394,0.333572,0.997417,21.7967,2.9247,0.461283,3.20251,0.392369,5.06345,0.481578,2.055,0.05,2.055,0.05,-818.115
378.077,0.830377,0.834814,270.946,874.388,0.246804,1.25974, 12.8018, 47.6699,0.329942,0.984021,16.8912,2.92914,0.441894,3.23344,0.4077,5.05508,0.484112,2.055,0.05,2.055,0.05,-815.67
489.706,0.863622,0.820257,289.107,1685.19,0.215935,1.13842, 28.302, 57.8813,0.331337,0.992469,32.3063,2.87811,0.4395,3.27088,0.414617,5.06093,0.480034,2.055,0.05,2.055,0.05,-841.812
413.437,0.881936,0.585069,265.866,400.058,0.226385,1.33796, 35.2976, 53.0951,0.342596,0.993438,37.6683,2.75989,0.418675,3.297,0.413607,5.10965,0.470805,2.055,0.05,2.055,0.05,-844.622
425.513,0.891204,0.261623,248.584,59.0468,0.159293,1.01402, 71.8059, 60.6835,0.34997,0.989193,59.8956,2.97265,0.458809,3.20438,0.389423,5.02022,0.475541,2.055,0.05,2.055,0.05,-825.583
443.809,0.766935,0.366649,261.094,167.426,0.266341,1.35745, 65.6758, 63.7266,0.328262,0.995447,61.6575,2.91138,0.41289,3.2737,0.404038,5.19588,0.497607,2.055,0.05,2.055,0.05,-839.184
425.803,0.70896,0.206915,265.742,42.3598,0.24284,1.04485, 29.7833, 57.635,0.339286,0.984306,41.5787,2.92651,0.432726,3.23763,0.39304,5.16489,0.472058,2.055,0.05,2.055,0.05,-816.102
428.419,0.850173,0.245586,258.542,71.8559,0.252041,0.997918, 22.3752, 59.8606,0.332304,1.00497,32.2595,2.79127,0.406431,3.19711,0.37502,5.10214,0.481846,2.055,0.05,2.055,0.05,-847.363
332.645,0.693221,0.25126,241.339,71.1436,0.212015,1.26439, 17.1023, 50.929,0.372896,0.989262,20.301,2.96877,0.486938,3.22951,0.392799,5.14459,0.486195,2.055,0.05,2.055,0.05,-824.153
312.558,0.886793,0.26307,260.311,26.5933,0.198287,1.34018, 49.4055, 44.6493,0.330122,0.991798,54.5555,2.67383,0.359539,3.21388,0.404559,5.0962,0.496958,2.055,0.05,2.055,0.05,-835.228
