rdev1_1953,rdev1_1954,rdev1_1955,rdev1_1956,rdev1_1957,rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017,rdev1_2018,rdev1_2019,rdev1_2020
1.38258,-0.349591,-0.1978,0.308247,0.364252,0.729642,-0.574024,0.418858,0.872106,0.651913,0.594262,0.0599342,-0.630573,1.74138,-0.625026,-0.520416,0.325754,0.191982,0.0932681,0.229658,0.0310603,0.119647,-0.56583,-0.764429,-0.484042,-0.668379,1.5546,0.406294,0.354602,-0.466268,-0.608811,0.428155,-0.283274,0.0664447,1.30733,-0.786049,-1.30312,-0.328792,0.88447,-0.690383,-0.490979,-1.76126,-0.764513,0.518832,0.517939,-0.750953,-0.190649,-0.972796,-0.17255,0.643474,-0.330408,0.505861,-0.560376,-0.0819499,-0.861938,0.709538,-0.358551,0.394512,-0.731485,0.401651,-0.365055,0.754063,-0.584668,-0.433604,-0.212248,1.09266,0.851395,0.0175387
1.50813,-0.623186,0.0926128,0.830249,0.0386747,0.71347,-0.486197,0.356811,0.752494,0.891455,0.242454,-0.392192,-0.0633163,1.59043,-0.374503,-0.452932,0.261109,0.0916067,0.0208311,0.352416,-0.0281931,0.222262,-0.603134,-0.665239,-0.463455,-0.601125,1.47838,0.428498,0.394611,-0.540219,-0.596516,0.421111,-0.334937,0.0134897,1.45925,-0.881241,-1.38983,-0.287268,1.0134,-0.6086,-0.405374,-1.78592,-0.69901,0.616104,0.627967,-0.597845,-0.185988,-1.29232,-0.102948,0.606587,-0.498117,0.5494,-0.590025,-0.169582,-0.895784,0.678615,-0.354906,0.405232,-0.648775,0.579654,-0.280433,0.940504,-0.378379,-0.413582,-0.190393,1.04785,-0.285454,0.247614
1.31301,-0.549163,-0.359773,0.184387,0.295505,0.726642,-0.630315,0.370633,0.949668,0.537724,0.481766,-0.0279006,-0.915926,1.78631,-1.41647,-0.306034,0.300055,0.173633,0.0613883,0.243191,0.0601774,0.0783665,-0.453684,-0.528018,-0.228486,-0.341072,1.75713,0.679464,0.624012,-0.167149,-0.508274,0.552653,-0.18106,0.0770077,1.27447,-0.90446,-1.32217,-0.348992,0.759921,-0.836397,-0.600599,-2.08845,-0.969902,0.453745,0.404993,-0.866638,-0.124479,-1.10981,-0.171518,0.650419,-0.301393,0.650793,-0.35461,0.137937,-0.381996,0.842455,-0.369863,0.511813,-0.619165,0.248585,-0.485599,0.746859,-0.525828,-0.461932,-0.297545,1.09528,1.34319,-0.318825
1.18405,-0.596473,-0.291258,0.0918963,0.302631,0.601925,-0.709172,0.380915,0.742058,0.673489,0.802571,0.308176,0.121104,1.52961,-0.306663,-1.0987,0.174613,0.105335,-0.119392,0.152418,0.0103384,0.108224,-0.614657,-0.986387,-0.55152,-0.756837,1.66686,0.452946,0.459647,-0.183761,-0.283682,0.737442,0.193923,0.389384,1.46064,-0.677007,-1.45367,-0.445502,0.898827,-0.740084,-0.69061,-1.84917,-0.805107,0.427076,0.37445,-1.03109,-0.219287,-1.11204,-0.346057,0.631288,-0.542709,0.602938,-0.321293,0.0602733,-0.385224,1.02914,-0.0868545,0.647627,-0.571119,0.457069,-0.401576,0.459797,-0.778971,-0.668602,-0.405557,1.12759,0.261446,1.20155
1.61234,-0.619423,-0.403139,0.242263,0.0762879,1.10092,-0.904713,0.552367,0.568626,0.87266,0.880693,0.118802,-0.547962,1.82866,-1.03331,-0.7617,-0.0190547,0.0523014,-0.059997,-0.121869,-0.209039,-0.0665682,-0.788539,-0.931428,-0.392869,-0.538832,1.7041,0.755954,0.587512,-0.23486,-0.279139,0.698574,-0.0597861,0.13998,1.27632,-0.776805,-1.29116,-0.395836,0.830013,-0.804432,-0.461539,-1.7352,-0.820461,0.505066,0.463117,-0.799896,-0.264158,-1.0596,-0.356051,0.495042,-0.501223,0.327663,-0.754372,0.0374385,-0.981921,0.70532,-0.324246,0.463809,-0.657454,0.395531,-0.384849,0.54731,-0.693939,-0.657285,-0.602058,0.764542,2.22671,0.744985
1.63313,-0.416725,-0.0612934,0.396588,0.496067,0.980545,-0.701878,0.193203,0.855717,0.529342,0.873606,-0.162559,-0.696246,1.75233,-1.01811,-0.748435,0.408187,0.369404,0.384313,0.421259,0.365128,0.302203,-0.347667,-0.615436,-0.663153,-0.961484,1.26284,0.0558695,0.0151265,-0.808787,-0.888684,0.104126,-0.594045,-0.0649671,1.30466,-0.82901,-1.15815,-0.184655,1.10044,-0.467451,-0.388571,-1.96362,-0.96013,0.53363,0.424246,-0.771982,-0.386645,-0.918029,-0.113615,0.796065,-0.158692,0.671076,-0.342769,0.224639,-0.813054,0.69892,-0.0865407,0.386467,-0.729382,0.399883,-0.38124,0.804182,-0.495668,-0.195305,-0.246856,1.43277,-0.680983,0.414524
1.41059,-0.465542,-0.0900609,0.414514,0.383173,0.925576,-0.345557,0.535369,0.998015,0.615288,0.755487,0.245344,-0.600201,1.71486,-0.611252,-0.410321,-0.0972149,0.0373187,-0.0453705,0.0676786,-0.0883552,-0.162765,-0.671566,-0.947818,-0.586926,-1.13521,1.35902,0.238499,0.289492,-0.561657,-0.666968,0.487105,-0.236334,0.101986,1.37196,-0.878351,-1.20206,-0.502614,0.859205,-0.816936,-0.670168,-1.99476,-0.817966,0.361411,0.490021,-0.696822,-0.23847,-0.877066,-0.137556,0.565013,-0.205688,0.652018,-0.357248,0.0524675,-0.631171,0.764819,-0.308168,0.378589,-0.735427,0.399119,-0.460929,0.844791,-0.621409,-0.183121,-0.322669,0.708688,2.21821,0.379135
1.18665,-0.484356,-0.446505,0.134854,0.22388,0.735504,-0.562864,0.441617,0.98873,0.683027,0.486296,0.284537,-0.680041,1.76188,-0.313754,0.0791026,0.304719,0.526654,0.241575,0.513715,0.208924,0.261723,-0.417563,-0.508937,-0.410356,-0.572955,1.74646,0.665987,0.606359,-0.175001,-0.645349,0.675911,-0.270651,0.0461942,1.20395,-0.96116,-1.57533,-0.474426,0.869207,-0.704299,-0.596097,-1.85587,-0.646371,0.646507,0.592835,-0.740768,-0.0413608,-0.718009,-0.161133,0.557976,-0.403828,0.241152,-0.712203,-0.52393,-1.086,0.556981,-0.416726,0.423235,-0.863128,0.242321,-0.576713,0.592664,-0.529344,-0.559688,-0.474169,0.815638,0.619251,0.462199
1.57983,-0.045551,-0.178039,0.492917,0.622701,1.12098,-0.331993,0.863807,1.17476,0.92808,0.879242,0.296928,-0.545384,1.39531,-0.184797,-0.785652,0.179608,0.0926126,-0.0134559,0.353042,-0.05621,-0.0889713,-0.605996,-0.980835,-0.896541,-1.21584,1.14014,-0.139387,-0.200329,-0.784564,-0.870211,0.404652,-0.361128,0.0627411,1.35006,-0.48899,-1.0865,-0.121244,0.99796,-0.704904,-0.452128,-1.96074,-0.934388,0.416324,0.281188,-0.992626,-0.401546,-1.114,0.0370648,0.850461,-0.079705,0.547281,-0.308657,-0.0892606,-0.732497,0.739537,-0.608817,0.591416,-0.540841,0.532941,-0.290992,1.00651,-0.72294,-0.392862,-0.554746,0.838169,0.699976,0.125219
1.53612,-0.506738,-0.2396,0.88919,0.581472,1.27124,0.0385724,0.91403,1.19903,0.959927,1.13434,0.0740989,-0.695621,1.607,-0.861815,-1.19,0.0362498,0.183415,0.0935512,0.340094,0.176227,0.205864,-0.620097,-0.559825,-0.413927,-0.655896,1.50656,0.125538,-0.0229282,-0.857685,-0.855344,0.199884,-0.281635,0.053768,1.43025,-0.496459,-0.972616,-0.100379,1.16295,-0.640304,-0.411989,-1.98631,-0.902057,0.240254,-0.0235866,-1.15389,-0.714009,-1.47216,-0.415846,0.516638,-0.298999,0.45469,-0.431708,-0.0169824,-0.861061,1.07968,-0.156222,0.433014,-0.561009,0.375384,-0.592307,0.611107,-0.740285,-0.693167,-0.492126,1.05383,0.90589,0.600229
