rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017,rt1_2018,rt1_2019,rt1_2020
1065.15,188.424,219.31,363.774,384.728,554.423,150.545,406.321,639.311,512.96,484.224,283.786,142.268,1524.86,143.059,158.836,370.198,323.846,293.405,336.28,275.709,301.248,151.784,124.444,164.719,136.99,1265.08,401.248,381.033,167.673,145.398,410.116,201.343,285.639,987.933,121.782,72.6142,192.384,647.264,134.008,163.581,45.9258,124.434,449.042,448.641,126.132,220.884,101.037,224.918,508.649,192.073,443.256,152.614,246.247,112.882,543.388,186.743,396.548,128.612,399.389,185.533,568.129,148.951,173.241,216.164,797.072,626.206,272.006
1150.23,136.511,279.278,583.966,264.613,519.602,156.553,363.727,540.28,620.825,324.423,171.984,238.955,1248.91,175.053,161.849,330.532,278.997,259.933,362.132,247.497,317.938,139.276,130.89,160.154,139.556,1116.52,390.759,377.739,148.32,140.201,387.883,182.118,258.032,1095.36,105.462,63.4191,191.01,701.338,138.517,169.732,42.6778,126.543,471.395,477.021,140.015,211.369,69.9144,229.67,466.931,154.698,440.977,141.114,214.865,103.94,501.803,178.518,381.773,133.062,454.523,192.32,652.035,174.376,168.344,210.44,725.919,191.357,326.101
1045.09,162.339,196.188,338.063,377.795,581.429,149.685,407.271,726.701,481.339,455.143,273.403,112.496,1677.67,68.1956,207.019,379.518,334.448,298.938,358.539,298.576,304.056,178.603,165.808,223.712,199.891,1629.42,554.636,524.717,237.864,169.114,488.578,234.578,303.644,1005.57,113.794,74.9392,198.315,601.104,121.808,154.2,34.8273,106.585,442.567,421.509,118.18,248.233,92.6695,236.827,538.758,207.983,538.959,197.204,322.72,191.876,652.82,194.218,469.027,151.363,360.478,172.992,593.303,166.171,177.135,208.784,840.613,1077.11,204.388
913.18,153.917,208.852,306.366,378.235,510.204,137.512,409.035,586.952,548.054,623.567,380.338,315.446,1290.13,205.66,93.1476,332.785,310.511,248.016,325.481,282.371,311.41,151.143,104.219,160.994,131.111,1479.92,439.585,442.541,232.554,210.44,584.249,339.274,412.513,1204.14,142.007,65.3149,178.999,686.572,133.326,140.089,43.9791,124.933,428.359,406.399,99.6634,224.438,91.9129,197.715,525.407,162.418,510.721,202.673,296.83,190.121,782.131,256.218,534.062,157.869,441.401,187.038,442.607,128.241,143.206,186.294,863.049,362.974,929.302
1533.99,164.658,204.415,389.769,330.161,919.855,123.789,531.476,540.188,732.125,738.03,344.5,176.855,1904.46,108.851,142.821,300.136,322.335,288.096,270.811,248.204,286.209,139.039,120.526,206.525,178.477,1681.42,651.479,550.487,241.878,231.401,615.15,288.157,351.873,1096.2,140.68,84.1103,205.913,701.559,136.846,192.819,53.952,134.67,506.922,486.097,137.469,234.894,106.027,214.271,501.866,185.317,424.518,143.871,317.58,114.591,619.313,221.195,486.434,158.513,454.329,208.188,528.796,152.834,158.54,167.542,657.098,2835.58,644.372
1206.02,155.28,221.553,350.214,386.845,627.976,116.755,285.762,554.282,399.934,564.287,200.216,117.415,1358.7,85.1014,111.444,354.3,340.822,345.942,358.962,339.368,318.671,166.383,127.297,121.365,90.0597,832.8,249.093,239.148,104.917,96.8606,261.408,130.049,220.741,868.372,102.817,73.9812,195.841,707.966,147.6,159.714,33.0604,90.1817,401.652,360.036,108.85,160.022,94.0595,210.259,522.185,200.992,460.831,167.199,294.888,104.47,473.844,216.03,346.687,113.588,351.37,160.889,526.441,143.493,193.766,184.03,987.059,119.22,356.552
1112.26,170.377,248.016,410.784,398.109,684.801,192.096,463.553,736.249,502.121,577.691,346.851,148.911,1507.8,147.275,180.05,246.248,281.708,259.351,290.392,248.439,230.624,138.655,105.186,150.901,87.2123,1056.35,344.485,362.507,154.763,139.294,441.712,214.266,300.527,1070.1,112.753,81.5722,164.176,640.826,119.895,138.849,36.9216,119.772,389.539,443.002,135.197,213.809,112.898,236.512,477.501,220.934,520.907,189.863,286.008,144.37,583.108,199.414,396.288,130.077,404.508,171.164,631.655,145.787,225.977,196.544,551.279,2494.31,396.505
931.602,175.195,181.953,325.418,355.717,593.335,161.967,442.249,764.32,563.002,462.456,377.962,144.058,1655.97,207.785,307.772,385.667,481.502,362.068,475.311,350.437,369.436,187.296,170.941,188.651,160.341,1630.62,553.49,521.45,238.711,149.143,559.01,216.937,297.808,947.855,108.755,58.8459,176.943,678.214,140.605,156.673,44.4507,148.991,542.812,514.446,135.57,272.843,138.691,242.045,496.822,189.887,361.914,139.498,168.397,95.9913,496.328,187.453,434.194,119.956,362.338,159.739,514.358,167.488,162.482,176.989,642.838,528.217,451.446
1273.2,250.614,219.516,429.396,488.903,804.682,188.193,622.205,849.14,663.51,631.884,352.973,152.03,1058.68,218.037,119.559,313.899,287.745,258.788,373.346,247.956,239.965,143.089,98.3594,107.01,77.7599,820.247,228.167,214.677,119.689,109.865,393.12,182.789,279.277,1011.84,160.85,88.4967,232.344,711.534,129.614,166.89,36.9187,103.036,397.735,347.461,97.2065,175.549,86.0957,272.198,613.956,242.199,453.386,192.637,239.895,126.086,549.495,142.686,473.844,152.722,446.931,196.07,717.642,127.297,177.08,150.613,606.456,528.181,297.282
1286.44,166.797,217.873,673.645,495.212,987.082,287.748,690.588,918.314,723.022,860.794,298.155,138.088,1380.93,116.944,84.2267,287.081,332.596,304.011,389.011,330.214,340.147,148.921,158.173,183.018,143.684,1248.97,313.893,270.585,117.428,117.704,338.119,208.905,292.154,1157.2,168.52,104.679,250.419,885.773,145.942,183.373,37.9853,112.332,352.048,270.406,87.3235,135.572,63.5197,182.667,464.124,205.308,436.244,179.793,272.198,117.033,815.006,236.818,426.89,157.986,402.984,153.117,510.107,132.056,138.427,169.252,794.21,684.989,504.588
