sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018,sbt1_2019,sbt1_2020,sbt1_2021
44.8149,21.1962,31.0565,32.5517,36.3197,14.3083,10.8816,19.2527,19.8126,23.7551,22.6324,38.0709,25.1923,13.7968,10.4634,6.29264,8.66676,8.23774,10.763,17.5833,21.3175,24.2198,31.8553,32.7803,36.2163,29.395,26.2207,18.2225,32.1472,62.8632,65.5167,61.2896,45.8514,31.7879,32.7191,30.3353,34.8341,49.7118,37.8408,28.854,28.5387,40.7075,35.6791,28.368,19.9392,23.6075,34.0694,36.8797,32.736,28.9325,21.4547,19.8781,23.0018,17.6674,13.4451,7.99074,6.9742,6.9377,9.98429,10.6012,10.2625,9.62349,14.8353,14.9476,20.0401,20.374,19.9651,21.2575,33.8954,37.6685,33.249
50.6755,22.3681,30.5452,34.2823,35.1871,14.5163,14.4831,18.9174,18.1461,21.9689,20.6689,37.2899,31.2962,14.8954,9.59448,5.58724,8.08951,9.43393,12.7707,19.5543,22.4439,25.3631,33.7568,34.1973,37.2456,29.6161,26.1384,17.5415,30.3132,57.3169,60.6742,57.4692,42.7044,29.8764,30.624,28.3065,33.4756,51.137,38.6696,29.2448,29.1505,42.169,36.5197,29.9335,21.1769,24.8939,35.8639,38.3798,33.7123,29.2264,20.4259,18.6709,20.7388,15.478,12.2798,7.4242,6.62868,6.84211,10.2114,11.0612,10.6895,10.0345,15.3695,14.9808,19.9261,20.1213,20.3043,23.5808,38.8322,46.8056,54.9687
54.2872,26.2521,33.4509,34.5237,35.8872,16.5593,12.2036,20.5942,20.0833,24.0868,24.2626,41.5383,26.092,12.3698,8.43142,6.81485,9.25589,7.98881,11.4684,18.6321,22.5862,25.1644,34.3562,35.7179,39.5797,32.816,31.077,23.8539,41.0496,76.0795,76.4398,68.6168,48.7486,32.2331,31.5404,28.3549,32.0529,45.7353,34.5481,26.9833,27.0141,39.3888,34.5083,26.928,18.154,21.877,33.2801,36.1842,32.5924,29.7126,22.7151,21.2671,24.8424,19.4084,15.2074,9.35241,8.06632,7.71143,9.82385,9.70991,9.26734,8.49395,12.6747,13.4441,19.8526,21.0972,20.8506,21.4895,35.7236,38.6718,28.3981
48.4643,23.17,30.7283,30.3371,34.1448,15.9656,12.2304,19.6658,20.6274,24.1045,24.7989,37.5377,27.565,16.1686,14.9055,6.20659,7.14264,7.50871,9.27336,16.184,20.4162,23.3069,31.1349,33.6827,37.9735,30.2271,26.1234,18.9614,36.273,77.4403,83.0304,79.085,59.7896,41.6214,41.7236,37.7514,40.553,53.587,38.8596,28.8899,27.6945,40.4476,35.2713,27.3411,19.7229,23.2278,33.2327,34.5392,30.3471,26.6865,19.6,18.8061,23.8757,19.6019,17.0579,11.292,9.78063,9.74981,13.0674,12.6407,11.0935,9.42343,13.3863,12.1829,14.8661,15.135,15.4593,18.8263,34.0505,42.1813,53.8526
52.0323,28.1289,40.9246,43.6738,44.7243,17.9795,13.6648,21.6381,31.6854,34.0407,33.794,43.7582,31.9414,19.5118,14.111,8.68017,10.5184,7.87856,8.98594,14.551,19.4749,24.0179,31.1239,33.5779,38.8076,32.6619,30.1114,24.9176,43.5247,84.366,88.7543,81.9486,60.2866,42.4161,44.2778,40.2404,42.8688,56.4793,42.3368,32.097,31.5495,43.4492,37.5287,29.2968,20.5609,24.4474,34.8929,37.5765,32.8609,28.1632,20.8423,19.1698,22.656,18.1132,14.3794,9.13506,8.60137,8.15645,11.1306,11.4473,10.6873,9.60318,14.2685,13.4501,16.5169,15.7345,13.9426,12.9858,33.6327,46.8999,31.919
51.7131,23.4939,30.7824,31.3235,33.9703,12.2551,10.1595,19.4428,21.8587,24.5305,21.0074,35.6327,22.0243,13.7846,11.26,6.3107,8.88479,7.90231,10.0728,17.152,21.4245,25.5174,32.0494,33.8361,36.696,28.8588,24.0778,13.7341,22.4002,42.3526,44.5926,42.6179,33.2307,23.7871,26.0281,25.6492,31.8644,48.8749,38.9968,30.1839,30.166,42.8727,37.1001,27.8398,18.0649,19.9777,28.7185,30.7112,27.0598,23.9514,17.9596,18.2464,23.145,18.3609,14.1243,8.66877,7.68801,6.86854,9.17133,9.91913,9.27481,8.59661,13.2583,13.7157,19.5162,21.6436,23.8397,28.6009,49.9251,54.7696,60.4763
45.7393,19.8685,30.7854,31.6464,34.1483,14.3031,13.2282,22.4621,23.6897,28.376,27.6314,44.4752,26.9482,15.7105,12.2845,6.1723,7.61213,7.72879,10.2568,15.0233,18.7589,21.5903,29.0584,30.016,32.4402,25.7975,23.662,16.118,28.5158,58.0988,63.1891,62.0293,47.3535,33.3626,34.5738,31.6623,35.5457,49.9886,36.5395,27.3412,26.1996,38.1046,32.8475,24.6516,17.943,21.5902,32.2652,37.7487,36.5264,34.1117,27.1232,24.3153,26.1157,20.1388,15.0067,8.77803,7.15678,6.79222,9.22938,9.62405,9.29552,8.99353,14.5784,15.3841,21.893,22.2742,21.3369,18.4027,34.3045,43.3393,27.3822
36.2214,15.3789,26.4076,32.2572,37.5739,14.3711,10.9155,19.4403,22.2681,26.438,25.4696,43.165,28.5569,15.5009,12.7154,7.13023,10.1672,10.9998,14.9275,21.1992,26.2673,29.2814,38.5533,38.9167,41.5445,33.5239,30.5628,20.7792,36.9632,74.2458,76.92,71.7148,52.2465,34.8039,35.3962,30.7203,33.5506,46.0228,34.5404,26.408,28.0145,44.4308,40.1837,32.8557,24.8029,29.6345,41.752,43.3317,37.4039,32.7406,24.261,21.1281,22.9768,17.0533,12.1441,6.8257,5.80197,6.17962,9.47011,10.7449,10.9073,10.0332,14.704,14.4701,19.4962,20.3626,19.3535,18.4839,25.4865,25.7865,23.0924
46.7761,22.1134,31.2815,34.147,36.8744,13.2625,10.8241,20.0073,24.6475,27.6325,29.6451,45.5831,30.9187,19.5181,15.6523,4.03745,3.99242,5.92789,9.19592,16.6392,20.7108,23.5951,32.2934,31.8087,32.5432,25.101,21.5468,12.8317,22.4453,45.4954,49.1778,47.7502,38.366,28.8783,34.0338,33.8384,39.3008,54.9413,41.8933,30.3107,29.8709,41.2555,34.6426,26.8283,18.1892,21.6513,32.1964,35.8468,32.7844,30.6324,24.2907,25.2502,30.2719,22.2484,15.0178,8.18655,6.56936,6.67191,9.78951,10.8347,11.6859,11.2002,16.4579,15.8168,20.2112,18.1279,16.2521,15.957,26.9537,35.5956,37.4846
42.7691,18.6955,31.6207,37.8827,38.335,17.2992,16.4932,24.0439,28.1181,29.3088,26.2329,37.5619,25.2567,14.8553,9.57715,4.99137,5.41097,5.37036,7.66011,15.1411,21.4037,26.7604,36.7062,38.0908,40.7312,31.2483,27.5568,18.9016,30.7094,56.396,55.7317,50.4116,38.1791,27.884,30.8206,32.173,40.1616,60.6019,47.3951,35.4527,34.2475,45.5844,36.1708,25.8548,17.1059,19.5509,27.1851,27.1954,23.2273,20.9868,16.1937,18.0117,24.8744,21.2473,16.9801,10.3345,8.18108,8.07099,11.7481,11.1832,9.8015,8.94393,13.3839,13.0802,17.8125,18.6008,18.6107,20.8309,37.8458,48.3521,50.2904
