TAC,B2021,B2022,B0,04B0,03B0,02B0,B1951,B2022B2021,B202204B0,B202202B0,B2022B1951,F2020,F2021,F2021F2020,U2021,U2021U2020,PropAge3,PropAge4to10,UT,U20
0,45.5242,38.8176,51.4735,20.5894,15.442,10.2947,44.8149,0.85268,1.88532,3.77064,0.866176,0,0,nan,0,nan,0.389336,0.570089,0,0
0,43.0342,40.3972,49.2091,19.6837,14.7627,9.84183,50.6755,0.938723,2.05232,4.10465,0.797175,0,0,nan,0,nan,0.169337,0.802391,0,0
0,34.1645,34.1227,52.1306,20.8523,15.6392,10.4261,54.2872,0.998778,1.6364,3.27281,0.62856,0,0,nan,0,nan,0.114351,0.775324,0,0
0,41.5754,40.2074,60.511,24.2044,18.1533,12.1022,48.4643,0.967096,1.66116,3.32232,0.829628,0,0,nan,0,nan,0.327755,0.628746,0,0
0,34.5152,29.1106,47.9663,19.1865,14.3899,9.59326,52.0323,0.843414,1.51724,3.03449,0.559472,0,0,nan,0,nan,0.0885325,0.803463,0,0
0,58.0862,56.0194,47.8649,19.1459,14.3595,9.57297,51.7131,0.964419,2.92592,5.85183,1.08327,0,0,nan,0,nan,0.260049,0.721294,0,0
0,34.8929,35.5308,50.5581,20.2232,15.1674,10.1116,45.7393,1.01828,1.75693,3.51386,0.776811,0,0,nan,0,nan,0.06576,0.785432,0,0
0,30.9775,28.2698,44.1502,17.6601,13.2451,8.83003,36.2214,0.912592,1.60078,3.20155,0.780473,0,0,nan,0,nan,0.417235,0.510425,0,0
0,34.847,30.1519,50.0864,20.0345,15.0259,10.0173,46.7761,0.865264,1.50499,3.00999,0.6446,0,0,nan,0,nan,0.259276,0.690611,0,0
0,42.38,36.8783,57.7885,23.1154,17.3366,11.5577,42.7691,0.87018,1.5954,3.1908,0.862265,0,0,nan,0,nan,0.154169,0.813398,0,0
0,22.7466,20.7187,52.974,21.1896,15.8922,10.5948,63.4003,0.910846,0.977775,1.95555,0.326792,0,0,nan,0,nan,0.141466,0.793136,0,0
0,47.0374,49.3208,44.5585,17.8234,13.3675,8.9117,57.0442,1.04854,2.76719,5.53439,0.864607,0,0,nan,0,nan,0.120081,0.820188,0,0
0,42.1689,46.6643,55.9655,22.3862,16.7896,11.1931,52.0573,1.10661,2.08451,4.16903,0.896403,0,0,nan,0,nan,0.244204,0.665958,0,0
0,47.9662,48.665,41.5013,16.6005,12.4504,8.30026,61.3888,1.01457,2.93154,5.86307,0.792734,0,0,nan,0,nan,0.242169,0.677417,0,0
0,44.918,38.5745,52.1906,20.8762,15.6572,10.4381,53.3647,0.858777,1.84777,3.69555,0.722847,0,0,nan,0,nan,0.243164,0.700365,0,0
0,33.4288,30.1463,50.6662,20.2665,15.1998,10.1332,57.6134,0.901804,1.48749,2.97499,0.52325,0,0,nan,0,nan,0.211336,0.716316,0,0
0,24.3906,19.0773,52.0449,20.818,15.6135,10.409,57.5278,0.782157,0.916387,1.83277,0.331619,0,0,nan,0,nan,0.175,0.795803,0,0
0,41.7548,37.3141,51.9844,20.7937,15.5953,10.3969,48.382,0.893647,1.79448,3.58897,0.771239,0,0,nan,0,nan,0.0408902,0.901261,0,0
0,19.3319,17.0432,51.7394,20.6958,15.5218,10.3479,47.8973,0.881609,0.823511,1.64702,0.355828,0,0,nan,0,nan,0.253866,0.657679,0,0
0,13.416,11.2934,47.6699,19.0679,14.301,9.53397,44.3021,0.841789,0.592272,1.18454,0.254918,0,0,nan,0,nan,0.208099,0.647499,0,0
0,26.3962,19.0461,57.8813,23.1525,17.3644,11.5763,49.6727,0.721547,0.822635,1.64527,0.383432,0,0,nan,0,nan,0.264206,0.719356,0,0
0,29.6243,26.0812,53.0951,21.238,15.9285,10.619,53.28,0.880397,1.22804,2.45608,0.489512,0,0,nan,0,nan,0.046206,0.904782,0,0
0,54.001,52.2438,60.6835,24.2734,18.2051,12.1367,39.336,0.96746,2.15231,4.30461,1.32814,0,0,nan,0,nan,0.103929,0.856915,0,0
0,58.1307,57.4474,63.7266,25.4907,19.118,12.7453,42.5305,0.988246,2.25367,4.50733,1.35073,0,0,nan,0,nan,0.154046,0.802247,0,0
0,36.2399,32.6437,57.635,23.054,17.2905,11.527,30.726,0.900766,1.41597,2.83193,1.06241,0,0,nan,0,nan,0.125767,0.79064,0,0
0,27.8516,22.4321,59.8606,23.9443,17.9582,11.9721,41.6402,0.805418,0.936848,1.8737,0.538714,0,0,nan,0,nan,0.25911,0.706887,0,0
0,15.8839,17.2861,50.929,20.3716,15.2787,10.1858,35.5132,1.08828,0.84854,1.69708,0.486751,0,0,nan,0,nan,0.129688,0.717859,0,0
0,56.9747,56.0809,44.6493,17.8597,13.3948,8.92986,41.4801,0.984312,3.14007,6.28015,1.35199,0,0,nan,0,nan,0.239865,0.708154,0,0
0,64.0014,56.3773,69.5057,27.8023,20.8517,13.9011,47.3652,0.880876,2.02779,4.05559,1.19027,0,0,nan,0,nan,0.228067,0.75883,0,0
