N_ag1_age2_1951,N_ag1_age3_1951,N_ag1_age4_1951,N_ag1_age5_1951,N_ag1_age6_1951,N_ag1_age7_1951,N_ag1_age8_1951,N_ag1_age9_1951,N_ag1_age10_1951
115.881,80.1339,83.8359,16.1811,11.8817,1.71506,1.42219,1.15559,1.72498
107.257,96.8893,87.392,24.9861,14.3449,3.79367,0.864337,0.434029,1.24924
127.264,72.6802,97.3327,23.6855,12.8545,1.13344,0.230017,2.57635,5.28572
79.2573,59.464,85.9514,16.5086,13.3406,1.60168,0.277618,2.7708,0.627668
78.8457,72.0275,84.6749,5.5599,9.20085,0.0958475,1.50421,1.01253,0.915579
66.6706,112.627,81.2597,13.0588,10.1144,0.303342,1.53182,3.34361,0.259764
95.6525,248.764,80.5919,21.9479,19.4716,0.0556777,1.35319,7.63877,4.9067
66.0995,105.573,59.7022,18.7613,11.4992,1.37186,0.4545,1.51225,1.27242
90.7206,57.0381,77.7083,19.0036,16.4015,1.64102,0.677562,0.0832979,9.53159
69.8077,69.3988,91.4221,27.1578,13.0409,3.35928,0.652044,5.08893,0.869157
154.34,114.937,96.9988,25.077,15.5705,6.20934,2.86997,0.948211,0.605698
185.395,128.395,144.718,23.5612,13.1901,4.50099,3.65341,1.36245,1.16867
135.622,53.4367,69.943,8.56729,7.04959,1.10091,0.868767,1.29683,0.709559
61.6231,85.2224,100.787,13.5876,7.52978,0.171917,0.0254685,1.75917,4.96847
128.401,73.5331,122.912,20.9572,16.6863,0.882099,0.516846,0.268389,5.33593
146.656,83.509,74.8554,20.4536,21.5978,1.3947,0.104557,0.120311,3.44307
144.91,123.043,138.136,11.9603,12.2549,1.21273,1.92699,0.174651,1.55501
173.351,97.4065,188.142,16.6731,8.28958,0.955072,0.210522,0.214977,5.23061
115.191,121.716,80.5441,16.7666,10.6118,1.09325,0.193008,2.13054,5.66798
358.119,74.0456,129.151,19.2057,12.377,1.16927,0.892433,0.199892,0.894176
211.507,129.658,88.4293,25.3656,15.939,1.91787,2.53437,0.429982,1.78241
191.59,193.658,133.388,10.2071,16.776,0.481757,2.84412,2.41598,7.18507
78.9343,89.8654,79.5815,27.002,17.9876,0.572984,1.48526,0.0592835,8.0027
166.505,145.056,103.475,35.0607,15.2721,12.099,0.317323,0.0345665,0.418056
81.2785,58.0418,74.1039,10.5739,5.96819,3.42763,0.0344153,1.34424,1.32317
133.967,59.8238,77.6365,24.4945,4.37154,1.79864,0.0104394,0.822564,2.64477
58.6417,96.7728,75.8139,16.2488,7.51841,2.60417,0.0263963,0.886542,2.83594
46.7478,84.0056,113.544,17.2986,9.78802,0.379607,0.0131138,0.852775,1.44118
47.2955,85.9554,98.288,16.0179,8.52109,0.012173,0.303693,0.560209,2.39709
117.266,87.5455,95.1661,21.1765,5.15153,2.39354,2.19691,0.0410464,0.0148638
183.898,104.982,125.774,27.7022,9.17557,0.048655,9.00173,0.417654,0.177569
188.125,214.673,123.84,22.1725,20.7778,1.33926,4.50448,8.55917,0.0628409
69.7963,40.5986,113.075,8.19053,7.64252,0.555785,0.860367,2.30972,1.26608
69.9154,41.8695,119.744,10.6217,7.6078,0.0373758,1.64418,1.82118,0.923759
114.409,81.0584,92.4807,10.4443,5.52776,1.18548,1.31826,0.874284,0.462791
64.1911,74.0556,61.7271,6.8377,11.7854,0.123072,1.86856,1.26478,0.564007
124.015,78.6719,146.973,22.2381,10.0557,2.10087,6.75764,0.688717,1.16741
79.7762,87.593,64.964,14.037,7.92441,3.37468,1.31512,0.116211,4.32207
235.579,54.4662,61.6445,14.765,10.812,4.35116,1.2443,0.682543,3.13031
148.414,75.7373,48.6944,12.0902,7.64362,0.444332,0.283191,0.32762,3.39679
111.677,104.22,58.7861,24.0673,20.0428,0.00803298,0.665467,6.64989,0.749325
110.61,77.4057,92.2361,14.0366,8.87091,0.0111333,0.182566,2.96852,0.843598
273.843,82.969,90.3072,18.7882,16.6675,0.033464,1.70356,0.664418,0.786145
158.764,101.298,65.0064,15.5998,7.94147,0.486887,0.281576,3.25227,0.452408
116.759,65.7618,68.7924,11.5043,13.341,2.29823,6.99429,0.437745,0.262298
99.787,68.1464,34.3655,14.6857,8.6733,1.33872,2.5276,1.18337,2.79607
62.4887,60.6731,70.0643,10.5917,6.39558,4.24629,0.0960137,0.204296,0.627557
61.0533,114.081,108.696,24.8689,9.13776,4.69603,3.64192,1.52076,0.021862
103.336,109.575,69.846,12.7787,6.08056,0.319899,2.63131,1.16274,0.845056
306.854,103.745,72.6677,13.8057,15.0514,2.02177,1.34791,0.0496379,3.62967
152.198,169.058,223.674,24.294,33.6388,1.29864,0.871598,3.63863,0.854599
145.03,115.005,102.254,30.2427,16.5238,1.37936,0.574402,1.13856,4.17429
218.787,82.113,120.976,30.8888,13.6411,2.97752,0.394687,3.50131,4.67046
133.252,102.493,119.773,36.143,17.9739,0.276339,3.25557,5.40388,1.9519
176.668,189.825,146.313,32.8,12.9307,5.59854,0.61179,1.3775,2.36014
236.233,161.358,127.991,24.0164,17.8249,2.70573,2.80088,0.539234,0.942949
97.405,99.8152,108.058,19.0207,27.3027,0.331867,1.56518,1.89831,5.43717
67.7629,128.37,106.851,13.2878,10.7225,0.630435,2.65886,0.313296,2.22298
70.4001,65.1489,66.7092,10.0848,12.3887,2.3153,0.0860636,0.732588,0.507595
77.9195,82.876,94.9347,18.203,12.164,0.0820586,0.190772,1.47172,4.78389
135.627,77.1771,93.5027,21.1464,5.93726,0.0162306,2.43873,1.20776,0.0548179
87.3912,106.992,118.869,13.4929,10.8471,0.0691462,0.494708,7.09116,0.374619
88.7217,47.6278,68.0892,21.5835,11.8354,2.03452,0.0368893,3.18652,0.170056
225.713,187.613,76.1675,27.4308,9.3547,0.996245,3.4908,2.97309,0.139617
181.59,66.7045,95.1955,14.9157,8.5076,0.230503,2.19715,1.8179,3.83699
146.261,53.7859,59.9629,16.0369,9.82354,1.01005,0.163704,2.01933,0.213752
192.088,76.1387,69.3826,24.3837,11.8288,1.98228,0.194635,0.359118,2.15779
146.174,79.7403,79.0695,36.4109,7.29926,1.00381,0.519705,0.176727,2.65146
93.8121,78.6384,116.455,6.66143,7.78662,0.454276,1.2788,4.93646,3.19571
196.168,110.367,102.325,18.9032,21.5991,10.6893,0.889859,1.87695,1.53945
227.974,93.3918,146.505,23.4407,13.6094,2.47633,0.404004,3.25592,0.285877
114.652,91.1838,147.663,20.4626,8.55774,1.93452,2.05677,0.570703,6.81698
138.25,71.998,68.9336,8.57008,3.4842,0.364797,0.912622,2.16999,2.18511
156.962,81.8379,126.224,21.434,6.72682,0.526423,0.199052,0.574968,2.23312
120.964,114.392,94.176,14.4012,25.4045,6.01752,0.350154,0.342869,3.87255
201.507,138.606,88.7343,10.3825,16.6931,0.389377,6.04886,0.51916,1.22533
56.9528,83.53,63.0059,13.8649,10.4516,2.17537,0.382999,4.01038,1.12899
63.4793,52.4338,71.4802,10.6457,14.5357,0.911437,1.991,0.11737,0.787968
112.392,80.4625,87.4908,24.5566,19.0793,3.24031,2.12163,0.0191817,1.39421
35.2086,69.6743,87.2874,36.6031,24.4918,0.55888,5.67107,0.154777,3.75164
134.535,174.081,114.389,23.9935,17.5686,0.604682,4.47326,0.996428,2.77636
99.1491,124.019,93.897,10.1164,17.6746,2.8008,2.52405,0.0423391,0.936026
154.211,103.121,111.159,19.7879,15.8737,1.4885,0.232676,5.78967,1.89496
146.521,94.6681,90.5089,8.22228,11.0875,0.0788318,0.65074,0.417079,0.641292
309.961,43.2765,97.2984,29.345,19.4138,8.28995,0.00991311,0.613134,2.20449
78.2862,78.2133,101.049,15.3747,10.511,1.59718,0.00452769,0.278281,3.05036
147.726,71.6984,93.1758,12.4355,9.68094,2.13947,3.39334,0.633992,0.467611
163.751,73.3308,91.9213,14.5363,9.62604,0.416147,2.79463,3.38662,0.244221
113.071,117.036,106.599,17.2153,13.2316,0.504398,2.43005,0.919929,0.624857
129.32,72.4961,95.2632,16.5649,26.2307,2.61795,0.542491,1.23858,3.08989
76.7603,83.8208,55.8912,6.92028,6.29348,0.878801,5.13879,0.856708,0.60238
121.636,72.3212,94.4443,9.7754,9.51754,1.76261,0.930877,0.0952895,2.13026
118.074,75.3535,79.8367,22.4977,8.82924,2.46144,0.461828,2.53014,0.311884
55.554,48.3469,80.6658,10.6771,8.89595,0.561232,0.608841,1.73256,1.84619
83.7053,82.25,105.487,13.2642,7.46347,1.1544,0.389504,0.37986,2.31738
87.0292,65.176,115.394,21.1938,9.89739,0.582979,2.26351,1.96515,1.3451
87.9793,76.8151,73.4804,26.2199,13.4339,0.768997,10.4919,0.793114,3.16748
93.6819,93.4692,82.0659,24.4717,15.099,7.95007,0.246329,3.01851,1.6675
259.259,71.0482,109.406,59.8375,32.7397,7.99929,28.1645,6.00242,0.043261
306.717,85.6534,109.012,26.9355,27.9583,7.69248,0.768617,1.44476,0.238274
178.367,95.1121,116.115,20.1159,16.7531,3.02149,0.757294,2.63147,0.57003
145.294,120.56,101.831,22.4936,15.0518,3.45296,1.20039,0.468931,2.90888
118.646,70.912,73.3063,11.604,10.9487,1.22188,3.08586,0.516477,0.675025
128.458,69.639,83.1033,24.7778,12.5598,1.85633,0.237475,1.63072,0.383241
101.361,38.074,84.0449,14.15,13.749,0.807067,0.369607,0.191739,6.09391
92.7024,71.3798,80.0501,16.5252,5.81865,1.19031,2.79638,0.00481456,0.667272
90.5882,62.4454,49.4769,18.8648,9.63444,0.542736,0.624869,0.260124,2.50336
88.9853,42.0536,80.4098,21.8123,7.42147,0.428889,1.57789,0.843932,1.01275
65.5594,63.8038,55.6528,9.36203,10.4081,1.40145,0.231359,0.113999,3.47678
169.518,88.5955,73.6525,13.423,16.2072,0.649323,0.0707075,4.4728,0.810198
52.8337,97.9011,70.8544,21.0797,11.6371,2.41653,0.372497,0.439929,3.3619
173.846,74.6669,95.1168,25.4867,16.5636,4.60474,1.11594,0.706335,0.895529
124.745,38.9866,69.9902,11.0383,6.70623,2.11971,1.24223,0.401297,0.0826474
348.431,90.4841,88.5765,15.9573,20.6861,3.59302,0.435885,3.04717,3.08622
120.55,110.335,142.795,25.6762,17.6836,5.37654,4.81268,4.25692,1.65697
91.7371,107.265,74.8488,11.4611,11.2413,0.915073,1.71,1.17471,1.06799
86.0022,91.5584,90.4896,20.3958,19.135,1.87703,0.934512,1.96949,1.30847
73.2496,52.848,122.967,14.6521,10.1399,5.68326,0.761238,0.876363,4.88585
73.4694,87.1027,118.164,12.0027,9.07909,2.41276,2.45877,1.16415,0.133774
114.017,73.0467,109.057,12.4718,6.91085,3.6258,0.871197,0.0355758,1.37819
61.4923,131.399,87.3069,10.6669,10.2189,0.825285,1.07297,0.412382,0.0910135
138.634,147.821,51.6233,26.5034,12.8362,1.18709,1.02736,0.144831,1.58133
141.844,97.1787,78.6484,14.6735,7.3289,0.416232,0.215076,0.778249,3.76745
165.789,105.624,85.3118,28.3957,17.1663,0.635504,0.731838,4.10716,1.34111
190.758,149.744,81.1269,16.2425,14.2263,0.368262,0.70271,3.21708,0.923634
163.924,119.225,168.055,25.1653,15.5893,4.42955,0.423401,2.01726,0.0571205
134.333,107.243,137.482,19.6704,17.8061,2.22019,0.312308,0.73123,0.604115
152.279,67.4131,104.026,11.5508,15.2698,1.72742,2.75311,0.104706,0.865815
99.4059,57.2941,94.0987,21.1427,14.8952,6.15041,1.73532,1.99899,3.45852
227.922,175.36,77.6019,24.7922,11.3085,0.855872,0.627054,3.08699,3.96145
243.25,131.167,104.172,25.1236,19.1512,2.06888,2.83645,2.53155,7.44917
274.087,155.772,85.5243,18.8986,17.8815,4.47059,1.84483,2.22368,0.93092
143.882,142.677,98.4296,21.0864,12.6111,4.30513,1.26286,0.531494,0.935846
209.682,148.233,114.116,32.9218,17.0122,4.68977,1.69672,0.344381,5.63797
119.561,62.109,35.7875,19.371,9.87886,0.242713,0.490499,4.55982,0.778912
141.376,92.6891,109.542,19.4347,15.31,2.33199,2.88935,0.895216,0.173194
74.8232,54.7566,81.9969,12.8039,14.5233,2.92422,2.32886,0.135402,2.47042
162.132,65.744,78.163,14.8561,8.21978,4.46184,0.576708,1.41283,0.201334
100.88,72.3776,128.205,26.2801,5.0684,6.0174,1.36632,0.745263,0.515464
246.273,99.1311,112.956,22.8046,18.8056,6.29973,0.304051,0.223253,0.597265
239.742,127.364,117.68,29.4632,11.7014,2.52585,0.152203,0.066511,4.27962
236.688,240.603,144.386,27.0753,30.7108,17.421,0.476235,1.53079,0.89376
192.907,79.8217,87.9739,22.2215,6.31304,4.38606,0.326671,0.0555641,0.572551
107.092,94.3337,97.5109,19.8492,13.3481,0.804131,0.219035,0.391578,5.66435
110.98,110.19,153.202,18.0516,22.9772,2.26834,1.3761,0.153473,9.10785
211.155,116.731,108.799,17.304,9.48367,0.447775,0.905061,6.98374,4.72555
124.753,58.6996,95.7971,17.5506,13.7566,4.48053,0.499202,0.827102,3.04766
177.636,101.223,164.184,17.9556,10.862,0.646065,5.75801,0.814984,0.247697
95.4114,94.9375,78.3628,13.0174,8.34353,2.30258,0.945158,1.88503,0.606207
112.221,52.2665,69.8069,9.83316,10.0327,1.61262,0.088884,0.208902,2.24608
111.845,43.1689,98.1415,21.3315,7.51375,1.06819,0.166377,0.145867,2.22191
85.4361,95.5591,98.498,26.0217,9.04354,2.40389,0.112476,0.5311,0.192608
133.026,102.05,95.0436,21.8275,19.9837,0.0121429,4.8178,1.23846,0.485187
118.974,133.786,72.2301,22.6288,19.5905,0.334651,0.468566,0.290164,7.15069
137.712,92.5398,91.8258,16.0592,13.871,0.154845,9.8708,0.0630751,1.64722
182.872,105.945,83.087,35.7581,14.2078,4.62193,0.720671,2.40722,7.99045
113.21,64.4567,60.4716,11.8333,21.7884,0.222085,0.344882,3.15674,0.396045
217.269,78.1739,124.185,20.4226,12.8044,5.40837,1.45264,1.1589,0.590685
117.854,78.8835,109.5,9.1081,14.8567,1.23169,0.938925,0.419912,8.04134
73.1799,103.807,44.0836,17.6067,16.5941,0.701578,2.54119,0.997378,0.639896
83.477,58.3906,50.7089,13.6034,7.0026,0.0311117,6.04352,0.805353,0.385688
216.341,136.887,106.178,29.2996,12.5994,0.443807,0.308027,0.0756088,5.61071
100.328,57.3293,81.7712,20.8231,8.83548,5.01115,0.945287,0.803952,0.583768
142.208,36.6027,88.352,9.06435,10.679,0.57052,0.879431,0.426262,0.698998
109.856,65.7385,85.7824,14.436,7.08217,0.0144057,2.50842,1.28497,2.50504
124.759,64.8657,61.2572,19.5611,5.24392,2.78554,0.738208,0.0205863,4.1706
174.814,48.7309,56.6775,8.56846,12.9649,0.301407,0.902349,0.175135,8.56742
231.226,77.3739,52.1625,25.5185,9.40829,0.380357,5.2276,0.162761,2.01046
86.0958,64.2825,52.6645,7.85363,11.6411,5.50546,0.868621,0.23504,0.400028
153.617,56.5748,117.562,7.17609,10.5365,2.96163,2.02859,0.289034,0.325463
139.864,40.9553,62.9975,10.8376,10.6588,0.0984769,0.878727,1.14802,1.10874
126.682,100.366,81.6088,18.9092,21.3248,0.452135,0.854951,3.78968,0.0488383
137.779,81.7633,86.8568,14.2079,13.6375,4.33144,1.04052,6.8983,0.324049
159.068,63.0866,73.8249,11.5391,20.2891,3.87206,0.373492,0.424462,0.263231
228.081,68.8613,48.5138,9.78777,8.07284,1.38974,3.04188,0.294147,2.20036
161.263,108.676,111.054,18.4484,10.4821,2.26314,0.662114,1.15509,4.7935
172.045,64.8981,67.1636,13.7486,17.0573,2.19916,1.0293,0.342123,1.12319
109.518,98.7534,95.3745,21.8635,12.0856,0.11869,4.26895,0.0741886,0.966134
