m_age2_1951,m_age2_1952,m_age2_1953,m_age2_1954,m_age2_1955,m_age2_1956,m_age2_1957,m_age2_1958,m_age2_1959,m_age2_1960,m_age2_1961,m_age2_1962,m_age2_1963,m_age2_1964,m_age2_1965,m_age2_1966,m_age2_1967,m_age2_1968,m_age2_1969,m_age2_1970,m_age2_1971,m_age2_1972,m_age2_1973,m_age2_1974,m_age2_1975,m_age2_1976,m_age2_1977,m_age2_1978,m_age2_1979,m_age2_1980,m_age2_1981,m_age2_1982,m_age2_1983,m_age2_1984,m_age2_1985,m_age2_1986,m_age2_1987,m_age2_1988,m_age2_1989,m_age2_1990,m_age2_1991,m_age2_1992,m_age2_1993,m_age2_1994,m_age2_1995,m_age2_1996,m_age2_1997,m_age2_1998,m_age2_1999,m_age2_2000,m_age2_2001,m_age2_2002,m_age2_2003,m_age2_2004,m_age2_2005,m_age2_2006,m_age2_2007,m_age2_2008,m_age2_2009,m_age2_2010,m_age2_2011,m_age2_2012,m_age2_2013,m_age2_2014,m_age2_2015,m_age2_2016,m_age2_2017,m_age2_2018,m_age2_2019,m_age2_2020
0.377069,0.331599,0.2941,0.266903,0.250527,0.244924,0.250202,0.26694,0.296206,0.339531,0.398468,0.473533,0.5624,0.657447,0.743571,0.801304,0.815468,0.781857,0.709233,0.61529,0.519442,0.435786,0.369815,0.321752,0.289658,0.271166,0.264168,0.266973,0.278571,0.298427,0.326086,0.360733,0.400661,0.442757,0.483082,0.517945,0.544716,0.562574,0.572912,0.579341,0.58635,0.597529,0.615481,0.641902,0.677544,0.721948,0.773271,0.828803,0.884909,0.936922,0.979247,1.00575,1.01073,0.99187,0.95155,0.896182,0.834706,0.776931,0.732373,0.707468,0.704795,0.72465,0.765253,0.821425,0.882025,0.930996,0.954766,0.946504,0.908413,0.850951
0.527908,0.381338,0.280002,0.214926,0.176126,0.156264,0.151163,0.159438,0.182116,0.222629,0.286672,0.381155,0.510864,0.67114,0.837133,0.963775,1.00753,0.952589,0.821392,0.65946,0.509532,0.394069,0.314779,0.2653,0.238606,0.229305,0.233427,0.247464,0.268787,0.295343,0.325332,0.35731,0.390565,0.425558,0.463194,0.503947,0.547574,0.592785,0.636863,0.675378,0.703454,0.718301,0.720111,0.712202,0.70057,0.693311,0.699152,0.72405,0.77132,0.841427,0.930016,1.02415,1.09971,1.13244,1.10996,1.03709,0.933591,0.825824,0.738365,0.685134,0.670005,0.69331,0.753602,0.844525,0.946964,1.02763,1.05549,1.01621,0.919768,0.79482
0.443582,0.394577,0.351277,0.313911,0.282955,0.259018,0.242903,0.235855,0.239975,0.257814,0.292522,0.34799,0.427701,0.531185,0.647333,0.752213,0.81773,0.82421,0.771086,0.677113,0.570084,0.472807,0.395207,0.338727,0.301166,0.279447,0.270703,0.272522,0.283408,0.302543,0.329351,0.363112,0.402544,0.445428,0.488869,0.529849,0.565714,0.594721,0.6165,0.632299,0.644384,0.654977,0.666054,0.679289,0.696042,0.717369,0.743933,0.775683,0.811633,0.8496,0.885917,0.915228,0.930965,0.928745,0.908334,0.873666,0.831954,0.792406,0.765151,0.757672,0.773084,0.811115,0.867303,0.93033,0.978751,0.98616,0.937654,0.837382,0.706218,0.571241
0.298718,0.246938,0.208058,0.184263,0.174976,0.179761,0.199401,0.235758,0.290381,0.363747,0.454096,0.555705,0.658206,0.747854,0.81089,0.837553,0.824994,0.778064,0.707457,0.626262,0.546624,0.477053,0.421127,0.379285,0.350497,0.333232,0.325874,0.326855,0.335019,0.349534,0.369667,0.39457,0.423073,0.453515,0.484027,0.512901,0.538817,0.561085,0.579837,0.596146,0.611678,0.628091,0.646965,0.669799,0.698042,0.733131,0.776306,0.827865,0.886646,0.94942,1.01019,1.05965,1.08603,1.08093,1.04326,0.979473,0.901515,0.823599,0.759419,0.71787,0.702426,0.713966,0.751888,0.813287,0.890277,0.969693,1.03842,1.08651,1.11022,1.11373
0.327846,0.299837,0.274332,0.251703,0.232707,0.218359,0.209965,0.209389,0.219552,0.24414,0.287868,0.356694,0.456271,0.586698,0.7322,0.857191,0.920616,0.898073,0.797652,0.654609,0.509991,0.390322,0.302213,0.242166,0.204095,0.18265,0.174078,0.176142,0.188074,0.210196,0.243422,0.288586,0.345332,0.410549,0.478249,0.540873,0.591164,0.624504,0.640685,0.644325,0.642402,0.640882,0.644246,0.655645,0.677137,0.709791,0.753685,0.808023,0.870693,0.937591,1.00192,1.05379,1.08122,1.07614,1.03827,0.97515,0.899773,0.827203,0.771986,0.743299,0.743968,0.773052,0.825465,0.888676,0.93808,0.942547,0.884737,0.770929,0.627338,0.485548
0.474056,0.352745,0.266,0.208061,0.171893,0.151961,0.144888,0.149402,0.16622,0.198076,0.249754,0.327572,0.437202,0.578079,0.733768,0.868663,0.941792,0.928502,0.835745,0.697252,0.553488,0.431873,0.340521,0.277124,0.236232,0.212678,0.202579,0.203331,0.213682,0.233331,0.262398,0.300844,0.347685,0.400056,0.453423,0.502634,0.543072,0.571986,0.589493,0.598871,0.605039,0.612328,0.624182,0.643219,0.671342,0.709743,0.758799,0.81788,0.884826,0.955208,1.02158,1.07311,1.09684,1.08459,1.03724,0.964318,0.880864,0.803401,0.747265,0.721998,0.731025,0.774802,0.850259,0.946164,1.03546,1.07851,1.04701,0.94022,0.785518,0.622336
0.549449,0.462583,0.394788,0.349208,0.324864,0.320097,0.333894,0.365746,0.414449,0.477956,0.552845,0.633256,0.710493,0.773705,0.811808,0.816904,0.787506,0.729114,0.652318,0.569478,0.491638,0.426122,0.375501,0.339608,0.317226,0.30701,0.307844,0.318887,0.33969,0.369938,0.408965,0.455109,0.504928,0.552571,0.591244,0.615517,0.622878,0.614567,0.595348,0.572447,0.552953,0.54156,0.541109,0.553272,0.578897,0.617909,0.669081,0.730371,0.798463,0.868177,0.932088,0.980646,1.00354,0.994652,0.955017,0.892488,0.819299,0.749,0.694193,0.662742,0.657296,0.677819,0.721914,0.782808,0.845524,0.888256,0.893468,0.854972,0.780505,0.687995
0.319211,0.254739,0.207603,0.178725,0.16608,0.168145,0.184929,0.217615,0.266873,0.332044,0.410192,0.495022,0.577251,0.646815,0.696184,0.721668,0.722657,0.701349,0.662033,0.610123,0.551201,0.490398,0.432151,0.379856,0.335813,0.301451,0.277762,0.265668,0.265664,0.278215,0.30396,0.343227,0.394661,0.453027,0.509805,0.555852,0.584123,0.592338,0.584121,0.568108,0.55387,0.547975,0.554489,0.575805,0.612991,0.665345,0.729852,0.802162,0.876437,0.945258,1.00009,1.03233,1.03512,1.00675,0.951927,0.880309,0.803965,0.734931,0.683893,0.657444,0.657931,0.685688,0.739129,0.812526,0.891714,0.954596,0.981639,0.963395,0.904496,0.821555
0.339875,0.310938,0.287126,0.271663,0.265891,0.270331,0.285132,0.309916,0.343105,0.382292,0.424519,0.466281,0.503877,0.534037,0.554601,0.564614,0.564017,0.553609,0.534902,0.509902,0.480852,0.450006,0.419465,0.391067,0.366364,0.346679,0.333245,0.327284,0.329585,0.340551,0.360243,0.38812,0.42246,0.459625,0.495016,0.524558,0.545599,0.557688,0.562945,0.56595,0.572021,0.585058,0.607562,0.640705,0.684057,0.734858,0.787782,0.836928,0.876783,0.903057,0.913501,0.908406,0.890471,0.863443,0.831254,0.797706,0.766288,0.74015,0.722184,0.714474,0.717955,0.732614,0.757447,0.790124,0.82644,0.860952,0.88918,0.908394,0.918119,0.920379
0.427339,0.372238,0.32758,0.296221,0.278452,0.273804,0.281892,0.302528,0.335285,0.379598,0.434504,0.497882,0.565769,0.631911,0.687902,0.724844,0.736069,0.719119,0.676524,0.615036,0.543662,0.471157,0.404034,0.34628,0.299829,0.26532,0.242921,0.232946,0.23569,0.251857,0.282725,0.329509,0.391559,0.463218,0.533839,0.591032,0.624794,0.631753,0.616893,0.591911,0.569265,0.557009,0.559733,0.5799,0.618394,0.673915,0.742207,0.817453,0.892328,0.958262,1.00643,1.0293,1.02234,0.986295,0.927329,0.855354,0.781661,0.717027,0.670906,0.649075,0.653391,0.683607,0.737014,0.805806,0.872806,0.913434,0.908864,0.854496,0.762032,0.653565
