ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
286.603,0.805935,0.377069,185.34,33.404,0.261451,1.02136, 7.81193, 22.0615,0.393822,0.998693,14.654,3.70449,0.71737,4.06819,0.654422,5.31124,0.51151,2.055,0.05,2.055,0.05,-478.986
269.741,0.76855,0.527908,189.469,66.8559,0.311394,1.06696, 6.59526, 20.0276,0.400727,1.01021,11.1669,3.54763,0.636301,4.20373,0.667788,5.42207,0.527653,2.055,0.05,2.055,0.05,-411.639
243.113,0.885602,0.443582,179.047,46.826,0.295959,1.08863, 8.81649, 19.1053,0.419799,0.995041,17.2138,3.67479,0.783212,3.97271,0.625227,5.71771,0.633558,2.055,0.05,2.055,0.05,-373.789
291.953,0.87399,0.298718,202.586,17.8517,0.261819,0.92457, 5.64005, 20.4498,0.366903,1.00187,8.45941,3.83861,0.804314,4.40996,0.727107,5.27379,0.468068,2.055,0.05,2.055,0.05,-403.043
217.412,0.806613,0.327846,171.817,14.095,0.279152,0.996948, 9.44956, 17.6605,0.42694,1.00001,24.5176,4.15729,0.832039,4.33067,0.710734,5.27439,0.504979,2.055,0.05,2.055,0.05,-384.276
296.441,0.776059,0.474056,175.751,38.5561,0.271922,0.969091, 8.57156, 23.1976,0.430795,0.991028,15.2614,3.79876,0.817427,4.02647,0.64397,5.0427,0.471149,2.055,0.05,2.055,0.05,-402.727
349.794,0.828097,0.549449,199.064,89.1903,0.26511,0.909336, 12.2413, 25.8458,0.338595,1.00466,26.8841,3.6954,0.701891,4.05727,0.66606,5.18547,0.483051,2.055,0.05,2.055,0.05,-388.283
361.894,0.690003,0.319211,185.014,21.4462,0.246703,0.890198, 9.69926, 29.4576,0.373543,1.00961,24.7926,3.58966,0.707785,3.94167,0.636806,5.06633,0.44285,2.055,0.05,2.055,0.05,-391.816
329.038,0.829472,0.339875,181.003,22.8256,0.218914,0.983153, 9.4025, 27.3511,0.34375,1.00432,13.7537,3.65557,0.768891,3.93427,0.632275,5.14149,0.480054,2.055,0.05,2.055,0.05,-372.98
357.302,0.822554,0.427339,183.28,49.6644,0.252233,0.944503, 12.5897, 28.6555,0.374027,1.00184,26.8082,3.79541,0.779176,4.08975,0.669796,5.29068,0.476609,2.055,0.05,2.055,0.05,-398.384
328.623,0.780763,0.583673,179.742,113.209,0.184335,0.907731, 11.4098, 25.5163,0.405757,1.00727,18.0519,3.46949,0.617457,4.05164,0.674318,5.15435,0.469734,2.055,0.05,2.055,0.05,-396.125
247.169,0.774378,0.511048,165.614,93.5816,0.272287,1.00658, 9.03834, 21.0541,0.404906,1.01121,24.8843,3.60954,0.724307,4.00324,0.664984,5.2755,0.520703,2.055,0.05,2.055,0.05,-396.068
239.482,0.828465,0.289463,189.302,14.2398,0.282672,1.12002, 9.31661, 17.5619,0.399442,1.00818,21.6145,3.87154,0.666879,4.14367,0.701152,5.51573,0.58493,2.055,0.05,2.055,0.05,-379.847
259.74,0.748062,0.48883,160.521,29.4409,0.28856,1.04116, 11.7176, 22.3897,0.464088,1.01589,30.0132,4.27358,0.972969,4.1534,0.678609,5.23445,0.468348,2.055,0.05,2.055,0.05,-386.337
448.664,0.841025,0.42041,215.096,35.8128,0.314544,0.756234, 8.40484, 28.9193,0.339177,1.00847,13.0308,3.72344,0.661505,4.01269,0.633847,5.40639,0.514624,2.055,0.05,2.055,0.05,-386.931
285.644,0.706311,0.482066,175.169,34.8038,0.162182,0.955609, 9.51065, 23.0354,0.432024,1.00034,16.6057,3.74919,0.862199,4.03332,0.658239,5.54353,0.58165,2.055,0.05,2.055,0.05,-384.926
358.453,0.894079,0.684494,201.755,118.917,0.25501,0.99687, 5.79524, 25.2113,0.344793,0.990634,4.67572,3.72276,0.759622,4.04593,0.641281,5.3394,0.58667,2.055,0.05,2.055,0.05,-365.173
306.436,0.883868,0.731249,173.146,129.491,0.25371,0.840717, 6.30077, 23.0827,0.415454,1.00379,10.3441,3.33547,0.582479,3.94974,0.620159,5.09052,0.477011,2.055,0.05,2.055,0.05,-386.21
322,0.755368,0.444237,164.396,43.9638,0.239601,0.972028, 11.0066, 27.2507,0.429572,1.00918,22.9724,3.7533,0.719518,4.22742,0.670225,5.56478,0.593005,2.055,0.05,2.055,0.05,-397.904
318.788,0.788147,0.532542,172.009,49.6976,0.29917,0.8129, 8.75657, 24.8824,0.383173,1.01217,10.9312,4.12942,0.838407,4.08086,0.653912,5.31052,0.528889,2.055,0.05,2.055,0.05,-371.333
239.505,0.846312,0.539421,178.688,81.6417,0.232321,0.965716, 6.59479, 18.8869,0.364093,1.01417,17.2855,4.43918,0.90026,4.01659,0.624747,5.17838,0.492058,2.055,0.05,2.055,0.05,-397.219
297.252,0.789038,0.623153,195.331,151.248,0.271423,0.853563, 8.13105, 22.0355,0.342544,0.998612,15.9721,3.85404,0.670826,4.16043,0.655134,5.39411,0.547381,2.055,0.05,2.055,0.05,-378.328
300.106,0.776756,0.365554,174.285,26.2172,0.280026,0.920138, 6.53683, 24.5071,0.385234,1.00269,14.7461,3.25824,0.724471,3.95908,0.635299,5.42693,0.554222,2.055,0.05,2.055,0.05,-392.228
268.154,0.826101,0.487436,166.769,40.5554,0.244575,1.10312, 6.76046, 22.4778,0.423215,1.01125,17.4656,3.33904,0.565956,3.95335,0.643934,5.1743,0.486468,2.055,0.05,2.055,0.05,-393.512
240.787,0.775506,0.353593,177.11,16.5928,0.242671,1.19565, 6.01879, 20.32,0.374484,0.991684,12.739,3.42144,0.587222,4.16588,0.754211,5.35443,0.536605,2.055,0.05,2.055,0.05,-386.826
229.249,0.839622,0.300023,187.891,11.2773,0.297172,1.05732, 4.13836, 16.4424,0.406905,1.01201,14.1759,3.81223,0.632514,4.26782,0.675784,5.47027,0.525609,2.055,0.05,2.055,0.05,-366.934
312.42,0.657637,0.31769,180.043,15.8457,0.241527,0.901538, 10.0388, 24.858,0.367827,0.989374,17.9439,3.45125,0.688716,4.05762,0.648168,5.1806,0.492133,2.055,0.05,2.055,0.05,-398.693
276.036,0.741312,0.391176,181.206,15.9556,0.323678,0.930526, 9.19806, 21.4678,0.416412,1.02157,19.7787,3.57168,0.784042,3.92298,0.62946,5.22347,0.502367,2.055,0.05,2.055,0.05,-384.385
293.254,0.669939,0.306783,154.955,9.94017,0.303502,0.981141, 7.36468, 25.7236,0.441971,0.995851,15.3083,3.79306,0.699756,3.9497,0.665873,5.00961,0.428578,2.055,0.05,2.055,0.05,-367.921
372.016,0.613237,0.534301,197.604,26.8659,0.280333,1.04881, 8.72489, 27.0643,0.367826,0.984552,14.3018,3.29194,0.590723,3.98341,0.617678,5.10292,0.447825,2.055,0.05,2.055,0.05,-390.019
304.258,0.733582,0.589479,197.446,54.5437,0.290717,0.878342, 8.58329, 22.6346,0.36035,1.00197,15.3268,3.52851,0.768747,4.134,0.643486,5.35162,0.543854,2.055,0.05,2.055,0.05,-390.5
