rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017,rt1_2018,rt1_2019,rt1_2020
1175.02,175.446,157.225,190.566,150.663,322.665,116.734,377.266,581.292,480.362,311.555,189.136,698.838,94.8394,79.2884,111.649,124.17,210.411,249.191,357.12,314.035,307.784,103.983,106.978,135.691,68.9691,962.928,169.306,76.3125,67.101,512.029,273.786,80.7104,112.555,748.846,366.167,174.079,79.094,334.871,33.8362,27.6575,83.3944,278.241,317.532,763.522,51.3733,155.298,158.419,165.746,411.654,94.1343,286.956,81.9537,293.272,70.4446,320.42,59.1005,235.219,158.156,634.365,86.4519,136.87,94.7933,196.671,263.847,59.2402,988.429,176.236
916.23,98.8138,155.12,152.686,160.423,226.19,56.0339,250.108,524.711,515.745,409.841,235.482,667.719,168.052,67.6321,163.746,100.921,180.426,196.278,269.464,285.849,271.795,86.6424,78.0953,139.174,90.7502,951.922,207.437,78.9313,79.4892,637.891,361.891,96.9246,135.748,914.664,486.872,262.234,84.1124,383.732,30.5997,29.4639,59.4517,227.099,237.215,661.256,43.6079,166.586,244.528,227.885,719.664,143.073,431.118,131.327,328.243,76.7361,299.828,73.5089,240.741,144.513,607.032,97.3749,129.31,103.498,155.868,245.038,68.633,630.683,283.174
1474.72,152.08,102.968,270.308,107.278,225.88,99.7283,231.899,335.102,334.121,333.758,254.303,480.238,19.0459,72.882,117.636,111.292,221.545,349.164,432.015,299.554,382.97,94.3216,132.919,158.326,94.9808,1073.74,192.443,85.9606,80.349,445.081,272.586,85.4223,106.258,936.02,528.851,206.686,95.7782,378.951,32.1162,30.5619,50.5903,250.122,199.022,645.093,38.2086,137.125,123.793,142.824,351.353,103.527,329.097,96.4471,368.029,74.217,510.431,93.2894,294.263,221.379,616.319,83.0812,115.361,78.5822,187.752,187.086,61.336,688.677,168.936
837.157,241.168,202.29,189.621,116.866,340.864,113.376,627.902,647.804,445.8,314.46,258.716,860.606,35.6626,151.11,151.56,139.458,326.601,327.562,440.823,408.831,366.037,137.047,123.61,180.177,71.9911,1052.19,172.012,75.6316,66.631,547.38,272.62,77.1053,108.129,806.171,402.315,186.962,76.8048,406.757,34.9961,30.3162,90.2666,311.152,457.229,857.899,95.0646,212.943,168.791,212.342,534.303,145.682,417.208,91.677,333.475,57.9827,319.661,55.7234,187.396,133.385,532.422,112.054,162.884,107.793,217.021,173.703,69.9485,829.234,299.286
1077.13,189.112,227.667,133.821,96.4215,295.432,104.786,282.891,446.511,347.103,224.854,413.011,548.85,67.0835,137.43,91.3712,143.043,194.827,181.894,308.156,177.799,243.933,67.8201,66.1534,90.645,42.4032,719.044,122.445,52.666,58.1047,467.08,309.825,72.9193,128.475,823.922,453.575,174.476,55.1965,311.226,22.2194,24.2431,73.5503,301.268,266.087,710.454,50.278,203.177,201.338,217.539,628.466,113.766,446.105,104.827,355.754,57.9353,330.163,71.6911,195.513,116.245,741.059,82.6166,196.005,59.0241,199.738,248.123,63.3198,842.583,159.026
1006.76,135.967,154.462,141.087,115.731,177.734,80.313,252.97,473.441,371.541,255.573,36.9416,921.883,90.4021,69.5379,187.388,127.948,203.613,239.949,384.303,226.521,234.693,89.8317,88.5895,107.539,59.7027,724.454,146.391,71.762,52.7739,431.278,255.861,87.7118,121.576,828.207,383.911,180.533,78.2507,357.186,48.0141,31.1812,87.6088,337.809,271.1,862.823,66.4176,153.677,181.54,218.121,452.65,95.9433,366.51,91.6016,330.926,95.1755,387.719,80.3721,229.478,198.587,795.832,100.43,162.304,77.6614,151.715,279.604,64.1642,680.11,198.588
1444.22,252.685,167.952,187.29,225.046,338.42,167.591,460.834,1051.79,828.791,364.708,283.775,597.953,225.216,52.3616,132.007,115.714,267.747,255.633,374.204,388.986,387.851,148.119,136.561,207.521,110.357,1533.65,250.34,98.5409,109.266,624.535,343.002,112.502,144.652,700.741,302.933,118.497,73.3034,226.7,24.8179,19.2168,50.3912,213.902,224.791,538.71,46.7315,138.112,170.634,166.812,356.988,130.069,341.83,84.4849,209.768,64.1487,270.352,55.3616,249.516,162.946,608.576,113.113,118.031,113.637,192.647,374.712,64.1549,1444.96,50.8403
782.851,177.447,145.421,269.556,113.316,260.23,119.129,416.477,611.272,457.469,304.725,446.105,443.227,94.0298,125.934,162.856,156.275,285.527,292.086,362.321,403.273,368.176,121.695,120.122,132.039,56.3828,979.204,151.007,72.3534,70.3912,459.076,287.974,78.5049,116.852,807.796,381.903,136.255,62.4817,270.626,29.4774,17.8253,81.7123,274.553,303.129,688.413,46.9158,183.45,147.871,182.832,276.104,106.881,222.731,80.6417,227.104,50.039,295.103,58.8329,260.766,122.232,556.346,87.0548,160.696,121.067,199.871,311.391,45.4719,1591.31,495.263
1156.19,216.267,117.912,373.09,180.768,237.157,276.135,272.253,435.674,501.044,181.708,469.632,493.76,112.052,28.9944,88.1819,101.462,243.669,297.672,468.258,421.21,499.207,119.561,125.149,158.253,114.697,1225.72,169.441,98.1478,63.3387,539.36,260.747,98.4236,110.141,676.218,357.688,184.379,66.8145,230.345,33.7725,24.4025,89.8748,233.524,366.691,728.043,48.3623,134.704,172.785,129.966,420.862,107.273,331.275,100.534,285.803,75.0398,303.322,48.1662,158.791,111.374,492.518,63.1188,102.73,64.7939,182.685,351.838,59.1111,1039.39,49.1496
1306.34,202.504,145.499,245.412,144.523,438.86,152.981,358.478,470.347,471.44,331.576,485.486,461.987,224.107,57.428,83.3646,105.089,201.695,311.954,386.52,306.806,325.92,95.031,124.366,144.672,50.3011,906.8,153.661,90.2822,88.8789,621.022,327.154,89.1418,174.228,889.332,395.823,140.427,66.4485,284.655,23.8255,28.0072,76.3812,209.537,280.876,787.498,39.5679,159.382,136.788,147.285,379.363,94.1528,254.368,54.4114,241.871,55.0377,271.056,46.1504,196.941,142.759,576.115,72.1235,132.33,124.238,195.958,333.591,45.9349,1309.92,215.341
