sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018,sbt1_2019,sbt1_2020,sbt1_2021
9.74997,6.67048,22.0266,55.0929,65.0427,14.7023,4.94009,4.38535,9.6456,15.1096,28.0226,39.042,31.9269,9.81505,2.03296,4.03282,3.94813,4.04213,5.02467,7.20251,11.8183,20.2404,27.6996,35.0178,36.2707,30.487,23.881,17.9953,24.6576,50.6339,54.7905,44.1204,39.2875,39.6807,36.8583,29.2076,26.8434,35.513,34.3034,22.9446,15.0761,15.6426,9.22186,6.27514,7.44696,10.8238,15.3246,15.3476,8.41784,4.96589,4.37619,4.88237,5.98713,4.59475,4.87892,4.39353,5.65851,5.54804,6.69117,7.18206,7.52673,10.6809,14.9242,10.5771,6.86055,4.84171,5.44613,4.85471,8.57993,14.654,10.6663
9.77006,5.39749,18.8374,46.8389,58.0091,13.5048,4.72287,4.23697,7.61306,12.0824,24.7016,39.9111,38.5854,13.7695,2.35828,4.28718,3.80059,3.38015,4.3123,5.68801,9.53371,16.5266,22.7128,31.7728,35.0809,29.187,23.385,18.4441,25.9564,52.2948,57.7596,47.2499,44.3028,48.6724,48.4565,39.6799,35.3052,43.9109,40.5101,26.0228,15.1319,14.1521,7.30946,4.61351,5.44028,8.46925,13.3189,15.387,9.68252,6.9014,6.79229,7.92728,9.11425,6.02362,5.54586,4.43015,5.11728,4.87674,5.99177,7.05848,7.78974,10.9481,15.2072,10.5552,6.36696,4.01546,4.04846,3.66751,5.87913,11.1669,10.5388
10.5451,6.47576,22.3247,58.2878,65.4654,13.5435,4.31955,2.44739,4.79973,9.53032,19.875,28.0498,26.3458,9.76064,2.242,3.4767,2.70381,3.08512,4.09613,5.95374,11.1172,22.0084,30.3231,37.7208,40.8968,33.1195,26.6064,21.4705,29.5566,58.0417,62.7901,50.7443,44.4251,40.8347,36.8173,28.7603,27.7126,39.5518,39.3381,26.0895,16.6768,15.9861,8.82052,5.52618,6.08133,8.64711,12.1251,13.3916,7.76093,4.84838,4.42261,4.94477,6.33865,5.3493,6.08927,5.61749,7.16316,7.36393,9.40971,9.49973,9.05823,11.14,12.9694,8.14109,4.79141,3.49496,4.29919,4.22155,8.0424,17.2138,16.4296
9.42514,6.5006,19.2557,49.0837,65.8143,15.3254,6.61662,5.23332,11.5297,18.4831,36.009,43.1972,30.1794,7.70329,2.41977,4.35348,3.86962,5.14083,6.4808,9.27896,15.9421,26.4272,34.672,41.6753,41.0195,33.9698,26.7041,19.797,25.4619,49.8518,51.2265,39.8233,35.4214,37.5119,34.9331,28.0231,26.8421,37.1586,36.2115,24.2316,16.112,17.2015,9.78715,6.50982,7.763,12.3457,18.5496,18.2807,10.9053,6.50514,5.22895,5.81437,6.87169,5.31823,5.52611,4.54471,5.41341,5.02667,6.04298,6.2628,6.3248,9.05331,13.0478,10.0014,7.00393,4.94765,4.71497,3.26449,5.63824,8.45941,6.11556
8.52567,6.18986,22.2386,54.3598,66.1927,15.4718,3.63735,2.7287,7.3352,13.134,26.1561,38.3931,32.7608,12.5197,3.21225,4.35163,3.71608,3.84552,4.22809,6.38764,10.2946,17.0197,23.6484,29.2637,31.15,26.0537,18.5164,13.1835,18.4814,43.0964,49.9965,42.5679,39.4931,40.7597,39.0511,30.287,27.1653,35.0261,33.0381,20.5838,12.1472,12.0763,6.66379,4.59834,6.41438,10.4094,14.44,14.7759,8.55376,5.71369,5.22596,6.39728,7.70158,5.71996,5.95779,4.93526,5.82019,5.27989,6.25807,6.48026,6.11573,9.34094,14.0348,9.79974,6.47693,4.3424,5.48399,5.86565,10.9932,24.5176,23.5276
9.01523,4.86514,17.8106,49.493,63.2193,15.9523,5.85781,2.99742,4.9231,10.1029,23.8855,39.5847,36.5527,10.6835,1.85129,3.67258,3.1221,3.28707,4.67898,6.25566,10.2218,18.6425,27.2969,32.7714,33.7669,29.1696,23.4383,17.6967,22.6659,45.3229,51.0495,43.9591,39.4959,39.2882,37.363,30.4764,28.7797,38.1967,36.1196,23.9405,15.4921,16.1735,9.79162,6.71393,8.29923,12.0543,16.3556,17.3834,9.5249,5.52168,4.82848,5.25599,5.77441,4.39587,4.78276,4.27728,5.64774,5.94593,7.51677,7.8886,7.8771,11.6927,15.7798,10.0298,5.65855,3.3192,3.85739,4.12562,7.31093,15.2614,14.5824
14.9794,10.8898,26.8849,59.0861,65.5334,16.5735,5.83446,5.27043,9.93969,14.7679,27.7165,42.8034,34.2701,9.6242,1.7935,4.22027,5.49892,5.11299,6.35392,8.92502,14.9368,24.5648,32.6444,41.9606,43.6353,37.2864,30.5958,25.7661,37.169,72.1824,73.0897,54.0981,44.6144,40.7215,34.6415,25.9489,23.1891,29.1356,26.9034,16.6704,10.8237,11.2315,6.47804,4.71813,6.08024,9.65759,13.6525,13.9034,8.09058,5.2447,4.93101,5.08776,5.9433,4.95957,5.51806,4.31389,4.85542,4.86571,6.07735,7.14734,8.21741,11.7077,16.4634,12.099,7.78994,5.64093,6.87904,7.2157,14.1894,26.8841,19.1039
9.51893,6.75399,18.4874,46.3225,60.5062,13.4659,6.70086,4.17645,8.05715,14.1334,28.3931,39.1155,32.3651,11.7686,2.55508,4.32711,4.95084,6.21392,7.95696,10.5639,15.754,24.0515,29.302,37.2179,37.7221,29.5792,23.4831,17.9478,24.0128,51.7398,56.627,45.9335,40.6756,38.924,35.5149,26.9918,24.8866,33.9324,32.6657,21.2418,13.8108,14.2262,8.46858,6.08246,7.82681,11.8119,16.1225,15.4724,8.79852,5.25256,4.41841,4.2099,4.52973,3.56148,3.88305,3.63709,4.66119,4.885,6.4819,7.64786,8.37595,10.8343,14.6205,10.6069,7.25059,5.13228,5.69699,5.11664,12.2326,24.7926,19.9152
9.52318,5.94836,21.0442,53.8843,63.6204,11.0959,6.20566,5.01892,9.65311,17.0956,25.128,32.0951,26.6756,9.00027,3.20209,6.54126,7.4022,6.76796,7.63697,9.99376,15.9477,26.8274,36.9369,45.7011,46.9794,38.1887,29.1835,22.6651,31.3595,60.0733,62.2567,48.9532,42.2606,41.1292,37.1188,29.6163,26.1375,33.6484,33.1365,22.4987,13.6912,12.7868,7.37337,5.24328,6.53221,9.88754,14.9291,14.5185,7.87921,4.78076,4.55681,5.33996,7.4879,6.42183,7.39201,6.34547,7.44874,6.71588,7.28247,6.81799,6.01661,8.08105,11.4193,8.31209,5.62115,4.29536,6.03119,6.25988,9.47224,13.7537,8.30532
10.0383,5.35101,21.2337,55.3763,64.3958,13.526,4.03456,4.35991,11.9054,17.1694,26.9404,34.0388,28.0098,10.251,2.45944,4.9245,6.54532,5.61224,5.6681,7.23381,11.7623,20.9396,27.6584,34.2314,35.1125,29.9629,24.7672,19.2436,25.6212,53.2528,60.209,50.4522,46.9613,47.9566,42.5776,31.2623,28.3228,35.7372,32.8748,21.1058,13.1051,13.7912,8.25149,6.05747,7.18118,9.98501,15.1212,16.0266,8.65905,4.81946,3.91332,4.19385,5.25775,4.12514,4.3818,3.86292,5.13063,5.16468,6.45618,7.00228,7.38236,10.5265,14.7199,10.4309,6.99607,5.24256,6.34805,6.43231,12.9202,26.8082,21.9469
