TAC,B2021,B2022,B0,04B0,03B0,02B0,B1951,B2022B2021,B202204B0,B202202B0,B2022B1951,F2020,F2021,F2021F2020,U2021,U2021U2020,PropAge3,PropAge4to10,UT,U20
0,14.2326,9.16811,22.0615,8.82459,6.61844,4.41229,9.74997,0.644162,1.03893,2.07786,0.940321,0,0,nan,0,nan,0.45091,0.480262,0,0
0,6.83422,5.85657,20.0276,8.01103,6.00827,4.00552,9.77006,0.856948,0.731063,1.46213,0.59944,0,0,nan,0,nan,0.254218,0.656228,0,0
0,12.6903,10.894,19.1053,7.64211,5.73159,3.82106,10.5451,0.858447,1.42552,2.85104,1.03308,0,0,nan,0,nan,0.145665,0.699645,0,0
0,6.50601,5.736,20.4498,8.17994,6.13495,4.08997,9.42514,0.881646,0.701228,1.40246,0.608585,0,0,nan,0,nan,0.415814,0.473364,0,0
0,18.0932,14.4496,17.6605,7.0642,5.29815,3.5321,8.52567,0.79862,2.04547,4.09094,1.69483,0,0,nan,0,nan,0.122665,0.762784,0,0
0,12.8972,11.0119,23.1976,9.27904,6.95928,4.63952,9.01523,0.853821,1.18675,2.37349,1.22147,0,0,nan,0,nan,0.406332,0.547106,0,0
0,21.1035,20.6226,25.8458,10.3383,7.75373,5.16915,14.9794,0.97721,1.99477,3.98955,1.37673,0,0,nan,0,nan,0.0849511,0.696989,0,0
0,19.5776,13.2223,29.4576,11.783,8.83727,5.89151,9.51893,0.675376,1.12215,2.24429,1.38905,0,0,nan,0,nan,0.355936,0.556705,0,0
0,11.1228,7.82841,27.3511,10.9404,8.20533,5.47022,9.52318,0.703816,0.715548,1.4311,0.822037,0,0,nan,0,nan,0.281392,0.61953,0,0
0,17.8699,11.7598,28.6555,11.4622,8.59666,5.73111,10.0383,0.658078,1.02596,2.05192,1.17149,0,0,nan,0,nan,0.170236,0.784906,0,0
0,11.5522,9.20138,25.5163,10.2065,7.65489,5.10326,10.832,0.796508,0.90152,1.80304,0.849459,0,0,nan,0,nan,0.122706,0.805232,0,0
0,16.9889,13.4261,21.0541,8.42162,6.31622,4.21081,14.6846,0.790288,1.59424,3.18849,0.9143,0,0,nan,0,nan,0.11112,0.801584,0,0
0,17.2193,14.8088,17.5619,7.02474,5.26856,3.51237,7.86964,0.860011,2.10809,4.21617,1.88176,0,0,nan,0,nan,0.221838,0.668731,0,0
0,24.4266,19.8789,22.3897,8.95589,6.71692,4.47794,8.90169,0.81382,2.21964,4.43929,2.23316,0,0,nan,0,nan,0.215349,0.688131,0,0
0,10.4592,8.05449,28.9193,11.5677,8.67579,5.78386,11.993,0.770086,0.69629,1.39258,0.671598,0,0,nan,0,nan,0.375096,0.472228,0,0
0,11.1595,8.04652,23.0354,9.21416,6.91062,4.60708,9.84358,0.721044,0.873277,1.74655,0.817438,0,0,nan,0,nan,0.227609,0.664724,0,0
0,2.71187,2.73341,25.2113,10.0845,7.56339,5.04226,10.5212,1.00794,0.27105,0.5421,0.2598,0,0,nan,0,nan,0.536214,0.338151,0,0
0,5.74266,5.17659,23.0827,9.23308,6.92481,4.61654,11.7554,0.901428,0.560657,1.12131,0.440359,0,0,nan,0,nan,0.0709152,0.710356,0,0
0,17.3588,13.1909,27.2507,10.9003,8.17521,5.45014,10.5152,0.759895,1.21014,2.42029,1.25447,0,0,nan,0,nan,0.21296,0.706277,0,0
0,9.15449,6.8058,24.8824,9.95296,7.46472,4.97648,12.4009,0.743438,0.683797,1.36759,0.548816,0,0,nan,0,nan,0.2448,0.594089,0,0
0,11.1536,6.1494,18.8869,7.55478,5.66608,3.77739,11.891,0.551337,0.813975,1.62795,0.517145,0,0,nan,0,nan,0.232387,0.753312,0,0
0,8.1773,5.76152,22.0355,8.81419,6.61064,4.40709,14.5342,0.704575,0.653665,1.30733,0.396411,0,0,nan,0,nan,0.0384404,0.883897,0,0
0,6.74227,5.10657,24.5071,9.80285,7.35214,4.90143,11.4754,0.757396,0.520927,1.04185,0.445001,0,0,nan,0,nan,0.135065,0.732834,0,0
0,11.1398,8.17902,22.4778,8.99111,6.74333,4.49556,14.4877,0.734219,0.909678,1.81936,0.564548,0,0,nan,0,nan,0.182752,0.729608,0,0
0,8.38235,6.41127,20.32,8.12802,6.09601,4.06401,7.38128,0.764853,0.788786,1.57757,0.868584,0,0,nan,0,nan,0.173251,0.659088,0,0
0,8.06921,5.13302,16.4424,6.57698,4.93273,3.28849,9.42512,0.636124,0.780452,1.5609,0.544611,0,0,nan,0,nan,0.235618,0.711109,0,0
0,12.529,11.5915,24.858,9.9432,7.4574,4.9716,9.80887,0.925173,1.16577,2.33155,1.18174,0,0,nan,0,nan,0.0799099,0.759166,0,0
0,14.2724,10.7146,21.4678,8.5871,6.44033,4.29355,10.6258,0.750724,1.24776,2.49552,1.00836,0,0,nan,0,nan,0.250383,0.622602,0,0
0,10.4579,6.51373,25.7236,10.2894,7.71708,5.14472,10.6169,0.62285,0.63305,1.2661,0.613527,0,0,nan,0,nan,0.261916,0.706258,0,0
0,7.92448,6.29252,27.0643,10.8257,8.11928,5.41285,8.68535,0.794061,0.581257,1.16251,0.724498,0,0,nan,0,nan,0.0691917,0.773453,0,0
0,10.4799,6.86631,22.6346,9.05384,6.79038,4.52692,12.0393,0.655187,0.758387,1.51677,0.570327,0,0,nan,0,nan,0.203891,0.71384,0,0
0,8.62002,7.59763,21.4579,8.58317,6.43738,4.29159,15.3633,0.881394,0.885177,1.77035,0.494532,0,0,nan,0,nan,0.237582,0.704229,0,0
0,12.1294,10.9065,24.7358,9.89434,7.42075,4.94717,9.50143,0.899178,1.1023,2.2046,1.14788,0,0,nan,0,nan,0.0824706,0.787635,0,0
0,10.7979,10.9364,28.0889,11.2355,8.42666,5.61777,9.8396,1.01283,0.973379,1.94676,1.11147,0,0,nan,0,nan,0.339339,0.506617,0,0
0,10.6719,8.88389,21.5543,8.62172,6.46629,4.31086,7.86058,0.832454,1.03041,2.06082,1.13018,0,0,nan,0,nan,0.205662,0.58219,0,0
0,21.9626,16.9115,25.1521,10.0608,7.54563,5.03042,6.88178,0.770013,1.68093,3.36185,2.45743,0,0,nan,0,nan,0.444142,0.510885,0,0
0,14.1355,11.614,21.9442,8.77766,6.58325,4.38883,13.1188,0.821619,1.32314,2.64627,0.885295,0,0,nan,0,nan,0.139165,0.767367,0,0
0,10.6301,8.26362,27.0926,10.837,8.12777,5.41851,8.37088,0.777381,0.762536,1.52507,0.987187,0,0,nan,0,nan,0.28482,0.623471,0,0
0,7.2033,5.53309,21.5805,8.63221,6.47416,4.31611,8.72579,0.768133,0.640982,1.28196,0.634108,0,0,nan,0,nan,0.233287,0.691468,0,0
0,8.39608,7.18145,22.8711,9.14843,6.86132,4.57422,7.55901,0.855334,0.784992,1.56998,0.950052,0,0,nan,0,nan,0.120713,0.698388,0,0
0,9.62422,7.07504,28.798,11.5192,8.63939,5.75959,10.9886,0.735128,0.614196,1.22839,0.643855,0,0,nan,0,nan,0.280363,0.629392,0,0
0,11.105,7.27843,19.8516,7.94065,5.95549,3.97033,9.19462,0.655416,0.916603,1.83321,0.791596,0,0,nan,0,nan,0.140947,0.786882,0,0
0,12.2217,10.8764,25.3747,10.1499,7.6124,5.07494,10.2479,0.889927,1.07158,2.14316,1.06133,0,0,nan,0,nan,0.201773,0.735015,0,0
0,18.5744,15.5273,23.4152,9.36607,7.02455,4.68303,9.97734,0.835954,1.65783,3.31565,1.55626,0,0,nan,0,nan,0.0927346,0.780066,0,0
0,19.4534,11.713,23.0512,9.2205,6.91537,4.61025,8.26292,0.602106,1.27032,2.54064,1.41754,0,0,nan,0,nan,0.340682,0.634437,0,0
0,11.158,11.1775,26.2423,10.4969,7.87268,5.24845,7.0435,1.00175,1.06484,2.12967,1.58692,0,0,nan,0,nan,0.0728846,0.919668,0,0
0,12.7883,14.4864,25.9201,10.368,7.77604,5.18402,7.95345,1.13279,1.39722,2.79443,1.8214,0,0,nan,0,nan,0.032493,0.663071,0,0
0,15.1613,11.4066,22.79,9.11601,6.83701,4.558,12.5264,0.75235,1.25127,2.50254,0.910603,0,0,nan,0,nan,0.561287,0.34713,0,0
0,10.9816,8.96851,28.2935,11.3174,8.48806,5.6587,8.92206,0.816685,0.792452,1.5849,1.00521,0,0,nan,0,nan,0.31735,0.607967,0,0
0,12.6702,10.3636,22.5444,9.01778,6.76333,4.50889,8.93742,0.81795,1.14924,2.29847,1.15957,0,0,nan,0,nan,0.106202,0.767011,0,0
0,12.7727,12.5437,26.6976,10.679,8.00928,5.33952,18.3116,0.982075,1.17461,2.34922,0.685015,0,0,nan,0,nan,0.251362,0.574378,0,0
0,15.0388,12.7197,24.3247,9.72986,7.2974,4.86493,11.4684,0.845793,1.30728,2.61457,1.1091,0,0,nan,0,nan,0.28303,0.531824,0,0
0,13.2301,8.17258,20.5958,8.23833,6.17875,4.11916,11.3925,0.617726,0.992019,1.98404,0.717364,0,0,nan,0,nan,0.417029,0.563263,0,0
0,8.21704,5.41209,20.588,8.23518,6.17639,4.11759,13.2003,0.658642,0.657191,1.31438,0.409998,0,0,nan,0,nan,0.0477275,0.919489,0,0
0,7.16192,7.45294,21.1841,8.47365,6.35524,4.23683,16.034,1.04063,0.879542,1.75908,0.464822,0,0,nan,0,nan,0.111017,0.738047,0,0
0,14.147,19.8405,29.4907,11.7963,8.84721,5.89814,15.026,1.40245,1.68193,3.36386,1.32041,0,0,nan,0,nan,0.221206,0.519957,0,0
0,28.0761,22.9635,23.7589,9.50356,7.12767,4.75178,12.5886,0.8179,2.4163,4.83261,1.82415,0,0,nan,0,nan,0.191995,0.634828,0,0
0,14.1664,12.7117,18.9097,7.56388,5.67291,3.78194,11.7458,0.897313,1.68058,3.36117,1.08223,0,0,nan,0,nan,0.462579,0.49925,0,0
0,16.9479,19.4152,16.9381,6.77524,5.08143,3.38762,8.26416,1.14558,2.86561,5.73121,2.34932,0,0,nan,0,nan,0.128831,0.596797,0,0
0,26.7302,17.7563,22.0724,8.82896,6.62172,4.41448,9.58482,0.66428,2.01115,4.02229,1.85255,0,0,nan,0,nan,0.623139,0.349434,0,0
0,6.74779,4.44774,19.4202,7.76808,5.82606,3.88404,9.63698,0.65914,0.572566,1.14513,0.461528,0,0,nan,0,nan,0.109038,0.82854,0,0
0,13.5619,11.6592,30.2718,12.1087,9.08154,6.05436,10.6598,0.859706,0.962879,1.92576,1.09376,0,0,nan,0,nan,0.156074,0.731405,0,0
0,8.96224,6.61453,23.1967,9.2787,6.95902,4.63935,7.90297,0.738044,0.712872,1.42574,0.836967,0,0,nan,0,nan,0.235217,0.65405,0,0
0,16.791,10.8172,21.6209,8.64837,6.48628,4.32419,14.8029,0.644224,1.25077,2.50155,0.730748,0,0,nan,0,nan,0.155307,0.79774,0,0
0,11.1204,7.32987,29.71,11.884,8.91299,5.942,9.4967,0.65914,0.616785,1.23357,0.771834,0,0,nan,0,nan,0.19693,0.766058,0,0
0,8.12651,5.56591,28.1332,11.2533,8.43995,5.62664,7.03384,0.684907,0.494603,0.989207,0.791304,0,0,nan,0,nan,0.0790233,0.776427,0,0
0,11.1163,9.10387,23.8493,9.53972,7.15479,4.76986,7.98581,0.818967,0.954312,1.90862,1.14001,0,0,nan,0,nan,0.257283,0.693638,0,0
0,13.81,11.9797,22.0973,8.83892,6.62919,4.41946,8.7667,0.867467,1.35534,2.71068,1.36651,0,0,nan,0,nan,0.0954958,0.753909,0,0
0,5.92073,5.19026,25.0962,10.0385,7.52885,5.01924,8.26942,0.876625,0.517037,1.03407,0.627645,0,0,nan,0,nan,0.336707,0.48434,0,0
0,15.7028,12.8615,21.045,8.41801,6.31351,4.20901,11.271,0.819059,1.52786,3.05572,1.14112,0,0,nan,0,nan,0.214617,0.641857,0,0
0,15.2879,9.6284,19.4845,7.79381,5.84535,3.8969,12.9551,0.629807,1.23539,2.47078,0.743213,0,0,nan,0,nan,0.341079,0.61251,0,0
0,13.9283,10.1225,21.9099,8.76395,6.57296,4.38197,13.3757,0.72676,1.15502,2.31004,0.756783,0,0,nan,0,nan,0.203288,0.76606,0,0
0,6.86141,6.10765,28.0413,11.2165,8.41239,5.60826,7.81528,0.890146,0.544522,1.08904,0.781501,0,0,nan,0,nan,0.0529424,0.841666,0,0
0,9.67306,9.64616,24.3206,9.72823,7.29617,4.86411,11.4012,0.997219,0.991564,1.98313,0.846069,0,0,nan,0,nan,0.158332,0.666452,0,0
0,13.1614,11.3915,23.9037,9.56148,7.17111,4.78074,12.1133,0.865524,1.1914,2.38279,0.940413,0,0,nan,0,nan,0.33363,0.526765,0,0
0,8.79078,6.53917,24.593,9.83721,7.37791,4.91861,13.4462,0.743867,0.664738,1.32948,0.48632,0,0,nan,0,nan,0.394003,0.505971,0,0
