N_ag1_age2_1951,N_ag1_age3_1951,N_ag1_age4_1951,N_ag1_age5_1951,N_ag1_age6_1951,N_ag1_age7_1951,N_ag1_age8_1951,N_ag1_age9_1951,N_ag1_age10_1951
369.968,586.576,614.234,124.684,55.0935,9.66555,7.61057,6.00725,8.36224
309.41,441.908,449.12,111.8,57.7115,9.02196,11.4815,1.44264,1.28024
383.79,659.081,594.205,134.765,37.663,2.94895,13.4742,9.94123,1.5819
309.513,621.724,748.907,151.241,19.6059,0.606798,0.66841,17.0432,4.25597
346.147,755.403,700.544,104.26,20.6123,2.26194,11.5853,36.8899,1.31657
234.903,492.16,673.167,63.4633,31.8886,18.9171,25.7448,33.2585,5.85647
357.631,641.379,774.847,53.4571,60.7263,0.745061,13.9975,16.652,18.5246
297.366,501.245,526.604,79.7869,80.5865,11.9107,9.0439,3.9616,11.3123
371.291,544.407,757.77,187.907,40.3462,5.01196,5.1329,1.02979,14.574
328.13,661.674,481.694,74.5269,22.0533,17.7563,0.514763,0.814633,40.6667
315.781,457.364,381.576,288.659,67.4221,4.83486,0.105831,2.74473,23.3081
556.377,629.555,360.461,169.414,69.2927,12.2186,6.25516,0.239007,13.1488
626.293,587.241,590.886,83.3918,64.4324,5.79577,10.4224,1.7476,3.183
341.025,569.25,806.683,59.0152,28.248,5.60473,25.0981,9.54616,0.599312
534.857,653.945,443.576,176.207,58.5807,2.22638,9.808,2.96529,0.884145
479.029,671.555,623.795,140.872,117.121,3.0339,17.7524,2.09734,4.2708
259.784,466.154,433.511,93.4269,99.8436,25.3407,14.6071,2.72238,6.35131
249.486,467.148,598.966,145.645,78.6603,1.13932,6.3041,8.22579,7.94891
308.738,683.368,521.52,114.494,83.3035,30.936,59.4749,2.29385,1.84893
439.273,591.027,423.478,184.569,168.573,18.0388,4.03227,1.49804,0.224613
378.314,489.9,429.581,166.446,57.9057,20.6209,1.23501,0.916112,2.04218
547.276,445.693,471.958,135.086,87.2081,21.738,1.34118,0.284974,8.09433
522.027,961.586,675.461,119.876,37.4391,47.708,22.5947,0.772842,13.9053
274.006,436.108,532.86,124.225,55.1953,13.1397,7.73787,6.51503,6.13594
265.497,389.847,696.42,95.123,64.7623,1.52946,23.6557,29.3358,4.6726
