N_ag1_age2_t1951,N_ag1_age2_t1952,N_ag1_age2_t1953,N_ag1_age2_t1954,N_ag1_age2_t1955,N_ag1_age2_t1956,N_ag1_age2_t1957,N_ag1_age2_t1958,N_ag1_age2_t1959,N_ag1_age2_t1960,N_ag1_age2_t1961,N_ag1_age2_t1962,N_ag1_age2_t1963,N_ag1_age2_t1964,N_ag1_age2_t1965,N_ag1_age2_t1966,N_ag1_age2_t1967,N_ag1_age2_t1968,N_ag1_age2_t1969,N_ag1_age2_t1970,N_ag1_age2_t1971,N_ag1_age2_t1972,N_ag1_age2_t1973,N_ag1_age2_t1974,N_ag1_age2_t1975,N_ag1_age2_t1976,N_ag1_age2_t1977,N_ag1_age2_t1978,N_ag1_age2_t1979,N_ag1_age2_t1980,N_ag1_age2_t1981,N_ag1_age2_t1982,N_ag1_age2_t1983,N_ag1_age2_t1984,N_ag1_age2_t1985,N_ag1_age2_t1986,N_ag1_age2_t1987,N_ag1_age2_t1988,N_ag1_age2_t1989,N_ag1_age2_t1990,N_ag1_age2_t1991,N_ag1_age2_t1992,N_ag1_age2_t1993,N_ag1_age2_t1994,N_ag1_age2_t1995,N_ag1_age2_t1996,N_ag1_age2_t1997,N_ag1_age2_t1998,N_ag1_age2_t1999,N_ag1_age2_t2000,N_ag1_age2_t2001,N_ag1_age2_t2002,N_ag1_age2_t2003,N_ag1_age2_t2004,N_ag1_age2_t2005,N_ag1_age2_t2006,N_ag1_age2_t2007,N_ag1_age2_t2008,N_ag1_age2_t2009,N_ag1_age2_t2010,N_ag1_age2_t2011,N_ag1_age2_t2012,N_ag1_age2_t2013,N_ag1_age2_t2014,N_ag1_age2_t2015,N_ag1_age2_t2016,N_ag1_age2_t2017,N_ag1_age2_t2018,N_ag1_age2_t2019,N_ag1_age2_t2020,N_ag1_age2_t2021
369.968,268.018,510.108,129.434,281.044,154.608,252.174,522.399,165.275,1107.44,628.524,312.409,1026.96,246.898,120.365,82.9262,155.011,104.935,196.464,209.629,81.8663,211.2,210.388,141.486,67.8856,97.1984,52.4464,50.6464,270.956,129.058,135.435,198.716,523.433,193.429,156.086,412.752,323.699,216.383,108.322,442.919,371.885,155.855,70.2151,119.605,395.196,182.484,276.309,88.1392,195.266,304.752,193.863,554.874,94.0831,172.327,149.522,394.599,153.138,150.744,243.665,301.877,165.415,244.313,89.1476,466.812,214.598,112.053,323.122,432.827,297.774,200.209,206.912
309.41,175.36,441.28,140.364,267.392,197.824,195.137,481.58,171.419,1232.5,404.169,356.146,1091.06,217.585,104.946,68.2262,68.4801,106.797,127.011,165.788,70.0037,154.905,161.272,136.867,54.9367,78.6898,49.2921,47.6961,250.068,137.476,139.765,168.604,498.154,163.826,152.188,350.244,304.479,232.611,97.6476,429.13,400.089,214.025,74.8696,119.029,409.811,164.065,237.342,56.801,153.856,204.585,193.684,425.607,67.4872,117.459,136.633,303.971,134.834,137.51,204.763,271.197,145.912,230.9,75.1384,458.735,224.193,149.007,359.833,637.845,819.381,345.704,190.923
383.79,284.346,405.257,138.547,254.502,136.952,259.036,467.782,129.007,1201.68,634.093,293.098,647.402,211.678,96.1607,115.827,103.769,132.292,231.335,206.643,93.9898,261.724,214.158,154.344,75.0943,101.865,62.6705,55.5972,262.624,138.007,188.923,246.387,576.432,213.019,152.901,631.087,338.244,222.675,141.314,489.152,400.821,149.688,66.6258,77.4723,301.744,125.968,230.931,61.6803,122.688,215.275,149.492,419.692,68.3346,139.074,133.06,428.033,151.642,156.244,249.829,301.151,189.801,345.534,114.425,612.583,387.934,149.887,424.361,462.056,1223.69,615.679,214.959
309.513,219.468,604.324,127.801,422.312,156.422,323.635,737.008,204.382,1470.45,788.768,495.551,1417.45,424.363,140.283,231.874,150.926,85.9541,223.285,134.872,62.9198,180.278,168.311,119.876,64.0241,110.103,59.4278,48.5988,304.275,119.866,145.972,197.733,548.002,220.39,182.846,517.981,419.087,299.745,128.874,550.275,565.267,224.893,76.7877,132.056,485.712,212.659,305.55,108.806,182.174,294.252,214.576,579.549,99.1185,140.082,131.675,301.053,125.703,89.2752,183.556,205.883,137.909,217.904,91.4121,615.982,234.445,192.227,390.473,332.586,1031.1,192.152,225.672
346.147,370.994,516.455,222.634,353.394,180.592,292.151,698.36,172.717,1126.47,899.303,355.253,1718.27,651.92,277.356,130.623,282.543,137.828,312.865,293.03,106.13,236.295,218.296,169.377,80.4969,133.115,78.3015,74.9713,453.107,168.427,209.336,239.346,621.65,216.005,156.777,493.955,361.777,285.033,157.639,654.428,521.892,261.35,83.6419,146.457,513.42,225.832,314.285,134.751,242.867,455.629,293.605,677.102,138.192,179.847,165.374,474.028,158.693,128.405,194.034,246.613,123.265,173.723,62.3248,328.567,151.955,78.3848,213.197,207.362,516.289,312.78,250.297
234.903,250.825,618.182,114.567,282.816,156.965,246.254,513.587,171.069,1318.09,681.505,351.244,815.342,210.956,249.628,95.1571,138.918,154.275,194.124,252.639,103.009,172.448,209.449,135.864,69.5252,100.848,60.2706,59.4166,282.449,137.975,139.25,245.966,624.492,228.027,175.351,461.036,325.672,207.039,90.055,374.231,309.736,142.479,75.2072,104.178,377.296,201.11,319.259,93.5511,212.285,347.921,180.037,633.402,78.9641,122.658,131.127,327.157,119.681,117.141,233.094,312.814,143.731,257.517,90.665,492.153,281.077,170.939,487.539,519.228,311.101,80.8284,210.035
357.631,323.162,507.915,83.5868,319.583,147.83,372.922,542.111,196.635,1270.9,701.781,213.281,1324.23,292.543,132.515,257.363,190.161,87.2888,246.294,241.772,107.139,286.563,260.677,200.35,81.4759,120.362,59.46,66.4047,326.738,162.624,115.789,182.385,570.55,209.049,188.065,484.362,366.058,276.583,120.662,770.381,492.464,215.634,92.0442,135.567,465.008,186.324,348.988,109.805,179.967,358.065,270.21,779.375,112.909,205.801,175.34,352.978,116.222,113.12,185.05,195.732,136.632,143.429,72.1087,383.136,189.103,90.289,273.056,313.491,24.8836,350.33,217.822
297.366,178.62,511.816,122.798,257.761,134.756,208.905,527.87,125.688,1026.93,556.01,436.217,1120.86,214.612,171.173,100.465,173.697,131.842,227.219,192.179,57.8064,165.178,184.108,105.92,61.9985,71.4977,46.371,44.1806,252.667,117.945,110.211,181.223,397.019,196.32,124.915,387.377,315.378,193.238,86.0458,422.722,350.7,139.009,65.0529,106.29,358.151,221,277.304,76.6744,198.35,281.977,180.217,580.794,86.6043,200.782,134.678,394.572,134.165,171.039,248.089,262.496,137.778,215.26,75.5839,476.994,193.995,103.119,410.805,342.903,169.979,94.5964,189.561
371.291,291.894,515.465,109.2,379.067,160.87,323.91,480.475,135.982,1098.1,694.193,356.786,1028.96,188.577,227.464,61.3307,213.449,109.139,168.517,189.684,70.5985,159.721,170.603,147.142,58.9399,79.1411,44.2165,47.6424,253.179,157.76,138.432,211.811,506.374,195.723,153.641,459.397,371.023,244.239,86.0301,379.525,358.647,176.563,61.5475,104.087,296.954,155.088,231.78,66.8842,178.31,246.323,146.416,477.654,90.917,150.871,171.684,457.126,191.717,161.233,270.808,296.808,175.496,297.936,86.8316,506.326,180.227,135.855,321.545,463.112,502.965,111.749,203.366
328.13,183.56,469.44,77.655,240.639,168.805,234.053,590.417,148.371,1216.2,801.149,351.576,1009.06,239.029,54.791,47.2675,116.789,79.8508,161,185.847,99.4961,200.11,296.462,187.964,82.6354,118.286,84.9577,58.0054,241.276,132.216,137.529,184.596,477.407,186.363,154.166,322.325,321.745,210.332,130.924,585.524,481.134,215.783,82.6912,165.889,423.592,191.915,238.78,89.2519,158.705,240.658,155.354,443.232,70.3242,148.671,144.365,367.046,159.122,153.661,307.975,271.541,153.313,240.262,74.8798,428.688,215.411,134.184,431.615,607.94,135.652,459.166,203.216
315.781,190.049,504.506,87.9222,263.685,125.445,156.531,482.795,117.344,1484.87,605.226,454.07,1213.7,321.576,138.5,77.6756,356.915,228.267,247.299,260.753,95.8701,249.688,186.715,124.207,56.4454,82.8437,39.9012,33.6551,175.89,77.4536,110.491,155.275,431.036,197.156,135.582,448.29,325.648,208.006,105.5,493.058,412.142,170.314,61.7749,136.115,375.648,167.772,300.381,116.598,212.357,327.436,200.845,620.314,113.649,231.197,168.795,367.019,185.601,154.228,266.62,247.503,133.458,224.116,49.3223,314.143,113.003,56.322,257.392,272.811,69.6477,212.327,193.076
556.377,202.205,479.536,144.102,197.413,131.716,267.687,561.904,136.186,896.492,538.26,275.721,998.814,267.104,188.558,87.1971,129.446,95.5849,202.189,221.872,60.874,189.581,183.789,133.186,71.1978,116.789,66.3243,66.2506,363.832,155.646,164.585,232.478,533.902,173.269,108.605,341.243,248.689,171.853,91.1673,341.42,401.768,178.237,88.6266,140.684,662.772,287.698,402.059,109.699,191.094,348.494,172.858,390.589,76.528,110.033,132.19,367.163,168.636,169.903,245.262,312.544,171.467,218.431,72.177,301.371,115.067,84.5538,236.522,251.365,1015.96,174.863,204.009
626.293,249.715,322.386,100.029,268.243,175.215,248.457,477.926,130.465,1126.57,608.399,276.918,1089.02,234.945,212.072,184.71,176.793,167.24,268.045,294.995,99.7489,203.424,285.148,176.835,88.0443,148.512,76.671,90.3356,450.527,205.096,253.86,300.855,676.353,245.758,178.971,501.778,359.59,167.26,101.854,401.511,366.369,157.83,97.2304,121.676,495.487,209.869,292.704,100.255,176.797,261.197,179.584,426.488,94.175,140.736,137.753,367.676,153.412,189.676,308.276,344.053,161.44,243.167,76.5727,424.966,155.588,98.9018,193.402,313.078,470.67,235.329,226.463
341.025,341.685,379.566,142.472,257.877,157.711,284.266,462.22,128.155,923.596,577.993,250.113,738.617,191.68,73.5473,108.335,205.549,131.098,201.944,269.368,84.0192,247.541,199.145,113.617,61.8301,82.0164,35.4883,40.9824,250.328,115.437,138.364,216.738,518.06,239.996,180.339,480.068,447.274,251.5,100.953,420.997,359.366,146.091,57.6431,95.216,356.689,168.269,214.475,72.3461,165.824,300.648,144.313,429.546,78.4267,173.743,150.832,430.302,166.592,171.732,279.688,300.782,190.557,200.135,56.3092,338.685,218.158,108.23,259.898,490.607,96.0387,193.127,193.036
534.857,469.198,331.378,126.386,275.292,188.646,205.846,509.638,125.703,767.178,498.888,232.015,941.51,223.729,131.489,124.884,127.329,112.29,180.645,182.692,59.9149,160.135,149.037,100.568,51.2088,63.8976,29.5826,34.4752,180.254,67.9377,72.3736,117.034,362.857,120.763,123.042,230.094,245.722,146.433,72.0172,319.549,321.831,124.962,63.3566,86.0229,386.466,176.735,188.758,74.349,204.129,285.818,188.763,485.195,139.011,214.82,217.569,482.748,207.448,209.11,339.689,337.927,171.3,178.389,58.5467,376.938,172.563,111.46,291.988,458.997,191.768,67.0007,176.903
479.029,234.643,434.684,178.361,199.827,171.442,312.11,471.008,201.1,915.032,736.909,295.512,906.23,423.499,89.5331,31.2705,109.136,91.7086,105.756,161.772,74.5623,203.879,164.724,147.831,91.4683,126.279,71.1303,54.9274,392.996,141.507,196.779,212.502,600.552,219.776,168.491,405.657,318.944,236.711,101.967,467.504,423.877,131.611,82.6509,138.384,401.884,182.632,237.153,68.2794,180.668,307.712,182.651,505.578,82.3551,144.053,135.599,439.731,159.907,143.875,265.381,280.229,152.545,184.735,69.5151,435.893,214.502,169.354,316.857,933.202,183.076,373.448,206.611
259.784,197.848,494.261,90.9427,301.92,198.732,253.967,392.527,153.874,1259.68,810.742,388.955,1576.02,319.79,167.776,85.2747,193.792,195.56,230.789,184.905,87.0383,186.23,233.677,152.373,72.5775,121,70.9685,60.0595,407.133,204.494,232.666,255.122,768.047,267.386,184.71,576.218,381.198,254.473,105.384,486.803,495.859,170.198,69.1089,119.611,372.39,230.177,255.711,110.076,199.54,284.702,231.176,573.018,105.052,193.334,165.689,515.865,166.929,140.923,327.347,362.085,164.008,245.35,83.6024,386.202,132.707,86.6321,241.198,311.022,207.756,175.854,223.361
249.486,274.304,486.006,146.391,271.172,102.544,284.767,540.182,219.869,1146.25,489.053,372.321,1186.17,436.472,102.06,144.795,137.521,183.349,243.267,312.816,108.915,288.786,264.658,196.855,98.4475,148.204,103.425,65.7376,498.472,216.408,206.433,280.497,713.716,253.956,211.595,469.214,370.881,220.329,120.472,472.001,427.627,148.699,62.8774,120.044,304.507,160.919,197.946,76.4609,155.586,290.382,176.953,586.558,122.732,295.985,196.721,540.167,180.421,145.924,250.996,308.947,141.768,245.361,64.424,332.934,173.179,105.313,427.926,505.979,219.307,224.987,230.397
