m_age2_1951,m_age2_1952,m_age2_1953,m_age2_1954,m_age2_1955,m_age2_1956,m_age2_1957,m_age2_1958,m_age2_1959,m_age2_1960,m_age2_1961,m_age2_1962,m_age2_1963,m_age2_1964,m_age2_1965,m_age2_1966,m_age2_1967,m_age2_1968,m_age2_1969,m_age2_1970,m_age2_1971,m_age2_1972,m_age2_1973,m_age2_1974,m_age2_1975,m_age2_1976,m_age2_1977,m_age2_1978,m_age2_1979,m_age2_1980,m_age2_1981,m_age2_1982,m_age2_1983,m_age2_1984,m_age2_1985,m_age2_1986,m_age2_1987,m_age2_1988,m_age2_1989,m_age2_1990,m_age2_1991,m_age2_1992,m_age2_1993,m_age2_1994,m_age2_1995,m_age2_1996,m_age2_1997,m_age2_1998,m_age2_1999,m_age2_2000,m_age2_2001,m_age2_2002,m_age2_2003,m_age2_2004,m_age2_2005,m_age2_2006,m_age2_2007,m_age2_2008,m_age2_2009,m_age2_2010,m_age2_2011,m_age2_2012,m_age2_2013,m_age2_2014,m_age2_2015,m_age2_2016,m_age2_2017,m_age2_2018,m_age2_2019,m_age2_2020
0.428788,0.32961,0.2555,0.20277,0.166881,0.143931,0.131153,0.126999,0.131112,0.144201,0.167997,0.205126,0.258445,0.329186,0.41332,0.499306,0.570638,0.611376,0.613206,0.57945,0.52318,0.459959,0.400442,0.350045,0.310579,0.281888,0.262976,0.252656,0.249958,0.254162,0.264648,0.280662,0.300972,0.323498,0.345683,0.365066,0.379626,0.388166,0.39059,0.387977,0.382072,0.37457,0.36697,0.360554,0.356414,0.355513,0.358669,0.366341,0.37859,0.395007,0.414551,0.435308,0.45441,0.469137,0.477708,0.479619,0.475783,0.468439,0.460863,0.456015,0.455587,0.460141,0.469168,0.480975,0.492453,0.499806,0.500368,0.493116,0.478812,0.459819
0.273599,0.224194,0.184395,0.153459,0.13039,0.114233,0.104309,0.100441,0.103222,0.113983,0.135034,0.169941,0.223095,0.297506,0.389317,0.483436,0.557031,0.589229,0.572792,0.518258,0.447236,0.379668,0.325202,0.28615,0.261426,0.248801,0.245665,0.249111,0.25681,0.267024,0.278415,0.290038,0.301436,0.312717,0.324161,0.335877,0.347761,0.359453,0.370301,0.379341,0.385574,0.388432,0.387879,0.384429,0.379101,0.373349,0.368785,0.36655,0.367278,0.371145,0.377881,0.386718,0.396383,0.405625,0.413498,0.419428,0.423266,0.425327,0.426377,0.427308,0.428849,0.431554,0.435814,0.441859,0.449757,0.459452,0.470846,0.483793,0.498089,0.513457
0.395,0.306895,0.23976,0.190391,0.155291,0.131426,0.11655,0.109333,0.109449,0.117429,0.13476,0.164013,0.208569,0.271268,0.351041,0.439804,0.522986,0.58326,0.60759,0.593461,0.549903,0.491627,0.430878,0.37543,0.329177,0.293427,0.268143,0.252794,0.246739,0.249459,0.260591,0.279715,0.30588,0.336927,0.369702,0.400595,0.425946,0.442696,0.449069,0.445013,0.432013,0.412458,0.3892,0.365163,0.343074,0.325388,0.314117,0.31029,0.314231,0.325731,0.343897,0.366685,0.390466,0.411367,0.426401,0.434104,0.434972,0.431501,0.427851,0.428057,0.434787,0.449559,0.472831,0.503753,0.539529,0.575762,0.608411,0.634609,0.653329,0.665841
0.514819,0.395499,0.307081,0.245512,0.205116,0.181014,0.1699,0.170103,0.18148,0.205262,0.24383,0.300101,0.375939,0.468892,0.567323,0.650142,0.695268,0.690067,0.638173,0.557303,0.470139,0.393898,0.33518,0.294207,0.268711,0.255846,0.252678,0.256111,0.263734,0.273839,0.28526,0.297399,0.310339,0.324938,0.342141,0.36236,0.385299,0.409708,0.433076,0.451427,0.460537,0.458192,0.444879,0.423648,0.399344,0.377686,0.363972,0.361124,0.370341,0.391578,0.423082,0.459986,0.493039,0.512483,0.512174,0.491828,0.457114,0.417493,0.3833,0.361649,0.355729,0.367096,0.396767,0.44481,0.50819,0.579542,0.649954,0.711047,0.757814,0.79114
0.478283,0.398905,0.333348,0.280532,0.239401,0.208989,0.188606,0.178154,0.178535,0.19143,0.219614,0.267285,0.339288,0.437884,0.555532,0.67044,0.753124,0.779529,0.744578,0.66497,0.569181,0.481661,0.413159,0.365422,0.336338,0.322582,0.320291,0.32497,0.332884,0.341283,0.348332,0.353245,0.356429,0.359463,0.364015,0.371085,0.380975,0.393238,0.406532,0.418467,0.426339,0.428505,0.424735,0.416264,0.405611,0.396293,0.392087,0.395473,0.407729,0.429076,0.458387,0.492413,0.525122,0.54996,0.561958,0.558983,0.542366,0.516561,0.487972,0.462182,0.442445,0.430283,0.42604,0.429179,0.438278,0.451383,0.466865,0.483474,0.500374,0.517225
0.344307,0.286921,0.239507,0.201221,0.171301,0.149067,0.134035,0.12613,0.125985,0.134818,0.154723,0.189058,0.242175,0.317557,0.412916,0.515808,0.605269,0.658737,0.662935,0.621063,0.5506,0.47247,0.40051,0.341157,0.296031,0.264389,0.244734,0.235647,0.236122,0.245554,0.26349,0.289131,0.320545,0.353735,0.383417,0.404648,0.41412,0.411223,0.398304,0.380033,0.361364,0.345647,0.334806,0.329759,0.330734,0.337392,0.348947,0.364562,0.38331,0.404048,0.425325,0.445319,0.461921,0.473305,0.478364,0.476891,0.469634,0.458192,0.444806,0.431832,0.421388,0.415413,0.415837,0.424847,0.445277,0.480739,0.53536,0.613923,0.721583,0.862653
0.584194,0.391242,0.267803,0.194256,0.153089,0.13288,0.127341,0.13355,0.150359,0.177844,0.216698,0.267268,0.328528,0.397079,0.466555,0.528306,0.573557,0.596024,0.593981,0.570773,0.533619,0.490752,0.448255,0.409785,0.377101,0.350669,0.330151,0.314789,0.303961,0.297297,0.294644,0.296063,0.301839,0.31249,0.328442,0.349709,0.375665,0.404691,0.433727,0.457938,0.472011,0.472801,0.460374,0.437994,0.411212,0.386649,0.370379,0.365759,0.374273,0.396225,0.430383,0.472516,0.513749,0.543821,0.554926,0.544385,0.515701,0.477258,0.439506,0.410163,0.39255,0.38735,0.393599,0.408668,0.427417,0.442845,0.449312,0.443904,0.427164,0.40286
0.32978,0.242371,0.180308,0.138728,0.112317,0.0969493,0.0900182,0.0903322,0.0980101,0.114469,0.142528,0.186407,0.25099,0.339237,0.446544,0.556354,0.643584,0.684657,0.669894,0.608783,0.523959,0.438045,0.363766,0.305518,0.2631,0.234513,0.21747,0.210031,0.210915,0.219364,0.234831,0.256562,0.283005,0.311175,0.337204,0.357439,0.369296,0.372003,0.366906,0.3572,0.346556,0.337659,0.332223,0.331202,0.334965,0.343359,0.355791,0.371584,0.389961,0.409965,0.43039,0.449751,0.466335,0.478672,0.485861,0.487709,0.484786,0.478374,0.470326,0.462404,0.455791,0.451123,0.448545,0.447744,0.447958,0.448214,0.447805,0.446337,0.443738,0.440252
0.517622,0.354644,0.246744,0.179034,0.138276,0.115315,0.104685,0.103656,0.111495,0.129141,0.159038,0.2048,0.270142,0.356136,0.456146,0.55302,0.623929,0.650097,0.626674,0.565169,0.486761,0.410894,0.347531,0.299497,0.266029,0.245087,0.234422,0.231941,0.236193,0.24623,0.261293,0.280557,0.302878,0.326597,0.349715,0.37021,0.386284,0.396645,0.400746,0.398894,0.392078,0.381637,0.369097,0.356041,0.344033,0.334599,0.329117,0.328462,0.333077,0.343043,0.358035,0.377143,0.398708,0.420855,0.441848,0.460231,0.475023,0.485885,0.4932,0.497667,0.49986,0.500177,0.498815,0.495762,0.490802,0.483682,0.474385,0.463155,0.450459,0.436951
0.4167,0.263003,0.171007,0.120249,0.0944381,0.0841579,0.0850545,0.0958567,0.116692,0.148382,0.191638,0.245817,0.307956,0.372621,0.433027,0.48252,0.515792,0.530246,0.526615,0.508591,0.48176,0.451862,0.422944,0.397334,0.376031,0.359077,0.345822,0.33519,0.326365,0.318934,0.312825,0.308274,0.305805,0.306218,0.310212,0.318156,0.33008,0.345599,0.36376,0.382827,0.400563,0.414945,0.424451,0.428292,0.426564,0.420249,0.410967,0.40039,0.390081,0.381469,0.375881,0.37463,0.379049,0.38998,0.407528,0.430883,0.457892,0.484493,0.504383,0.51159,0.503744,0.482857,0.454677,0.427144,0.409147,0.408787,0.43206,0.485203,0.575872,0.711592
