ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
313.02,0.723801,0.428788,206.912,251.738,0.286456,1.29307, 27.7592, 54.7518,0.543329,1.00079,25.3526,4.95977,1.10017,3.29456,0.415532,5.66824,0.532708,2.055,0.05,2.055,0.05,-884.29
320.453,0.711322,0.273599,190.923,76.0673,0.269741,1.08706, 28.5581, 64.3243,0.556712,0.999763,41.2328,5.15661,1.19563,3.20274,0.39457,5.68516,0.53619,2.055,0.05,2.055,0.05,-781.769
350.022,0.657231,0.395,214.959,167.468,0.332431,1.08254, 18.7412, 61.396,0.514728,0.982558,34.1133,5.20151,1.15005,3.42482,0.467774,5.59768,0.50927,2.055,0.05,2.055,0.05,-778.75
550.002,0.538404,0.514819,225.672,192.951,0.306232,0.947317, 23.5542, 82.1141,0.521916,0.992952,20.7331,5.11248,1.0957,3.27922,0.4014,5.67776,0.526156,2.055,0.05,2.055,0.05,-769.216
464.149,0.675766,0.478283,250.297,252.879,0.317749,1.06008, 41.569, 65.1353,0.459243,0.994033,22.6554,4.62687,0.945742,3.30985,0.431079,5.64811,0.509757,2.055,0.05,2.055,0.05,-773.71
335.617,0.679916,0.344307,210.035,214.299,0.313495,1.2971, 17.0965, 56.8113,0.51308,0.990193,14.6146,4.83563,1.01501,3.28715,0.406063,5.6022,0.522327,2.055,0.05,2.055,0.05,-766.994
343.075,0.828224,0.584194,217.822,485.112,0.310132,1.29865, 37.7457, 54.894,0.487366,0.996948,19.7997,4.6635,0.981125,3.27608,0.379741,5.66137,0.536769,2.055,0.05,2.055,0.05,-763.128
276.125,0.765354,0.32978,189.561,154.756,0.340882,1.09694, 28.8867, 52.4051,0.571488,1.00908,24.1543,4.50306,0.965883,3.27487,0.42097,5.72235,0.543239,2.055,0.05,2.055,0.05,-788.895
318.715,0.668293,0.517622,203.366,296.86,0.228517,1.2603, 31.1712, 57.6955,0.556327,0.997146,32.6934,4.72316,1.04209,3.11885,0.352097,5.67511,0.527503,2.055,0.05,2.055,0.05,-791.442
281.908,0.893349,0.4167,203.216,143.945,0.306562,1.26744, 21.7717, 49.457,0.578149,0.989373,21.5153,5.0358,1.13263,3.29805,0.425721,5.61592,0.523148,2.055,0.05,2.055,0.05,-774.117
255.681,0.771945,0.380406,193.076,115.28,0.29362,1.03527, 57.8501, 47.2081,0.560536,1.00516,32.1074,4.76475,1.03009,3.19125,0.396809,5.63317,0.529501,2.055,0.05,2.055,0.05,-761.908
326.045,0.707762,0.434656,204.009,185.882,0.267214,1.03266, 54.9892, 60.2929,0.536887,0.993318,55.2452,4.80438,1.09378,3.34425,0.457161,5.66439,0.532049,2.055,0.05,2.055,0.05,-770.601
385.789,0.647573,0.493718,226.463,244.215,0.270849,1.27643, 59.6241, 64.8449,0.497475,0.992243,38.4086,4.76909,1.04786,3.16628,0.373949,5.55605,0.512383,2.055,0.05,2.055,0.05,-770.113
317.093,0.681695,0.469781,193.036,218.492,0.231356,1.22734, 65.6046, 62.5012,0.557094,0.993423,41.2447,4.64571,1.00834,3.26776,0.411846,5.53447,0.507674,2.055,0.05,2.055,0.05,-778.507
230.659,0.690779,0.384828,176.903,124.68,0.283632,1.4314, 36.0537, 48.4685,0.631948,0.999079,32.7617,4.45604,1.0264,3.29992,0.416653,5.67994,0.56006,2.055,0.05,2.055,0.05,-758.033
388.813,0.719955,0.460149,206.611,257.701,0.296905,1.10619, 19.9296, 66.6415,0.522783,0.99172,14.6953,4.97808,1.08145,3.27975,0.408221,5.67356,0.524287,2.055,0.05,2.055,0.05,-755.881
398.321,0.792,0.28638,223.361,131.713,0.2327,1.05589, 34.9994, 64.8794,0.479922,0.983616,17.4388,4.44747,0.955974,3.24865,0.383525,5.72759,0.564949,2.055,0.05,2.055,0.05,-758.142
