rdev1_1953,rdev1_1954,rdev1_1955,rdev1_1956,rdev1_1957,rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017,rdev1_2018,rdev1_2019,rdev1_2020
0.902328,-0.469122,0.306217,-0.2914,0.197825,0.926137,-0.224684,1.67751,1.11108,0.412018,1.60206,0.17668,-0.541765,-0.914344,-0.288802,-0.678958,-0.051814,0.0130463,-0.927207,0.0205096,0.0166565,-0.380094,-1.11447,-0.755541,-1.3725,-1.40743,0.269662,-0.472033,-0.423804,-0.0404162,0.928114,-0.0673834,-0.281888,0.690552,0.447519,0.0447539,-0.647187,0.761092,0.586291,-0.283368,-1.08073,-0.548103,0.647087,-0.125634,0.289225,-0.853377,-0.0579326,0.387204,-0.0651439,0.986446,-0.788116,-0.1829,-0.324852,0.645576,-0.300953,-0.316714,0.163501,0.377724,-0.22384,0.166154,-0.842001,0.813631,0.0364695,-0.613327,0.445736,0.738043,0.36404,-0.0329308
0.837809,-0.307635,0.336844,0.0355075,0.0218318,0.925202,-0.107759,1.86493,0.749963,0.623469,1.74303,0.130717,-0.598421,-1.02904,-1.02533,-0.580944,-0.407596,-0.141159,-1.00332,-0.209059,-0.168776,-0.332859,-1.24569,-0.886357,-1.35411,-1.38702,0.269862,-0.328419,-0.311911,-0.124321,0.959038,-0.153064,-0.226756,0.606758,0.46673,0.197495,-0.670506,0.809888,0.739817,0.114222,-0.936123,-0.472504,0.763825,-0.151606,0.217629,-1.21232,-0.215855,0.0691139,0.0143564,0.801645,-1.03993,-0.48578,-0.334574,0.465062,-0.347827,-0.328175,0.0699807,0.350975,-0.268866,0.190116,-0.932539,0.876601,0.160637,-0.247879,0.63377,1.20622,1.45668,0.593713
0.634073,-0.439241,0.16886,-0.450818,0.186519,0.777553,-0.51058,1.72102,1.08175,0.310056,1.10252,-0.0153816,-0.804429,-0.618353,-0.728287,-0.48544,0.0734195,-0.039455,-0.827264,0.196842,-0.00373323,-0.331263,-1.0517,-0.746801,-1.23256,-1.35232,0.200275,-0.443144,-0.129108,0.136455,0.986408,-0.00906786,-0.340658,1.07699,0.453317,0.0352644,-0.419465,0.822224,0.623065,-0.361897,-1.17136,-1.02053,0.339129,-0.53442,0.0716678,-1.24848,-0.560807,0.00146596,-0.363207,0.669072,-1.14603,-0.43544,-0.479653,0.688752,-0.348928,-0.31903,0.150326,0.337163,-0.124473,0.474642,-0.630527,1.04723,0.590386,-0.360567,0.680136,0.765237,1.73918,1.05228
0.985028,-0.568607,0.626661,-0.366525,0.360535,1.18352,-0.099092,1.87424,1.25139,0.786588,1.83753,0.631508,-0.475418,0.0271122,-0.40229,-0.965269,-0.0106329,-0.514757,-1.27722,-0.224582,-0.293269,-0.632629,-1.25982,-0.717667,-1.33432,-1.53548,0.298848,-0.63271,-0.435669,-0.132167,0.887197,-0.0236838,-0.210439,0.830856,0.618995,0.28385,-0.560247,0.891336,0.918216,-0.00345851,-1.07804,-0.535854,0.766533,-0.0593907,0.303031,-0.729519,-0.214118,0.265354,-0.0504204,0.943168,-0.822766,-0.476853,-0.538746,0.288202,-0.585161,-0.927359,-0.20656,-0.0917762,-0.49249,-0.0350288,-0.903705,1.00414,0.0381402,-0.160407,0.548276,0.387815,1.5193,-0.160797
0.724339,-0.117121,0.344935,-0.326409,0.154623,1.02609,-0.370992,1.5042,1.27897,0.35018,1.92643,0.957273,0.102651,-0.650333,0.121181,-0.596642,0.223122,0.157625,-0.857988,-0.0575662,-0.136798,-0.390523,-1.13443,-0.631438,-1.16208,-1.20554,0.593479,-0.396147,-0.178708,-0.0447381,0.909728,-0.147347,-0.467825,0.679796,0.36838,0.129957,-0.462341,0.961113,0.734812,0.0432112,-1.0961,-0.535914,0.718445,-0.102856,0.22765,-0.619218,-0.0301342,0.59903,0.159588,0.995172,-0.594002,-0.330544,-0.414438,0.638616,-0.45568,-0.667463,-0.254618,-0.0148301,-0.708316,-0.365188,-1.39029,0.272092,-0.499066,-1.16102,-0.160432,-0.188181,0.724019,0.222851
1.07951,-0.606113,0.297525,-0.29125,0.159092,0.894147,-0.205206,1.83666,1.17703,0.514208,1.35634,0.00437898,0.172701,-0.791743,-0.413386,-0.308537,-0.0787745,0.184688,-0.712452,-0.197177,-0.00279359,-0.435617,-1.10558,-0.733662,-1.24843,-1.2627,0.296227,-0.4202,-0.411004,0.157919,1.08967,0.0821902,-0.180481,0.786204,0.438618,-0.0143652,-0.846852,0.5776,0.388447,-0.388081,-1.02702,-0.701167,0.585758,-0.0434188,0.418731,-0.808765,0.0106556,0.504704,-0.154108,1.10383,-0.978279,-0.537876,-0.471103,0.443169,-0.562443,-0.583894,0.104167,0.398337,-0.379332,0.203815,-0.840101,0.851518,0.291357,-0.205967,0.842099,0.905071,0.392845,-0.954944
0.846637,-0.957793,0.38334,-0.387619,0.537691,0.911792,-0.102329,1.7638,1.16994,-0.0210657,1.80491,0.294934,-0.49698,0.16681,-0.135805,-0.914456,0.122848,0.104318,-0.709547,0.27428,0.179603,-0.0836119,-0.983371,-0.593174,-1.29838,-1.18791,0.405482,-0.292236,-0.631908,-0.17756,0.962922,-0.0411097,-0.146889,0.799153,0.519113,0.238833,-0.590681,1.26321,0.815742,-0.0100952,-0.861409,-0.474209,0.758376,-0.156193,0.471358,-0.684969,-0.190906,0.497036,0.215522,1.27481,-0.657096,-0.0567699,-0.216952,0.482728,-0.628177,-0.655232,-0.163053,-0.106933,-0.466389,-0.417836,-1.1055,0.564711,-0.141388,-0.880663,0.225999,0.364092,-2.16947,0.475197
0.993252,-0.434177,0.307319,-0.341248,0.0971671,1.02414,-0.410914,1.68962,1.07607,0.833427,1.77714,0.124121,-0.102039,-0.634906,-0.0873993,-0.363108,0.181199,0.0137136,-1.18761,-0.13769,-0.0291897,-0.582026,-1.1176,-0.975049,-1.40804,-1.45643,0.287359,-0.474494,-0.542316,-0.0449836,0.739271,0.0350305,-0.41708,0.714684,0.509058,0.0192099,-0.789834,0.802001,0.615219,-0.310174,-1.06951,-0.57854,0.636241,0.15345,0.3804,-0.905146,0.0453173,0.397113,-0.0505526,1.11968,-0.783363,0.0575042,-0.34183,0.733087,-0.345643,-0.102821,0.269074,0.325522,-0.319069,0.127133,-0.91947,0.922791,0.0231195,-0.608825,0.773406,0.592733,-0.109039,-0.695095
0.930061,-0.621825,0.622704,-0.234409,0.465456,0.859768,-0.402483,1.68633,1.22774,0.562127,1.62129,-0.0754994,0.111986,-1.19873,0.0483905,-0.622387,-0.187971,-0.069648,-1.058,-0.241581,-0.175667,-0.323609,-1.23849,-0.943776,-1.52591,-1.45128,0.219089,-0.25393,-0.384626,0.0406867,0.912267,-0.0383062,-0.280389,0.814907,0.601255,0.18314,-0.860311,0.623911,0.56733,-0.141332,-1.1952,-0.669784,0.37857,-0.271014,0.130781,-1.11205,-0.131482,0.191633,-0.328553,0.853878,-0.805061,-0.298585,-0.169353,0.809951,-0.0589857,-0.232159,0.286403,0.378077,-0.14739,0.38187,-0.851038,0.912173,-0.120792,-0.403419,0.45813,0.822961,0.905512,-0.598755
0.837271,-0.961994,0.169027,-0.185524,0.14128,1.06656,-0.314552,1.78922,1.37178,0.548155,1.60251,0.162314,-1.31074,-1.45845,-0.5539,-0.93411,-0.232865,-0.089346,-0.714152,-0.0154014,0.377648,-0.0780184,-0.899831,-0.541166,-0.872116,-1.25373,0.171673,-0.429833,-0.390433,-0.0960978,0.8541,-0.0865741,-0.276239,0.46129,0.459488,0.0344178,-0.439653,1.05824,0.861876,0.060002,-0.899157,-0.20295,0.734501,-0.0572175,0.161274,-0.822807,-0.24722,0.169107,-0.268565,0.779823,-1.06115,-0.312537,-0.341925,0.591218,-0.244597,-0.279522,0.415748,0.289842,-0.281789,0.167458,-0.998385,0.74646,0.058277,-0.41506,0.753263,1.09581,-0.40418,0.815143
