sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018,sbt1_2019,sbt1_2020,sbt1_2021
47.2218,22.1342,30.5577,25.6155,21.9154,24.5383,12.4769,24.647,46.4557,51.1317,67.1949,85.589,65.8567,61.809,40.375,24.3308,11.1677,9.26589,9.58194,11.4038,11.3969,11.029,13.8618,18.7782,18.3556,21.3075,15.7876,10.4139,11.5733,17.8953,20.606,23.1746,30.5636,39.1049,36.428,38.337,38.1702,32.9413,27.109,26.9828,31.2375,33.1828,27.5515,20.3354,21.554,26.8902,24.3029,23.0672,24.1481,20.714,22.5762,22.1739,26.624,20.4103,15.1699,14.6634,16.2408,16.2781,15.8279,17.5951,18.8653,17.5174,17.6308,16.7248,19.9576,17.551,15.6902,17.4928,22.9363,25.3526,24.4212
40.0305,19.2538,27.2526,25.4423,21.2962,24.5623,14.6776,26.2168,45.8651,52.4508,72.9987,89.3639,69.9858,70.3565,47.7182,29.7192,13.2237,9.01233,9.02469,9.87811,9.86311,9.82402,12.5028,17.4411,18.0013,21.3646,15.0578,9.45312,10.5393,16.048,18.9019,21.3431,27.8158,36.2128,33.9694,36.4279,36.5476,32.6318,28.4684,27.9336,31.697,34.261,29.3119,21.3147,21.8783,26.7195,23.1041,20.6963,20.5558,16.9573,18.1035,18.4974,22.83,17.7692,13.5808,13.3993,14.8901,15.426,15.3288,16.8117,18.0154,16.9952,17.6343,17.1993,21.4505,19.9588,19.3005,21.8962,32.8348,41.2328,37.7258
49.0887,27.7227,36.2239,26.657,21.4766,23.8825,11.5346,23.7211,43.5099,48.5021,70.1348,92.904,73.4804,58.3662,38.7399,23.7152,12.2492,9.78612,10.6552,12.7263,11.5056,11.51,14.8544,19.8183,19.0257,22.0857,16.2802,11.1308,12.496,18.8051,22.1153,26.6678,35.7467,44.448,40.4885,42.4592,44.8888,36.6228,28.0607,26.8035,30.2251,31.1006,24.9456,17.9115,17.8636,21.6549,19.579,19.7196,21.1309,18.1076,19.5845,19.2962,23.7023,18.5116,14.1666,14.6912,17.8397,18.6413,18.5723,20.3351,21.6265,20.8792,22.5425,21.5076,25.5338,22.582,18.7907,17.9323,24.3524,34.1133,31.1138
51.395,22.6988,28.4245,23.6567,21.6114,27.2555,15.9914,31.2301,60.1961,64.9864,82.027,100.698,75.557,66.3046,41.5317,22.8978,11.5902,8.64031,8.60982,10.7812,9.83888,9.71406,12.8706,17.6702,17.9177,21.2829,16.0664,10.9253,12.371,18.981,21.1119,23.2285,30.422,39.9519,38.3818,42.3996,44.8173,40.2575,33.8831,32.3351,35.5455,37.9727,30.4028,21.5601,22.2569,28.65,26.6443,25.8067,27.2446,22.6198,23.701,22.7539,26.4707,19.2569,13.0594,11.7899,12.7835,13.1718,13.0679,15.3481,17.2692,17.4047,18.8653,19.5232,24.5883,20.3768,16.7428,14.3772,17.1492,20.7331,14.9779
55.6362,28.0226,35.2982,27.6155,24.1607,26.5787,14.5972,28.4549,55.7586,59.3382,72.7418,92.3457,69.958,76.265,56.7171,36.4068,15.9605,11.8288,10.7981,13.2536,13.7945,13.918,16.5726,21.3208,20.2583,23.4246,17.7804,12.6873,15.2081,24.2444,26.3879,28.3175,34.806,42.9994,39.4212,41.4403,42.4959,38.2519,32.6233,33.9209,40.7964,43.1898,35.8864,25.5433,25.8696,31.6599,28.5437,26.3752,27.8147,24.8555,28.2149,27.6933,30.9061,22.2922,15.0716,13.9456,15.4276,14.859,13.5598,14.2698,15.1664,13.9668,13.9813,13.1956,15.6756,13.8438,12.1442,12.4314,16.2692,22.6554,23.6658
46.9688,19.4914,28.8837,27.7296,25.9141,27.8599,12.7041,24.6485,45.5292,52.3094,76.9316,101.504,77.05,67.5616,43.1627,27.9589,11.9083,9.05794,9.67907,11.2139,11.8383,11.6938,13.44,17.9767,17.7887,21.0976,16.1995,11.9375,13.7651,20.6656,23.588,26.0378,34.4029,43.6927,40.1784,40.6045,39.1204,32.6219,25.6867,24.9972,28.2414,29.878,25.8111,20.0195,21.3847,27.4267,26.0813,25.6389,26.9011,23.3674,25.0528,24.1645,29.3857,21.7986,15.2073,13.4123,14.1765,13.8327,13.2877,15.958,18.5161,18.0349,19.7194,19.8319,24.684,23.0443,21.6546,21.542,20.9128,14.6146,8.98731
46.2143,20.9034,29.921,24.7638,20.4472,24.5811,14.4108,31.6215,53.9834,57.6879,73.1383,88.8644,65.1132,61.1831,40.2552,25.272,15.5555,13.5359,12.7477,14.9376,14.9864,15.0616,18.1204,23.0971,21.3907,23.3704,16.904,11.0079,12.6119,19.742,22.4153,23.614,30.3343,40.892,39.7441,44.2235,45.4092,39.7459,32.7636,32.5711,39.3168,38.8727,30.5841,21.4315,22.0179,27.1821,25.098,25.4713,27.2922,23.4294,25.9269,26.9511,32.5575,23.7386,16.5212,14.6454,14.457,13.4835,12.3789,13.7908,14.8136,14.3557,14.3591,14.4101,18.3347,16.958,15.3125,16.9032,19.7735,19.7997,24.0528
43.109,17.7288,26.404,24.9131,21.9693,25.4301,11.5586,22.5011,47.0245,50.9273,65.0765,83.9148,67.1804,65.7075,43.5303,25.571,11.1266,8.91687,9.35303,11.2526,10.8598,9.87906,12.1052,16.7583,16.883,20.1021,14.8904,9.40575,10.7439,17.424,20.4275,22.7731,29.3103,34.8602,32.6204,33.5881,34.5552,30.7923,25.5749,25.9597,31.2547,33.902,28.4916,21.3356,22.149,27.1902,25.0771,23.7441,24.0985,20.079,21.2241,20.5361,25.2655,19.7055,15.0156,14.222,15.5166,15.4108,15.3295,17.0055,17.4849,15.8432,16.1024,15.9445,20.6156,18.7346,18.1321,21.4013,24.7426,24.1543,21.3753
52.0345,18.9801,28.1689,24.0123,20.0288,26.6626,13.5564,28.7709,49.6313,54.0277,70.2748,90.1361,70.2247,62.765,35.9093,21.4709,9.10157,8.40779,8.90203,10.3702,10.4957,10.0888,12.4338,17.1116,17.7851,21.3022,15.5474,9.69479,10.7466,17.1033,20.8686,24.0285,31.5703,39.2599,36.4583,38.3368,39.6375,35.1116,29.061,27.0643,29.1656,30.5974,25.7333,18.8948,19.4769,23.1013,20.7467,20.1197,21.8919,19.3291,21.541,21.1611,26.1769,20.7109,15.7847,16.2018,18.7159,18.7966,17.5756,18.3375,18.316,16.8146,17.4812,16.7813,20.4813,17.7445,16.647,18.9367,26.9614,32.6934,29.5263
41.3706,18.7455,27.2394,24.2659,20.906,23.4518,12.6963,26.1068,52.2543,56.784,75.2723,94.1501,70.2245,59.8794,35.4203,17.9483,6.62949,5.99285,7.48149,10.1669,11.1432,11.5221,14.3137,21.1676,20.3725,22.4109,16.4441,11.3961,11.6195,15.1807,16.8216,19.0784,25.9686,34.4963,33.5954,37.1357,37.3359,34.0287,28.9041,30.5432,37.7917,40.3542,33.1783,23.3137,23.3955,26.7644,22.0929,19.807,20.4143,16.841,18.4879,18.9,23.9557,19.2574,15.2961,15.5291,17.1082,16.6912,15.7749,17.3701,16.9487,15.356,15.6524,15.6597,20.7704,20.5329,20.7421,24.2282,27.3966,21.5153,18.6023
