TAC,B2021,B2022,B0,04B0,03B0,02B0,B1951,B2022B2021,B202204B0,B202202B0,B2022B1951,F2020,F2021,F2021F2020,U2021,U2021U2020,PropAge3,PropAge4to10,UT,U20
0,32.239,29.0289,54.7518,21.9007,16.4256,10.9504,47.2218,0.900427,1.32548,2.65095,0.614734,0,0,nan,0,nan,0.404738,0.554769,0,0
0,35.2314,30.8418,64.3243,25.7297,19.2973,12.8649,40.0305,0.875409,1.19869,2.39737,0.770458,0,0,nan,0,nan,0.119875,0.853903,0,0
0,26.1312,23.7007,61.396,24.5584,18.4188,12.2792,49.0887,0.90699,0.965075,1.93015,0.482813,0,0,nan,0,nan,0.0956543,0.810454,0,0
0,20.4965,18.5965,82.1141,32.8456,24.6342,16.4228,51.395,0.907303,0.566179,1.13236,0.361835,0,0,nan,0,nan,0.322432,0.620998,0,0
0,23.2284,27.0689,65.1353,26.0541,19.5406,13.0271,55.6362,1.16534,1.03895,2.0779,0.486534,0,0,nan,0,nan,0.170033,0.693025,0,0
0,15.9473,15.56,56.8113,22.7245,17.0434,11.3623,46.9688,0.975713,0.68472,1.36944,0.331283,0,0,nan,0,nan,0.383384,0.564503,0,0
0,20.9556,30.4333,54.894,21.9576,16.4682,10.9788,46.2143,1.45227,1.386,2.772,0.658526,0,0,nan,0,nan,0.180998,0.616512,0,0
0,32.4438,31.5734,52.4051,20.962,15.7215,10.481,43.109,0.973171,1.50622,3.01243,0.732407,0,0,nan,0,nan,0.400808,0.54606,0,0
0,32.5115,28.9592,57.6955,23.0782,17.3086,11.5391,52.0345,0.890738,1.25483,2.50966,0.556539,0,0,nan,0,nan,0.197165,0.762824,0,0
0,17.5926,15.3519,49.457,19.7828,14.8371,9.8914,41.3706,0.872634,0.776023,1.55205,0.371083,0,0,nan,0,nan,0.195238,0.758458,0,0
0,30.6339,31.1154,47.2081,18.8832,14.1624,9.44162,42.077,1.01572,1.64778,3.29556,0.739488,0,0,nan,0,nan,0.106977,0.86286,0,0
0,55.1796,55.8863,60.2929,24.1172,18.0879,12.0586,40.6648,1.01281,2.31728,4.63456,1.37432,0,0,nan,0,nan,0.0713632,0.891612,0,0
0,42.3088,47.1269,64.8449,25.938,19.4535,12.969,42.9461,1.11388,1.81691,3.63382,1.09735,0,0,nan,0,nan,0.188915,0.747011,0,0
0,47.7161,53.1395,62.5012,25.0005,18.7504,12.5002,47.6052,1.11366,2.12554,4.25107,1.11625,0,0,nan,0,nan,0.222479,0.716828,0,0
0,36.0548,35.7735,48.4685,19.3874,14.5406,9.69371,48.1566,0.992197,1.84519,3.69038,0.742857,0,0,nan,0,nan,0.220552,0.738594,0,0
0,13.7289,13.4296,66.6415,26.6566,19.9925,13.3283,51.7492,0.978197,0.503799,1.0076,0.259513,0,0,nan,0,nan,0.261954,0.60845,0,0
0,18.682,17.3279,64.8794,25.9518,19.4638,12.9759,40.7909,0.927517,0.667695,1.33539,0.424797,0,0,nan,0,nan,0.324235,0.64652,0,0
0,14.812,16.115,54.3953,21.7581,16.3186,10.8791,46.9473,1.08796,0.740641,1.48128,0.343257,0,0,nan,0,nan,0.0987586,0.781182,0,0
0,35.7298,36.1695,55.4777,22.1911,16.6433,11.0955,49.3676,1.01231,1.62991,3.25983,0.732657,0,0,nan,0,nan,0.217693,0.734256,0,0
0,17.715,15.7424,58.9209,23.5684,17.6763,11.7842,44.7249,0.888646,0.667945,1.33589,0.351982,0,0,nan,0,nan,0.191183,0.713611,0,0
0,24.1278,17.6943,68.6432,27.4573,20.5929,13.7286,37.5763,0.733355,0.64443,1.28886,0.47089,0,0,nan,0,nan,0.204709,0.782552,0,0
0,19.439,17.3375,73.3523,29.3409,22.0057,14.6705,38.8764,0.891896,0.5909,1.1818,0.445966,0,0,nan,0,nan,0.039416,0.920968,0,0
0,17.5243,17.3628,87.7373,35.0949,26.3212,17.5475,52.7461,0.990787,0.49474,0.989479,0.329178,0,0,nan,0,nan,0.178222,0.744861,0,0
0,25.642,25.8614,92.8541,37.1417,27.8562,18.5708,41.6353,1.00856,0.696291,1.39258,0.621141,0,0,nan,0,nan,0.199426,0.739307,0,0
0,32.3114,35.0082,63.2252,25.2901,18.9676,12.645,52.8546,1.08346,1.38426,2.76853,0.662348,0,0,nan,0,nan,0.188301,0.736815,0,0
0,24.2297,23.0983,60.9565,24.3826,18.287,12.1913,56.5676,0.953302,0.947325,1.89465,0.40833,0,0,nan,0,nan,0.306451,0.656615,0,0
0,18.1843,20.0321,50.274,20.1096,15.0822,10.0548,54.1459,1.10162,0.996147,1.99229,0.369966,0,0,nan,0,nan,0.125779,0.760995,0,0
0,18.2681,17.2862,48.2466,19.2986,14.474,9.64932,52.8153,0.946249,0.89572,1.79144,0.327295,0,0,nan,0,nan,0.290685,0.598696,0,0
0,26.8439,23.6871,54.3669,21.7468,16.3101,10.8734,42.3278,0.8824,1.08922,2.17845,0.559611,0,0,nan,0,nan,0.268052,0.711777,0,0
0,15.4968,11.9233,48.8604,19.5442,14.6581,9.77209,41.8697,0.769409,0.610071,1.22014,0.284773,0,0,nan,0,nan,0.0421426,0.884729,0,0
0,17.6868,15.1169,53.5846,21.4338,16.0754,10.7169,45.0415,0.854699,0.705281,1.41056,0.335621,0,0,nan,0,nan,0.209444,0.736228,0,0
0,37.7073,34.5026,53.2494,21.2998,15.9748,10.6499,53.1641,0.915013,1.61986,3.23972,0.648983,0,0,nan,0,nan,0.138377,0.839357,0,0
0,12.0702,13.7827,57.8921,23.1568,17.3676,11.5784,49.3539,1.14188,0.59519,1.19038,0.279263,0,0,nan,0,nan,0.146725,0.700396,0,0
0,41.5097,46.0543,69.8182,27.9273,20.9455,13.9636,43.8311,1.10948,1.64908,3.29815,1.05072,0,0,nan,0,nan,0.239848,0.703991,0,0
0,23.219,28.7729,68.1081,27.2433,20.4324,13.6216,52.9065,1.2392,1.05615,2.11229,0.543844,0,0,nan,0,nan,0.278344,0.588974,0,0
0,46.6931,49.4056,67.3257,26.9303,20.1977,13.4651,62.7001,1.05809,1.83457,3.66915,0.787967,0,0,nan,0,nan,0.354837,0.616979,0,0
