N_ag1_age2_1951,N_ag1_age3_1951,N_ag1_age4_1951,N_ag1_age5_1951,N_ag1_age6_1951,N_ag1_age7_1951,N_ag1_age8_1951,N_ag1_age9_1951,N_ag1_age10_1951
1096.41,712.86,297.762,34.9664,26.1477,19.1859,13.6056,9.50519,14.8681
899.646,653.673,294.018,13.297,31.936,7.791,6.85125,22.3216,17.888
878.478,512.228,198.825,24.4156,6.98074,0.184521,17.3925,12.7041,93.6759
1124.41,669.786,214.642,17.0359,21.8306,56.5353,0.736636,32.9742,6.08571
1522,1253.24,343.773,113.716,23.7642,1.5839,0.844936,24.79,18.5614
2179.48,862.624,311.166,30.0082,64.2481,2.46364,5.28857,11.5821,123.504
1356.34,1022.45,193.258,95.6636,20.9543,6.60648,1.79136,13.9294,6.30509
901.06,739.906,181.473,46.991,1.39668,13.0851,12.0371,21.4266,5.47028
1062.1,898.097,211.393,68.4832,21.4919,1.98246,1.60469,7.39471,2.96344
1249.67,864.521,326.456,64.563,43.477,8.77047,3.15883,9.80506,12.2119
896.704,590.947,266.416,49.6744,19.1789,17.0803,9.23143,48.2061,3.2748
1259,820.8,426.354,45.9095,27.5478,5.36089,5.68669,30.2559,1.34704
802.902,523.862,347.674,10.2767,106.244,8.18947,9.09187,16.7819,1.90354
978.201,540.084,361.135,7.76403,50.2013,42.7219,7.62681,6.60878,27.564
932.382,687.356,422.49,10.4117,4.29292,5.11284,95.4585,9.61872,1.33547
966.806,777.59,323.51,5.92172,34.3363,3.07779,17.289,6.32044,2.93207
1087.57,932.43,269.929,9.02784,52.7176,24.1822,3.9737,15.1749,2.82602
1166.03,733.018,298.12,106.311,13.9029,19.361,0.320423,3.98832,5.51092
1486.94,793.538,377.994,1.48177,2.91792,30.5498,0.573957,1.79522,30.819
1785.21,689.951,423.634,5.14176,44.1838,22.0935,4.10823,0.116604,26.9523
1541.27,989.494,459.162,44.3493,61.014,66.553,0.451749,8.98535,0.0955667
871.917,642.996,194.771,1.13199,68.6391,7.42397,1.17556,25.4349,0.586676
1194.22,736.761,216.036,3.56069,27.1734,6.66625,46.2701,2.96315,7.95533
1502.08,715.084,355.31,16.2768,86.0102,3.14054,2.52679,5.93386,0.567144
1139.68,712.012,319.864,10.6932,25.9683,13.2438,8.91617,0.0822347,78.0427
1252.36,716.346,228.359,9.09477,15.8699,19.5207,10.9134,19.4494,13.8575
1640.36,912.665,418.649,8.55639,28.6793,2.05256,94.5518,3.7875,2.55548
1353,931.575,317.189,2.07259,87.3868,25.7844,38.688,1.32872,9.04582
1169.23,942.726,338.488,15.3079,16.1342,33.8245,3.72965,0.151006,26.2441
1043.45,514.412,304.957,13.583,56.9389,15.5689,0.623217,3.112,21.8132
1292.54,584.118,248.843,44.8344,17.9549,56.0166,16.4519,0.368068,2.51347
993.203,702.532,259.104,42.7391,9.95052,44.9351,1.51423,0.217748,0.922742
2159.53,910.013,364.925,105.464,19.5947,13.7094,6.38286,0.323811,0.461422
1101.76,641.501,197.734,38.8976,9.36288,19.1819,32.9279,9.5595,17.7654
872.543,408.269,268.918,6.35894,56.0601,8.89484,0.592826,43.221,27.2539
865.429,597.313,283.084,7.0735,13.966,37.1083,29.6706,0.633465,0.184323
1541.72,1045.97,454.041,208.845,19.5395,0.999999,2.72461,7.28632,2.07343
1560.56,962.422,448.055,24.7231,33.1579,67.6225,2.94417,26.1356,1.36896
1033.29,761.038,288.146,2.1975,34.4501,118.13,27.3838,0.698297,4.33378
1294.67,954.706,385.44,114.136,30.3581,0.888928,4.48276,9.70171,3.80136
1446.93,681.53,344.804,96.8657,4.90604,8.36251,5.47073,28.592,0.372466
1504.17,1055.31,265.652,62.8053,87.0274,3.42229,0.123833,4.64673,2.4723
1052.13,647.817,217.377,4.00179,8.36738,18.8971,8.05469,12.4136,45.5735
1746.03,666.288,368.126,9.00253,58.1581,34.1117,14.5043,0.379509,6.31216
1085.29,493.375,349.992,24.4227,7.21783,12.0504,14.931,0.786613,0.840538
1178.73,653.328,320.28,106.355,3.81765,8.03718,0.529979,6.24822,0.110011
1205.47,760.188,323.451,96.1243,5.12581,44.9297,1.65678,0.195794,0.0563823
728.618,580.518,266.676,1.20018,86.3226,7.82152,19.106,0.962149,0.0387291
1273.8,768.611,372.488,25.016,69.8642,25.2339,2.37591,3.19498,0.349869
863.936,612.62,235.515,60.4629,4.82,9.99247,4.90988,3.80517,3.89417
1159.28,531.74,269.63,65.2742,18.7412,50.2464,1.02774,0.146573,17.3229
2112.75,861.538,633.407,22.4742,17.5876,14.5808,40.3644,0.286154,30.1406
1748.33,1113.44,448.635,7.39816,35.6027,91.1117,2.17204,5.24055,16.1044
1117.37,784.81,404.167,25.9403,21.9221,25.9592,1.28831,17.0105,31.3455
1246.76,718.776,234.782,14.46,8.01375,78.2761,1.26515,12.4539,44.1058
1391.71,787.499,301.943,94.6021,25.7125,12.3262,28.5079,0.33817,4.28872
1287.66,590.878,298.16,29.4313,49.7243,2.87425,30.2425,14.052,2.2239
1410.92,599.557,394.464,14.9853,5.67248,24.3283,79.3998,1.65747,68.9376
1200.49,683.642,443.919,0.715071,65.8869,8.46324,17.3354,18.0661,6.38285
1256.74,751.683,294.243,1.54026,86.6684,1.93834,17.0236,0.0484204,15.5185
1410.32,703.288,288.144,2.43637,23.0241,5.70016,19.4266,73.2361,33.8642
818.476,545.833,289.877,1.58497,7.59726,1.85865,9.40998,6.08611,55.4691
1179.09,891.354,289.961,10.2679,52.7454,1.82244,28.8106,6.63409,0.339241
1475.99,993.725,265.601,177.732,1.3913,0.608578,2.10641,0.591056,0.1528
1094.68,554.701,300.029,101.405,0.576926,0.762411,0.0974342,1.12022,1.51591
1432.64,923.279,352.639,68.1176,70.9128,0.525757,0.243117,0.359759,0.0142057
1058.04,649.749,342.761,11.2511,9.95693,0.7706,0.92936,108.941,0.643851
1142.37,626.992,196.512,46.2093,90.02,0.288997,0.559274,3.84853,0.439809
820.065,635.034,326.157,7.4511,70.5237,0.507307,1.32655,0.553752,68.3046
1394.59,1136.66,393.94,46.4852,19.0261,96.0932,0.365619,0.386421,3.08052
2429.75,1417.48,456.56,229.494,9.02003,1.37165,0.236512,0.0784411,16.1242
2163.15,1329.32,444.499,30.4363,5.13976,9.42017,0.538588,3.20265,84.8284
1076.21,579.596,226.501,5.23503,14.8033,8.52138,0.251995,2.2731,63.4667
966.38,615.497,313.353,7.8749,0.790809,75.2207,7.87226,6.79248,0.965988
1025.68,608.823,303.048,54.1262,6.51236,1.66934,18.7788,7.62466,1.12749
843.892,617.331,255.211,19.0564,0.598538,3.30935,9.64222,10.0761,100.085
1060.82,641.671,299.229,50.9441,0.447599,85.8331,9.82056,1.95135,11.6463
993.172,820.069,316.799,7.40396,4.02256,44.9495,15.7153,20.9171,9.32566
