N_ag1_age2_t1951,N_ag1_age2_t1952,N_ag1_age2_t1953,N_ag1_age2_t1954,N_ag1_age2_t1955,N_ag1_age2_t1956,N_ag1_age2_t1957,N_ag1_age2_t1958,N_ag1_age2_t1959,N_ag1_age2_t1960,N_ag1_age2_t1961,N_ag1_age2_t1962,N_ag1_age2_t1963,N_ag1_age2_t1964,N_ag1_age2_t1965,N_ag1_age2_t1966,N_ag1_age2_t1967,N_ag1_age2_t1968,N_ag1_age2_t1969,N_ag1_age2_t1970,N_ag1_age2_t1971,N_ag1_age2_t1972,N_ag1_age2_t1973,N_ag1_age2_t1974,N_ag1_age2_t1975,N_ag1_age2_t1976,N_ag1_age2_t1977,N_ag1_age2_t1978,N_ag1_age2_t1979,N_ag1_age2_t1980,N_ag1_age2_t1981,N_ag1_age2_t1982,N_ag1_age2_t1983,N_ag1_age2_t1984,N_ag1_age2_t1985,N_ag1_age2_t1986,N_ag1_age2_t1987,N_ag1_age2_t1988,N_ag1_age2_t1989,N_ag1_age2_t1990,N_ag1_age2_t1991,N_ag1_age2_t1992,N_ag1_age2_t1993,N_ag1_age2_t1994,N_ag1_age2_t1995,N_ag1_age2_t1996,N_ag1_age2_t1997,N_ag1_age2_t1998,N_ag1_age2_t1999,N_ag1_age2_t2000,N_ag1_age2_t2001,N_ag1_age2_t2002,N_ag1_age2_t2003,N_ag1_age2_t2004,N_ag1_age2_t2005,N_ag1_age2_t2006,N_ag1_age2_t2007,N_ag1_age2_t2008,N_ag1_age2_t2009,N_ag1_age2_t2010,N_ag1_age2_t2011,N_ag1_age2_t2012,N_ag1_age2_t2013,N_ag1_age2_t2014,N_ag1_age2_t2015,N_ag1_age2_t2016,N_ag1_age2_t2017,N_ag1_age2_t2018,N_ag1_age2_t2019,N_ag1_age2_t2020,N_ag1_age2_t2021
1096.41,1189.05,1749.55,1440.77,760.413,529.786,608.165,1144.45,1092.83,625.103,1396.06,1348.58,1883.09,980.922,730.616,904.186,922.907,441.205,1064.35,1079.28,792.332,721.474,816.049,1086.25,685.256,1136.37,893.067,450.607,751.512,572.672,570.632,452.826,383.411,714.177,1391.03,796.717,2030.56,661.525,1701.65,940.831,2131.94,1490.7,1916.37,847.228,1666.08,2432.11,2580.11,1166.57,1726.76,2001.6,2298.49,2245.99,1290.66,1266.85,1105.09,1889.96,507.643,1876.14,385.966,2479.93,1536.37,867.864,1543.93,1638,1406.7,1295.78,1443.03,1429.17,4519.56,1238.75,1114.16
899.646,1097.96,1497.67,1011.44,702.165,368.832,589.644,1104.76,984.85,567.746,1505.54,1189.29,1756.36,810.254,570.429,784.368,861.725,274.928,879.004,1134.69,753.603,831.58,1090.36,1300.11,811.201,1511.46,1120.26,538.543,809.135,621.214,556.711,442.753,329.94,619.05,1326.12,724.323,2076.23,669.539,2073.94,1151.22,2553.93,1763.49,2323.25,860.047,2085.47,2729.12,2851.86,1311.94,1678.55,2168.88,2445.15,2333.07,1250.76,1287.4,981.666,1656.29,423.358,1759.42,371.342,2536.1,1699.17,1091.03,2062.9,2107.95,1859.03,1641.63,1442.43,1361.7,3787.05,889.363,1119.35
878.478,967.268,1644.81,1110.36,554.075,510.471,503.484,1119.73,1113.42,552.038,1337.26,1159.91,1873.81,775.47,674.575,802.634,518.523,317.318,777.306,819.241,671.845,624.655,654.02,936.836,685.746,1196.88,931.597,474.595,764.05,644.455,695.258,479.294,384.498,635.599,1317.77,651.055,1793.56,531.165,1273.68,705.07,1832.3,1096.37,1899.76,695.882,1746.81,2666.01,2600.04,1349.19,2118.34,2535.11,2485.87,2568.25,1395.12,1388.72,1287.49,2132.48,605.618,1972.15,426.546,2506.8,1645.69,693.248,1407.51,1547.18,1213.06,1060.44,1223.78,1336.46,5161,731.647,1033.69
1124.41,1292.46,1401.79,1456.39,714.853,583.319,551.448,1260.47,1087.25,663.128,1558.82,1061.62,1352.56,694.561,934.093,695.903,494.185,286.798,749.354,1062.14,1034.66,903.927,1204.67,1601.35,912.981,1462.02,1146.06,546.199,795.717,647.474,719.433,468.415,467.412,783.792,1363.5,857.844,2270.1,670.842,1625.82,889.768,2003.32,1350.23,1913.52,803.056,1476.21,2563.71,2362.31,1131.7,1990.6,2104.84,2273.35,2059.95,1058.07,1223.48,1069.76,1735.63,490.034,1695.32,408.303,2407.05,1517.98,906.931,1428.38,1647.78,1483.92,1396.45,1316.52,1847,4981.27,1072.97,1121.14
1522,1858.71,2809.43,1884.1,980.1,634.827,734.842,1144.85,1131.26,733.77,1017.18,1701.02,1502.13,1137.08,522.293,784.181,1451.69,515.361,1453.13,1465.18,1101.76,842.44,922.561,1183.8,656.54,1123.82,731.525,342.36,629.927,442.505,463.049,385.512,351.852,604.137,1239.82,759.613,1887.48,744.493,1848.88,946.31,2407.58,1618.15,2063.97,825.996,1587.98,2260.88,2494.25,1023.56,1610.85,2093.89,2049.23,1912.16,1150.32,1034.79,980.447,1604.05,482.015,1528.95,357.873,2157.99,1536.07,858.42,1510.94,1811.49,1536.67,1422.65,1986.35,1640.57,5144.03,1266.35,1136.27
2179.48,1972.94,3148.89,1516.27,1090.12,711.029,931.688,1364.47,1108.48,767.086,1107.84,1826.16,1648.88,1130.59,956.284,337.496,1614.35,582.183,1421.85,1440.49,972.589,945.057,1117.92,1463.55,987.45,1416.78,1198.33,663.594,1082.34,678.473,723.104,569.016,440.606,774.43,1558.6,948.667,2220.23,800.736,1961.52,1074.41,2352.02,1614.07,1956.22,874.83,1442.34,2090.59,2179.21,1069.82,1726.97,1980.26,2645.09,2510.99,1358.46,1414.27,1169.52,1856.46,517.244,1692.85,416.045,2713.36,1906.49,1186.04,1983.32,2448.13,1828.52,1540.85,1297.91,1305.47,3182.21,4472.42,1302.05
1356.34,1385.49,1966.06,1473.04,856.29,532.654,965.125,1457.22,1158.74,921.623,1565.09,1283.95,2300.61,1239.3,546.968,715.371,1741.06,342.849,1461.48,1210.83,1110.28,959.423,1081.94,1340.51,674.47,1250.39,927.232,506.136,737.7,601.465,615.852,521.737,481.928,892.79,1687.48,854.489,2720.05,818.725,1927.04,892.278,2078.03,1355.04,1801.26,827.444,1474.75,2247.59,2185.92,1207.24,1481.21,2059.37,2336.34,1984.57,1154.21,1177.14,1053.91,1612.26,408.977,1831.05,365.836,2323.87,1769.75,949.431,2012.17,2184.23,2068.07,1685.41,1803.66,1897.1,4655.66,1537.99,1211.56
901.06,1034.7,1578.3,1200.6,718.594,382.995,668.466,1221.12,1117.86,674.742,1245.13,1910.15,1744.28,1255.99,470.776,563.167,2613.76,467.24,1562.42,1223.5,825.166,771.937,875.603,1105.68,679.24,1220.99,835.034,382.51,766.399,554.318,582.455,468.372,423.898,873.473,1595.26,840.088,2281.69,719.739,1907,903.48,2293.45,1421.97,1863.84,802.424,1638.66,2330.25,2098.38,1121.26,1590.13,2018.16,2220.32,2233.92,1287.73,1346.55,1113.62,1836.23,427.848,1891.24,239.644,2105.04,1202.47,690.4,1256.77,1646.04,1479.79,1915.84,2435.67,2441.13,5890,1394.86,1132.68
1062.1,1240.68,1757.29,1864.17,909.02,543.135,610.288,1705.21,1297.61,738.634,1964.42,1783.56,2408.02,1190.53,803.023,645.709,1414.48,583.153,1218.07,1193.52,774.659,851.599,884.249,1517.67,885.683,1523.43,1330.49,598.329,1096.56,679.27,583.549,455.361,370.153,731.626,1330.03,869.748,2622.44,888.343,2312.97,1312.57,3335.32,2390.54,2468.97,1123.34,2206.58,2832.33,2863.33,1312.72,1923.02,2208.21,2443.56,2312.77,1324.04,1355.08,1066.09,1735.6,453.093,1631.15,259.427,2000.49,1099.02,608.313,1324.52,1304.16,1326.49,1293.13,1662.19,1627.35,5481.69,1924.01,1248.73
1249.67,1809.99,2068.82,1689.61,1011.11,477.887,619.836,932.898,903.235,625.672,1081.73,1339.38,1763.34,836.928,686.457,1034.44,1594.76,487.825,1250.98,950.133,693.574,506.388,581.91,813.361,542.458,892.501,803.804,346.35,631.873,514.808,472.025,385.922,321.212,620.089,1299.25,804.455,2081.36,674.959,2014.09,1161.87,2697.52,1873.92,2211.49,1139.68,2040.42,2746.94,2815.82,1233.76,1920.62,1997.69,2263.09,2315,1321.29,1095.09,1147.03,1847.75,504.65,1509.98,331.207,2164.23,1422.88,802.878,1592.95,1537.87,1536.64,1237.54,1409.41,1427.42,2955.32,1963.69,1101.44
896.704,1715.06,1534.21,1595.42,738.875,538.185,908.077,1313.66,1580.08,768.55,2178.23,1996.72,3003.83,1340.86,1982.17,1266.9,1077.16,705.556,1136.24,1188.35,718.139,682.599,769.393,1076.5,764.659,1040.18,985.329,479.393,799.217,604.148,570.488,446.035,410.943,678.393,1672.09,857.125,2097.7,866.816,2113.42,1052.18,2520.35,1537.3,1982.65,919.707,1684.9,2339.03,2512.28,1176.5,1903.42,2233.18,2549.64,2651.15,1627.72,1599.82,1373.56,2346.19,540.325,1938.81,380.042,2558.19,1572.94,875.527,1572.02,1636.11,1404.17,1532.79,1511.82,1651.88,5450.7,734.987,1246.39
1259,1744.34,1574.51,1763.48,899.111,472.169,813.742,1414.21,1080.19,693.864,1343.57,1509.5,2133.19,1287.66,990.339,495.829,778.128,278.218,858.506,746.203,605.891,497.705,582.216,810.593,545.848,945.581,744.101,373.105,719.27,545.54,629.112,485.031,434.575,916.922,1996.51,1047.56,2737.82,898.312,2226.99,1068.39,2070.46,1587.39,1718.23,808.56,1577.68,2184.54,2332.49,1047.46,1597.96,1863.13,2303.78,2176.34,1413.62,1295.09,1165.79,2236.7,619.118,2080.4,435.541,2723.03,1811.29,943.951,1684.65,1839.62,1611.51,1498.99,1847.83,1319.79,4833.37,1542.66,1141.59
802.902,975.812,1537.72,1041.87,691.227,413.989,544.151,948.294,1009.11,496.566,1260.95,1438.28,2032.92,1015.04,825.322,642.761,690.666,195.219,772.797,790.594,554.177,513.679,552.858,735.436,377.461,855.3,635.501,342.36,553.937,542.021,587.876,394.498,417.496,875.967,1666.45,999.703,2565.75,837.556,1984.81,1014.83,2025.4,1805.15,2166.32,936.708,1896.69,2544.13,2932.92,1419.8,1891.57,1858.27,2527.15,2050.14,1328.88,1465.6,1141.81,2256.55,549.681,2071.03,411.206,2463.06,1522.43,850.65,1475.32,1456.01,1422.71,1321.66,1463.94,1814.08,5863.1,2717.42,1069.12
