m_age2_1951,m_age2_1952,m_age2_1953,m_age2_1954,m_age2_1955,m_age2_1956,m_age2_1957,m_age2_1958,m_age2_1959,m_age2_1960,m_age2_1961,m_age2_1962,m_age2_1963,m_age2_1964,m_age2_1965,m_age2_1966,m_age2_1967,m_age2_1968,m_age2_1969,m_age2_1970,m_age2_1971,m_age2_1972,m_age2_1973,m_age2_1974,m_age2_1975,m_age2_1976,m_age2_1977,m_age2_1978,m_age2_1979,m_age2_1980,m_age2_1981,m_age2_1982,m_age2_1983,m_age2_1984,m_age2_1985,m_age2_1986,m_age2_1987,m_age2_1988,m_age2_1989,m_age2_1990,m_age2_1991,m_age2_1992,m_age2_1993,m_age2_1994,m_age2_1995,m_age2_1996,m_age2_1997,m_age2_1998,m_age2_1999,m_age2_2000,m_age2_2001,m_age2_2002,m_age2_2003,m_age2_2004,m_age2_2005,m_age2_2006,m_age2_2007,m_age2_2008,m_age2_2009,m_age2_2010,m_age2_2011,m_age2_2012,m_age2_2013,m_age2_2014,m_age2_2015,m_age2_2016,m_age2_2017,m_age2_2018,m_age2_2019,m_age2_2020
0.450777,0.410781,0.37334,0.33759,0.304293,0.275116,0.252144,0.23777,0.234972,0.246714,0.276522,0.329391,0.411415,0.526774,0.670065,0.820485,0.946186,1.01561,1.01303,0.947019,0.845346,0.738483,0.644662,0.571244,0.519251,0.486772,0.470706,0.467495,0.474328,0.489064,0.509786,0.534484,0.560833,0.586109,0.607702,0.623688,0.633122,0.63623,0.634442,0.630285,0.626503,0.624955,0.626581,0.631452,0.638756,0.646735,0.653007,0.655829,0.654419,0.649026,0.640895,0.632187,0.625657,0.623191,0.625298,0.631166,0.638595,0.643858,0.641805,0.6285,0.603679,0.570601,0.535094,0.504381,0.486496,0.489066,0.518067,0.57985,0.68196,0.831255
0.443936,0.373959,0.316322,0.270912,0.236857,0.213133,0.198996,0.194342,0.20005,0.217873,0.250555,0.30191,0.376062,0.474983,0.593401,0.715762,0.819893,0.884328,0.897668,0.864022,0.800894,0.729453,0.66381,0.610927,0.572969,0.549275,0.537414,0.533786,0.535344,0.539882,0.54587,0.5524,0.559205,0.566654,0.575261,0.585328,0.596923,0.609856,0.623651,0.637513,0.650507,0.661866,0.671052,0.67779,0.682098,0.684294,0.684895,0.684297,0.682711,0.680155,0.67646,0.671278,0.664135,0.654793,0.643379,0.630361,0.616509,0.602849,0.59061,0.580926,0.574629,0.572305,0.574349,0.580996,0.592338,0.608346,0.628905,0.653778,0.682551,0.714556
0.305189,0.301469,0.295579,0.284756,0.268783,0.249669,0.230891,0.216636,0.211429,0.218995,0.242962,0.288226,0.361015,0.466314,0.600283,0.743789,0.865847,0.93468,0.933893,0.87172,0.775853,0.676431,0.590991,0.526255,0.48294,0.459168,0.452071,0.458315,0.475181,0.500368,0.53143,0.565336,0.598185,0.625232,0.642216,0.646769,0.638989,0.621454,0.598747,0.576729,0.560693,0.553673,0.556945,0.570371,0.59231,0.619085,0.645127,0.665482,0.676856,0.678225,0.671108,0.659398,0.648555,0.642653,0.643458,0.650662,0.661843,0.672182,0.674404,0.662313,0.63441,0.594017,0.548048,0.505129,0.474256,0.462925,0.47573,0.516676,0.590114,0.699134
0.339437,0.336194,0.330975,0.321188,0.306416,0.288225,0.269614,0.2544,0.246777,0.249995,0.266618,0.299444,0.351554,0.424958,0.517067,0.618448,0.714528,0.788785,0.828409,0.82959,0.799203,0.750471,0.695252,0.642002,0.595904,0.559663,0.534392,0.520298,0.517094,0.524167,0.540501,0.564398,0.593004,0.621885,0.646276,0.662535,0.668775,0.665266,0.654469,0.640686,0.628421,0.620559,0.618467,0.62219,0.630478,0.640653,0.649033,0.652826,0.650674,0.642791,0.630922,0.618151,0.608397,0.604372,0.60697,0.615415,0.62714,0.637509,0.639789,0.628488,0.602702,0.566118,0.52575,0.490236,0.468883,0.470287,0.501291,0.569874,0.686611,0.862796
0.709242,0.618679,0.538313,0.466204,0.402786,0.349484,0.307926,0.279803,0.267243,0.272186,0.297208,0.346625,0.426265,0.540734,0.686127,0.844021,0.984197,1.07374,1.09188,1.04072,0.94373,0.831228,0.724235,0.63339,0.562154,0.510044,0.474812,0.45368,0.444406,0.445331,0.45511,0.472413,0.495597,0.522387,0.550262,0.576917,0.600459,0.619644,0.634106,0.64448,0.651937,0.657395,0.661401,0.664098,0.665207,0.664025,0.659671,0.651797,0.640718,0.627366,0.613203,0.600133,0.590294,0.585002,0.584436,0.587704,0.592792,0.596455,0.594296,0.583013,0.562466,0.535535,0.507368,0.484517,0.474648,0.485629,0.524432,0.599146,0.719897,0.896942
0.504584,0.525025,0.538319,0.532314,0.502765,0.454545,0.398925,0.348774,0.314915,0.302807,0.315317,0.356574,0.433021,0.550665,0.705422,0.874338,1.01918,1.09985,1.09548,1.0168,0.899278,0.780569,0.681263,0.608197,0.560989,0.536182,0.528806,0.532746,0.542955,0.555738,0.56852,0.579911,0.589864,0.599713,0.610998,0.624565,0.640489,0.657991,0.675303,0.689566,0.697689,0.69781,0.689623,0.674411,0.654858,0.634715,0.617961,0.607149,0.603412,0.606715,0.615897,0.628516,0.640832,0.64935,0.651714,0.646942,0.635536,0.619396,0.601528,0.584993,0.572178,0.564923,0.564715,0.572885,0.59079,0.619846,0.661393,0.716579,0.786079,0.869559
0.572066,0.489638,0.421251,0.367792,0.328658,0.302814,0.289492,0.288663,0.301395,0.329742,0.376653,0.445664,0.539607,0.657642,0.790292,0.917969,1.0166,1.06563,1.05646,0.99622,0.904461,0.803486,0.70862,0.627916,0.56437,0.518126,0.48805,0.472656,0.470627,0.480856,0.502198,0.533,0.570429,0.609781,0.645543,0.672899,0.688611,0.691759,0.684039,0.669506,0.652887,0.637623,0.62583,0.618485,0.615581,0.616196,0.61876,0.621917,0.624671,0.626389,0.626819,0.626096,0.624678,0.622876,0.62066,0.617663,0.613193,0.606253,0.595645,0.581028,0.563728,0.54651,0.533319,0.529233,0.540984,0.57687,0.646049,0.760127,0.933857,1.18302
0.365298,0.33799,0.312238,0.287804,0.265476,0.246686,0.233297,0.227696,0.233215,0.253696,0.294004,0.36083,0.462058,0.602801,0.775553,0.952781,1.09336,1.15892,1.13421,1.03563,0.901145,0.76804,0.656147,0.571628,0.513603,0.478512,0.462058,0.45984,0.468545,0.485741,0.509316,0.537112,0.566693,0.595272,0.620141,0.6392,0.651267,0.656308,0.655504,0.65116,0.645881,0.641513,0.639095,0.638895,0.640437,0.642489,0.643376,0.642011,0.638118,0.632234,0.625664,0.620433,0.619034,0.622896,0.631794,0.643768,0.654893,0.659098,0.64865,0.618937,0.572387,0.517117,0.463882,0.423471,0.406534,0.424291,0.490829,0.631846,0.89481,1.35713
0.356237,0.374222,0.389474,0.396291,0.392132,0.378349,0.35977,0.343497,0.337771,0.349253,0.383499,0.44671,0.545373,0.681994,0.844686,1.00166,1.11186,1.14303,1.08968,0.976138,0.842566,0.723174,0.632683,0.573415,0.542504,0.535277,0.545587,0.565098,0.586143,0.602793,0.611371,0.61111,0.604422,0.596451,0.592173,0.594716,0.605618,0.624961,0.651182,0.680595,0.708199,0.729647,0.741885,0.743652,0.735731,0.720872,0.702947,0.685152,0.66971,0.657992,0.650654,0.647737,0.648713,0.652475,0.657287,0.660715,0.659629,0.650336,0.629077,0.594788,0.550849,0.503772,0.461411,0.431836,0.423861,0.447743,0.516496,0.652018,0.891492,1.29045
0.552359,0.525706,0.493422,0.447946,0.390709,0.329379,0.273436,0.230645,0.206174,0.202161,0.221133,0.269598,0.359578,0.505935,0.711813,0.948112,1.15126,1.24929,1.2091,1.06037,0.871544,0.701425,0.572811,0.486609,0.436126,0.413762,0.412442,0.424941,0.445433,0.469329,0.492928,0.513675,0.530639,0.544818,0.557904,0.571235,0.585694,0.60164,0.618849,0.636429,0.653099,0.667698,0.67928,0.68718,0.691066,0.690968,0.687257,0.680552,0.671665,0.66157,0.651368,0.642262,0.63546,0.631556,0.630304,0.630635,0.630638,0.627552,0.617951,0.599717,0.573645,0.543076,0.513119,0.489927,0.480622,0.492602,0.532598,0.608542,0.730361,0.908027
