ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
1587.73,0.767038,0.450777,1114.16,270.889,0.27446,1.60065, 93.0454, 128.68,1.01341,0.9991,90.627,2.66202,0.298448,2.911,0.336371,4.68335,0.406504,2.055,0.05,2.055,0.05,-1515.59
1590.87,0.894173,0.443936,1119.35,219.613,0.342564,1.36973, 82.8951, 130.476,1.02229,0.980949,83.5808,2.64802,0.287653,2.92731,0.343871,4.75683,0.416741,2.055,0.05,2.055,0.05,-1411.81
1823.92,0.681696,0.305189,1033.69,75.2762,0.220497,1.66018, 135.3, 161.45,1.0582,0.989537,121.769,2.73022,0.320209,2.91195,0.334012,4.66831,0.406676,2.055,0.05,2.055,0.05,-1392
1354.02,0.847239,0.339437,1121.14,112.928,0.321596,1.76849, 79.8233, 115.318,0.933064,1.00478,98.5196,2.69278,0.310921,2.91023,0.342965,4.66417,0.393959,2.055,0.05,2.055,0.05,-1388.69
1359.33,0.877889,0.709242,1136.27,678.672,0.297786,1.45512, 73.5973, 104.255,1.01193,0.989144,95.8869,2.63453,0.289472,2.87165,0.324168,4.69766,0.409816,2.055,0.05,2.055,0.05,-1389.28
1696.74,0.741848,0.504584,1302.05,362.662,0.299947,1.84863, 71.1978, 116.878,0.884891,0.996314,71.9563,2.63391,0.290716,2.92663,0.336951,4.66895,0.406477,2.055,0.05,2.055,0.05,-1378.01
1471.64,0.701584,0.572066,1211.56,335.481,0.306137,1.64481, 48.2522, 104.121,0.937637,1.00623,50.8364,2.63021,0.273975,2.94771,0.34462,4.73848,0.419493,2.055,0.05,2.055,0.05,-1375.87
1895.18,0.762712,0.365298,1132.68,112.759,0.227714,1.51293, 73.2375, 145.26,1.00024,0.990547,61.913,2.73777,0.320059,2.92217,0.34049,4.7377,0.416158,2.055,0.05,2.055,0.05,-1373.73
1966.31,0.729662,0.356237,1248.73,83.0464,0.274931,1.32746, 76.0159, 133.484,0.966157,1.0024,55.2388,2.68352,0.312488,2.91546,0.322795,4.73108,0.409186,2.055,0.05,2.055,0.05,-1370.01
1148.32,0.886204,0.552359,1101.44,385.922,0.316566,1.5, 60.4264, 89.0822,1.1176,0.995555,61.84,2.66215,0.296101,2.92422,0.339449,4.67509,0.395264,2.055,0.05,2.055,0.05,-1389.81
1766.97,0.751503,0.359395,1246.39,161.595,0.237233,1.5744, 56.6619, 118.877,0.946342,0.984383,41.0638,2.7065,0.297517,2.97065,0.347217,4.79223,0.415315,2.055,0.05,2.055,0.05,-1374.79
1819.5,0.747144,0.533134,1141.59,290.125,0.336539,1.36896, 58.7503, 135.825,1.02379,1.00442,40.7525,2.66584,0.285365,2.91607,0.340601,4.7771,0.4299,2.055,0.05,2.055,0.05,-1374.26
1704.63,0.68483,0.470022,1069.12,211.69,0.334087,1.5043, 59.526, 142.223,1.10965,0.991715,51.473,2.6717,0.297031,2.91671,0.334705,4.67645,0.409923,2.055,0.05,2.055,0.05,-1370.24
