rdev1_1953,rdev1_1954,rdev1_1955,rdev1_1956,rdev1_1957,rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017,rdev1_2018,rdev1_2019,rdev1_2020
0.451255,0.257074,-0.381998,-0.743387,-0.605413,0.0268208,-0.0193312,-0.577943,0.225549,0.190949,0.52481,-0.127366,-0.421971,-0.208824,-0.18833,-0.92635,-0.0457395,-0.0318134,-0.340879,-0.434563,-0.311385,-0.0253705,-0.486066,0.019732,-0.221197,-0.905264,-0.393772,-0.665546,-0.669114,-0.900351,-1.06675,-0.444728,0.221939,-0.335359,0.60021,-0.521311,0.423492,-0.169096,0.648928,0.291144,0.54233,-0.273889,0.40237,0.780656,0.83973,0.0459668,0.43814,0.585845,0.724147,0.701042,0.147047,0.128432,-0.00818051,0.528449,-0.78608,0.521114,-1.06011,0.800125,0.32132,-0.249825,0.326229,0.385374,0.233144,0.151012,0.258639,0.248989,1.40031,0.105996
0.291162,-0.10137,-0.466334,-1.11016,-0.640984,-0.013117,-0.128014,-0.678829,0.296403,0.0606109,0.450495,-0.323155,-0.674115,-0.355625,-0.261567,-1.40399,-0.241713,0.0136099,-0.395637,-0.297175,-0.0262373,0.149705,-0.321987,0.300326,0.000813369,-0.731635,-0.324537,-0.588828,-0.698456,-0.92749,-1.22159,-0.592317,0.16951,-0.435265,0.617807,-0.513913,0.616702,0.0280781,0.824886,0.454548,0.730221,-0.263516,0.622245,0.891233,0.935223,0.158756,0.40518,0.661463,0.781359,0.734438,0.111005,0.139876,-0.131251,0.391835,-0.972285,0.452235,-1.10338,0.81788,0.417394,-0.0256215,0.611367,0.632968,0.507308,0.382944,0.253581,0.195984,1.21884,-0.229997
0.464492,0.0715558,-0.623585,-0.705552,-0.719334,0.0799595,0.0743031,-0.627269,0.257495,0.115212,0.594845,-0.287416,-0.426802,-0.252986,-0.689901,-1.18098,-0.285052,-0.232507,-0.430857,-0.503686,-0.457747,-0.098377,-0.410378,0.146587,-0.103985,-0.778424,-0.302252,-0.47248,-0.396603,-0.768571,-0.988946,-0.486318,0.242809,-0.462292,0.551075,-0.665814,0.208783,-0.382589,0.572443,0.0588716,0.608599,-0.395706,0.52466,0.947453,0.922397,0.266377,0.717501,0.897106,0.877494,0.910093,0.299853,0.295251,0.219562,0.724156,-0.534637,0.645993,-0.885165,0.885877,0.465031,-0.399498,0.308695,0.403302,0.160014,0.0255535,0.168818,0.256896,1.608,-0.345587
0.223406,0.261616,-0.450024,-0.653365,-0.709553,0.117141,-0.0306929,-0.525132,0.329587,-0.0545454,0.187653,-0.47882,-0.182524,-0.476891,-0.819191,-1.36332,-0.402889,-0.0540611,-0.0802756,-0.215352,0.0718642,0.356499,-0.205386,0.265476,0.0219868,-0.719117,-0.342857,-0.549022,-0.443637,-0.872745,-0.874889,-0.357956,0.195708,-0.267679,0.70548,-0.513566,0.371665,-0.23114,0.580462,0.185931,0.534601,-0.333675,0.275131,0.827109,0.745295,0.00937177,0.574089,0.629893,0.706911,0.608337,-0.057902,0.0873559,-0.046909,0.437025,-0.827626,0.413524,-1.01009,0.764059,0.303034,-0.212034,0.242194,0.385081,0.280342,0.219585,0.160648,0.499218,1.49134,-0.0439136
0.905229,0.505697,-0.147852,-0.582154,-0.435851,0.0075243,-0.00441577,-0.437311,-0.11072,0.403477,0.27913,0.000715092,-0.777278,-0.370867,0.244979,-0.790639,0.245966,0.254225,-0.0308446,-0.299205,-0.208354,0.0409809,-0.548523,-0.0110221,-0.440376,-1.19964,-0.589903,-0.943056,-0.897675,-1.08093,-1.1723,-0.631705,0.0872155,-0.402698,0.507492,-0.422804,0.486829,-0.182937,0.750872,0.353531,0.59688,-0.318917,0.334712,0.688001,0.786238,-0.10447,0.349008,0.611273,0.58971,0.52048,0.0122883,-0.0935534,-0.147498,0.344781,-0.857532,0.29683,-1.15533,0.641424,0.301472,-0.280414,0.284983,0.466399,0.301864,0.22477,0.558545,0.367292,1.51008,0.108385
0.883111,0.152313,-0.177654,-0.60498,-0.334696,0.0468273,-0.160944,-0.529095,-0.161526,0.338278,0.236158,-0.141195,-0.308638,-1.35014,0.214994,-0.804908,0.0880174,0.101044,-0.291732,-0.320449,-0.152469,0.116925,-0.276567,0.0844513,-0.0830093,-0.674023,-0.184817,-0.651849,-0.58814,-0.827785,-1.08354,-0.519567,0.179849,-0.316636,0.533672,-0.486162,0.409783,-0.192171,0.591338,0.214821,0.407077,-0.397664,0.102326,0.473506,0.515024,-0.196451,0.282428,0.419289,0.708766,0.656737,0.0424169,0.082673,-0.107346,0.354733,-0.923179,0.262473,-1.1409,0.734251,0.381326,-0.0933201,0.420832,0.631386,0.339569,0.168393,-0.00318409,0.00262765,0.893637,1.23399
0.484126,0.195421,-0.347052,-0.82179,-0.227404,0.184625,-0.0445744,-0.273525,0.256038,0.0580336,0.641269,0.0226439,-0.795271,-0.52686,0.362589,-1.26237,0.187544,-0.000599043,-0.0872965,-0.23333,-0.11315,0.101145,-0.585735,0.0315459,-0.267458,-0.872856,-0.496124,-0.700293,-0.676654,-0.842498,-0.921867,-0.30531,0.331331,-0.349158,0.808745,-0.391913,0.464081,-0.305883,0.539517,0.111922,0.396579,-0.38132,0.196583,0.617953,0.590133,-0.00356603,0.200956,0.530492,0.656681,0.493494,-0.0484902,-0.0288204,-0.139395,0.285731,-1.086,0.412983,-1.19748,0.651327,0.378929,-0.243799,0.507306,0.589359,0.53471,0.330102,0.397912,0.448421,1.34618,0.238567
0.331763,0.0582399,-0.455044,-1.08432,-0.527354,0.0751831,-0.0131682,-0.51801,0.0946573,0.522598,0.431755,0.103343,-0.877958,-0.698763,0.836203,-0.885497,0.321653,0.0771275,-0.316755,-0.383437,-0.257427,-0.0241199,-0.511365,0.0750767,-0.304868,-1.08559,-0.390638,-0.714601,-0.665088,-0.883078,-0.982847,-0.259863,0.34245,-0.298833,0.700332,-0.453451,0.520948,-0.226086,0.705471,0.227459,0.498054,-0.344703,0.369294,0.721389,0.616582,-0.0101316,0.33923,0.5776,0.673066,0.679175,0.128299,0.172959,-0.0169648,0.483132,-0.973571,0.512646,-1.55319,0.61975,0.0597925,-0.495069,0.103964,0.373789,0.267315,0.525571,0.765635,0.767877,1.64867,0.208213
0.34165,0.400691,-0.317512,-0.83252,-0.715947,0.311568,0.0384001,-0.525076,0.453075,0.356488,0.656682,-0.0477223,-0.441495,-0.659529,0.12464,-0.761429,-0.0248571,-0.0452173,-0.477455,-0.382763,-0.34514,0.195051,-0.343519,0.198842,0.0634276,-0.735737,-0.129942,-0.60886,-0.76075,-1.00879,-1.21596,-0.534609,0.0630781,-0.361675,0.741982,-0.340521,0.616408,0.0498675,0.982444,0.649397,0.681676,-0.105818,0.569319,0.818976,0.829863,0.049977,0.431773,0.57006,0.671332,0.616324,0.058565,0.0817385,-0.158125,0.329227,-1.01378,0.267161,-1.5714,0.471271,-0.127703,-0.719189,0.0589292,0.0434355,0.0604141,0.0349387,0.286012,0.264829,1.47929,0.432289
0.630366,0.427881,-0.0855648,-0.834995,-0.574914,-0.166073,-0.198386,-0.565543,-0.0180532,0.195595,0.470596,-0.274631,-0.472825,-0.0627512,0.370108,-0.814413,0.127316,-0.147768,-0.462512,-0.777066,-0.638054,-0.303194,-0.708258,-0.210341,-0.315014,-1.15692,-0.55568,-0.760575,-0.847338,-1.04873,-1.23227,-0.574506,0.165171,-0.314204,0.636407,-0.489718,0.603555,0.0534168,0.89572,0.531418,0.697054,0.0341372,0.616542,0.913873,0.93864,0.113452,0.556036,0.595379,0.720118,0.742796,0.181994,-0.00578124,0.0405647,0.517356,-0.780504,0.315482,-1.20163,0.675449,0.256072,-0.316166,0.368976,0.333786,0.332984,0.116514,0.246556,0.259257,0.986994,0.578211
