sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018,sbt1_2019,sbt1_2020,sbt1_2021
46.5159,44.5488,67.1473,84.6443,80.495,46.0834,23.3245,35.8663,50.5096,48.9603,45.231,49.9144,44.9572,42.1959,25.9453,13.4555,7.13267,12.0584,15.1154,23.7257,29.5807,28.6651,34.6649,44.891,54.5289,64.1255,72.9238,61.9938,55.0057,54.0436,51.5341,44.6337,30.5949,27.4612,38.5131,57.7535,60.6707,75.4246,69.0043,74.0823,77.997,92.4079,94.1732,82.296,77.3844,84.7898,94.863,91.9733,82.9593,78.6772,95.3221,94.6949,89.1325,72.3328,62.0538,52.4352,59.2258,42.1706,47.9007,43.4494,67.4196,71.3782,66.8483,75.5886,74.4499,77.5038,71.7631,72.0368,85.2007,90.627,68.6125
39.8243,35.4815,60.4764,76.4092,74.1374,39.5605,20.2023,33.9594,50.2167,47.0938,43.6945,50.9153,47.4909,43.4898,23.4144,12.9293,6.90272,13.2493,15.3419,25.2421,33.3798,32.6972,40.4546,52.553,61.5624,70.0175,81.3958,69.0063,59.1439,54.7701,50.2129,42.0326,27.4447,24.1631,35.2437,56.6302,62.7228,80.9507,77.103,86.4595,91.9547,105.811,104.441,89.0682,81.4348,91.1878,101.078,95.4404,83.8495,76.6264,92.7499,91.4132,83.0792,65.9872,55.864,46.0204,52.0854,38.0598,46.7577,45.4517,74.0136,81.5264,78.4411,88.6202,82.9098,80.6009,69.2488,62.2034,71.134,83.5808,70.2316
42.9269,45.2076,70.0899,88.7583,79.7054,39.8331,20.7374,32.7428,48.7388,46.3417,42.6736,45.0679,44.9034,40.296,25.7598,15.4951,6.33872,8.86947,12.0923,20.0756,26.2163,26.9082,32.6989,42.0446,52.2372,64.5286,77.9519,67.3115,60.6437,58.0402,55.142,48.9582,32.7318,26.4478,33.9218,49.8678,51.1511,64.7068,58.6198,62.9044,68.2425,85.9411,90.1512,87.0156,83.7561,95.266,107.216,99.5137,90.3305,88.847,108.353,102.924,95.9726,77.8296,67.2218,58.5216,65.4967,45.5631,48.9068,43.1528,64.7988,67.8349,59.7818,66.272,66.2418,68.308,62.9935,67.2119,96.897,121.769,93.75
47.9178,54.0593,81.1759,87.2869,77.4423,43.7483,22.5514,33.8652,50.8795,54.0633,49.9664,56.9881,41.1232,31.7782,22.4414,21.3776,9.66685,12.9548,15.7705,24.9695,34.4683,36.532,44.2678,57.8467,68.3623,76.5543,84.911,72.1887,63.1883,58.2542,54.7478,48.164,32.6983,29.6424,39.2596,55.1572,59.0899,74.6013,66.5755,69.6214,72.0803,84.8602,88.3107,79.874,74.7714,82.5426,94.7371,89.3732,82.2072,83.6472,101.942,97.8711,89.004,69.5794,60.8728,50.7691,56.2078,39.4549,44.4395,41.2273,64.767,69.7526,66.5769,75.5411,76.9575,83.427,78.9057,78.9083,98.8789,98.5196,68.7986
63.667,51.7457,73.3318,96.714,87.323,47.7742,26.1236,41.1683,56.2505,51.6734,44.1898,39.3205,42.5621,36.1942,23.0158,8.51759,7.83541,15.3157,17.6634,27.1234,32.7761,31.3521,35.2191,44.1385,51.3381,58.8932,67.0857,54.4648,47.1563,47.2896,46.0302,40.4846,28.7669,26.6828,38.0257,58.3082,61.9985,76.6834,71.7268,77.9536,80.9932,95.6214,95.9758,82.2351,73.5419,77.6414,85.5194,85.1392,77.1345,75.1844,95.6053,92.6611,85.4052,69.8009,58.6192,49.1686,55.7855,40.6092,44.6557,41.444,66.0204,73.9627,71.2896,80.5256,83.2581,89.7757,85.7499,89.7005,99.0759,95.8869,66.4506
73.1129,84.9464,102.226,118.94,91.7138,46.5421,24.7471,40.4831,53.294,45.6931,40.1472,41.5762,44.4222,41.6602,28.4434,13.4508,6.28011,14.4316,17.5115,27.3175,33.8847,33.112,41.8045,55.4742,67.6314,79.8536,88.0182,74.4602,65.8999,63.347,58.0615,49.9523,35.9983,31.7373,44.039,65.537,68.7129,82.7828,74.3293,77.0403,76.1061,86.5766,85.8427,73.5923,68.0461,73.5476,83.6965,84.6717,80.9293,81.9986,105.085,109.331,101.035,79.0287,66.7408,54.2304,59.1032,42.6959,48.3254,47.2897,79.2553,89.0142,85.6308,95.6353,89.7576,83.0659,65.5755,51.5421,52.2191,71.9563,84.5723
51.5396,51.341,72.8875,89.4209,80.5238,49.5428,27.9335,50.2091,71.5284,66.4777,61.1368,57.531,39.7654,39.3087,21.6542,6.07702,6.6505,15.0039,16.8365,27.2075,32.2956,32.6858,40.0541,51.2933,59.7295,67.1897,76.0401,63.9284,56.6352,55.6896,54.551,48.5825,34.2853,32.896,46.0841,64.3598,66.5718,84.562,75.3665,76.9188,75.907,86.3304,86.1712,76.2654,73.5791,81.6444,90.7848,87.9924,82.2242,77.9945,97.5953,95.5193,84.4205,66.4158,57.6128,48.7247,53.6684,39.2944,48.251,45.5559,71.7152,81.5615,80.2521,95.6574,95.07,97.4339,81.5511,69.8646,65.9019,50.8364,32.0066
40.684,39.0117,63.784,80.9359,78.2197,40.8421,22.6261,38.6943,62.6266,63.7259,51.3994,49.071,46.2586,37.7189,23.0728,4.71856,9.16109,19.264,18.5649,26.8146,30.2436,28.2599,34.9639,46.1665,56.2883,66.5348,77.1511,63.3121,54.1652,53.6959,50.626,44.1283,31.0948,29.7696,44.0021,64.3363,66.0989,81.0796,73.7429,78.4858,79.5011,94.4018,92.0877,78.0685,73.549,81.4708,89.101,83.3511,76.7345,74.2449,94.8077,94.952,89.7219,73.8887,64.7388,52.9873,56.6609,38.705,44.3717,38.0809,58.4785,62.692,60.8426,73.2637,82.9177,99.5403,111.101,119.257,109.347,61.913,28.5771
47.8822,50.0702,73.0272,91.0007,94.0977,57.3223,28.7205,39.0853,60.82,55.8095,53.0905,64.0689,58.7393,43.1101,22.384,6.50198,4.86061,10.989,14.8767,24.2001,30.8003,30.8579,39.2453,52.6867,68.16,80.0409,89.8275,74.1475,63.4918,58.1415,50.5285,39.5815,26.1407,24.0302,36.6851,58.3394,70.4871,96.6241,90.5476,95.0903,99.0863,117.367,113.277,89.8741,80.5539,88.5651,96.8887,93.7831,85.8506,83.2092,102.376,99.6188,90.3278,71.0199,59.9254,47.1113,51.1428,35.3409,39.5801,35.7609,57.0204,60.4934,57.7903,70.5851,70.3095,78.7898,75.9019,74.0439,76.2909,55.2388,31.2842
49.555,47.6576,72.6239,84.4898,80.9234,48.3894,26.768,38.7209,46.0922,39.9427,35.7637,42.8648,41.3659,41.0214,19.4151,7.85424,6.81901,11.6376,12.6311,19.134,23.2648,22.424,26.7909,37.0826,47.7189,58.1244,67.4491,57.9308,49.862,48.6079,46.7071,39.5483,26.8628,23.5602,35.7212,58.5353,65.7734,84.937,80.1274,87.8731,93.425,109.423,106.734,89.5315,84.9895,91.5156,100.03,94.6787,85.4224,81.3851,95.8924,93.1309,88.1988,70.6263,58.6647,50.3347,57.8932,40.7461,42.6854,38.7322,61.7221,67.9661,65.5293,77.0274,76.1025,79.5246,72.1476,68.3624,66.5873,61.84,53.2204
