TAC,B2021,B2022,B0,04B0,03B0,02B0,B1951,B2022B2021,B202204B0,B202202B0,B2022B1951,F2020,F2021,F2021F2020,U2021,U2021U2020,PropAge3,PropAge4to10,UT,U20
0,109.718,93.2859,128.68,51.472,38.604,25.736,46.5159,0.850235,1.81236,3.62472,2.00546,0.0176122,0,0,0,0,0.399746,0.529851,0,0
0,76.7121,71.8442,130.476,52.1904,39.1428,26.0952,39.8243,0.936543,1.37658,2.75316,1.80403,0.0188022,0,0,0,0,0.245544,0.680548,0,0
0,118.038,121.665,161.45,64.5801,48.4351,32.2901,42.9269,1.03072,1.88393,3.76787,2.83423,0.0134274,0,0,0,0,0.126005,0.74196,0,0
0,96.5146,88.0039,115.318,46.1274,34.5955,23.0637,47.9178,0.91182,1.90785,3.81569,1.83656,0.0147081,0,0,0,0,0.267197,0.665117,0,0
0,85.7799,83.528,104.255,41.7019,31.2764,20.8509,63.667,0.973748,2.00298,4.00596,1.31195,0.0143998,0,0,0,0,0.144853,0.701203,0,0
0,63.0137,64.0841,116.878,46.7511,35.0633,23.3756,73.1129,1.01699,1.37075,2.7415,0.876509,0.0232524,0,0,0,0,0.437672,0.481437,0,0
0,47.2969,57.908,104.121,41.6484,31.2363,20.8242,51.5396,1.22435,1.3904,2.78081,1.12356,0.0236118,0,0,0,0,0.139348,0.542474,0,0
0,74.8991,70.6907,145.26,58.104,43.578,29.052,40.684,0.943812,1.21662,2.43325,1.73756,0.0194052,0,0,0,0,0.392534,0.45642,0,0
0,52.4114,47.9785,133.484,53.3934,40.0451,26.6967,47.8822,0.915422,0.898585,1.79717,1.00201,0.0219987,0,0,0,0,0.289112,0.564094,0,0
0,49.9462,42.8797,89.0822,35.6329,26.7247,17.8164,49.555,0.858517,1.20337,2.40675,0.865295,0.0276431,0,0,0,0,0.232575,0.689346,0,0
0,33.7338,35.7392,118.877,47.551,35.6632,23.7755,42.043,1.05945,0.751598,1.5032,0.850065,0.026292,0,0,0,0,0.175286,0.65651,0,0
0,37.9565,47.2514,135.825,54.3301,40.7476,27.1651,54.8363,1.24488,0.869709,1.73942,0.86168,0.0278211,0,0,0,0,0.202751,0.539118,0,0
0,48.8081,58.0585,142.223,56.8893,42.667,28.4446,37.1244,1.18953,1.02055,2.0411,1.56389,0.02372,0,0,0,0,0.241315,0.520238,0,0
0,54.7469,59.499,131.63,52.6521,39.4891,26.326,43.3395,1.0868,1.13004,2.26008,1.37286,0.0237423,0,0,0,0,0.309525,0.459148,0,0
0,89.5698,81.4361,136.029,54.4116,40.8087,27.2058,54.0519,0.909191,1.49667,2.99333,1.50663,0.0184866,0,0,0,0,0.326968,0.573893,0,0
0,84.094,73.4463,112.787,45.1147,33.836,22.5573,47.6213,0.873384,1.62799,3.25598,1.5423,0.0204908,0,0,0,0,0.235062,0.67022,0,0
0,169.851,139.423,138.136,55.2544,41.4408,27.6272,52.3626,0.820851,2.52329,5.04657,2.66264,0.00975838,0,0,0,0,0.176742,0.798021,0,0
0,61.4104,61.2472,143.411,57.3645,43.0234,28.6823,49.662,0.997342,1.06768,2.13537,1.23328,0.020976,0,0,0,0,0.0862116,0.758772,0,0
0,126.039,120.326,160.898,64.359,48.2693,32.1795,46.9458,0.954669,1.8696,3.7392,2.56308,0.0122833,0,0,0,0,0.20322,0.7145,0,0
