################################################################################
# Data file for Pacific Herring stock assessment using iSCAM
# Region(s):	Strait of Georgia
# Created:	2020-07-24
# Edited:	
################################################################################
#
##### Model dimensions #####
1	# Number of areas (narea)
1	# Number of groups (ngroup)
1	# Number of sexes (nsex)
1951	# First year (syr)
2020	# Last year (nyr)
2	# Youngest age (sage)
10	# Plus group (nage)
5	# Number of gears (ngear)
#
##### Fishery flags #####
0.2181	0.3917	0.3903	0	0	# TAC allocations (mean of last 20 years)
#
##### Age and population parameters #####
27	# Asymptotic length (linf)
0.48	# Brody growth coefficient (k)
0	# Theoretical age at zero length (t0)
4.5e-06	# Scalar in length-weight allometry (alpha)
3.127	# Power parameter in length-weight allometry (beta)
2.055	# Age at 50% maturity
0.05	# Standard deviation at 50% maturity
1	# Natural mortality indicator
0.24974, 0.9, 1, 1, 1, 1, 1, 1, 1	# Maturity vector
#
##### Delay-difference parameters (not used) #####
0	# (kage)
0	# (alpha_g)
0	# (rho_g)
0	# (wk)
#
##### Catch (t*10^3) #####
164	# Number of observations
# Year	Gear	Area	Group	Sex	Type	Value
1951	1	1	1	0	1	43.798
1952	1	1	1	0	1	45.885
1953	1	1	1	0	1	8.425
1954	1	1	1	0	1	65.767
1955	1	1	1	0	1	68.641
1956	1	1	1	0	1	72.062
1957	1	1	1	0	1	59.608
1958	1	1	1	0	1	20.628
1959	1	1	1	0	1	50.025
1960	1	1	1	0	1	68.037
1961	1	1	1	0	1	46.215
1962	1	1	1	0	1	65.303
1963	1	1	1	0	1	68.847
1964	1	1	1	0	1	76.881
1965	1	1	1	0	1	47.819
1966	1	1	1	0	1	33.338
1967	1	1	1	0	1	31.043
1968	1	1	1	0	1	1.893
1969	1	1	1	0	1	0.194
1970	1	1	1	0	1	0.244
1971	1	1	1	0	1	1.7
1972	1	1	1	0	1	2.753
1973	1	1	1	0	1	4.005
1974	1	1	1	0	1	0.485
1975	1	1	1	0	1	0.405
1976	1	1	1	0	1	5.069
1977	1	1	1	0	1	5.676
1978	1	1	1	0	1	13.049
1979	1	1	1	0	1	13.576
1980	1	1	1	0	1	2.472
1981	1	1	1	0	1	4.907
1982	1	1	1	0	1	3.938
1983	1	1	1	0	1	0.824
1984	1	1	1	0	1	0.87
1985	1	1	1	0	1	0.773
1986	1	1	1	0	1	0.432
1987	1	1	1	0	1	0.244
1988	1	1	1	0	1	0.756
1989	1	1	1	0	1	1.033
1990	1	1	1	0	1	0.233
1991	1	1	1	0	1	0.562
1992	1	1	1	0	1	1.216
1993	1	1	1	0	1	0.617
1994	1	1	1	0	1	1.032
1995	1	1	1	0	1	0.643
1996	1	1	1	0	1	0.541
1997	1	1	1	0	1	0.402
1998	1	1	1	0	1	0.954
1999	1	1	1	0	1	1.471
2000	1	1	1	0	1	1.156
2001	1	1	1	0	1	1.423
2002	1	1	1	0	1	1.328
2003	1	1	1	0	1	2.194
2004	1	1	1	0	1	1.356
2005	1	1	1	0	1	1.988
2006	1	1	1	0	1	2.177
2007	1	1	1	0	1	1.071
2008	1	1	1	0	1	1.201
2009	1	1	1	0	1	0.547
2010	1	1	1	0	1	0.539
2011	1	1	1	0	1	0.713
2012	1	1	1	0	1	4.09
2013	1	1	1	0	1	4.543
2014	1	1	1	0	1	7.835
2015	1	1	1	0	1	7.825
2016	1	1	1	0	1	7.55
2017	1	1	1	0	1	7.26
2018	1	1	1	0	1	5.907
2019	1	1	1	0	1	7.31
2020	1	1	1	0	1	2.193
1972	2	1	1	0	1	5.921
1973	2	1	1	0	1	1.604
1974	2	1	1	0	1	0.439
1975	2	1	1	0	1	0.469
1976	2	1	1	0	1	0.202
1977	2	1	1	0	1	4.098
1978	2	1	1	0	1	3.723
1980	2	1	1	0	1	0.169
1981	2	1	1	0	1	2.081
1982	2	1	1	0	1	3.312
1983	2	1	1	0	1	7.78
1984	2	1	1	0	1	4.126
1985	2	1	1	0	1	2.762
1986	2	1	1	0	1	0.162
1987	2	1	1	0	1	3.111
1988	2	1	1	0	1	1.471
1989	2	1	1	0	1	1.417
1991	2	1	1	0	1	1.131
1992	2	1	1	0	1	3.61
1993	2	1	1	0	1	4.391
1994	2	1	1	0	1	5.134
1995	2	1	1	0	1	4.359
1996	2	1	1	0	1	7.338
1997	2	1	1	0	1	9.274
1998	2	1	1	0	1	5.754
1999	2	1	1	0	1	4.887
2000	2	1	1	0	1	6.454
2001	2	1	1	0	1	7.276
2002	2	1	1	0	1	9.299
2003	2	1	1	0	1	10.6
2004	2	1	1	0	1	7.019
2005	2	1	1	0	1	7.929
2006	2	1	1	0	1	9.308
2007	2	1	1	0	1	3.865
2008	2	1	1	0	1	6.046
2009	2	1	1	0	1	5.685
2010	2	1	1	0	1	4.54
2012	2	1	1	0	1	3.17
2013	2	1	1	0	1	6.099
2014	2	1	1	0	1	6.88
2015	2	1	1	0	1	8.417
2016	2	1	1	0	1	7.627
2017	2	1	1	0	1	8.796
2018	2	1	1	0	1	3.111
2019	2	1	1	0	1	6.512
2020	2	1	1	0	1	1.831
1972	3	1	1	0	1	0.137
1973	3	1	1	0	1	2.04
1974	3	1	1	0	1	3.093
1975	3	1	1	0	1	5.305
1976	3	1	1	0	1	6.966
1977	3	1	1	0	1	7.735
1978	3	1	1	0	1	7.23
1979	3	1	1	0	1	6.762
1980	3	1	1	0	1	3.177
1981	3	1	1	0	1	5.065
1982	3	1	1	0	1	5.583
1983	3	1	1	0	1	8.613
1984	3	1	1	0	1	6.039
1985	3	1	1	0	1	3.495
1987	3	1	1	0	1	5.998
1988	3	1	1	0	1	5.988
1989	3	1	1	0	1	5.919
1990	3	1	1	0	1	7.886
1991	3	1	1	0	1	9.41
1992	3	1	1	0	1	8.87
1993	3	1	1	0	1	8.733
1994	3	1	1	0	1	11.572
1995	3	1	1	0	1	8.19
1996	3	1	1	0	1	6.233
1997	3	1	1	0	1	6.148
1998	3	1	1	0	1	6.896
1999	3	1	1	0	1	6.838
2000	3	1	1	0	1	7.594
2001	3	1	1	0	1	7.683
2002	3	1	1	0	1	7.986
2003	3	1	1	0	1	8.083
2004	3	1	1	0	1	5.226
2005	3	1	1	0	1	8.954
2006	3	1	1	0	1	7.277
2007	3	1	1	0	1	5.286
2008	3	1	1	0	1	2.752
2009	3	1	1	0	1	3.937
2010	3	1	1	0	1	3.244
2011	3	1	1	0	1	4.415
2012	3	1	1	0	1	4.079
2013	3	1	1	0	1	5.905
2014	3	1	1	0	1	5.595
2015	3	1	1	0	1	3.726
2016	3	1	1	0	1	6.133
2017	3	1	1	0	1	9.223
2018	3	1	1	0	1	10.049
2019	3	1	1	0	1	7.597
