N_ag1_age2_1951,N_ag1_age3_1951,N_ag1_age4_1951,N_ag1_age5_1951,N_ag1_age6_1951,N_ag1_age7_1951,N_ag1_age8_1951,N_ag1_age9_1951,N_ag1_age10_1951
440.329,252.723,315.903,21.9141,15.6046,10.4057,6.65301,3.99554,4.87465
582.89,235.648,390.179,24.6456,30.3016,31.5871,1.04037,0.342581,1.46238
352.978,170.906,285.919,25.9653,12.8798,4.11491,0.492564,12.0226,9.91321
876.104,205.588,304.901,17.2563,21.0045,10.855,13.7057,0.803049,2.17795
334.075,226.985,252.355,3.27602,24.308,1.65545,4.57753,0.135953,19.2006
277.758,166.981,327.635,20.5393,7.14247,4.45895,5.59988,0.98053,18.5706
225.24,118.623,202.407,3.09128,35.1845,10.7315,0.659327,34.3765,8.72764
463.213,204.045,183.973,4.07256,1.49919,21.6924,2.42583,15.7565,9.41123
318.659,232.098,314.778,34.7659,1.91232,2.62668,3.06969,0.178561,1.47922
343.485,304.734,370.123,2.92648,2.80938,0.171237,47.5419,1.36824,5.93716
402.206,109.95,242.649,0.81318,61.0522,0.907531,2.63281,8.17611,15.9307
295.716,315.607,415.772,14.6383,10.8687,50.4967,2.84392,1.47201,0.714746
369.621,197.347,397.077,40.9492,8.80164,22.8694,0.885274,0.11989,9.29569
703.905,361.404,438.772,38.767,13.17,11.1808,0.765793,2.42736,15.7802
493.291,342.72,446.748,57.113,22.3978,0.370996,2.10479,0.467183,0.45851
507.455,413.774,362.001,15.6064,53.1335,25.4573,2.65123,0.796383,0.160495
508.462,351.209,481.428,38.9048,14.7722,63.4958,21.2336,0.0961506,9.55326
415.507,119.485,260.991,4.91421,6.78026,5.59825,3.69787,17.9052,18.3562
555.331,214.655,230.31,3.67802,36.9426,26.2952,27.7724,5.85506,3.57154
541.457,206.738,246.383,2.76546,52.2309,0.319669,0.234127,0.00304833,1.17916
627.853,189.835,462.445,1.93622,0.706978,100.369,7.9084,0.419158,6.95339
473.38,271.349,324.418,12.0913,0.927549,2.42232,7.90185,34.3488,0.569514
204.416,301.413,203.231,10.043,0.0925699,26.4832,0.388598,1.03614,1.02685
272.603,224.048,338.877,22.9531,1.46608,4.13806,0.901982,0.769511,8.54927
540.283,209.401,290.308,6.40069,9.72744,11.0212,5.80478,3.89002,4.67686
499.637,298.863,366.459,24.8427,2.6927,1.42954,2.98321,1.69584,5.97927
446.722,303.788,252.044,30.5095,11.5282,18.5042,0.174943,0.700018,7.78598
299.808,281.152,274.709,1.73115,12.4591,1.57142,26.8128,0.343758,9.53036
436.557,447.142,414.032,41.4298,62.1871,4.26652,13.8855,10.2548,0.0895508
636.993,406.648,419.787,13.5216,14.0559,76.8079,0.579765,0.640722,11.8828
957.663,521.885,497.758,68.4655,3.96318,1.8405,0.299791,5.71601,0.917217
1081.15,418.15,742.196,71.2809,9.52007,0.0531053,1.08805,1.37779,0.0283965
843.992,623.603,757.106,147.76,2.73081,0.223859,1.14874,4.39898,0.00377817
1315.27,847.496,518.217,126.895,1.59773,2.73827,2.57969,0.101733,0.0131608
1340.15,651.145,460.802,18.8392,71.2683,1.37282,12.6377,0.406055,0.0240411
1174.94,442.374,807.75,51.1441,17.1149,13.6387,35.4285,3.07902,0.952445
1100.07,512.091,739.587,110.576,24.5122,34.7912,5.09315,1.71361,2.7223
1401.01,552.801,597.678,76.7398,63.7361,8.67444,3.84774,5.96369,12.6018
1317.08,583.966,782.909,46.909,98.7042,7.23808,0.835002,0.21347,0.00920839
1148.81,724.662,777.295,60.4971,1.30482,23.9991,0.0528199,0.00361176,0.00170104
955.29,793.548,645.323,20.2496,68.3809,32.7595,0.00355416,0.0333576,1.47579e-005
1171.65,776.545,890.354,52.3525,102.56,7.13609,0.0598199,0.172896,0.00234562
1435.95,609.701,689.724,35.067,2.02999,98.9804,2.53252,2.13446,0.582707
928.204,591.623,666.229,24.0474,48.2819,45.9171,0.247549,2.90109,0.00821434
1067.82,440.104,554.454,14.7477,32.5476,41.6776,0.637449,2.30583,0.0126005
622.401,498.826,472.964,11.7885,19.3743,40.4657,20.3097,0.889625,0.0225802
810.209,447.358,605.027,36.3023,29.8033,2.52314,26.6774,0.409326,0.00424338
755.254,428.484,549.87,3.17476,2.72496,47.4008,9.90467,3.95035,0.425645
401.159,155.375,349.499,33.1895,2.65589,14.6403,0.214686,1.01658,6.22583
392.229,302.453,308.964,2.21278,11.8462,33.0965,0.723826,0.0724924,4.82336
293.913,310.837,353.625,8.97997,3.77247,3.87341,0.227836,0.267124,33.4562
242.315,316.112,351.838,2.65725,1.60669,28.8744,1.4362,4.37126,8.82383
395.862,275.614,250.359,19.1525,5.66291,8.84453,1.25765,31.0922,3.25993
407.635,184.273,325.714,10.0937,59.9684,10.7398,0.593391,8.02546,1.24384
456.867,186.346,193.718,6.62181,3.91374,1.23696,0.0787433,15.117,27.2138
294.088,410.528,236.518,16.41,2.93927,1.71065,2.98436,1.73297,18.9234
676.513,236.732,408.439,43.5898,9.2621,0.448028,2.06883,0.147358,0.0742448
345.769,230.031,516.996,12.2746,40.3226,0.707164,0.776316,0.127439,3.55204
265.232,229.819,352.036,53.4746,4.05319,4.82887,0.736668,0.594295,0.00444389
450.194,237.94,246.077,0.588912,2.22769,68.6683,2.2236,0.179044,0.371815
256.726,131.207,306.523,3.32782,0.0402852,12.3554,8.31961,1.81804,26.5514
495.724,217.783,245.269,22.9667,0.594437,11.3336,3.28168,0.23015,16.9223
402.015,173.861,182.855,32.5895,1.62121,0.125529,5.95507,1.22811,3.71519
387.999,157.2,276.821,44.8796,11.6063,0.0921678,0.553724,3.59252,0.453021
