N_ag1_age2_t1951,N_ag1_age2_t1952,N_ag1_age2_t1953,N_ag1_age2_t1954,N_ag1_age2_t1955,N_ag1_age2_t1956,N_ag1_age2_t1957,N_ag1_age2_t1958,N_ag1_age2_t1959,N_ag1_age2_t1960,N_ag1_age2_t1961,N_ag1_age2_t1962,N_ag1_age2_t1963,N_ag1_age2_t1964,N_ag1_age2_t1965,N_ag1_age2_t1966,N_ag1_age2_t1967,N_ag1_age2_t1968,N_ag1_age2_t1969,N_ag1_age2_t1970,N_ag1_age2_t1971,N_ag1_age2_t1972,N_ag1_age2_t1973,N_ag1_age2_t1974,N_ag1_age2_t1975,N_ag1_age2_t1976,N_ag1_age2_t1977,N_ag1_age2_t1978,N_ag1_age2_t1979,N_ag1_age2_t1980,N_ag1_age2_t1981,N_ag1_age2_t1982,N_ag1_age2_t1983,N_ag1_age2_t1984,N_ag1_age2_t1985,N_ag1_age2_t1986,N_ag1_age2_t1987,N_ag1_age2_t1988,N_ag1_age2_t1989,N_ag1_age2_t1990,N_ag1_age2_t1991,N_ag1_age2_t1992,N_ag1_age2_t1993,N_ag1_age2_t1994,N_ag1_age2_t1995,N_ag1_age2_t1996,N_ag1_age2_t1997,N_ag1_age2_t1998,N_ag1_age2_t1999,N_ag1_age2_t2000,N_ag1_age2_t2001,N_ag1_age2_t2002,N_ag1_age2_t2003,N_ag1_age2_t2004,N_ag1_age2_t2005,N_ag1_age2_t2006,N_ag1_age2_t2007,N_ag1_age2_t2008,N_ag1_age2_t2009,N_ag1_age2_t2010,N_ag1_age2_t2011,N_ag1_age2_t2012,N_ag1_age2_t2013,N_ag1_age2_t2014,N_ag1_age2_t2015,N_ag1_age2_t2016,N_ag1_age2_t2017,N_ag1_age2_t2018,N_ag1_age2_t2019,N_ag1_age2_t2020,N_ag1_age2_t2021
440.329,405.147,767.778,352.849,489.725,592.924,503.192,916.867,669.313,426.982,848.414,396.242,773.707,301.667,130.275,485.42,359.841,131.825,394.295,639.603,523.44,524.854,650.064,909.252,401.976,289.562,503.335,180.963,471.783,356.725,235.303,213.619,389.958,860.853,1003.93,351.762,1577.97,301.76,332.394,203.197,527.917,338.735,270.755,141.646,215.562,1018.08,399.579,238.089,283.115,437.283,594.059,579.136,251.882,272.993,180.262,292.371,133.402,259.302,153.284,413.917,107.579,125.525,310.09,238.618,808.472,134.836,148.655,446.648,383.633,369.659,366.462
582.89,418.788,1113.67,334.314,578.965,855.809,651.285,1122.95,834.946,475.973,1072.21,530.887,1021.25,292.753,224.178,263.364,566.727,145.218,690.583,1084.26,806.87,779.024,802.509,1166.77,472.5,327.658,590.601,176.179,586.015,439.776,351.99,283.014,547.117,1531.98,1611.15,529.633,2013.49,327.032,273.413,190.93,464.043,290.041,230.234,124.596,201.523,1029.22,368.111,198.912,294.923,452.97,725.02,560.391,221.998,281.619,160.055,297.236,95.6508,240.234,123.173,408.162,135.813,126.353,338.977,262.819,827.969,136.83,142.988,546.316,295.408,815.544,415.208
352.978,386.661,733.002,327.792,571.185,661.627,627.482,725.304,813.84,449.785,915.337,370.801,777.169,268.6,170.141,247.893,661.131,186.458,464.99,1008.4,704.284,714.625,872.68,1058.07,392.404,293.005,506.4,151.627,392.598,259.47,223.248,164.505,393.244,716.427,886.774,320.543,1353.39,280.272,251.847,158.735,441.337,287.274,249.972,121.336,199.773,944.018,397.447,258.782,330.075,510.384,556.783,556.28,308.287,313.726,226.745,295.588,152.956,341.992,185.005,575.581,143.732,204.718,337.227,247.057,974.726,150.158,123.864,406.877,303.904,761.105,378.628
876.104,624.204,880.835,595.884,660.829,592.13,431.533,878.349,735.076,420.084,711.522,406.166,683.861,225.7,114.928,158.957,748.424,115.649,393.592,682.976,561.411,581.283,505.524,850.807,345.34,230.923,401.598,143.711,341.06,336.053,210.491,215.686,445.48,1071.01,1347.92,485.644,2219.55,358.29,416.875,237.651,588.529,330.844,319.844,149.828,187.147,1208.43,394.025,254.959,305.136,557.813,656.945,705.815,187.744,266.78,143.817,230.51,92.3681,266.872,106.949,418.831,95.6034,129.384,376.733,284.162,803.821,149.082,144.177,523.016,395.871,227.217,370.203
334.075,320.291,654.49,374.524,483.376,436.101,405.498,834.056,648.492,430.758,741.832,389.859,574.572,262.322,101.644,261.525,403.063,117.729,291.807,468.299,390.632,435.366,460.002,761.221,346.723,270.088,399.12,181.201,535.224,373.39,256.506,225.755,344.837,1164.43,1018.58,387.941,1810.01,396.809,424.016,243.524,672.905,432.554,328.155,149.004,235.148,1220.13,332.186,221.639,266.247,388.64,476.531,535.054,249.676,290.682,196.236,285.499,141.469,325.194,131.586,389.992,74.5472,104.827,223.917,177.063,655.995,139.319,164.825,560.015,563.576,263.213,347.232
277.758,263.846,565.272,283.195,353.78,436.962,505.246,802.393,681.258,494.862,972.969,475.55,833.136,358.515,103.306,266.683,417.228,181.031,362.133,597.283,503.183,480.162,632.423,872.663,396.107,232.513,399.072,206.704,485.11,309.876,255.308,266.92,525.926,1319.43,1734.84,473.957,2386.2,463.809,450.135,254.983,594.54,324.486,276.652,141.513,208.083,775.465,316.648,203.638,335.585,378.792,529.504,575.722,234.373,296.912,246.654,379.704,169.241,314.586,173.648,459.117,154.683,144.727,322.969,306.412,855.927,193.709,212.301,444.787,551.325,136.551,377.166
225.24,251.438,565.78,267.293,450.074,593.74,502.486,777.254,854.618,419.463,926.421,630.57,712.757,422.642,160.766,474.689,1138.08,282.507,463.406,1000.61,631.486,507.466,660.257,939.34,434.338,251.773,415.621,150.864,429.928,322.795,214.071,172.4,367.032,813.53,1046.04,411.633,1713.75,432.032,404.133,235.835,552.518,310.866,223.858,106.089,145.594,703.326,316.057,167.717,328.749,345.991,569.524,567.316,276.865,317.911,221.605,323.052,169.867,232.707,123.355,383.772,98.7141,102.442,297.503,248.874,910.989,152.79,200.433,632.393,530.747,539.063,375.618
463.213,248.81,830.022,388.015,583.222,666.387,551.838,998.588,763.126,438.792,793.344,638.107,537.855,297.797,97.8156,628.382,281.716,120.296,426.176,630.448,522.456,665.507,741.447,969.97,434.607,388.342,522.832,223.879,576.887,372.728,242.368,224.129,373.329,755.098,1192.91,329.734,1512.39,275.7,342.275,189.428,609.492,367.485,266.2,179.803,248.644,1185.9,425.475,277.656,318.622,463.324,615.507,619.553,236.11,306.27,175.349,369.18,148.838,343.814,194.649,449.519,108.869,119.744,276.671,216.089,690.653,99.5725,178.931,444.598,270.113,860.585,384.647
318.659,265.098,647.522,295.98,278.088,549.694,295.148,643.141,650.506,391.901,731.887,257.671,650.146,300.794,107.855,291.186,809.543,131.244,597.928,971.035,715.497,828.567,768.5,994.84,426.265,313.235,464.418,183.358,540.389,374.245,254.588,275.069,496.573,969.864,1175.42,355.634,1525.22,254.64,265.073,156.291,414.182,308.203,282.792,138.928,252.741,1165.48,531.559,273.754,315.102,550.634,650.369,565.543,306.74,332.842,184.656,377.645,188.649,257.999,150.452,374.299,98.2381,93.8235,255.971,191.128,604.224,129.847,132.287,575.948,378.173,1148.41,370.279
343.485,282.48,609.421,225.346,275.664,299.443,376.033,567.132,623.309,391.082,638.139,344.283,564.644,228.609,98.4804,518.541,326.482,302.031,783.664,1169.69,888.388,774.34,798.726,1046.86,411.98,307.426,461.377,168.466,409.819,296.171,217.825,174.754,401.327,893.483,1024.84,271.134,1396.29,290.723,209.875,133.859,489.075,263.127,273.054,134.013,216.495,1108.39,566.052,277.644,293.22,616.094,729.213,612.052,260.035,233.305,140.392,217.309,114.413,185.601,116.157,284.852,102.992,113.237,312.308,231.544,812.155,146.107,154.11,648.691,578.659,293.661,347.268
