m_age2_1951,m_age2_1952,m_age2_1953,m_age2_1954,m_age2_1955,m_age2_1956,m_age2_1957,m_age2_1958,m_age2_1959,m_age2_1960,m_age2_1961,m_age2_1962,m_age2_1963,m_age2_1964,m_age2_1965,m_age2_1966,m_age2_1967,m_age2_1968,m_age2_1969,m_age2_1970,m_age2_1971,m_age2_1972,m_age2_1973,m_age2_1974,m_age2_1975,m_age2_1976,m_age2_1977,m_age2_1978,m_age2_1979,m_age2_1980,m_age2_1981,m_age2_1982,m_age2_1983,m_age2_1984,m_age2_1985,m_age2_1986,m_age2_1987,m_age2_1988,m_age2_1989,m_age2_1990,m_age2_1991,m_age2_1992,m_age2_1993,m_age2_1994,m_age2_1995,m_age2_1996,m_age2_1997,m_age2_1998,m_age2_1999,m_age2_2000,m_age2_2001,m_age2_2002,m_age2_2003,m_age2_2004,m_age2_2005,m_age2_2006,m_age2_2007,m_age2_2008,m_age2_2009,m_age2_2010,m_age2_2011,m_age2_2012,m_age2_2013,m_age2_2014,m_age2_2015,m_age2_2016,m_age2_2017,m_age2_2018,m_age2_2019,m_age2_2020
0.578509,0.551528,0.522723,0.488714,0.449941,0.409662,0.372665,0.344273,0.329913,0.333386,0.357507,0.405242,0.47876,0.575363,0.679771,0.763427,0.797632,0.768498,0.685474,0.575545,0.468446,0.383171,0.324133,0.289068,0.274461,0.27754,0.296209,0.328037,0.370603,0.420997,0.47519,0.527984,0.573585,0.606689,0.623663,0.62344,0.607807,0.580966,0.548599,0.516878,0.490931,0.473775,0.46701,0.471436,0.487377,0.514652,0.552509,0.600038,0.655959,0.718273,0.783943,0.848667,0.906954,0.953205,0.982811,0.992977,0.983263,0.955675,0.914268,0.864134,0.810437,0.757946,0.710805,0.672557,0.646406,0.63493,0.639386,0.660106,0.696454,0.746174
0.65417,0.615006,0.577786,0.542331,0.509398,0.480401,0.457231,0.442239,0.438296,0.44769,0.47183,0.511296,0.565063,0.628781,0.692421,0.741848,0.764495,0.753616,0.71089,0.645731,0.571708,0.50122,0.441322,0.394872,0.362401,0.343535,0.337889,0.345519,0.366897,0.402692,0.453154,0.516841,0.588581,0.657328,0.708885,0.731585,0.720687,0.680363,0.621995,0.560026,0.506117,0.466045,0.441885,0.43404,0.442365,0.466464,0.505638,0.55933,0.626568,0.705095,0.790427,0.874999,0.948133,0.999109,1.02049,1.01026,0.972454,0.916019,0.852455,0.791512,0.739016,0.697778,0.668607,0.651035,0.643689,0.644794,0.65285,0.666536,0.684576,0.705624
0.492969,0.484002,0.472555,0.455363,0.432149,0.405233,0.378741,0.357825,0.348152,0.354001,0.378449,0.424285,0.493271,0.582993,0.680992,0.764361,0.809187,0.801069,0.742672,0.652267,0.5545,0.468822,0.403139,0.358293,0.332382,0.32301,0.32796,0.345087,0.372771,0.409532,0.453331,0.500951,0.547543,0.586632,0.611871,0.619253,0.608288,0.582183,0.54695,0.50996,0.477595,0.453642,0.440079,0.437912,0.447715,0.469822,0.504379,0.551562,0.611248,0.68241,0.762337,0.845744,0.924319,0.988819,1.03149,1.04793,1.03824,1.00711,0.962617,0.912964,0.864198,0.82025,0.78333,0.754363,0.733338,0.719687,0.712645,0.711269,0.714388,0.720526
0.716356,0.678355,0.636805,0.585546,0.525306,0.461699,0.402449,0.355046,0.325723,0.317596,0.332414,0.372712,0.44145,0.538183,0.650463,0.750488,0.805905,0.795666,0.722888,0.612903,0.498275,0.402076,0.33141,0.284921,0.258873,0.249907,0.255712,0.274777,0.306599,0.35112,0.407745,0.474188,0.545187,0.611648,0.662755,0.68983,0.689344,0.664243,0.622918,0.576581,0.535024,0.50385,0.485721,0.481715,0.492131,0.516708,0.554628,0.605034,0.666656,0.737205,0.812744,0.887171,0.952263,0.999825,1.02388,1.02209,0.99638,0.952476,0.898579,0.842517,0.789954,0.744588,0.708639,0.683348,0.669408,0.667157,0.676546,0.697134,0.727906,0.766898
0.34291,0.39331,0.440968,0.467138,0.459851,0.420926,0.364766,0.310002,0.271681,0.25624,0.266125,0.305275,0.380309,0.495963,0.640161,0.772549,0.83987,0.80922,0.694177,0.543839,0.407532,0.309273,0.248489,0.217464,0.209871,0.222537,0.2542,0.302702,0.364444,0.433407,0.500999,0.558009,0.597936,0.61977,0.626276,0.621342,0.609032,0.592997,0.576195,0.560841,0.548529,0.540429,0.53741,0.54014,0.549167,0.564966,0.587948,0.618444,0.656618,0.70234,0.754988,0.813184,0.874499,0.935208,0.990132,1.03269,1.05537,1.05062,1.0126,0.941796,0.847325,0.743485,0.645189,0.564763,0.511521,0.491741,0.509345,0.570441,0.685238,0.865776
0.386544,0.376487,0.365887,0.354024,0.34141,0.329594,0.32097,0.318779,0.327284,0.350637,0.392641,0.456719,0.544172,0.649797,0.755144,0.830264,0.848649,0.801403,0.702688,0.581481,0.466794,0.375913,0.312038,0.272103,0.251983,0.248481,0.259493,0.283435,0.319451,0.366858,0.424277,0.488839,0.555581,0.61735,0.666246,0.695879,0.703198,0.689418,0.659681,0.621685,0.583004,0.548904,0.522634,0.506077,0.500367,0.506334,0.524768,0.556446,0.601981,0.661392,0.733322,0.813898,0.895686,0.969243,1.02509,1.05559,1.05671,1.02913,0.977971,0.911243,0.837879,0.766345,0.703872,0.65643,0.629462,0.627892,0.655553,0.716524,0.815201,0.954198
0.242417,0.280958,0.320744,0.352671,0.369484,0.369166,0.356207,0.340059,0.33238,0.342235,0.376525,0.442545,0.547624,0.693081,0.859476,1.00032,1.06288,1.01923,0.886224,0.713453,0.551851,0.429195,0.347833,0.300685,0.280321,0.281459,0.300216,0.332167,0.372805,0.417279,0.460385,0.497523,0.526098,0.546554,0.560792,0.570481,0.576732,0.579939,0.579696,0.574824,0.56431,0.548587,0.529486,0.509939,0.493682,0.485166,0.489158,0.50932,0.548588,0.60928,0.692101,0.793666,0.903219,1.00467,1.08054,1.11652,1.10624,1.05358,0.971103,0.874404,0.777165,0.689588,0.618407,0.567958,0.541836,0.543707,0.577413,0.648543,0.764629,0.932783
0.306865,0.358329,0.411541,0.453347,0.472795,0.466367,0.439975,0.406309,0.379879,0.370174,0.382058,0.418938,0.483219,0.572975,0.67401,0.758487,0.797356,0.774856,0.698019,0.592342,0.487619,0.40381,0.346185,0.313089,0.301437,0.308733,0.332859,0.37078,0.418998,0.473149,0.527616,0.575979,0.612197,0.632078,0.634106,0.619611,0.592426,0.557996,0.522364,0.4914,0.469618,0.459407,0.461906,0.477565,0.506199,0.546473,0.59553,0.650162,0.707097,0.763309,0.816528,0.865851,0.911969,0.955211,0.994311,1.02606,1.04513,1.04434,1.01582,0.956856,0.873843,0.779639,0.689207,0.616219,0.572483,0.567832,0.610983,0.715681,0.904545,1.20755
0.56523,0.47591,0.401139,0.339721,0.290784,0.253618,0.227753,0.213259,0.211193,0.223258,0.252143,0.301904,0.377094,0.479378,0.600187,0.716572,0.798227,0.820702,0.778946,0.690137,0.583546,0.484591,0.405145,0.347721,0.310717,0.291623,0.28846,0.300214,0.32699,0.369538,0.42822,0.501198,0.581747,0.655686,0.705281,0.717421,0.68958,0.631044,0.55857,0.489864,0.43685,0.403731,0.391081,0.398501,0.425425,0.470279,0.529278,0.597748,0.670269,0.741219,0.806052,0.862841,0.913079,0.958545,0.999224,1.03271,1.05386,1.05487,1.0265,0.965029,0.877112,0.776796,0.680454,0.60274,0.55586,0.549663,0.593012,0.700791,0.898617,1.2221
0.619979,0.517394,0.43193,0.361609,0.305197,0.261762,0.230613,0.211528,0.205158,0.212654,0.236052,0.278757,0.344912,0.436595,0.54744,0.658578,0.743632,0.779162,0.756872,0.688208,0.597665,0.508999,0.434944,0.379658,0.342942,0.323143,0.318591,0.328115,0.351297,0.388074,0.43783,0.498013,0.562259,0.618907,0.654542,0.660038,0.634334,0.584904,0.524649,0.467441,0.423123,0.395697,0.386281,0.395171,0.422591,0.468202,0.530195,0.605887,0.691147,0.779904,0.864329,0.93575,0.986219,1.01041,1.00698,0.978951,0.932917,0.877635,0.82239,0.774066,0.735874,0.708362,0.690152,0.678258,0.668112,0.654756,0.635142,0.608382,0.575593,0.539484
