ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
537.291,0.740195,0.578509,366.462,255.084,0.304242,1.41825, 29.5938, 44.1772,0.858998,0.999061,18.2117,2.62975,0.226691,2.98319,0.318773,4.7956,0.464667,2.055,0.05,2.055,0.05,-768.741
741.701,0.681988,0.65417,415.208,234.368,0.299714,1.37499, 41.4109, 55.78,0.693519,0.982019,22.1596,2.4457,0.176684,2.94614,0.312883,4.70298,0.459792,2.055,0.05,2.055,0.05,-665.831
501.974,0.894626,0.492969,378.628,129.294,0.334976,1.2621, 24.5715, 39.4706,0.861011,1.00627,18.6617,2.68718,0.254183,3.00168,0.314727,4.8827,0.497745,2.055,0.05,2.055,0.05,-684.152
677.346,0.700447,0.716356,370.203,383.712,0.297249,1.30656, 33.9861, 52.8055,0.868855,1.00431,16.8505,2.62502,0.208328,2.93044,0.299947,4.86006,0.447116,2.055,0.05,2.055,0.05,-670
625.979,0.729798,0.34291,347.232,39.6226,0.334136,1.29882, 40.3024, 54.399,0.951231,0.987866,21.3685,2.49515,0.189317,3.05551,0.34136,4.75032,0.435838,2.055,0.05,2.055,0.05,-673.244
535.741,0.728305,0.386544,377.166,77.4833,0.384706,1.22992, 23.5456, 43.0435,0.860509,0.987159,14.2695,2.4209,0.154488,3.01286,0.334747,4.82073,0.455201,2.055,0.05,2.055,0.05,-668.657
543.017,0.664327,0.242417,375.618,40.4543,0.352168,1.41142, 28.3571, 43.8737,0.857301,0.992178,20.3158,2.42636,0.165052,2.921,0.29891,4.88612,0.475896,2.055,0.05,2.055,0.05,-664.678
565.993,0.71221,0.306865,384.647,48.2492,0.27188,1.37175, 21.8642, 43.5743,0.808871,0.995458,10.8103,2.58719,0.209431,3.00375,0.315665,4.79517,0.455265,2.055,0.05,2.055,0.05,-670.595
786.459,0.747176,0.56523,370.279,86.1255,0.277251,1.23628, 31.0781, 65.6181,0.809088,1.02642,13.5873,2.56889,0.217729,2.95956,0.309102,4.5655,0.399749,2.055,0.05,2.055,0.05,-670.998
502.27,0.815804,0.619979,347.268,139.44,0.252028,1.27912, 34.6694, 45.4795,0.888672,1.00783,32.7553,2.64585,0.23508,2.98939,0.317595,4.95334,0.496452,2.055,0.05,2.055,0.05,-662.148
506.616,0.781829,0.431601,331.222,73.3236,0.272515,1.2181, 17.9385, 49.4329,0.86544,0.987552,11.6284,2.58529,0.218221,3.0001,0.339938,4.88962,0.52356,2.055,0.05,2.055,0.05,-672.24
703.622,0.732653,0.650849,429.604,262.623,0.368796,1.41166, 20.7873, 47.6666,0.722168,0.993457,9.11446,2.52389,0.181193,3.02516,0.329846,4.62043,0.418927,2.055,0.05,2.055,0.05,-675.865
657.355,0.665879,0.556128,397.324,137.959,0.3371,1.33772, 47.1227, 51.743,0.753658,0.978421,32.4604,2.57994,0.19951,2.9824,0.319575,4.69697,0.462768,2.055,0.05,2.055,0.05,-671.658
642.756,0.774315,0.848204,385.523,852.885,0.230685,1.07201, 67.498, 53.3653,0.742523,1.00283,33.1486,2.6918,0.251231,2.98861,0.322864,4.75652,0.451032,2.055,0.05,2.055,0.05,-677.468
465.351,0.741529,1.06373,315.917,990.367,0.303021,1.36516, 63.2017, 43.8784,0.925816,0.99497,37.7347,2.52381,0.184253,2.94721,0.31833,4.80671,0.48016,2.055,0.05,2.055,0.05,-666.507
461.718,0.820886,0.988046,321.419,1077.24,0.294834,1.15411, 35.5348, 42.3004,0.987498,0.982966,20.6995,2.74321,0.268544,2.92937,0.300079,4.71362,0.42272,2.055,0.05,2.055,0.05,-664.122
618.986,0.693989,0.79473,359.401,806.374,0.317826,1.394, 48.6173, 53.8655,0.783763,0.986105,28.6489,2.41674,0.152612,2.97772,0.319761,4.81439,0.455618,2.055,0.05,2.055,0.05,-677.886
564.516,0.715892,0.392546,365.722,86.9348,0.265285,1.19369, 21.8952, 46.775,0.805721,0.999995,14.8594,2.41191,0.162124,2.99464,0.329769,4.82499,0.487106,2.055,0.05,2.055,0.05,-663.039
593.55,0.795065,0.517091,418.151,217.496,0.259177,1.1572, 37.7734, 44.2988,0.77535,0.992486,29.5221,2.45884,0.162207,3.02762,0.328852,4.87666,0.472333,2.055,0.05,2.055,0.05,-656.673
395.792,0.855093,0.52224,290.195,24.2614,0.250822,1.17227, 31.9558, 42.2748,1.03401,0.995997,20.376,2.43768,0.17277,2.94882,0.314326,4.65618,0.416992,2.055,0.05,2.055,0.05,-633.125
565.999,0.64474,0.789795,348.329,368.173,0.264849,1.03286, 30.4548, 49.1813,0.868517,0.996106,14.3682,2.42118,0.158544,2.96911,0.314298,4.71569,0.449476,2.055,0.05,2.055,0.05,-661.932
598.606,0.809772,0.572595,369.18,139.541,0.275484,1.38529, 33.3706, 49.2768,0.782624,0.974791,16.3932,2.36725,0.15329,2.96414,0.315488,4.76064,0.484619,2.055,0.05,2.055,0.05,-669.957
699.491,0.664926,0.377734,360.531,25.0731,0.258876,1.20221, 51.0211, 59.4556,0.867318,1.00283,18.7419,2.42434,0.156285,3.05434,0.336303,4.87426,0.478723,2.055,0.05,2.055,0.05,-665.827
568.022,0.864391,0.370371,398.167,43.1049,0.36927,1.18912, 35.7873, 42.3019,0.81428,1.00257,20.9924,2.60428,0.226823,3.05891,0.328641,4.71319,0.420172,2.055,0.05,2.055,0.05,-666.823
594.449,0.773231,0.449417,375.814,106.463,0.348808,1.63956, 28.1509, 50.1579,0.820421,0.985022,18.5254,2.6537,0.252261,3.00569,0.330004,4.70465,0.458748,2.055,0.05,2.055,0.05,-676.306
464.582,0.863623,0.653829,335.975,199.374,0.287051,1.2373, 30.4692, 42.3844,0.931622,0.992854,22.8633,2.55027,0.196092,2.94278,0.316801,4.92377,0.499906,2.055,0.05,2.055,0.05,-674.711
463.865,0.826651,0.67185,340.158,228.354,0.299223,1.38024, 23.4822, 39.2126,0.963329,1.01305,15.5524,2.64097,0.232887,2.98577,0.330228,4.74202,0.448715,2.055,0.05,2.055,0.05,-661.043
509.501,0.751462,0.564806,362.092,126.886,0.277801,1.09714, 27.5449, 40.2497,0.937519,1.01255,21.8879,2.6089,0.213888,2.98084,0.324414,4.5947,0.423373,2.055,0.05,2.055,0.05,-654.748
462.304,0.670955,0.818562,354.246,741.663,0.337176,1.65332, 22.4685, 38.1152,0.890495,0.995306,14.3051,2.59847,0.220534,2.94527,0.31395,4.81733,0.481252,2.055,0.05,2.055,0.05,-682.53
576.216,0.657278,0.858827,381.599,802.689,0.29946,1.32684, 20.815, 43.9732,0.798114,0.993715,9.36456,2.5095,0.194087,2.96916,0.313531,4.94634,0.501766,2.055,0.05,2.055,0.05,-660.047
440.448,0.82651,0.971771,386.156,816.472,0.321112,1.63616, 24.5425, 33.6113,0.796817,0.980023,18.2141,2.51195,0.203604,3.03487,0.339223,4.67627,0.430948,2.055,0.05,2.055,0.05,-650.203
486.466,0.862221,1.14266,376.646,833.43,0.267811,1.21746, 36.7189, 37.3494,0.82623,0.994473,20.7159,2.63418,0.223229,2.9944,0.334351,4.54395,0.416433,2.055,0.05,2.055,0.05,-659.587
442.803,0.792256,1.2933,372.994,1770.26,0.320255,1.38856, 15.9187, 33.1908,0.8568,0.998353,9.3378,2.73027,0.26621,3.00305,0.32603,4.72052,0.445021,2.055,0.05,2.055,0.05,-683.892
495.411,0.748593,1.31562,370.128,1973.81,0.308298,1.14441, 20.7958, 39.8479,0.774199,1.01464,10.5152,2.55004,0.204367,2.95594,0.311537,4.72837,0.45581,2.055,0.05,2.055,0.05,-675.026
561.726,0.688882,1.37249,361.733,4414.6,0.334406,1.23416, 25.583, 43.1338,0.862366,1.0145,11.7419,2.66096,0.223103,2.94694,0.311406,4.73961,0.447402,2.055,0.05,2.055,0.05,-677.774
551.711,0.70602,1.18753,390.545,5712.89,0.29997,1.20156, 23.1493, 41.8241,0.783324,1.01686,15.5601,2.41698,0.157168,2.98795,0.315529,4.7111,0.439312,2.055,0.05,2.055,0.05,-682.29
528.99,0.644921,1.08711,376.488,3922.01,0.312376,1.22262, 32.1928, 40.3538,0.736273,1.01489,22.9157,2.3592,0.146198,2.93864,0.305633,4.89393,0.479328,2.055,0.05,2.055,0.05,-666.477
404.361,0.717793,1.20641,333.39,8209.85,0.251052,1.51535, 43.5182, 35.8469,0.877473,1.01227,29.6525,2.53201,0.192194,2.9634,0.318197,4.92238,0.504093,2.055,0.05,2.055,0.05,-667.947
535.556,0.678944,1.38385,367.021,4100.53,0.329439,1.10936, 30.8531, 41.0653,0.901532,1.00829,17.8793,2.55757,0.195171,2.95503,0.312341,4.73085,0.449738,2.055,0.05,2.055,0.05,-685.239
441.05,0.740759,1.48821,346.412,1628.63,0.331382,1.43946, 16.7092, 34.9484,0.927015,1.00014,9.56563,2.64648,0.22767,2.98929,0.326485,4.62142,0.428745,2.055,0.05,2.055,0.05,-665.549
448.777,0.731415,1.46122,344.734,1104.03,0.306064,1.41084, 24.8194, 36.9339,0.965383,0.987699,14.2863,2.47816,0.179348,2.99698,0.320018,4.82225,0.439526,2.055,0.05,2.055,0.05,-664.246
467.858,0.792772,1.39834,373.732,2769.82,0.369113,1.68912, 20.4323, 35.3759,0.846491,1.00149,10.825,2.55432,0.211058,2.98058,0.327838,4.67194,0.443527,2.055,0.05,2.055,0.05,-678.142
