rdev1_1953,rdev1_1954,rdev1_1955,rdev1_1956,rdev1_1957,rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017,rdev1_2018,rdev1_2019,rdev1_2020
0.739606,-0.0378548,0.289949,0.481171,0.317077,0.917067,0.602356,0.152847,0.839474,0.0781307,0.747298,-0.19457,-1.03425,0.28112,-0.0182325,-1.02242,0.073205,0.556953,0.356528,0.359224,0.573176,0.908727,0.0924971,-0.235527,0.31736,-0.705603,0.252625,-0.0269303,-0.443023,-0.5397,0.0621449,0.854029,1.00778,-0.0409391,1.46,-0.194263,-0.0975736,-0.58972,0.365045,-0.0786773,-0.30268,-0.950564,-0.530646,1.02178,0.0865163,-0.431249,-0.258041,0.176687,0.483084,0.457642,-0.374934,-0.294448,-0.709481,-0.225872,-1.01053,-0.345902,-0.871605,0.121771,-1.22567,-1.07139,-0.167033,-0.429032,0.791251,-0.999832,-0.902268,0.197876,0.045791,0.00868655
0.986638,-0.216699,0.332462,0.723267,0.450167,0.994937,0.698587,0.136581,0.948698,0.245768,0.900004,-0.349451,-0.616341,-0.455244,0.311098,-1.05054,0.508756,0.959869,0.664382,0.629262,0.658962,1.03322,0.129257,-0.236811,0.35236,-0.857279,0.344564,0.057485,-0.165177,-0.383283,0.275882,1.30554,1.35593,0.243404,1.57884,-0.238723,-0.417798,-0.776873,0.111196,-0.358758,-0.589686,-1.20371,-0.722878,0.907778,-0.120397,-0.73592,-0.342065,0.0870445,0.557419,0.299854,-0.626113,-0.388225,-0.953264,-0.334256,-1.46808,-0.547166,-1.21519,-0.0171167,-1.11751,-1.1897,-0.202848,-0.457316,0.690196,-1.11004,-1.06602,0.274418,-0.340425,0.675074
0.660594,-0.144174,0.411158,0.558147,0.50516,0.650036,0.765209,0.172215,0.882738,-0.0208885,0.719104,-0.34333,-0.799928,-0.423558,0.557397,-0.70835,0.205461,0.979567,0.620627,0.635203,0.835014,1.02765,0.0357373,-0.256366,0.290771,-0.915129,0.0362318,-0.377912,-0.528273,-0.833615,0.037875,0.637722,0.851036,-0.166537,1.27381,-0.300794,-0.407734,-0.869316,0.153254,-0.276119,-0.415204,-1.13799,-0.639371,0.91359,0.048507,-0.380568,-0.137235,0.298608,0.385621,0.384718,-0.205524,-0.188035,-0.512729,-0.247589,-0.906402,-0.101767,-0.716171,0.418825,-0.968604,-0.614921,-0.115798,-0.426934,0.945601,-0.924868,-1.11737,0.0719552,-0.219843,0.698216
0.866819,0.475995,0.579444,0.469675,0.153294,0.863992,0.685922,0.126403,0.653354,0.0927099,0.613703,-0.494846,-1.16975,-0.845416,0.703918,-1.16349,0.0612627,0.612408,0.416402,0.451187,0.311544,0.832134,-0.069522,-0.471969,0.0814004,-0.946248,-0.0819924,-0.0967822,-0.564606,-0.540227,0.185101,1.06231,1.29227,0.271424,1.79101,-0.0327099,0.118735,-0.44325,0.463575,-0.112403,-0.146217,-0.904562,-0.682157,1.18302,0.0623625,-0.37295,-0.193294,0.409972,0.573549,0.645302,-0.678973,-0.327626,-0.945506,-0.473758,-1.38827,-0.327282,-1.2417,0.123417,-1.35384,-1.05127,0.0174844,-0.264508,0.775325,-0.909552,-0.943011,0.34556,0.0670368,-0.488148
0.633863,0.0756623,0.330802,0.227881,0.155124,0.876308,0.624657,0.215554,0.75913,0.115793,0.503632,-0.280422,-1.22852,-0.283465,0.149099,-1.08161,-0.173899,0.299114,0.117773,0.226193,0.281239,0.784931,-0.00146544,-0.251245,0.139269,-0.650385,0.432693,0.0726307,-0.302841,-0.430541,-0.00692062,1.21,1.07617,0.110861,1.65109,0.133461,0.199777,-0.354776,0.661611,0.219715,-0.056508,-0.846022,-0.389777,1.25672,-0.0442985,-0.448943,-0.265569,0.11266,0.316539,0.432374,-0.329829,-0.177762,-0.570674,-0.195753,-0.897913,-0.065571,-0.970332,0.116132,-1.53856,-1.19768,-0.438717,-0.673485,0.636159,-0.91323,-0.745109,0.47797,0.484309,-0.27703
0.404623,-0.286547,-0.0640092,0.147162,0.292361,0.754914,0.591257,0.271595,0.947667,0.231789,0.792512,-0.0507138,-1.29499,-0.346623,0.100948,-0.734017,-0.0406736,0.459707,0.288269,0.24144,0.516875,0.838865,0.0489991,-0.483738,0.0564563,-0.601398,0.251691,-0.196512,-0.390213,-0.345737,0.332476,1.25227,1.52599,0.228432,1.84477,0.206789,0.176864,-0.391488,0.455103,-0.150442,-0.309924,-0.980292,-0.594749,0.720778,-0.174895,-0.616342,-0.11681,0.00430193,0.339256,0.422941,-0.47577,-0.239249,-0.424696,0.00670881,-0.801362,-0.181427,-0.775653,0.19662,-0.891309,-0.957838,-0.155129,-0.207755,0.819501,-0.666327,-0.574679,0.164912,0.37964,-1.01598
0.409634,-0.340226,0.180839,0.457869,0.290996,0.727195,0.822082,0.110403,0.902756,0.518052,0.640569,0.117953,-0.848625,0.234087,1.10853,-0.284869,0.210031,0.979796,0.519504,0.300857,0.564057,0.916606,0.145251,-0.400043,0.101201,-0.912192,0.135045,-0.151555,-0.562263,-0.778754,-0.0231227,0.772811,1.02419,0.0915604,1.51786,0.139927,0.0731728,-0.465441,0.385914,-0.18921,-0.51756,-1.26429,-0.947753,0.627249,-0.172649,-0.806293,-0.133277,-0.0821602,0.416228,0.412343,-0.305042,-0.166801,-0.527674,-0.150759,-0.793558,-0.478792,-1.11351,0.0214767,-1.33634,-1.29927,-0.233148,-0.411626,0.885958,-0.89951,-0.628091,0.520938,0.345713,0.361259
0.769126,0.00871877,0.416243,0.549545,0.360929,0.954017,0.685097,0.1317,0.723932,0.50618,0.335263,-0.255914,-1.36924,0.490823,-0.311425,-1.16237,0.102527,0.494105,0.306216,0.548224,0.656279,0.92494,0.122117,0.00956061,0.306934,-0.541219,0.40532,-0.031476,-0.461869,-0.540102,-0.0298652,0.674522,1.13183,-0.154038,1.36912,-0.333011,-0.116711,-0.708317,0.460301,-0.0456423,-0.368078,-0.760464,-0.436305,1.12593,0.100881,-0.325942,-0.188319,0.1861,0.47012,0.476672,-0.488027,-0.227859,-0.785546,-0.0410405,-0.949465,-0.112224,-0.681128,0.155853,-1.26218,-1.16697,-0.329496,-0.576637,0.585311,-1.35144,-0.765328,0.144846,-0.353484,0.805287
0.558895,-0.223965,-0.286317,0.395104,-0.226781,0.552108,0.563494,0.0567531,0.681369,-0.362572,0.56294,-0.207831,-1.23347,-0.240296,0.782213,-1.0372,0.479214,0.964105,0.658721,0.805441,0.730184,0.988326,0.140805,-0.167304,0.226529,-0.702818,0.378032,0.0106553,-0.374611,-0.297235,0.293473,0.962899,1.15513,-0.0403543,1.41563,-0.374407,-0.334251,-0.862538,0.112048,-0.183497,-0.269544,-0.980298,-0.38189,1.14663,0.361557,-0.302028,-0.161359,0.396814,0.563284,0.42353,-0.188256,-0.106589,-0.69576,0.0196976,-0.674369,-0.361299,-0.900612,0.0107993,-1.32686,-1.37284,-0.369191,-0.661312,0.489689,-1.0479,-1.02928,0.44176,0.021096,1.13188
0.562413,-0.432458,-0.230912,-0.148172,0.0795817,0.490496,0.584947,0.118821,0.608461,-0.00863271,0.4861,-0.418084,-1.26024,0.400924,-0.0617207,-0.139565,0.813885,1.2144,0.939313,0.801915,0.832923,1.10345,0.170879,-0.12186,0.28412,-0.723361,0.165619,-0.159158,-0.466402,-0.686715,0.144681,0.945031,1.0822,-0.247482,1.39148,-0.177726,-0.503584,-0.953305,0.34242,-0.277458,-0.240426,-0.952159,-0.472527,1.16057,0.488589,-0.223755,-0.169173,0.573303,0.74187,0.566722,-0.289281,-0.397748,-0.905656,-0.468776,-1.11028,-0.626497,-1.09515,-0.198126,-1.21544,-1.12061,-0.106107,-0.405327,0.849595,-0.865759,-0.812427,0.624861,0.510617,-0.167669
