sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018,sbt1_2019,sbt1_2020,sbt1_2021
25.1314,12.3387,20.5028,14.314,19.5103,21.8777,37.2973,49.5741,26.0785,11.3546,13.941,21.9074,21.8294,21.3966,12.7418,5.78784,4.7165,8.64172,10.8523,20.9992,37.7604,53.0422,60.0387,70.3389,90.3701,70.9921,56.379,43.3684,35.6258,39.8482,37.1315,29.0307,22.7035,27.8766,46.1099,55.8452,51.7943,65.1538,47.5614,37.769,29.977,37.6694,35.874,29.8124,27.3962,32.7638,42.5608,31.0161,22.1934,20.2767,21.4816,20.917,16.4923,8.57395,4.26563,4.48607,4.65547,4.45415,4.92955,5.7057,7.02693,6.62145,7.73913,11.1965,15.9232,22.5722,18.8949,18.1115,19.6442,18.2117,17.6113
30.2241,17.5472,24.6561,21.8688,24.3288,27.5745,45.0164,54.2863,28.9206,12.5213,14.2975,24.4881,25.6735,26.9476,17.7025,9.06509,4.33228,11.1723,14.7181,30.889,52.275,67.6248,73.0033,78.9751,96.6411,73.9222,59.5076,45.7935,39.3985,47.2109,48.4299,40.7371,33.7245,42.7341,67.9722,74.2654,63.563,70.5747,46.9655,33.8124,26.4551,32.6741,30.4503,25.9315,25.0388,32.8035,45.909,34.4095,24.6976,22.4767,23.7459,22.6869,16.219,8.01137,3.63541,3.99858,4.2946,4.14107,4.83683,5.85156,8.01451,8.19028,9.40388,13.3686,17.7031,23.748,19.345,18.9449,21.0396,22.1596,27.0667
21.791,9.81274,19.5469,15.5464,21.3001,26.813,44.2208,55.2462,26.2084,13.3969,15.6921,24.5474,22.7823,20.9849,12.0798,4.74644,3.76552,11.0199,13.2056,24.5797,45.7148,60.9381,69.3471,78.549,96.264,69.0837,53.9258,39.7743,30.5167,33.0824,30.1543,24.3102,19.3611,24.8074,40.9405,49.9123,45.8899,56.0357,39.5897,29.9525,22.9282,30.1469,30.2048,26.1606,25.1909,31.7645,43.8301,33.935,26.4176,25.292,25.75,22.7812,17.1145,9.18156,4.70094,4.66167,4.49775,4.63652,5.41436,6.58773,8.37026,7.84767,8.85657,11.1312,15.5875,21.7941,16.9707,15.2492,16.2337,18.6617,23.5821
22.2753,15.8465,23.7952,14.6338,23.4597,27.5086,39.818,48.259,21.5977,12.6122,14.3613,20.3646,18.9387,19.1324,11.2075,3.30111,3.58509,10.9109,11.823,20.8103,37.2303,53.0881,59.4706,64.9402,83.3422,65.3163,49.3248,36.9937,30.0537,35.2007,35.95,29.685,25.1095,32.5587,54.5775,64.6302,60.3813,74.9821,52.1896,40.1002,30.7303,37.9315,35.3118,30.1775,27.6382,34.3019,47.1922,33.6516,23.7393,22.0009,23.7204,22.5783,17.342,7.80917,3.56305,3.49585,3.49367,3.69677,4.46736,5.24823,7.00565,6.61834,8.27718,12.6809,16.9956,22.2733,18.0571,17.3958,19.5103,16.8505,14.7622
22.4648,10.5255,19.3813,15.275,20.7379,20.4265,31.1547,42.6651,21.8315,11.0262,13.9153,23.5316,22.3415,19.1152,10.6899,2.97154,2.0348,6.17303,8.19304,16.1053,30.4897,45.8536,55.1377,63.6646,86.6033,67.6181,55.7354,40.3699,34.2662,40.0362,37.5928,28.7054,22.0442,29.0073,52.5553,61.667,59.0298,75.4708,54.5677,43.3924,34.2494,41.9291,38.2569,30.2897,26.2553,32.5221,43.1153,29.7689,20.8621,19.1125,19.9485,19.4076,15.8164,8.49147,4.57815,4.51123,4.26368,4.18671,4.5161,4.73555,5.69698,5.28991,6.49291,9.952,15.3674,24.7115,23.7556,24.9317,27.5833,21.3685,15.631
25.1481,9.35991,17.9663,14.7505,19.3851,19.6168,33.7847,47.2684,25.9897,12.9635,16.9528,26.7195,24.6513,21.7471,12.189,3.10819,2.01246,6.70058,10.0124,19.2955,35.1181,50.2131,57.3584,69.194,91.0744,70.2915,55.7446,40.319,36.6993,43.9687,42.4634,34.789,29.678,40.2384,67.6517,79.594,70.6855,82.484,56.6045,41.611,30.1114,35.1375,31.2175,24.6967,23.1968,27.5456,34.3397,24.8027,19.5183,20.5035,21.9214,21.4515,16.7966,8.43995,4.72264,5.1552,5.19243,4.78932,5.11691,5.81708,7.32917,7.37255,8.60037,12.7005,18.4327,25.7049,22.0985,20.007,19.2487,14.2695,10.0418
22.4561,9.29523,19.0559,14.8865,20.7479,22.8308,39.3103,50.2838,22.9682,13.3669,17.2764,26.9001,26.4426,20.0969,10.7286,3.70157,5.73529,12.9816,13.0657,21.8706,41.7266,56.0364,60.6219,70.8379,88.4094,71.6035,53.5446,36.0427,28.2926,32.9671,31.7685,25.8328,20.4733,27.8721,49.6821,64.4742,62.8589,78.0364,58.3845,44.4417,32.027,35.4835,30.363,22.5138,19.6685,23.484,31.3723,24.4058,19.721,21.5453,23.5847,23.4759,18.2457,9.05845,4.39533,4.26842,4.16088,3.76242,3.86788,4.67221,6.37475,6.43572,8.05476,13.0016,20.2623,31.0253,27.2952,26.3009,26.3389,20.3158,16.4375
21.4372,15.221,23.704,19.9605,25.3704,26.7301,40.3595,49.4826,26.3426,15.9041,17.4479,23.245,25.5866,20.0244,11.6724,5.69319,6.42997,8.6604,10.6098,20.9429,36.52,51.992,64.1379,75.6944,94.2237,77.3665,62.1761,47.4132,39.1781,42.3235,36.8554,27.5281,21.0724,24.2955,42.3945,56.7331,53.6443,66.9195,49.3085,40.2364,33.0063,42.9623,41.0365,33.9197,31.1673,36.3767,46.0522,31.7634,22.3174,19.9389,20.8885,20.5339,16.3555,8.81225,4.47201,4.77319,4.97924,4.68181,5.11786,5.62395,6.52999,6.07008,7.22586,10.9108,15.8191,22.7392,19.3514,17.8594,14.8544,10.8103,9.8462
22.2984,6.90694,15.405,11.3532,17.455,19.8362,40.1464,52.5714,29.1562,11.5591,14.8552,23.3565,20.5033,22.0053,15.3776,5.9597,6.0226,14.3791,14.7986,26.229,44.1051,58.9485,70.567,77.3963,93.0392,72.1965,57.1325,44.6046,39.0967,47.5249,46.8893,37.6599,30.7639,34.6349,49.4331,54.142,44.8372,53.8468,37.5726,29.2262,23.6802,32.532,34.359,32.2196,31.93,40.1701,54.3258,40.5622,28.6146,24.9147,25.1204,22.8349,17.3284,9.59573,4.59409,4.88343,5.20611,4.48563,4.24948,4.53196,5.35911,5.0602,6.19073,9.83849,14.3592,21.1625,18.6645,18.1199,17.2377,13.5873,11.9407
29.6275,12.4069,18.9507,11.3542,15.4124,14.9834,27.2861,41.6195,24.4041,9.61755,10.9878,17.7641,18.3411,19.1231,11.9619,5.86549,5.44465,9.92358,16.1085,32.4121,53.3722,68.8187,71.9994,75.7212,90.3441,68.2693,53.6927,38.7296,31.5036,36.0955,34.0039,27.0942,20.8956,26.6753,44.6101,52.0396,44.1358,54.4869,39.1122,30.2641,24.0434,35.0191,35.0445,32.1627,31.3413,38.3582,51.6207,40.0281,27.4958,23.208,23.9202,21.3232,15.3462,7.20076,2.98339,3.31698,3.73741,3.81123,4.37933,5.03809,6.21709,6.32218,7.6582,11.1363,15.4849,21.756,18.5867,20.7218,29.3306,32.7553,31.6442
