TAC,B2021,B2022,B0,04B0,03B0,02B0,B1951,B2022B2021,B202204B0,B202202B0,B2022B1951,F2020,F2021,F2021F2020,U2021,U2021U2020,PropAge3,PropAge4to10,UT,U20
0,28.3731,24.3948,44.1772,17.6709,13.2532,8.83545,25.1314,0.859787,1.38051,2.76101,0.970689,0,0,nan,0,nan,0.571105,0.332247,0,0
0,19.3506,21.7784,55.78,22.312,16.734,11.156,30.2241,1.12547,0.976085,1.95217,0.720565,0,0,nan,0,nan,0.378247,0.495866,0,0
0,16.8134,20.2657,39.4706,15.7882,11.8412,7.89411,21.791,1.20533,1.2836,2.5672,0.930005,0,0,nan,0,nan,0.26037,0.447215,0,0
0,23.2885,24.5194,52.8055,21.1222,15.8417,10.5611,22.2753,1.05286,1.16084,2.32167,1.10074,0,0,nan,0,nan,0.49981,0.385654,0,0
0,25.0211,30.1349,54.399,21.7596,16.3197,10.8798,22.4648,1.20438,1.3849,2.7698,1.34143,0,0,nan,0,nan,0.227596,0.504352,0,0
0,18.5541,20.1371,43.0435,17.2174,12.913,8.6087,25.1481,1.08532,1.16958,2.33915,0.800737,0,0,nan,0,nan,0.493821,0.412705,0,0
0,21.0963,28.5127,43.8737,17.5495,13.1621,8.77474,22.4561,1.35155,1.6247,3.2494,1.2697,0,0,nan,0,nan,0.168634,0.481419,0,0
0,16.6016,16.4662,43.5743,17.4297,13.0723,8.71486,21.4372,0.991848,0.944722,1.88944,0.768116,0,0,nan,0,nan,0.582114,0.217034,0,0
0,13.9303,14.3326,65.6181,26.2473,19.6854,13.1236,22.2984,1.02888,0.546061,1.09212,0.642763,0,0,nan,0,nan,0.451049,0.321921,0,0
0,29.1474,24.2884,45.4795,18.1918,13.6438,9.09589,29.6275,0.833296,1.33513,2.67026,0.819793,0,0,nan,0,nan,0.25459,0.680832,0,0
0,8.29041,9.65841,49.4329,19.7732,14.8299,9.88658,19.4835,1.16501,0.488461,0.976921,0.495723,0,0,nan,0,nan,0.295209,0.498273,0,0
0,10.8077,14.4042,47.6666,19.0666,14.3,9.53332,32.7106,1.33277,0.755468,1.51094,0.440353,0,0,nan,0,nan,0.342539,0.315133,0,0
0,36.5584,42.1919,51.743,20.6972,15.5229,10.3486,28.0464,1.15409,2.03853,4.07706,1.50436,0,0,nan,0,nan,0.312956,0.518411,0,0
0,49.6586,56.5167,53.3653,21.3461,16.0096,10.6731,29.9477,1.13811,2.64763,5.29527,1.88718,0,0,nan,0,nan,0.410214,0.444087,0,0
0,50.8831,51.9901,43.8784,17.5514,13.1635,8.77569,22.3855,1.02176,2.96217,5.92434,2.32249,0,0,nan,0,nan,0.357641,0.565313,0,0
