N_ag1_age2_1951,N_ag1_age3_1951,N_ag1_age4_1951,N_ag1_age5_1951,N_ag1_age6_1951,N_ag1_age7_1951,N_ag1_age8_1951,N_ag1_age9_1951,N_ag1_age10_1951
253.94,495.07,489.241,98.8437,18.1718,14.0957,10.6074,7.76379,11.5668
187.748,539.652,521.793,79.8706,14.5055,0.944564,13.6972,1.52263,52.6643
438.65,564.71,579.475,132.213,8.64734,9.66094,26.2681,3.0761,69.6473
370.352,491.628,591.393,128.963,10.0387,8.2888,4.37671,14.4314,5.69339
399.275,561.188,631.745,94.5285,3.68007,32.3335,2.37611,56.9583,4.5452
360.915,683.486,778.934,154.484,4.16977,4.71816,6.55711,69.3938,1.8423
389.723,466.684,782.992,87.5741,65.6836,1.37953,0.309592,0.20942,0.13424
541.373,814.961,625.144,231.825,67.2203,1.31965,1.1831,0.93969,0.858036
372.883,704.33,700.86,95.9707,3.76822,130.255,0.74727,1.12148,3.65165
331.863,438.645,909.107,91.7692,1.19522,39.9303,3.78048,16.7947,0.0164863
592.135,797.538,771.689,189.315,2.46086,3.05381,0.705958,97.8252,1.96445
312.326,931.6,707.566,122.402,34.1827,8.53244,3.1378,31.3276,2.39609
329.794,668.71,825.644,194.696,3.79368,12.7505,19.5525,18.9585,9.51876
402.084,821.422,843.299,82.2983,39.8329,64.5339,24.3316,8.90556,4.86314
478.044,1024.26,968.74,134.082,35.1111,15.2574,5.28366,9.24105,20.1233
482.82,940.358,735.926,370.184,11.9588,55.4867,9.51763,11.5052,11.6582
432.243,690.313,732.824,137.01,14.2853,46.9872,8.7153,13.0073,50.0733
595.301,693.902,629.491,167.869,8.96104,53.4117,1.92055,50.4586,10.6221
490.201,624.741,1014.34,88.4551,65.976,26.9315,2.22888,1.8581,29.4537
468.404,868.334,835.327,134.768,17.2126,65.2977,1.4577,18.4103,10.4037
606.095,938.525,751.663,168.569,59.6347,33.0947,17.8112,5.17067,31.3846
493.907,1152.49,826.526,209.186,79.8929,15.7394,13.4272,2.98952,1.41808
461.252,1040.97,1121.55,210.425,14.7747,9.75462,45.1744,6.56975,3.85821
368.085,754.874,893.285,233.324,110.572,0.60347,12.3695,0.0403573,4.23848
545.241,916.279,746.326,137.84,22.9314,29.5857,45.2518,0.10336,4.19251
464.508,943.533,786.694,121.874,79.7478,23.2544,25.8791,1.14847,2.39888
354.538,763.991,764.019,102.689,34.5901,30.8221,4.65095,0.647741,3.15864
620.598,1041.21,812.186,128.9,1.96149,81.944,1.0908,3.66054,0.447131
