m_age2_1951,m_age2_1952,m_age2_1953,m_age2_1954,m_age2_1955,m_age2_1956,m_age2_1957,m_age2_1958,m_age2_1959,m_age2_1960,m_age2_1961,m_age2_1962,m_age2_1963,m_age2_1964,m_age2_1965,m_age2_1966,m_age2_1967,m_age2_1968,m_age2_1969,m_age2_1970,m_age2_1971,m_age2_1972,m_age2_1973,m_age2_1974,m_age2_1975,m_age2_1976,m_age2_1977,m_age2_1978,m_age2_1979,m_age2_1980,m_age2_1981,m_age2_1982,m_age2_1983,m_age2_1984,m_age2_1985,m_age2_1986,m_age2_1987,m_age2_1988,m_age2_1989,m_age2_1990,m_age2_1991,m_age2_1992,m_age2_1993,m_age2_1994,m_age2_1995,m_age2_1996,m_age2_1997,m_age2_1998,m_age2_1999,m_age2_2000,m_age2_2001,m_age2_2002,m_age2_2003,m_age2_2004,m_age2_2005,m_age2_2006,m_age2_2007,m_age2_2008,m_age2_2009,m_age2_2010,m_age2_2011,m_age2_2012,m_age2_2013,m_age2_2014,m_age2_2015,m_age2_2016,m_age2_2017,m_age2_2018,m_age2_2019,m_age2_2020
0.44577,0.387953,0.336964,0.291767,0.252641,0.2204,0.195993,0.18052,0.175571,0.182833,0.20461,0.244453,0.306571,0.392769,0.495358,0.593009,0.657948,0.66935,0.62591,0.546445,0.458403,0.382988,0.327977,0.293584,0.277583,0.277582,0.29129,0.315824,0.348291,0.385511,0.42361,0.458138,0.484633,0.499481,0.500654,0.488139,0.46394,0.431587,0.395357,0.359495,0.327321,0.30076,0.280776,0.26783,0.262253,0.264538,0.27549,0.296152,0.327771,0.371578,0.428193,0.496533,0.572409,0.64896,0.717755,0.770313,0.800147,0.804549,0.785337,0.747633,0.698015,0.643274,0.589507,0.541687,0.503691,0.478006,0.465273,0.465009,0.475873,0.495356
0.363529,0.335111,0.306807,0.276521,0.244965,0.21453,0.188163,0.16868,0.158684,0.159954,0.174326,0.204819,0.255609,0.329884,0.423744,0.521224,0.59795,0.63121,0.612782,0.553893,0.478075,0.407055,0.351176,0.312898,0.291242,0.284259,0.289794,0.305365,0.328791,0.357914,0.390088,0.421902,0.4492,0.467495,0.473249,0.465096,0.444227,0.414052,0.379294,0.344938,0.314883,0.291199,0.274762,0.26585,0.264556,0.271008,0.285481,0.308455,0.340485,0.381899,0.432293,0.489779,0.550269,0.608327,0.658386,0.695922,0.718607,0.727025,0.724614,0.715219,0.700911,0.681866,0.656559,0.622184,0.575412,0.514853,0.443693,0.368353,0.296035,0.232527
0.580672,0.512345,0.450861,0.394774,0.344651,0.301966,0.268426,0.245836,0.236377,0.241912,0.264524,0.307169,0.372765,0.460643,0.559422,0.644944,0.690527,0.680706,0.620699,0.533022,0.444753,0.374522,0.327711,0.303434,0.299454,0.313805,0.344075,0.385511,0.431884,0.475957,0.510423,0.529807,0.532305,0.520408,0.498536,0.47091,0.441018,0.411442,0.3839,0.359403,0.338545,0.321793,0.309573,0.302366,0.300811,0.305846,0.318749,0.34086,0.373558,0.418111,0.47523,0.544188,0.621668,0.701905,0.777169,0.838563,0.877543,0.887772,0.866779,0.817498,0.748085,0.669488,0.5927,0.526901,0.479114,0.453759,0.452435,0.476197,0.526203,0.602256
0.496801,0.441019,0.389779,0.341184,0.295812,0.255429,0.22205,0.197505,0.183482,0.180955,0.190822,0.214745,0.255055,0.313309,0.386635,0.465233,0.53432,0.578484,0.588329,0.565129,0.520125,0.467921,0.418868,0.37856,0.349331,0.331784,0.325865,0.331449,0.348505,0.376902,0.415796,0.462557,0.511296,0.551783,0.572716,0.566807,0.533707,0.480158,0.417176,0.35605,0.304358,0.2648,0.237378,0.221126,0.21506,0.218574,0.231586,0.254683,0.288951,0.335592,0.395231,0.46676,0.545949,0.625861,0.698159,0.754908,0.790758,0.804597,0.799917,0.781957,0.754896,0.721388,0.682582,0.638397,0.587956,0.530957,0.469185,0.405877,0.344746,0.289093
0.539282,0.508042,0.475937,0.44015,0.40128,0.362275,0.327253,0.300641,0.286889,0.289101,0.3097,0.351539,0.41728,0.506154,0.607237,0.69746,0.750589,0.749323,0.695035,0.606914,0.511398,0.428924,0.367193,0.326488,0.304457,0.298375,0.305582,0.323112,0.348398,0.379073,0.412591,0.446155,0.476912,0.502303,0.520195,0.528999,0.527915,0.517059,0.497446,0.470828,0.439561,0.406434,0.374285,0.34573,0.323097,0.30859,0.304332,0.311871,0.332624,0.368062,0.419234,0.485381,0.561858,0.640777,0.712518,0.767757,0.800163,0.808548,0.797326,0.773069,0.741152,0.705214,0.667176,0.627495,0.585522,0.540526,0.492925,0.444072,0.395838,0.35021
0.740833,0.604759,0.492233,0.398518,0.32184,0.261359,0.216271,0.185754,0.169392,0.166816,0.178465,0.206351,0.253719,0.322794,0.409076,0.497125,0.56444,0.590852,0.569872,0.512572,0.440709,0.373981,0.3216,0.285637,0.265092,0.258173,0.263023,0.277664,0.300533,0.330226,0.364979,0.402298,0.438761,0.470118,0.492123,0.501609,0.497247,0.479889,0.452342,0.418695,0.383177,0.349214,0.319309,0.2952,0.27815,0.269335,0.270064,0.281583,0.305339,0.343029,0.396142,0.464737,0.545509,0.631654,0.713409,0.779355,0.818999,0.825758,0.79905,0.744557,0.672437,0.594343,0.520754,0.459614,0.416519,0.39479,0.395603,0.42007,0.469781,0.545336
0.857619,0.527238,0.331745,0.222167,0.162879,0.13299,0.121689,0.124192,0.139244,0.168138,0.213991,0.280464,0.369237,0.475503,0.58246,0.662742,0.691434,0.660176,0.58218,0.483882,0.391118,0.31894,0.270073,0.242057,0.231783,0.237022,0.256225,0.287479,0.328694,0.377083,0.428554,0.477707,0.518535,0.545657,0.555517,0.547224,0.522779,0.48651,0.443977,0.400804,0.361388,0.328254,0.302594,0.284861,0.275256,0.274072,0.281901,0.29959,0.328259,0.369127,0.423034,0.489487,0.565376,0.64508,0.721004,0.784514,0.827585,0.844708,0.834323,0.799171,0.745477,0.681391,0.615278,0.554462,0.504737,0.46965,0.449927,0.444773,0.45244,0.469928
0.8233,0.591609,0.430087,0.322935,0.254715,0.213832,0.192849,0.187885,0.198049,0.224977,0.272573,0.346351,0.450986,0.584204,0.726464,0.839302,0.883598,0.842965,0.734816,0.598363,0.471814,0.375991,0.313081,0.278324,0.266734,0.275001,0.300802,0.340901,0.391207,0.446131,0.498268,0.539382,0.562434,0.563746,0.543736,0.506416,0.458164,0.406038,0.35632,0.313744,0.280898,0.258314,0.245625,0.242284,0.247864,0.262032,0.284458,0.315062,0.353831,0.400545,0.454481,0.514118,0.576896,0.639177,0.696404,0.743479,0.775392,0.78799,0.778795,0.748468,0.701421,0.644658,0.58613,0.533361,0.492866,0.469217,0.464234,0.478479,0.511757,0.56223
0.811145,0.571756,0.407087,0.298135,0.228037,0.184426,0.159203,0.147646,0.14761,0.158866,0.18276,0.221862,0.278976,0.354622,0.442314,0.526281,0.586378,0.606646,0.583705,0.528482,0.460145,0.395981,0.344481,0.307906,0.285591,0.275873,0.276781,0.286079,0.301881,0.322501,0.34609,0.370423,0.392837,0.410377,0.420406,0.421264,0.412627,0.395571,0.372337,0.345859,0.319052,0.294244,0.27317,0.257121,0.247187,0.244575,0.250789,0.267409,0.296272,0.339422,0.398498,0.473221,0.559133,0.647876,0.728689,0.79078,0.826531,0.834104,0.818041,0.785592,0.743046,0.694983,0.644216,0.592054,0.53871,0.484268,0.429679,0.376471,0.32633,0.280762
0.914072,0.575602,0.364935,0.236375,0.158961,0.112967,0.0864803,0.0728088,0.06886,0.0740515,0.0903481,0.122999,0.181134,0.275731,0.408891,0.557883,0.674854,0.712337,0.659484,0.549741,0.432594,0.340594,0.280715,0.249281,0.241504,0.254254,0.285043,0.329056,0.379363,0.427154,0.463215,0.48104,0.479646,0.464027,0.440857,0.415204,0.390211,0.367337,0.346733,0.327597,0.309065,0.291117,0.274423,0.260152,0.249859,0.245537,0.24955,0.264029,0.291203,0.333534,0.393179,0.47034,0.560544,0.654631,0.740173,0.804141,0.836865,0.835445,0.804706,0.753978,0.693223,0.631235,0.574837,0.528912,0.497015,0.481531,0.483455,0.503166,0.540478,0.593719
0.849719,0.570125,0.383886,0.261748,0.182884,0.132891,0.102214,0.0849458,0.0780037,0.0803091,0.0928394,0.119109,0.165428,0.239453,0.343369,0.46401,0.571078,0.629026,0.619559,0.554371,0.465482,0.382473,0.318408,0.275408,0.251386,0.243603,0.24971,0.26756,0.295579,0.332187,0.374881,0.419471,0.45968,0.487581,0.49633,0.483213,0.450708,0.405524,0.356217,0.310741,0.274183,0.248219,0.232818,0.22744,0.231582,0.244847,0.266867,0.297612,0.337174,0.385426,0.44167,0.504265,0.570319,0.63568,0.695182,0.74317,0.774304,0.784489,0.771748,0.737599,0.687431,0.629057,0.570914,0.52074,0.485238,0.46941,0.475919,0.506826,0.564075,0.648068
0.783765,0.556538,0.398225,0.291445,0.221294,0.17672,0.150364,0.138011,0.138176,0.151576,0.181229,0.232656,0.312869,0.42581,0.561397,0.687865,0.763041,0.758559,0.679781,0.561283,0.443472,0.351134,0.288966,0.253222,0.239128,0.243273,0.263284,0.29628,0.338959,0.386924,0.434159,0.47356,0.498436,0.504418,0.490725,0.460302,0.418854,0.373188,0.329635,0.29317,0.266613,0.250604,0.244872,0.248917,0.262111,0.283269,0.310302,0.341063,0.373603,0.40648,0.439251,0.473034,0.510765,0.555362,0.608457,0.669656,0.735369,0.797348,0.841856,0.854436,0.827099,0.761541,0.668575,0.563934,0.462866,0.375199,0.303793,0.247499,0.203546,0.168849
0.715113,0.578648,0.467144,0.375775,0.302322,0.2454,0.20376,0.176344,0.162729,0.162795,0.177436,0.209285,0.262255,0.338775,0.432828,0.525054,0.588724,0.602766,0.564935,0.49308,0.41374,0.347225,0.30065,0.274077,0.265546,0.27306,0.294391,0.325805,0.362781,0.400092,0.432078,0.453736,0.462082,0.457057,0.440774,0.416423,0.387624,0.357879,0.330224,0.30713,0.290253,0.280303,0.277478,0.281727,0.292797,0.310087,0.332557,0.359208,0.389136,0.421557,0.455918,0.492054,0.530295,0.570854,0.6134,0.656842,0.69911,0.736965,0.765955,0.780852,0.776473,0.748681,0.695558,0.618478,0.522639,0.417362,0.314655,0.224868,0.153719,0.101942
