ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
384.444,0.823739,0.44577,263.012,257.919,0.221843,1.28712, 36.5547, 51.4087,0.330051,0.998671,35.6793,2.85313,0.416211,3.23371,0.390018,5.09895,0.48008,2.055,0.05,2.055,0.05,-950.964
345.064,0.880748,0.363529,247.396,122.298,0.235888,1.1406, 50.7797, 50.9,0.321906,0.994009,49.3415,2.73515,0.422752,3.14873,0.364694,5.17735,0.504897,2.055,0.05,2.055,0.05,-863.08
402.397,0.871018,0.580672,293.73,567.119,0.257756,1.29262, 34.6644, 45.1889,0.328613,1.00436,29.2705,2.87098,0.428578,3.33093,0.416588,5.20744,0.504087,2.055,0.05,2.055,0.05,-864.789
416.211,0.754125,0.496801,280.751,266.555,0.245671,1.3763, 52.0595, 55.3132,0.302226,0.98979,53.1762,2.69967,0.358547,3.19691,0.375531,5.05172,0.453134,2.055,0.05,2.055,0.05,-854.653
437.724,0.837769,0.539282,316.331,359.39,0.2251,0.990045, 47.0326, 47.4859,0.25748,1.00608,39.8989,2.90268,0.42738,3.19803,0.372092,5.09905,0.475469,2.055,0.05,2.055,0.05,-856.787
398.153,0.800871,0.740833,255.043,851.469,0.224035,1.12878, 42.712, 54.4672,0.321837,1.0055,49.7386,3.15446,0.531032,3.23155,0.386582,4.98582,0.448695,2.055,0.05,2.055,0.05,-855.495
400.711,0.87426,0.857619,266.502,372.956,0.157092,0.946449, 40.9479, 51.3284,0.336074,0.994173,37.6232,3.06603,0.454064,3.20095,0.374518,5.2346,0.508608,2.055,0.05,2.055,0.05,-846.128
534.227,0.844539,0.8233,286.353,671.074,0.196813,1.19671, 46.8787, 61.2381,0.284827,0.990795,30.3272,2.97951,0.421954,3.21041,0.397002,5.06196,0.484299,2.055,0.05,2.055,0.05,-852.736
333.138,0.845646,0.811145,239.503,816.246,0.264306,1.13391, 47.1942, 47.4939,0.391251,0.991275,52.2608,2.6459,0.324522,3.22727,0.383118,5.08742,0.480874,2.055,0.05,2.055,0.05,-848.432
360.597,0.690719,0.914072,242.243,823.324,0.240026,1.1977, 29.0585, 51.0551,0.394723,1.00204,31.6603,2.91041,0.403364,3.27605,0.406323,5.1503,0.49216,2.055,0.05,2.055,0.05,-849.693
339.993,0.79541,0.849719,244.012,1032.07,0.177384,1.28276, 26.2115, 50.0778,0.329891,0.985567,32.5258,2.81011,0.430025,3.22298,0.389985,5.13494,0.484333,2.055,0.05,2.055,0.05,-850.223
292.827,0.906638,0.783765,248.573,1234.34,0.225368,1.08376, 76.6173, 41.0401,0.344522,0.994451,71.9114,2.73693,0.373551,3.27249,0.403786,5.17969,0.507842,2.055,0.05,2.055,0.05,-852.644
480.939,0.794291,0.715113,242.409,1044.87,0.217468,1.27383, 139.774, 70.0131,0.362628,1.00331,75.4754,2.67226,0.338639,3.19391,0.375746,5.153,0.487854,2.055,0.05,2.055,0.05,-854.118
405.559,0.812091,0.741544,258.113,1541.84,0.207333,1.06039, 68.4916, 58.7489,0.321192,1.00664,62.4402,2.70396,0.355636,3.26553,0.390456,5.11606,0.473106,2.055,0.05,2.055,0.05,-852.261
375.513,0.890823,0.859912,272.119,2416.17,0.251306,1.25796, 43.3191, 51.5132,0.310164,1.0091,46.8112,2.89515,0.451918,3.25748,0.39205,5.05853,0.479792,2.055,0.05,2.055,0.05,-865.083
330.592,0.845085,0.858626,283.519,2760.16,0.262536,1.06988, 35.9434, 40.7216,0.307405,0.985432,38.7486,2.94434,0.529685,3.236,0.386069,5.09715,0.480016,2.055,0.05,2.055,0.05,-857.355
356.844,0.681757,0.873478,266.357,3027.31,0.260123,1.51335, 30.5575, 44.5556,0.320303,0.987956,26.8168,2.87169,0.472026,3.19574,0.378466,5.10328,0.502472,2.055,0.05,2.055,0.05,-853.948
381.481,0.695326,0.910201,257.929,2786.49,0.221793,0.980823, 50.9201, 50.8142,0.341357,1.00676,55.5766,2.83125,0.431533,3.17686,0.362794,5.20889,0.518988,2.055,0.05,2.055,0.05,-845.223
461.602,0.868704,0.901165,264.948,2330.51,0.248613,1.06624, 39.9976, 59.8397,0.319937,0.990596,29.1923,2.9071,0.481418,3.24141,0.396159,5.06899,0.485591,2.055,0.05,2.055,0.05,-838.814
