rdev1_1953,rdev1_1954,rdev1_1955,rdev1_1956,rdev1_1957,rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017,rdev1_2018,rdev1_2019,rdev1_2020
1.39069,-0.34156,-0.188682,0.319958,0.377019,0.74211,-0.562253,0.43156,0.885117,0.663656,0.605771,0.0743202,-0.617657,1.74697,-0.63414,-0.518309,0.339469,0.209323,0.114891,0.256858,0.0597997,0.151824,-0.533131,-0.726725,-0.444724,-0.630672,1.59724,0.445662,0.391075,-0.434674,-0.579757,0.46016,-0.254503,0.0944333,1.33705,-0.76084,-1.2781,-0.301225,0.914485,-0.662344,-0.462532,-1.73656,-0.734771,0.548523,0.543467,-0.731182,-0.173929,-0.961289,-0.157453,0.656676,-0.323388,0.514339,-0.556599,-0.0731848,-0.85163,0.71531,-0.321938,0.410739,-0.705301,0.38662,-0.482305,0.589009,-0.514617,-0.38458,-0.10715,1.40144,-1.06502,0.474814
1.51093,-0.716272,-0.151664,0.495953,0.0980493,0.638161,-0.388828,0.32591,1.07525,0.781949,0.242987,-0.21744,-0.266209,1.68706,-0.156658,-0.171308,0.471493,0.278871,0.181424,0.4919,0.0714517,0.304856,-0.66593,-0.621564,-0.527932,-0.756839,1.33545,0.363923,0.327133,-0.679561,-0.84768,0.319566,-0.381396,0.0840006,1.31192,-0.798863,-1.29688,-0.294668,0.969002,-0.54983,-0.494725,-1.59542,-0.617112,0.64539,0.68706,-0.538443,-0.142963,-1.23334,-0.135663,0.582774,-0.540175,0.415709,-0.628656,-0.0224359,-0.744083,0.744537,-0.228881,0.496155,-0.450061,0.62062,-0.366363,0.732592,-0.463854,-0.605087,-0.125215,1.23036,-1.47526,0.664336
1.50509,-0.376845,-0.178637,0.0816944,0.501922,0.81434,-0.312482,0.408697,0.90836,0.847142,0.631145,-0.12758,-0.49124,1.6058,-0.742437,-0.531386,0.131687,0.115704,-0.100842,0.220703,0.134264,0.13221,-0.318843,-0.594594,-0.178053,-0.467486,1.70344,0.537015,0.452819,-0.537129,-0.738674,0.364985,-0.472935,-0.12441,1.24613,-0.876386,-1.22281,-0.298706,0.922083,-0.676726,-0.342928,-1.68829,-0.647367,0.685865,0.691544,-0.655651,-0.00180312,-1.03895,-0.160543,0.585981,-0.341919,0.68029,-0.482807,0.0353685,-0.697812,0.591224,-0.485839,0.299523,-0.863791,0.152262,-0.771274,0.37253,-0.713505,-0.606646,-0.408329,1.17589,-0.678198,0.482295
1.49335,-0.490531,-0.221614,0.161223,0.359515,0.736329,-0.733107,0.295204,0.544872,0.672195,0.181463,-0.0222151,-0.802832,1.52711,-0.00494824,-0.650767,0.402006,0.451416,0.261377,0.431112,0.317426,0.373558,-0.41314,-0.714075,-0.567681,-0.62374,1.67796,0.522858,0.536008,-0.176661,-0.356781,0.606239,0.169969,0.31892,1.24527,-0.865821,-1.40864,-0.520759,0.632931,-0.956978,-0.819638,-1.94881,-0.991269,0.336861,0.31559,-1.0231,-0.320271,-1.06099,-0.162507,0.608956,-0.266458,0.648784,-0.353402,0.0687541,-0.553421,0.818224,-0.169689,0.649879,-0.683843,0.564667,-0.509338,0.457444,-0.619388,-0.489282,-0.112065,1.32177,-1.08758,0.953633
1.69277,-0.669291,-0.156164,0.336562,0.339701,1.13714,-0.513054,0.480459,0.756224,0.94237,0.747792,0.30717,-0.634524,1.66318,-0.399044,-0.37032,0.27891,0.375403,-0.0312271,0.253415,0.150184,0.0888028,-0.650999,-0.844331,-0.407003,-0.465043,1.596,0.618284,0.439355,-0.32297,-0.216563,0.825839,0.09683,0.30334,1.64245,-0.45192,-0.919423,-0.0513093,1.03673,-0.567039,-0.466931,-1.80328,-0.926675,0.4618,0.437442,-0.992069,-0.379072,-1.27334,-0.49607,0.453226,-0.654065,0.354012,-0.867835,-0.158048,-1.13213,0.536262,-0.452042,0.222353,-0.68249,0.334372,-0.587824,0.337432,-0.696267,-0.559352,-0.469254,1.05823,-1.30486,0.549927
1.71231,-0.325168,-0.0998667,0.396983,0.577213,1.07355,-0.404006,0.0650885,0.714792,0.499322,0.730023,-0.380615,-1.16897,1.76293,-1.17854,-0.796907,0.102959,0.30196,0.000258415,0.156122,0.0651191,0.135669,-0.632866,-0.714191,-0.81052,-0.924674,1.51982,0.329059,0.411941,-0.368971,-0.31087,0.661683,0.0429201,0.413711,1.63831,-0.440887,-0.928836,-0.13528,1.14541,-0.556803,-0.433211,-1.95144,-0.982117,0.481929,0.375089,-0.986462,-0.38788,-1.09049,-0.342953,0.533954,-0.387877,0.486546,-0.658875,-0.0604186,-0.883311,0.610303,-0.389904,0.234695,-0.872784,0.15321,-0.569323,0.591746,-0.261529,-0.255758,-0.123457,1.75813,-0.425446,1.04875
1.16337,-0.697097,-0.380225,0.194237,0.455861,0.750492,-0.560954,0.345287,0.958904,0.66915,0.523273,0.246113,-0.493295,1.86725,-1.41104,-0.905579,-0.0465776,0.00149657,-0.136644,-0.00835595,-0.0315652,-0.0326507,-0.579444,-0.697189,-0.298452,-0.651149,1.78329,0.565687,0.668633,-0.204397,-0.35987,0.806087,-0.0842744,0.27583,1.55212,-0.751683,-1.06071,-0.207381,1.01911,-0.564931,-0.451662,-1.76736,-0.791581,0.55794,0.604577,-0.585292,-0.26155,-0.851419,0.0227436,0.47794,-0.204636,0.565031,-0.559933,0.142374,-0.641718,0.896183,-0.284613,0.378924,-0.849392,0.337442,-0.693373,0.537123,-0.662768,-0.35779,-0.12639,1.38782,-1.21862,0.489123
1.48902,-0.330939,-0.315328,0.0680056,0.260665,0.724085,-0.33195,0.405265,1.12344,0.968797,0.710051,0.267772,-0.364637,2.18962,-1.39612,-0.0695773,0.343221,0.254271,0.101328,0.369527,-0.113109,0.0993474,-0.517891,-0.494494,-0.293521,-0.365597,1.9281,0.692641,0.610616,-0.170028,-0.584305,0.463013,-0.265848,-0.0180255,1.10772,-0.993695,-1.62484,-0.434112,0.728931,-0.731379,-0.621634,-1.74439,-0.846446,0.581164,0.619181,-0.766965,-0.108936,-0.919566,-0.0724162,0.434095,-0.464654,0.327701,-0.758942,-0.454111,-0.791055,0.599904,-0.305235,0.448085,-0.7823,0.212375,-0.698546,0.495779,-0.407472,-0.388058,-0.1876,1.2681,-1.18798,-0.0526511
1.60024,-0.301402,-0.287741,0.414464,0.164236,0.932817,-0.77023,0.534067,0.789672,0.674612,0.630292,-0.525825,-0.741756,1.73197,-0.432016,-0.739116,0.322365,0.338329,0.270073,0.398624,0.0330953,0.108424,-0.654846,-0.996225,-0.870922,-0.958808,1.27555,0.0490798,-0.0743123,-0.68022,-0.700731,0.377562,-0.30806,0.0696358,1.32014,-0.66845,-1.16067,-0.217916,0.969688,-0.687445,-0.473857,-1.68256,-0.691555,0.590604,0.418931,-0.740634,-0.12969,-0.945523,-0.106359,0.902388,-0.289998,0.632382,-0.412777,0.0139361,-0.592872,0.829719,-0.316859,0.527384,-0.532363,0.562661,-0.51739,0.680578,-0.502925,-0.413919,-0.0892314,1.34335,-0.925687,1.17485
1.30137,-0.675976,-0.39135,0.510186,0.116495,0.639329,-0.626338,0.469,0.641875,0.0858353,0.750049,-0.26396,-0.419828,1.61102,-0.942205,-0.245977,0.400078,0.210334,0.0394726,0.139216,0.0954888,0.0839374,-0.544111,-0.624261,-0.334266,-0.553394,1.64157,0.374239,0.223406,-0.565117,-0.637614,0.205969,-0.345315,-0.163594,1.17916,-0.712955,-1.18426,-0.277232,0.979153,-0.587149,-0.376606,-1.81601,-0.833635,0.508238,0.421593,-0.725872,-0.223652,-0.828026,-0.163462,0.901529,-0.140651,0.640719,-0.336654,0.137859,-0.709324,0.73646,-0.219677,0.504477,-0.528143,0.522617,-0.471634,0.712697,-0.373679,-0.395148,-0.092997,1.62368,-0.870419,0.361137
