rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017,rt1_2018,rt1_2019,rt1_2020
1056.69,186.913,217.787,362.186,383.454,552.421,149.897,404.949,637.349,510.738,482.013,283.304,141.818,1508.95,139.5,156.631,369.322,324.253,295.034,340.038,279.22,306.135,154.326,127.164,168.591,139.984,1299.12,410.7,388.882,170.294,147.296,416.698,203.914,289.06,1001.5,122.899,73.266,194.606,656.345,135.62,165.616,46.3232,126.145,455.194,452.898,126.598,221.024,100.576,224.696,507.186,190.34,439.897,150.747,244.451,112.232,537.813,190.616,396.605,129.918,387.153,162.373,474.001,157.21,179.042,236.288,1068.11,90.6654,422.849
1120.94,120.87,212.582,406.239,272.882,468.32,167.698,342.715,725.046,540.74,315.443,199.049,189.574,1336.82,211.523,208.447,396.424,326.968,296.609,404.597,265.72,335.575,127.111,132.877,145.92,116.065,940.528,355.994,343.135,125.39,105.986,340.548,168.949,269.075,918.653,111.289,67.634,184.255,651.966,142.759,150.847,50.1777,133.47,471.718,491.789,144.394,214.439,72.0709,216.011,443.086,144.144,374.915,131.938,241.907,117.555,520.884,196.784,406.322,157.737,460.177,171.508,514.699,155.576,135.085,218.279,846.701,56.5842,480.74
1323.12,201.505,245.679,318.734,485.211,663.15,214.901,442.021,728.524,685.263,552.143,258.548,179.724,1463.32,139.802,172.651,335.073,329.76,265.554,366.267,335.937,335.248,213.539,162.076,245.822,184.044,1613.4,502.54,461.961,171.663,140.329,423.116,183.044,259.369,1021.25,122.275,86.4743,217.882,738.591,149.297,208.457,54.2916,153.745,583.197,586.519,152.476,293.201,103.93,250.164,527.76,208.668,579.955,181.246,304.305,146.182,530.534,180.697,396.305,123.825,342.038,135.828,426.32,143.905,160.135,195.26,951.989,149.077,475.78
1249.9,171.904,224.945,329.868,402.214,586.28,134.877,377.161,484.124,549.86,336.612,274.583,125.793,1292.82,279.365,146.453,419.673,440.929,364.616,432.067,385.636,407.902,185.736,137.468,159.141,150.465,1503.32,473.582,479.851,235.287,196.505,514.763,332.765,386.213,975.293,118.114,68.637,166.786,528.689,107.823,123.696,39.9913,104.188,393.205,384.929,100.924,203.812,97.1714,238.641,516.164,215.08,537.136,197.17,300.733,161.426,636.314,236.934,537.725,141.688,493.803,168.701,443.595,151.121,172.119,250.988,1052.83,94.6221,728.583
1719.1,161.984,270.595,442.903,444.295,986.266,189.376,511.449,673.853,811.722,668.195,430.074,167.715,1668.99,212.245,218.431,418.09,460.444,306.605,407.566,367.591,345.707,164.974,135.973,210.563,198.69,1560.55,587.027,490.852,229.022,254.735,722.435,348.493,428.43,1634.73,201.314,126.137,300.509,892.05,179.424,198.315,52.1179,125.225,501.994,489.914,117.298,216.527,88.5397,192.62,497.708,164.469,450.699,132.814,270.086,101.968,540.8,201.29,395.101,159.86,441.934,175.733,443.288,157.673,180.808,197.855,911.428,85.7919,548.241
1413.39,184.245,230.803,379.334,454.249,746.189,170.277,272.196,521.247,420.21,529.248,174.307,79.2389,1486.78,78.4841,114.953,282.702,344.948,255.109,298.137,272.204,292.102,135.445,124.866,113.399,101.166,1165.91,354.423,385.05,176.349,186.898,494.287,266.228,385.733,1312.57,164.111,100.745,222.773,801.787,146.149,165.376,36.2338,95.5181,412.965,371.119,95.1041,173.045,85.7078,180.997,435.018,173.046,414.876,131.968,240.09,105.438,469.532,172.695,322.508,106.554,297.271,144.331,460.899,196.351,197.487,225.423,1479.66,166.665,727.914
852.996,132.726,182.21,323.636,420.416,564.463,152.083,376.407,695.261,520.366,449.734,340.868,162.729,1724.4,64.9969,107.749,254.374,266.902,232.465,264.285,258.222,257.941,149.297,132.714,197.736,138.967,1585.52,469.219,520.098,217.236,185.957,596.734,244.963,351.15,1258.28,125.675,92.2657,216.589,738.407,151.48,169.647,45.5141,120.76,465.598,487.827,148.427,205.169,113.746,272.633,429.801,217.185,468.911,152.239,307.279,140.283,652.993,200.491,389.283,113.976,373.465,133.221,456.006,137.361,186.344,234.861,1067.63,78.7882,434.635
1269.33,205.672,208.908,306.504,371.626,590.701,205.465,429.443,880.652,754.474,582.468,374.277,198.857,2557.65,70.888,267.106,403.608,369.258,316.889,414.367,255.728,316.262,170.602,174.641,213.514,198.667,1969.09,572.415,527.337,241.579,159.64,454.973,219.505,281.237,866.915,106.01,56.3953,185.511,593.57,137.806,153.79,50.0405,122.827,512.033,531.873,132.988,256.798,114.166,266.349,442.004,179.93,397.393,134.059,181.837,129.823,521.718,211.028,448.231,130.964,354.107,142.405,470.127,190.519,194.254,237.371,1017.72,87.2908,271.666
1186.55,177.18,179.617,362.503,282.253,608.736,110.868,408.558,527.548,470.21,449.825,141.563,114.07,1353.62,155.485,114.371,330.607,335.928,313.764,356.806,247.562,266.931,124.427,88.4416,100.248,91.8135,857.579,251.551,222.35,121.31,118.847,349.369,176.004,256.776,896.69,122.746,75.0304,192.607,631.599,120.437,149.114,44.5229,119.942,432.322,364.126,114.198,210.372,93.0414,215.338,590.491,179.212,450.767,158.506,242.864,132.382,549.103,174.462,405.837,140.64,420.409,142.762,473.024,144.842,158.325,219.058,917.742,94.9054,775.427
890.082,123.219,163.791,403.48,272.172,459.101,129.49,387.2,460.271,263.954,512.853,186.043,159.192,1213.13,94.4184,189.419,361.412,298.95,251.996,278.427,266.515,263.454,140.587,129.759,173.413,139.288,1250.77,352.193,302.883,137.665,128.038,297.647,171.507,205.685,787.687,118.746,74.1198,183.591,644.899,134.665,166.224,39.4064,105.246,402.695,369.272,117.222,193.696,105.838,205.712,596.733,210.459,459.739,172.999,278.05,119.178,505.931,194.467,401.183,142.85,408.527,151.155,494.05,166.711,163.17,220.731,1228.59,101.445,347.609
