sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018,sbt1_2019,sbt1_2020,sbt1_2021
44.5723,21.0028,30.8802,32.4064,36.2429,14.2709,10.8562,19.2352,19.79,23.7405,22.6135,38.056,25.1746,13.8098,10.5462,6.25158,8.58241,8.1695,10.7282,17.6083,21.3839,24.3365,32.0585,33.025,36.4979,29.6359,26.4668,18.4687,32.5847,63.6935,66.1289,61.6609,45.9669,31.8171,32.7763,30.3957,34.9633,49.9973,38.0399,28.9822,28.6913,40.9758,35.8827,28.4947,19.9909,23.6589,34.1219,36.8196,32.5343,28.6062,21.1082,19.5675,22.6887,17.4157,13.2328,7.83338,6.84185,6.80256,9.79232,10.4723,10.1773,9.57165,14.6045,15.4202,19.4045,19.6996,20.3696,24.1588,38.2375,35.6793,34.5551
55.1933,26.6631,35.5255,39.5546,41.9876,16.4275,14.0215,19.0143,18.8078,22.894,21.1068,42.3998,30.636,14.5552,9.85388,6.04138,9.80447,10.8921,14.0683,20.5921,23.1021,26.0709,34.2607,34.5851,37.1763,28.6757,24.9413,16.1808,27.1599,50.9723,55.1493,53.341,40.4302,27.3798,28.0132,26.5157,31.7757,46.6494,36.0326,27.8085,28.0037,41.1526,36.0208,28.7584,20.563,24.3469,35.1421,37.8911,32.9932,28.202,19.7066,17.9211,20.3897,15.4329,12.1358,7.74129,7.54846,7.82697,11.3091,12.0298,11.3459,10.4584,15.2204,14.8774,17.6749,17.1229,17.6546,22.9395,41.1837,49.3415,61.9809
54.5217,27.168,36.2262,36.9959,36.9703,14.4987,9.39384,18.1589,17.5726,21.931,21.1357,37.36,28.3217,15.0601,10.2314,5.8199,7.00434,6.9757,10.0055,16.7669,21.0874,24.1289,33.5065,36.2214,40.9703,33.7774,30.7119,21.7996,36.4262,66.1994,64.2792,56.9308,40.4775,27.8715,29.6271,28.0662,33.6595,51.2172,40.2366,32.0047,31.9545,45.2854,39.223,32.4854,22.942,27.3192,39.5933,42.6991,37.146,32.1242,23.0406,20.1969,22.0515,17.0486,13.5689,8.01724,6.97055,6.478,8.40146,8.6991,8.46833,7.98047,12.3487,13.381,17.5934,18.3959,19.0501,21.6267,32.8105,29.2705,27.4753
53.7498,31.4034,39.7978,37.2314,39.1978,17.1462,11.0968,18.135,19.7918,23.3526,23.1147,36.7098,26.2465,11.0856,9.2931,5.27113,8.59557,11.5549,14.2185,21.868,25.9788,28.3419,35.3462,36.3815,39.4022,30.4353,25.5192,17.6893,33.8392,71.5627,76.3649,72.8483,55.0197,37.7491,37.5579,34.7532,37.1248,47.0186,33.5525,25.019,24.0727,34.3821,29.8787,23.9983,16.923,20.5945,31.1266,34.4076,30.9139,28.0197,21.3382,20.7952,24.9303,20.414,16.9824,10.7108,9.26613,8.89465,11.938,12.603,11.899,10.3667,14.9117,13.9146,15.7151,15.4555,16.8939,23.438,44.2989,53.1762,68.9454
57.116,28.4964,41.7587,43.5299,40.881,18.7465,14.309,23.7215,30.9181,32.0448,31.299,43.0383,32.9062,19.7863,16.8964,7.99451,10.5851,9.97681,12.2339,18.9709,23.7551,26.1754,35.0564,37.4272,41.3582,32.4353,28.9087,22.3913,40.2268,78.7651,85.3659,81.8721,63.6393,48.5013,53.6666,49.5501,53.4674,71.5404,52.2063,37.7349,36.1,47.1497,38.357,27.7939,18.3932,21.9122,32.9803,36.2663,31.8182,27.6907,19.9237,18.3605,21.5332,16.7186,13.0747,7.86559,7.06347,6.83684,9.73343,10.2456,9.64319,9.10817,13.7875,13.4756,15.6326,15.4488,16.2933,20.2163,35.571,39.8989,48.6138
58.5826,25.6661,33.873,34.1045,35.9167,11.8499,9.97787,21.8763,26.5769,30.0126,24.1193,36.7981,24.9958,13.281,8.6188,6.26301,9.1117,8.0793,9.97578,16.2008,20.7843,22.4243,28.1757,29.7939,33.5908,27.5863,24.8433,15.1667,28.502,61.334,67.4008,66.9897,52.926,39.1134,41.8626,39.1433,44.4881,61.517,45.9249,33.6532,32.5925,44.8459,38.1348,28.5808,18.4077,20.4026,29.3079,30.7438,26.7263,23.383,17.1715,16.3976,19.8813,15.6154,11.9511,7.06068,6.20176,5.98419,8.39207,8.97046,8.76929,8.45724,13.2778,15.5624,22.1255,25.132,27.0997,32.339,54.2573,49.7386,47.0698
40.8044,14.9618,23.9042,24.2745,28.3464,10.0783,9.81121,21.8913,24.8584,29.2226,27.0067,44.1318,26.251,11.6901,9.24242,6.85298,7.55472,6.05326,7.95384,13.839,17.9246,20.6976,27.9505,31.1108,34.9267,29.2481,27.6884,21.8772,39.1762,78.5967,81.0879,76.1883,55.5039,38.4477,39.6248,34.8479,38.7719,54.9187,39.8605,29.8145,29.7611,42.9538,36.7349,27.8175,19.6341,22.9231,33.728,38.1386,34.2934,29.8099,22.2975,20.7581,22.5221,17.6858,13.4277,8.26808,7.55562,7.57557,10.6197,10.4334,9.36829,8.40788,12.7303,13.3616,17.3865,17.9744,19.5616,24.2175,39.5516,37.6232,37.2888
52.3906,23.6527,32.8873,35.5104,39.7999,15.1087,11.4397,20.5136,23.4662,28.1286,24.9376,42.8825,32.4238,17.7043,11.6058,10.2616,15.2915,10.6184,12.207,17.8925,22.0404,26.3429,36.9547,37.6561,41.6561,34.1667,32.1645,24.1576,43.2834,84.3052,81.9594,71.8947,50.985,33.3472,32.7963,29.3593,33.1128,46.3521,35.8054,27.875,28.7287,41.2244,36.7559,30.0295,22.2456,26.0128,38.1088,41.5413,36.0909,31.6189,23.3621,20.5861,21.8317,16.4407,12.303,7.00369,6.06091,6.57244,9.75606,10.9821,10.9293,9.96427,14.2348,14.8838,19.5296,20.7477,21.6537,24.4971,35.8378,30.3272,25.9044
44.6379,17.469,25.0993,29.4339,34.2441,11.0076,7.84395,14.6095,19.3959,23.2925,22.2935,33.9914,23.5703,12.8435,5.90819,4.7834,5.36453,6.25259,9.02265,16.279,20.6658,24.4521,31.9323,30.5967,32.2057,24.6161,19.819,11.2853,21.7237,45.9763,49.9008,48.129,37.9873,28.3121,31.5733,30.9718,36.3445,51.1492,39.8812,30.1968,29.7738,41.2517,35.5735,28.0314,19.8443,23.5231,33.2986,35.622,31.7889,28.8546,22.1163,21.4666,26.2954,19.6153,14.56,8.44441,6.99471,6.84333,9.40108,9.67095,9.28059,8.73151,13.3573,13.4886,16.9504,17.1748,18.5661,24.0166,42.8121,52.2608,69.8402
39.6861,11.367,19.8252,22.3202,25.4723,9.23315,7.97873,15.1756,16.1174,22.1223,20.5053,35.1095,20.9393,14.2002,11.4482,5.0035,5.562,5.3569,8.89085,15.807,19.6015,21.9726,29.1493,31.5417,35.2963,29.6124,26.8783,19.0026,31.5442,57.5419,55.9015,49.236,35.8004,25.119,26.2743,26.1224,30.6395,45.4856,35.6922,27.827,28.2467,40.8302,35.8831,28.0455,20.0529,22.5326,31.6559,33.5953,30.1706,27.5189,20.2989,20.1881,25.6016,19.8257,14.8207,8.68005,7.27798,6.71001,9.11078,9.97619,10.0291,9.8483,15.4539,16.2863,20.6024,20.6387,20.2423,23.4994,37.6892,31.6603,26.7951
60.3363,27.8521,34.5525,31.9887,34.9347,13.4162,9.59522,17.9629,17.4255,21.6385,22.5126,38.3798,26.6781,19.5061,20.2161,5.1452,6.46941,9.92918,12.7879,19.1858,21.4484,22.8288,29.6071,30.6274,34.2784,26.693,23.6925,15.1954,28.7398,58.8589,63.2845,59.9497,45.5612,31.413,31.6924,28.6541,31.2146,44.4916,33.2811,25.3285,25.6315,38.4326,34.7498,28.4701,21.0079,25.1038,36.1424,39.0087,34.4995,29.9296,20.9806,19.0314,21.4898,16.7249,14.1936,8.33428,7.09934,6.83454,9.91486,10.9388,10.5321,10.2395,16.4987,17.2204,21.4473,21.5222,21.2373,25.4872,41.2649,32.5258,26.1101
55.6078,24.4567,30.7833,32.8392,35.205,11.6368,12.1014,23.0119,22.9021,27.468,27.5885,45.967,31.8444,17.5301,11.6316,5.04293,5.69382,6.84674,9.60163,16.2283,19.648,22.7883,30.8215,31.6342,35.3284,28.7278,24.4505,14.2028,26.6717,54.7103,57.0495,53.5735,38.9246,26.0074,26.6719,24.6471,28.0531,41.4132,31.9567,25.3008,27.2104,42.648,38.2111,32.0041,23.2733,27.45,38.0136,40.0741,32.8517,26.1387,18.6462,17.6328,20.3927,16.5424,14.06,9.33404,8.69492,8.82185,11.89,11.3862,9.85051,7.86904,10.4104,10.253,13.0328,14.7914,18.5706,27.3313,54.8215,71.9114,93.9023
61.3247,26.3144,33.0499,36.467,37.9315,11.8528,10.8833,21.1267,18.8805,23.5552,25.0059,41.4638,25.6618,12.265,9.16456,5.11105,5.72967,6.00475,8.8802,16.007,19.53,23.9855,30.996,33.2599,37.0429,28.9628,23.9689,13.9987,25.0896,49.3375,50.0149,47.2257,35.2304,24.0954,24.3551,23.6648,28.8246,44.5051,35.3794,28.5538,30.0212,44.2655,40.6146,33.2367,24.3228,27.5315,38.067,40.2142,32.9058,27.0421,18.276,15.9663,18.9592,15.1818,11.9032,8.01756,7.9159,7.87202,10.6761,10.8363,10.072,8.48798,11.4948,10.9947,13.1564,13.7908,16.4918,25.2101,54.661,75.4754,104.134
