TAC,B2021,B2022,B0,04B0,03B0,02B0,B1951,B2022B2021,B202204B0,B202202B0,B2022B1951,F2020,F2021,F2021F2020,U2021,U2021U2020,PropAge3,PropAge4to10,UT,U20
0,43.764,38.7489,51.4087,20.5635,15.4226,10.2817,44.5723,0.885406,1.88436,3.76871,0.869349,0,0,nan,0,nan,0.437458,0.519748,0,0
0,43.7072,41.7859,50.9,20.36,15.27,10.18,55.1933,0.956042,2.05235,4.1047,0.757082,0,0,nan,0,nan,0.179761,0.79119,0,0
0,25.8389,29.7362,45.1889,18.0756,13.5567,9.03778,54.5217,1.15083,1.64511,3.29021,0.545401,0,0,nan,0,nan,0.16554,0.691777,0,0
0,52.5093,50.6656,55.3132,22.1253,16.594,11.0626,53.7498,0.964889,2.28994,4.57988,0.94262,0,0,nan,0,nan,0.296343,0.667121,0,0
0,36.4745,41.3204,47.4859,18.9944,14.2458,9.49718,57.116,1.13286,2.1754,4.35081,0.723447,0,0,nan,0,nan,0.174992,0.698924,0,0
0,47.1791,44.6605,54.4672,21.7869,16.3402,10.8934,58.5826,0.946617,2.04988,4.09976,0.762352,0,0,nan,0,nan,0.290645,0.683361,0,0
0,34.4584,46.1531,51.3284,20.5313,15.3985,10.2657,40.8044,1.33939,2.24793,4.49586,1.13108,0,0,nan,0,nan,0.102313,0.708884,0,0
0,46.9186,46.2815,61.2381,24.4952,18.3714,12.2476,52.3906,0.986422,1.88941,3.77882,0.883393,0,0,nan,0,nan,0.511508,0.413488,0,0
0,47.0408,43.3032,47.4939,18.9975,14.2482,9.49877,44.6379,0.920545,2.27941,4.55882,0.970099,0,0,nan,0,nan,0.222265,0.740734,0,0
0,25.4735,21.3711,51.0551,20.422,15.3165,10.211,39.6861,0.838955,1.04647,2.09294,0.538503,0,0,nan,0,nan,0.188455,0.770064,0,0
0,24.0433,21.5708,50.0778,20.0311,15.0233,10.0156,60.3363,0.897166,1.07687,2.15373,0.35751,0,0,nan,0,nan,0.120561,0.82671,0,0
0,65.8084,69.0394,41.0401,16.4161,12.312,8.20803,55.6078,1.0491,4.2056,8.4112,1.24154,0,0,nan,0,nan,0.0946308,0.866513,0,0
0,82.4906,96.7947,70.0131,28.0052,21.0039,14.0026,61.3247,1.1734,3.45631,6.91261,1.5784,0,0,nan,0,nan,0.201883,0.739287,0,0
0,63.8785,69.3525,58.7489,23.4996,17.6247,11.7498,67.3756,1.08569,2.95122,5.90245,1.02934,0,0,nan,0,nan,0.245277,0.684552,0,0
0,47.5794,45.9174,51.5132,20.6053,15.454,10.3026,70.6191,0.965067,2.22843,4.45686,0.650212,0,0,nan,0,nan,0.295897,0.65066,0,0
0,34.4669,32.0553,40.7216,16.2886,12.2165,8.14431,68.0512,0.93003,1.96795,3.93591,0.471046,0,0,nan,0,nan,0.202459,0.736774,0,0
0,22.5276,19.9516,44.5556,17.8223,13.3667,8.91113,52.5953,0.88565,1.11948,2.23895,0.379342,0,0,nan,0,nan,0.264263,0.700414,0,0
0,42.9996,42.1047,50.8142,20.3257,15.2443,10.1628,45.7865,0.979189,2.0715,4.143,0.919588,0,0,nan,0,nan,0.0561137,0.886593,0,0
0,30.2091,31.1662,59.8397,23.9359,17.9519,11.9679,55.3168,1.03168,1.30207,2.60414,0.563413,0,0,nan,0,nan,0.309293,0.608394,0,0
0,17.4271,17.7787,41.976,16.7904,12.5928,8.39519,53.266,1.02018,1.05886,2.11773,0.333773,0,0,nan,0,nan,0.257859,0.602488,0,0
0,46.2621,39.2102,54.5187,21.8075,16.3556,10.9037,59.9423,0.847566,1.79801,3.59603,0.654132,0,0,nan,0,nan,0.253295,0.736732,0,0
0,35.3634,31.0957,47.9982,19.1993,14.3995,9.59964,62.9692,0.87932,1.61963,3.23926,0.493825,0,0,nan,0,nan,0.0399098,0.926511,0,0
0,40.1466,39.5129,56.5713,22.6285,16.9714,11.3143,65.7822,0.984216,1.74615,3.49231,0.600663,0,0,nan,0,nan,0.14773,0.799089,0,0
0,45.5998,44.0072,59.518,23.8072,17.8554,11.9036,50.9663,0.965074,1.84848,3.69697,0.863458,0,0,nan,0,nan,0.187038,0.760964,0,0
0,21.2472,22.1533,52.5402,21.0161,15.7621,10.508,49.9741,1.04265,1.05411,2.10822,0.443295,0,0,nan,0,nan,0.262597,0.601833,0,0
0,27.2612,25.6263,54.9233,21.9693,16.477,10.9847,58.3028,0.940028,1.16646,2.33292,0.439537,0,0,nan,0,nan,0.370626,0.583197,0,0
0,20.2196,24.1757,57.5556,23.0222,17.2667,11.5111,51.8798,1.19566,1.0501,2.10021,0.465995,0,0,nan,0,nan,0.135332,0.68924,0,0
0,57.5636,59.0442,54.664,21.8656,16.3992,10.9328,60.7827,1.02572,2.70033,5.40065,0.971398,0,0,nan,0,nan,0.266869,0.665862,0,0
0,71.4704,67.4161,48.7038,19.4815,14.6111,9.74076,72.7489,0.943273,3.46052,6.92103,0.926696,0,0,nan,0,nan,0.230518,0.755786,0,0
0,45.5813,46.1526,52.5664,21.0266,15.7699,10.5133,92.9357,1.01253,2.19497,4.38993,0.496608,0,0,nan,0,nan,0.0750786,0.865522,0,0
0,57.195,53.8483,52.0547,20.8219,15.6164,10.4109,89.2062,0.941486,2.58614,5.17229,0.603639,0,0,nan,0,nan,0.170905,0.796103,0,0
0,23.6197,21.1444,52.5628,21.0251,15.7688,10.5126,82.3155,0.895202,1.00567,2.01135,0.256871,0,0,nan,0,nan,0.205795,0.752266,0,0
0,26.4553,30.3817,56.7294,22.6918,17.0188,11.3459,64.9983,1.14842,1.33889,2.67777,0.467423,0,0,nan,0,nan,0.149529,0.720656,0,0
0,35.2717,37.4557,41.5179,16.6072,12.4554,8.30358,72.3467,1.06192,2.25539,4.51079,0.517725,0,0,nan,0,nan,0.283005,0.640972,0,0
0,21.4344,23.4188,41.0391,16.4157,12.3117,8.20783,76.2422,1.09258,1.42661,2.85323,0.307163,0,0,nan,0,nan,0.292608,0.540109,0,0
0,36.6693,33.6669,49.5778,19.8311,14.8733,9.91556,40.9596,0.918123,1.69768,3.39536,0.821955,0,0,nan,0,nan,0.391027,0.565986,0,0
0,40.7298,40.1031,43.2279,17.2912,12.9684,8.64558,41.3251,0.984612,2.31928,4.63856,0.970429,0,0,nan,0,nan,0.133723,0.808985,0,0
0,42.5148,37.6685,58.0146,23.2058,17.4044,11.6029,38.2601,0.886011,1.62324,3.24647,0.984539,0,0,nan,0,nan,0.231382,0.724501,0,0
0,22.0447,19.7062,41.4242,16.5697,12.4273,8.28484,50.0918,0.893921,1.18929,2.37859,0.393402,0,0,nan,0,nan,0.219558,0.739743,0,0
0,26.8802,25.7995,44.3539,17.7415,13.3062,8.87077,40.7372,0.959796,1.45419,2.90837,0.633315,0,0,nan,0,nan,0.104397,0.813155,0,0
0,36.7239,34.2774,57.4297,22.9719,17.2289,11.4859,39.4844,0.933383,1.49215,2.9843,0.868125,0,0,nan,0,nan,0.292121,0.665564,0,0
0,21.4185,19.3413,46.9985,18.7994,14.0995,9.3997,46.2596,0.903021,1.02883,2.05766,0.418104,0,0,nan,0,nan,0.162557,0.764469,0,0
0,36.9958,35.0675,52.316,20.9264,15.6948,10.4632,39.6942,0.947879,1.67575,3.3515,0.883442,0,0,nan,0,nan,0.174971,0.787952,0,0
0,37.2293,39.6837,53.1416,21.2567,15.9425,10.6283,50.7101,1.06593,1.86688,3.73376,0.78256,0,0,nan,0,nan,0.110094,0.773414,0,0
0,34.0564,27.437,66.0211,26.4084,19.8063,13.2042,41.4244,0.805636,1.03895,2.0779,0.66234,0,0,nan,0,nan,0.368362,0.597111,0,0
0,36.8271,36.6963,61.1247,24.4499,18.3374,12.2249,48.396,0.99645,1.50088,3.00176,0.758252,0,0,nan,0,nan,0.138527,0.850622,0,0
0,36.6712,51.613,53.0538,21.2215,15.9162,10.6108,53.3672,1.40745,2.4321,4.86421,0.967129,0,0,nan,0,nan,0.0419914,0.765662,0,0
0,39.412,36.6807,55.739,22.2956,16.7217,11.1478,37.9354,0.930701,1.6452,3.2904,0.966926,0,0,nan,0,nan,0.43392,0.495074,0,0
0,38.2447,34.5574,44.3526,17.7411,13.3058,8.87053,50.2284,0.903587,1.94788,3.89576,0.688006,0,0,nan,0,nan,0.251699,0.718161,0,0
0,23.1387,24.7787,52.824,21.1296,15.8472,10.5648,51.3079,1.07088,1.1727,2.3454,0.482941,0,0,nan,0,nan,0.126836,0.762847,0,0
0,36.8629,41.1457,47.1755,18.8702,14.1527,9.43511,54.3184,1.11618,2.18046,4.36092,0.757491,0,0,nan,0,nan,0.254762,0.657839,0,0
0,80.2189,86.0117,48.2007,19.2803,14.4602,9.64014,72.1416,1.07221,4.46112,8.92225,1.19226,0,0,nan,0,nan,0.180329,0.763666,0,0
0,49.9317,42.5881,58.628,23.4512,17.5884,11.7256,59.658,0.852927,1.81603,3.63206,0.713871,0,0,nan,0,nan,0.387848,0.598111,0,0
0,30.0723,25.2239,56.7366,22.6946,17.021,11.3473,45.522,0.838775,1.11145,2.2229,0.554104,0,0,nan,0,nan,0.0662359,0.907806,0,0
0,11.9725,13.79,48.2272,19.2909,14.4682,9.64543,58.4231,1.15181,0.714845,1.42969,0.236036,0,0,nan,0,nan,0.137534,0.724288,0,0
0,25.0632,33.684,59.2957,23.7183,17.7887,11.8591,66.2839,1.34396,1.42017,2.84034,0.508177,0,0,nan,0,nan,0.261167,0.558395,0,0
0,55.0858,69.0627,60.0169,24.0068,18.0051,12.0034,60.534,1.25373,2.8768,5.7536,1.14089,0,0,nan,0,nan,0.319319,0.527428,0,0
0,60.5262,64.8409,64.3523,25.7409,19.3057,12.8705,75.548,1.07129,2.51898,5.03796,0.858274,0,0,nan,0,nan,0.52803,0.447061,0,0
0,52.189,75.6766,69.5782,27.8313,20.8735,13.9156,44.7792,1.45005,2.71912,5.43824,1.69,0,0,nan,0,nan,0.126795,0.669032,0,0
0,90.4375,78.0786,53.6786,21.4714,16.1036,10.7357,33.5818,0.863342,3.63639,7.27279,2.32503,0,0,nan,0,nan,0.480613,0.507993,0,0
0,24.8962,21.7238,60.4992,24.1997,18.1498,12.0998,35.0989,0.872575,0.89769,1.79538,0.618931,0,0,nan,0,nan,0.128097,0.825692,0,0
0,24.7537,24.1921,50.4651,20.186,15.1395,10.093,45.3866,0.977312,1.19845,2.39691,0.533022,0,0,nan,0,nan,0.167673,0.755744,0,0
0,38.8251,38.4718,48.9958,19.5983,14.6987,9.79915,41.3681,0.9909,1.96302,3.92603,0.929987,0,0,nan,0,nan,0.191439,0.758891,0,0
0,40.1972,35.965,48.867,19.5468,14.6601,9.77339,54.9325,0.894713,1.83994,3.67989,0.654712,0,0,nan,0,nan,0.178201,0.782225,0,0
