m_age2_1951,m_age2_1952,m_age2_1953,m_age2_1954,m_age2_1955,m_age2_1956,m_age2_1957,m_age2_1958,m_age2_1959,m_age2_1960,m_age2_1961,m_age2_1962,m_age2_1963,m_age2_1964,m_age2_1965,m_age2_1966,m_age2_1967,m_age2_1968,m_age2_1969,m_age2_1970,m_age2_1971,m_age2_1972,m_age2_1973,m_age2_1974,m_age2_1975,m_age2_1976,m_age2_1977,m_age2_1978,m_age2_1979,m_age2_1980,m_age2_1981,m_age2_1982,m_age2_1983,m_age2_1984,m_age2_1985,m_age2_1986,m_age2_1987,m_age2_1988,m_age2_1989,m_age2_1990,m_age2_1991,m_age2_1992,m_age2_1993,m_age2_1994,m_age2_1995,m_age2_1996,m_age2_1997,m_age2_1998,m_age2_1999,m_age2_2000,m_age2_2001,m_age2_2002,m_age2_2003,m_age2_2004,m_age2_2005,m_age2_2006,m_age2_2007,m_age2_2008,m_age2_2009,m_age2_2010,m_age2_2011,m_age2_2012,m_age2_2013,m_age2_2014,m_age2_2015,m_age2_2016,m_age2_2017,m_age2_2018,m_age2_2019,m_age2_2020
0.377069,0.331577,0.294061,0.266853,0.250468,0.244857,0.250128,0.266857,0.296115,0.339429,0.398356,0.473411,0.562269,0.657306,0.743418,0.801133,0.815269,0.781623,0.708962,0.614984,0.519108,0.43543,0.369439,0.321356,0.289239,0.27072,0.263691,0.266466,0.278039,0.29788,0.325543,0.360223,0.400221,0.442423,0.482886,0.517906,0.544833,0.562826,0.573267,0.579758,0.586791,0.597959,0.615872,0.642231,0.677795,0.722121,0.773381,0.828883,0.885002,0.937069,0.979473,1.00604,1.01101,0.992062,0.951563,0.895981,0.83432,0.776455,0.731962,0.707307,0.705062,0.725493,0.766739,0.823428,0.88405,0.932063,0.953611,0.941964,0.899818,0.838287
0.602356,0.420505,0.299054,0.223595,0.179849,0.157914,0.152286,0.16092,0.184394,0.225682,0.28976,0.382227,0.505889,0.654209,0.802868,0.911673,0.944331,0.889834,0.769468,0.623095,0.487712,0.383056,0.310969,0.266174,0.242679,0.235782,0.241868,0.257466,0.279759,0.306371,0.335129,0.364255,0.392811,0.42115,0.450187,0.480594,0.512627,0.545952,0.579442,0.61099,0.638145,0.659398,0.674601,0.685162,0.694078,0.705931,0.726133,0.758453,0.804512,0.86325,0.929663,0.99302,1.03657,1.04593,1.01603,0.952817,0.870953,0.788889,0.72445,0.688709,0.685559,0.715739,0.77742,0.862998,0.952538,1.01441,1.02196,0.966162,0.860314,0.732708
0.348674,0.322134,0.297849,0.276378,0.258542,0.245373,0.238186,0.238831,0.250129,0.275456,0.318757,0.384469,0.475887,0.590752,0.713644,0.814942,0.863463,0.842291,0.758816,0.640246,0.518672,0.416121,0.339285,0.286585,0.253924,0.237371,0.233897,0.241291,0.25841,0.284811,0.32019,0.363815,0.41389,0.46697,0.518416,0.563503,0.598486,0.621627,0.633827,0.638667,0.640932,0.64463,0.652785,0.667517,0.690129,0.721092,0.759995,0.805682,0.855997,0.907423,0.954776,0.991108,1.00851,1.00208,0.972246,0.924607,0.868484,0.815029,0.775731,0.758699,0.767383,0.802234,0.860396,0.933171,1.00201,1.04121,1.03183,0.969878,0.867942,0.749098
0.52925,0.359405,0.251422,0.1901,0.160247,0.152721,0.164054,0.194689,0.246328,0.320318,0.415499,0.525391,0.637248,0.734543,0.802643,0.832922,0.823554,0.779471,0.710437,0.628135,0.543438,0.464515,0.396098,0.340189,0.297083,0.266292,0.247292,0.239974,0.244453,0.261241,0.291213,0.334948,0.391181,0.454407,0.515371,0.564025,0.592749,0.599411,0.588492,0.569842,0.554007,0.547984,0.555943,0.580217,0.621598,0.678612,0.746752,0.819995,0.891087,0.952049,0.995272,1.01495,1.00836,0.976896,0.925809,0.863005,0.79744,0.737811,0.69189,0.664695,0.658172,0.672621,0.707031,0.758248,0.819054,0.878457,0.926228,0.955354,0.964037,0.956572
0.361939,0.294946,0.24262,0.204853,0.179967,0.166235,0.162643,0.169267,0.187572,0.22054,0.272718,0.349746,0.456276,0.590855,0.737368,0.862856,0.930626,0.919051,0.834436,0.706823,0.572896,0.458388,0.371607,0.311167,0.27252,0.251074,0.243091,0.245652,0.256983,0.276103,0.302313,0.334805,0.372304,0.412784,0.453682,0.492376,0.526632,0.555091,0.577675,0.59581,0.611856,0.628126,0.646714,0.669474,0.698028,0.733782,0.777757,0.829973,0.888946,0.951064,1.00991,1.05585,1.07701,1.06566,1.02209,0.954455,0.876102,0.802136,0.746878,0.719257,0.722095,0.754825,0.813063,0.884988,0.945902,0.962903,0.915671,0.807932,0.665294,0.520769
0.483811,0.374131,0.292071,0.234153,0.195555,0.172108,0.16102,0.161096,0.172857,0.198527,0.242111,0.309169,0.405219,0.531143,0.67451,0.805543,0.887506,0.894714,0.827687,0.712435,0.584969,0.472652,0.385746,0.324234,0.284301,0.26166,0.25266,0.254363,0.264971,0.283489,0.309241,0.341483,0.379054,0.420083,0.462126,0.50255,0.538896,0.569333,0.593068,0.610616,0.623521,0.633738,0.643483,0.655181,0.6715,0.695488,0.730356,0.778176,0.839272,0.911331,0.987989,1.05723,1.10162,1.10692,1.06906,0.995586,0.902662,0.809708,0.734683,0.688291,0.674,0.692405,0.742597,0.82035,0.913202,0.999396,1.05724,1.07255,1.04441,0.985846
0.42377,0.340868,0.27686,0.230974,0.200614,0.183223,0.177095,0.181671,0.197652,0.227013,0.272869,0.338893,0.427619,0.536841,0.654113,0.755912,0.816261,0.81835,0.763302,0.669389,0.562525,0.46403,0.38379,0.32377,0.282274,0.25665,0.24459,0.244595,0.256085,0.279175,0.314172,0.360667,0.416063,0.473784,0.524506,0.559515,0.573717,0.56772,0.547826,0.524194,0.506601,0.501124,0.511308,0.539268,0.585884,0.649792,0.72621,0.808243,0.887149,0.953077,0.996677,1.01114,0.994013,0.948441,0.882509,0.807069,0.733355,0.671426,0.62985,0.613807,0.625043,0.663513,0.726569,0.805505,0.880196,0.92145,0.907563,0.835496,0.722509,0.596706
0.298099,0.229907,0.181141,0.150961,0.136157,0.134378,0.144996,0.168883,0.207376,0.261812,0.332677,0.418074,0.512536,0.606914,0.689912,0.750573,0.780894,0.778108,0.745355,0.690511,0.623806,0.554912,0.490626,0.434913,0.389647,0.35544,0.332363,0.320417,0.319469,0.329397,0.350077,0.381024,0.420613,0.46505,0.509125,0.547727,0.576953,0.595232,0.604017,0.607805,0.612297,0.622012,0.640228,0.669167,0.710019,0.762636,0.825228,0.894804,0.966897,1.03525,1.09184,1.12735,1.13289,1.10483,1.04708,0.969806,0.886536,0.811232,0.756584,0.730376,0.735058,0.770193,0.831968,0.909655,0.980125,1.01139,0.981456,0.889771,0.757404,0.615544
0.447548,0.338838,0.260532,0.208854,0.177936,0.163077,0.161595,0.172786,0.197619,0.238666,0.299663,0.384091,0.49217,0.615803,0.73301,0.811615,0.825771,0.770827,0.666167,0.543625,0.431799,0.345894,0.287318,0.252051,0.235574,0.2344,0.245767,0.266653,0.294243,0.325737,0.358167,0.388694,0.415208,0.436939,0.454082,0.467304,0.477662,0.486544,0.495611,0.506789,0.521996,0.542746,0.570124,0.604726,0.646481,0.694339,0.746079,0.798725,0.848638,0.891627,0.923236,0.939193,0.936165,0.913631,0.8745,0.824436,0.770704,0.721046,0.682962,0.661634,0.659261,0.676244,0.711372,0.760913,0.816741,0.866997,0.901229,0.913158,0.902541,0.87543
0.261191,0.230782,0.206132,0.189531,0.181736,0.18315,0.194493,0.217069,0.252697,0.30372,0.372533,0.460277,0.564642,0.676957,0.779763,0.85025,0.870168,0.834132,0.752244,0.645216,0.535566,0.439409,0.363061,0.306749,0.268191,0.244714,0.234233,0.235588,0.248516,0.273427,0.310904,0.36069,0.419955,0.481162,0.533493,0.566976,0.576248,0.562903,0.535019,0.504498,0.482071,0.473951,0.483597,0.513171,0.563789,0.634221,0.719234,0.810998,0.899503,0.973714,1.02381,1.04369,1.03266,0.994923,0.938223,0.872089,0.806175,0.749213,0.708781,0.689538,0.692782,0.717579,0.760342,0.812897,0.859768,0.88099,0.863017,0.804333,0.715858,0.615875
0.555203,0.427469,0.334419,0.273058,0.237197,0.221738,0.22392,0.243328,0.281373,0.341067,0.426081,0.538297,0.673557,0.815927,0.933683,0.988769,0.959258,0.853087,0.703417,0.549809,0.420989,0.327958,0.267625,0.233058,0.218318,0.219415,0.233476,0.257343,0.287894,0.32187,0.355835,0.386772,0.412982,0.434833,0.453794,0.471367,0.488894,0.507439,0.527714,0.549998,0.5743,0.600661,0.629193,0.660098,0.693679,0.730376,0.770608,0.814184,0.859999,0.905789,0.947891,0.981121,0.999275,0.998175,0.977454,0.940616,0.894257,0.846845,0.807532,0.783103,0.77664,0.788679,0.817521,0.858525,0.902639,0.937728,0.954133,0.947126,0.918126,0.874282
0.377324,0.359729,0.343233,0.328515,0.316453,0.308122,0.304864,0.308466,0.321397,0.346199,0.385133,0.439821,0.50995,0.590748,0.669651,0.728159,0.750095,0.72857,0.669287,0.587804,0.502795,0.42853,0.370799,0.330162,0.305027,0.293285,0.292841,0.301605,0.31799,0.340726,0.368476,0.399549,0.431696,0.462073,0.487903,0.50728,0.519643,0.526016,0.52902,0.532713,0.541449,0.558471,0.586001,0.625269,0.676181,0.736519,0.801469,0.865098,0.921076,0.963461,0.987682,0.991431,0.97514,0.941876,0.896746,0.84602,0.796301,0.753998,0.725205,0.714168,0.722597,0.750367,0.795193,0.851237,0.906976,0.946837,0.958632,0.937533,0.887641,0.820465
0.557015,0.464343,0.390525,0.336562,0.300947,0.281817,0.27808,0.290011,0.319595,0.370484,0.447568,0.555512,0.695012,0.855784,1.0079,1.1063,1.11445,1.02594,0.868938,0.689287,0.527094,0.402297,0.315361,0.259231,0.226351,0.210996,0.20938,0.219049,0.23886,0.26841,0.30731,0.354445,0.407196,0.460797,0.509266,0.547267,0.571736,0.583019,0.585117,0.585134,0.590724,0.607315,0.638381,0.6856,0.74822,0.821391,0.895299,0.958891,1.0024,1.01972,1.01016,0.978737,0.934632,0.886677,0.841533,0.803831,0.776657,0.76212,0.761836,0.776652,0.80617,0.848367,0.898737,0.949125,0.986801,0.99757,0.973304,0.914852,0.831534,0.737715
0.550256,0.403011,0.300935,0.236586,0.200241,0.184747,0.186295,0.203843,0.238089,0.291115,0.365519,0.462422,0.578538,0.702738,0.813947,0.886104,0.900232,0.853758,0.76171,0.649108,0.540435,0.451283,0.385858,0.342551,0.31801,0.308833,0.311728,0.323119,0.340025,0.360076,0.381354,0.402512,0.423013,0.443346,0.464389,0.486813,0.511001,0.536966,0.564245,0.59179,0.61834,0.643145,0.66619,0.688339,0.711458,0.738567,0.773378,0.818292,0.87366,0.93702,1.00192,1.05669,1.08512,1.07504,1.02451,0.942388,0.844819,0.749995,0.67393,0.625575,0.607268,0.618919,0.659382,0.725064,0.80583,0.883969,0.941516,0.965886,0.954732,0.917239
0.54364,0.424359,0.336819,0.279406,0.246816,0.234486,0.23986,0.262163,0.301369,0.357911,0.431884,0.521421,0.621019,0.72032,0.804322,0.856948,0.867063,0.832771,0.762145,0.670036,0.572888,0.483563,0.408527,0.349605,0.306168,0.276715,0.259835,0.254667,0.26087,0.27859,0.308223,0.349741,0.401404,0.458016,0.511747,0.554726,0.581454,0.590917,0.587308,0.579217,0.575958,0.583885,0.606915,0.647045,0.703967,0.773484,0.846487,0.912369,0.961236,0.986159,0.985111,0.961674,0.923832,0.87975,0.835845,0.796721,0.76548,0.744143,0.734065,0.736097,0.750659,0.77777,0.816901,0.866596,0.92391,0.984697,1.04517,1.10252,1.15543,1.20461
0.466821,0.394376,0.335921,0.292712,0.264,0.248646,0.246034,0.256591,0.282121,0.325792,0.391843,0.484502,0.605095,0.746479,0.885701,0.986322,1.01583,0.963189,0.845463,0.69788,0.555868,0.440812,0.357179,0.301389,0.268061,0.252614,0.251797,0.263395,0.286345,0.320201,0.364326,0.417008,0.474458,0.530056,0.575845,0.605245,0.615167,0.607153,0.587037,0.563502,0.54485,0.53635,0.541046,0.560594,0.595511,0.644679,0.704823,0.771568,0.839445,0.901972,0.9522,0.98365,0.991598,0.975108,0.937719,0.886572,0.830876,0.780438,0.744809,0.730418,0.739479,0.771157,0.820891,0.877898,0.922062,0.928648,0.883555,0.7903,0.668007,0.541782
0.322495,0.30725,0.293767,0.283753,0.278536,0.279321,0.287459,0.304768,0.333848,0.377793,0.439736,0.521958,0.623759,0.737787,0.845709,0.921225,0.942276,0.901457,0.809898,0.691627,0.572769,0.471394,0.393555,0.338478,0.302981,0.283714,0.277918,0.283478,0.299173,0.324355,0.358388,0.400053,0.446846,0.494373,0.537241,0.570656,0.591662,0.600066,0.598702,0.593028,0.589066,0.591115,0.601869,0.622675,0.653525,0.692664,0.736483,0.780941,0.821996,0.855938,0.879849,0.892038,0.8923,0.881728,0.862473,0.83749,0.810254,0.78451,0.764115,0.752149,0.750411,0.759718,0.780034,0.810361,0.848379,0.890807,0.93476,0.978073,1.01958,1.05941
0.717525,0.45968,0.303202,0.215992,0.171607,0.154585,0.158005,0.180536,0.223917,0.291871,0.388397,0.514305,0.662794,0.8158,0.944418,1.01748,1.0158,0.941692,0.817508,0.674509,0.540236,0.430451,0.348376,0.291038,0.253852,0.232725,0.2247,0.227931,0.241642,0.265726,0.300135,0.343991,0.39433,0.444782,0.487048,0.514086,0.522648,0.514672,0.496831,0.478822,0.469721,0.475227,0.498979,0.54343,0.609362,0.693592,0.786651,0.875644,0.946799,0.988988,0.997341,0.975065,0.93207,0.879145,0.824985,0.775864,0.735972,0.708044,0.693983,0.694779,0.710308,0.73927,0.778627,0.822621,0.861709,0.884405,0.882772,0.854844,0.805112,0.743024
0.357636,0.321413,0.290131,0.265208,0.247281,0.236678,0.233798,0.239436,0.25507,0.282708,0.32468,0.383168,0.458833,0.548163,0.639784,0.714981,0.754752,0.747564,0.694837,0.610293,0.513585,0.42179,0.344093,0.283401,0.239163,0.209574,0.192968,0.188532,0.196325,0.217482,0.254163,0.308786,0.381857,0.467937,0.554674,0.626199,0.66875,0.676914,0.656385,0.621604,0.587855,0.564799,0.557669,0.569162,0.600504,0.651308,0.719013,0.799805,0.888011,0.975441,1.05139,1.10361,1.1207,1.09761,1.03838,0.954736,0.862357,0.777023,0.712261,0.675894,0.670358,0.69594,0.751305,0.831143,0.921096,0.99741,1.03782,1.03,0.976952,0.895623
0.361827,0.354726,0.34816,0.342906,0.339737,0.339461,0.342979,0.351375,0.365986,0.387936,0.417751,0.455031,0.497834,0.541808,0.579451,0.602009,0.603275,0.581646,0.540662,0.487759,0.431888,0.380582,0.337786,0.304826,0.281627,0.26755,0.261838,0.263832,0.273199,0.289892,0.313987,0.345445,0.38377,0.427595,0.474818,0.522951,0.569374,0.611719,0.648328,0.67865,0.703125,0.722678,0.738595,0.752452,0.766049,0.781397,0.800417,0.823961,0.8515,0.880878,0.908011,0.926668,0.929187,0.911023,0.873089,0.821304,0.764955,0.714795,0.681823,0.673866,0.694615,0.745313,0.823787,0.9203,1.01104,1.06093,1.04391,0.956885,0.821571,0.672319
0.331347,0.273287,0.228993,0.200078,0.185526,0.184268,0.196199,0.222258,0.263788,0.322257,0.3984,0.490389,0.591723,0.689639,0.765549,0.800824,0.785865,0.724721,0.633148,0.531596,0.437886,0.362339,0.306978,0.269847,0.247991,0.238712,0.239746,0.249042,0.265118,0.28687,0.313237,0.343,0.374691,0.406604,0.437019,0.464515,0.488246,0.508179,0.525245,0.541406,0.559099,0.580371,0.60677,0.639291,0.678247,0.723028,0.771941,0.82249,0.87135,0.914341,0.946579,0.962848,0.958548,0.932612,0.888564,0.833575,0.77684,0.728129,0.697102,0.690486,0.711118,0.759159,0.830856,0.914611,0.985669,1.01084,0.969146,0.863639,0.719734,0.57115
0.397752,0.364312,0.333716,0.306253,0.28272,0.264232,0.252207,0.248586,0.256252,0.278512,0.31917,0.382557,0.471893,0.584688,0.70472,0.801187,0.842636,0.813731,0.724747,0.60516,0.487327,0.391809,0.32339,0.279324,0.255146,0.246933,0.251494,0.265779,0.287383,0.31427,0.344387,0.37562,0.405991,0.433991,0.45863,0.479436,0.496596,0.511026,0.524397,0.539137,0.557898,0.582733,0.615011,0.655285,0.702982,0.755878,0.809956,0.860658,0.903502,0.934629,0.951389,0.952783,0.939635,0.914294,0.880229,0.841586,0.802771,0.768175,0.742057,0.727507,0.725902,0.737318,0.760577,0.79286,0.829001,0.862261,0.887141,0.900412,0.901754,0.893954
0.457404,0.371852,0.305286,0.257504,0.226187,0.208946,0.204248,0.211792,0.232678,0.269413,0.325706,0.405595,0.511132,0.637757,0.767817,0.871192,0.918339,0.895099,0.810641,0.692075,0.570531,0.467589,0.390152,0.337075,0.304579,0.288752,0.286149,0.293592,0.308738,0.329815,0.355178,0.383098,0.411694,0.439029,0.463399,0.483684,0.49961,0.511911,0.522393,0.533932,0.549739,0.572295,0.603301,0.643577,0.692733,0.748554,0.806739,0.862214,0.909778,0.94473,0.963587,0.964696,0.948559,0.917817,0.876819,0.830943,0.785935,0.747487,0.721117,0.710722,0.717859,0.742309,0.781821,0.830969,0.879466,0.913757,0.923441,0.904443,0.860232,0.800604
0.463839,0.385949,0.324048,0.27889,0.249063,0.232826,0.22902,0.237462,0.259085,0.295942,0.350951,0.427065,0.52535,0.64148,0.761045,0.86006,0.91395,0.907993,0.844517,0.741665,0.624729,0.514974,0.422994,0.351482,0.299073,0.263004,0.240538,0.22956,0.22874,0.237451,0.255533,0.282896,0.318845,0.361164,0.406301,0.450179,0.488919,0.519842,0.542379,0.558566,0.572003,0.58603,0.603427,0.626382,0.656491,0.694705,0.741179,0.795064,0.854071,0.913909,0.967795,1.00633,1.01879,0.999139,0.949386,0.878776,0.800833,0.729983,0.679455,0.657484,0.667131,0.709072,0.78109,0.873874,0.963822,1.01506,1.0001,0.914858,0.781109,0.63387
0.415593,0.320141,0.250779,0.205447,0.179548,0.169346,0.172967,0.190396,0.223052,0.273734,0.346076,0.442912,0.563363,0.698626,0.828021,0.922299,0.956352,0.921407,0.829529,0.707139,0.582775,0.476015,0.39345,0.33423,0.294809,0.271357,0.260574,0.259769,0.26722,0.281907,0.303109,0.330077,0.361738,0.396435,0.432104,0.466613,0.498055,0.525088,0.547252,0.565181,0.580309,0.594284,0.608855,0.625852,0.647217,0.675094,0.711641,0.758077,0.814153,0.877474,0.94255,0.999851,1.03621,1.04116,1.01166,0.953072,0.877265,0.799137,0.733261,0.689085,0.670239,0.677559,0.710395,0.765979,0.836949,0.911054,0.9761,1.02275,1.04728,1.0533
0.349887,0.322421,0.298508,0.280075,0.268317,0.264161,0.268682,0.283521,0.311282,0.35534,0.419466,0.506854,0.617595,0.744031,0.864981,0.948981,0.969774,0.919938,0.815125,0.685419,0.56108,0.460872,0.388983,0.342635,0.317313,0.308713,0.312705,0.324671,0.340646,0.357507,0.372998,0.386047,0.397105,0.408284,0.422123,0.440676,0.465489,0.497565,0.537161,0.583418,0.634464,0.688087,0.74187,0.793373,0.840405,0.881332,0.915167,0.941191,0.958877,0.967901,0.968152,0.959725,0.942989,0.919089,0.890032,0.85848,0.827529,0.800553,0.781118,0.772111,0.775216,0.791217,0.820082,0.860742,0.910589,0.965791,1.02287,1.07917,1.13322,1.18527
0.306529,0.25722,0.218153,0.190468,0.173619,0.166841,0.169932,0.18364,0.20988,0.251877,0.314003,0.400806,0.514437,0.649651,0.787109,0.894444,0.940618,0.911954,0.819914,0.694245,0.567666,0.461948,0.383411,0.330264,0.298293,0.283379,0.282033,0.291112,0.308325,0.331924,0.360215,0.391309,0.42304,0.453057,0.479238,0.50018,0.51554,0.526231,0.534467,0.543708,0.557751,0.579488,0.610895,0.652954,0.705273,0.765319,0.828098,0.887843,0.938898,0.976551,0.997888,1.00242,0.992126,0.970464,0.94157,0.909867,0.879778,0.855618,0.841617,0.840402,0.851801,0.872781,0.896861,0.913337,0.907347,0.865447,0.785281,0.676613,0.556698,0.443114
0.391979,0.300998,0.235502,0.193638,0.170906,0.163779,0.170701,0.191949,0.228918,0.283879,0.359215,0.455563,0.569276,0.689737,0.798126,0.871619,0.892835,0.857574,0.776665,0.670822,0.562184,0.466618,0.390468,0.334136,0.295522,0.272045,0.261564,0.262668,0.27477,0.297888,0.332196,0.377287,0.431038,0.488241,0.541531,0.583739,0.60999,0.619446,0.615884,0.606987,0.601145,0.604156,0.619564,0.649126,0.692728,0.747507,0.807377,0.865322,0.914433,0.948921,0.965258,0.962994,0.94478,0.914868,0.878062,0.839212,0.802898,0.773352,0.754554,0.749344,0.758867,0.782831,0.819263,0.863722,0.908206,0.94245,0.95852,0.952839,0.927086,0.887788
0.495568,0.360739,0.267027,0.206775,0.17099,0.152955,0.14877,0.156929,0.177748,0.213213,0.266596,0.341345,0.438779,0.554074,0.67132,0.764497,0.808245,0.790281,0.718055,0.614403,0.506008,0.41193,0.339005,0.28688,0.252553,0.232729,0.224661,0.226262,0.236335,0.25429,0.279699,0.31183,0.349091,0.388497,0.426222,0.458677,0.48339,0.499771,0.509524,0.516607,0.525795,0.540798,0.564211,0.597564,0.641116,0.693262,0.750174,0.806991,0.858247,0.89835,0.922318,0.926586,0.909794,0.873837,0.823729,0.766482,0.709804,0.661166,0.627481,0.613517,0.621592,0.652826,0.707144,0.781782,0.868243,0.951982,1.0184,1.05709,1.06552,1.05041
0.425735,0.288138,0.199888,0.1481,0.120608,0.109732,0.111974,0.127067,0.15716,0.206776,0.282436,0.390838,0.5347,0.705696,0.87685,1.0055,1.05298,1.00614,0.88495,0.729812,0.580409,0.460052,0.373268,0.315899,0.281925,0.266136,0.264459,0.273466,0.290793,0.314769,0.343927,0.376782,0.411809,0.447545,0.482558,0.515434,0.544938,0.570182,0.590764,0.606864,0.619216,0.628997,0.637792,0.647563,0.660678,0.680012,0.708677,0.748671,0.800374,0.861869,0.927824,0.988175,1.02828,1.03615,1.00812,0.950031,0.875151,0.800101,0.741252,0.709177,0.707902,0.738307,0.798572,0.881306,0.967783,1.02885,1.03996,0.992161,0.89636,0.777655
0.19116,0.205218,0.219278,0.2317,0.2416,0.24917,0.255865,0.264502,0.279327,0.304736,0.344784,0.403151,0.481922,0.578315,0.679267,0.761705,0.802473,0.788924,0.725616,0.631811,0.531927,0.444563,0.377002,0.329671,0.300349,0.286384,0.285428,0.295464,0.315181,0.343651,0.379756,0.421612,0.466023,0.508147,0.542686,0.565602,0.575253,0.572966,0.562875,0.551224,0.544293,0.546395,0.560305,0.587698,0.629156,0.683586,0.747692,0.816922,0.88554,0.946794,0.993533,1.01919,1.01913,0.992823,0.944497,0.882014,0.815085,0.753589,0.706593,0.680011,0.676178,0.695527,0.736892,0.796308,0.86444,0.926946,0.970642,0.987237,0.976042,0.944453
0.296363,0.265852,0.240044,0.220718,0.208647,0.204279,0.208235,0.221698,0.24673,0.286239,0.343705,0.422273,0.522461,0.637926,0.750135,0.8308,0.855457,0.816183,0.726097,0.611979,0.501314,0.411491,0.346833,0.3053,0.283279,0.277541,0.285434,0.30436,0.332184,0.366859,0.405866,0.445945,0.483125,0.51313,0.532513,0.539784,0.535874,0.524008,0.509141,0.497327,0.494139,0.503226,0.52693,0.566572,0.621974,0.690035,0.763652,0.833924,0.891647,0.929124,0.942098,0.930971,0.900568,0.857627,0.809055,0.761177,0.719427,0.688464,0.672567,0.674544,0.694921,0.731924,0.780345,0.829482,0.861366,0.855858,0.803532,0.710442,0.594975,0.479086
0.265853,0.27402,0.281143,0.285328,0.285878,0.283447,0.279986,0.278596,0.283374,0.29805,0.325667,0.368825,0.428971,0.504191,0.585343,0.655883,0.697882,0.69882,0.657385,0.584167,0.496659,0.411195,0.337199,0.278179,0.234145,0.203638,0.18506,0.177361,0.180086,0.193534,0.2187,0.256749,0.307668,0.367906,0.43013,0.485214,0.525035,0.545752,0.549757,0.545343,0.542474,0.548225,0.567023,0.601212,0.650873,0.712511,0.778212,0.838746,0.885399,0.911816,0.915698,0.899551,0.869832,0.83332,0.795392,0.759911,0.729409,0.705365,0.688492,0.679105,0.677382,0.683428,0.697297,0.718968,0.748286,0.784983,0.828797,0.879425,0.936454,0.999289
