ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
286.585,0.805936,0.377069,185.278,33.4052,0.261668,1.02055, 7.90195, 22.0814,0.393921,0.998693,14.4185,3.70453,0.717534,4.06598,0.653424,5.31117,0.511561,2.055,0.05,2.055,0.05,-484.133
225.486,0.842744,0.602356,178.881,95.5814,0.24661,1.12352, 6.12613, 17.5988,0.410179,1.00507,13.1432,3.65041,0.649992,4.16745,0.659197,5.39496,0.498621,2.055,0.05,2.055,0.05,-411.824
273.386,0.929668,0.348674,185.945,33.5775,0.280041,1.07822, 7.19579, 20.4617,0.418851,0.988705,11.8462,3.99441,0.908271,4.21114,0.689794,5.73288,0.659217,2.055,0.05,2.055,0.05,-395.593
300.016,0.814986,0.52925,180.792,50.4154,0.274383,0.754998, 7.81713, 23.8159,0.392336,0.991308,15.8736,4.00581,0.807845,4.1221,0.664887,5.10794,0.457503,2.055,0.05,2.055,0.05,-393.877
207.591,0.837216,0.361939,171.702,14.9675,0.278928,0.907398, 8.2228, 16.5494,0.428882,1.00823,25.2009,4.48011,0.910007,4.19579,0.678048,5.37755,0.505394,2.055,0.05,2.055,0.05,-410.41
290.533,0.825976,0.483811,180.799,49.3281,0.276399,0.973482, 6.03352, 22.0987,0.418933,0.998085,15.1396,3.87925,0.728512,4.08147,0.645473,5.26961,0.491634,2.055,0.05,2.055,0.05,-412.209
225.046,0.829209,0.42377,168.536,44.7662,0.303953,1.13093, 8.38885, 19.9992,0.379689,1.01281,20.9239,3.40666,0.683956,3.80729,0.618997,5.11263,0.489324,2.055,0.05,2.055,0.05,-397.644
395.71,0.797747,0.298099,200.044,15.8698,0.273398,0.940926, 12.7711, 28.9238,0.385129,1.01752,25.3253,3.55078,0.774551,4.28794,0.671146,5.29549,0.47814,2.055,0.05,2.055,0.05,-389.069
262.383,0.831366,0.447548,159.251,26.1669,0.260739,1.03672, 7.63002, 23.5308,0.41309,1.00239,17.218,3.38681,0.817805,3.81545,0.583696,5.08409,0.494394,2.055,0.05,2.055,0.05,-393.448
360.019,0.789482,0.261191,165.894,11.6282,0.194495,0.863558, 14.2017, 30.6328,0.419821,1.00183,25.227,3.56318,0.880012,3.92649,0.61515,5.26278,0.501488,2.055,0.05,2.055,0.05,-404.561
289.053,0.80914,0.555203,189.665,101.481,0.239377,0.891809, 7.71557, 21.2868,0.416661,1.00023,13.4402,3.70582,0.743694,4.00544,0.651433,5.19086,0.495471,2.055,0.05,2.055,0.05,-389.877
247.291,0.803266,0.377324,182.81,44.0154,0.30708,1.05874, 6.86829, 19.1423,0.385753,1.01172,19.7026,3.91459,0.815443,3.96725,0.633148,5.57949,0.59035,2.055,0.05,2.055,0.05,-383.888
260.805,0.823154,0.557015,201.586,123.955,0.290777,0.886658, 7.60087, 17.466,0.387628,1.02136,14.7328,3.5653,0.69206,4.27864,0.714804,5.25542,0.509535,2.055,0.05,2.055,0.05,-402.618
265.447,0.764007,0.550256,192.961,48.5072,0.292217,0.935499, 6.97521, 19.7944,0.397365,1.00391,15.3296,4.1349,0.86371,4.09678,0.640587,5.2934,0.484064,2.055,0.05,2.055,0.05,-401.201
394.177,0.844092,0.54364,197.416,85.9892,0.264444,0.860465, 7.04476, 27.5329,0.372237,1.00867,9.5148,3.54446,0.668916,4.13344,0.668962,5.34086,0.492613,2.055,0.05,2.055,0.05,-400.622
369.573,0.737937,0.466821,194.812,54.5498,0.154437,0.902709, 15.1364, 27.7088,0.359779,0.998747,15.0563,3.75289,0.75448,4.02676,0.63889,5.59697,0.592753,2.055,0.05,2.055,0.05,-377.636
