rdev1_1953,rdev1_1954,rdev1_1955,rdev1_1956,rdev1_1957,rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017,rdev1_2018,rdev1_2019,rdev1_2020
1.84709,-0.054682,-0.164333,0.0279863,-0.20695,0.554411,-0.462346,0.710756,1.14309,0.952275,0.51952,0.0199434,1.3273,-0.669883,-0.849714,-0.507595,-0.400498,0.127165,0.294273,0.653505,0.526066,0.507018,-0.581115,-0.550933,-0.313625,-0.990949,1.64595,-0.0916506,-0.887934,-1.01514,1.01613,0.389693,-0.833286,-0.497919,1.39869,0.68311,-0.0601496,-0.850358,0.593658,-1.70046,-1.9043,-0.799001,0.407176,0.539489,1.41686,-1.28347,-0.176355,-0.156395,-0.110932,0.799087,-0.677906,0.437657,-0.817171,0.458846,-0.968165,0.548083,-1.14336,0.239997,-0.157423,1.23197,-0.761858,-0.30484,-0.675078,0.0412196,0.389807,-1.14112,1.66278,-0.0497772
1.833,-0.651182,-0.237107,-0.211292,-0.150406,0.252342,-1.35054,0.46193,1.07042,0.857475,0.720215,0.0839555,1.44258,-0.790717,-0.554862,-0.337799,-0.655328,0.159043,0.00282444,0.489027,0.428968,0.422315,-0.686457,-0.789766,-0.434465,-0.7654,1.5877,-0.0297171,-0.987386,-0.970269,1.04209,0.613031,-0.74214,-0.390415,1.32705,0.837974,0.159811,-0.711005,0.688662,-1.7804,-1.62685,-1.00132,0.171347,0.25164,1.31292,-1.72276,-0.210728,0.141377,0.0386516,1.08674,-0.450991,0.680924,-0.538612,0.586564,-0.831905,0.571181,-0.810995,0.292361,-0.011281,1.35055,-0.543002,-0.182292,-0.639299,-0.172707,0.269252,-0.97956,1.39288,0.227935
1.86931,-0.108706,-0.0664597,0.155332,-0.705009,0.361029,-0.664661,0.386956,0.957027,0.772175,0.7402,-0.349057,1.20804,-1.9574,-1.13234,-1.06777,-0.432697,-0.00613813,0.354783,0.583417,0.374938,0.485007,-0.74822,-0.64651,-0.555607,-0.881608,1.75474,-0.0367243,-0.626667,-0.745427,1.12288,0.5517,-0.507163,-0.427197,1.57721,0.989463,0.0144677,-0.68562,0.908833,-1.71416,-1.74908,-1.03134,0.525732,0.264396,1.34268,-1.23708,-0.22531,-0.291172,-0.155888,0.591523,-0.505661,0.605867,-0.611508,0.734862,-0.745277,0.897926,-0.637322,0.532849,0.36395,1.48794,-0.688006,-0.0793906,-0.424971,0.091507,0.120346,-1.52025,1.23381,0.364459
1.67189,0.134281,-0.541777,0.0872238,-0.336714,0.413789,-0.242305,1.02753,1.08188,1.12041,0.872866,0.787179,1.26367,-1.2221,-0.478931,-0.240487,-0.256656,0.376869,0.450749,0.745452,0.507679,0.654391,-0.62079,-0.847698,-0.264884,-1.01603,1.59909,-0.400872,-1.02412,-1.03756,0.898428,0.376734,-1.26421,-0.51866,1.42379,0.564731,-0.195167,-1.15655,0.456917,-2.20814,-2.09165,-0.83976,0.233662,0.687071,1.59905,-0.787043,-0.23888,-0.387819,-0.258846,0.805761,-0.851831,0.388028,-1.18221,0.347691,-0.831231,0.568423,-1.11956,0.17796,-0.325293,1.08177,-0.443445,0.0609298,-0.758308,0.165542,0.295553,-0.755571,1.95439,0.459109
1.78136,-0.418373,-0.0655406,-0.258986,-0.453953,0.27487,-0.419986,0.32368,0.86358,0.678413,-0.0573965,0.928254,1.30511,-1.06524,-0.404297,-0.46016,-0.0301885,0.408197,0.320846,0.710588,0.486168,0.615669,-0.601134,-0.678085,-0.583756,-1.05923,1.59473,-0.173135,-1.17606,-1.18342,0.946751,0.347369,-1.17532,-0.559663,1.36489,0.759066,0.0699269,-0.97245,0.625272,-1.95165,-1.79201,-0.809976,0.645059,0.702042,1.51675,-1.06784,0.065308,0.244659,0.280096,1.20496,-0.490099,0.68336,-0.698772,0.458331,-1.08374,0.516664,-1.4281,0.322712,-0.371734,1.37407,-0.496491,-0.0946933,-0.880862,0.250363,0.342612,-1.08576,1.77678,-0.295647
1.60699,0.274562,0.135439,-0.333902,-0.584566,0.224374,-0.853468,-0.260484,0.946536,0.947726,0.194726,-0.523601,1.35676,-1.0105,-1.0943,-0.252109,-0.142996,0.268835,0.471717,0.809644,0.470307,0.308998,-0.489771,-0.46699,-0.398689,-1.23,1.53972,-0.231231,-0.880683,-1.02697,0.885285,0.346231,-0.790687,-0.530067,1.54254,0.650311,-0.0370231,-0.893873,0.705794,-1.67031,-2.02018,-1.03344,0.259011,0.36417,1.45348,-1.30285,-0.410066,-0.137794,0.34057,0.783344,-0.483624,0.556523,-0.447871,0.637229,-0.88483,0.552888,-1.07815,0.102807,-0.20947,1.36859,-0.48728,-0.131258,-0.484051,0.279592,0.902007,-0.743288,2.03894,0.252755
1.7062,0.343735,-0.134792,-0.191934,0.217321,0.106799,-0.93044,0.356214,0.894562,0.890221,0.156967,-0.774909,1.67372,-1.39534,0.0811688,-0.184958,0.0923232,0.391935,0.40804,0.721509,0.640112,0.478969,-0.399629,-0.570863,-0.00304155,-0.755245,1.86702,-0.182728,-0.763617,-0.9334,1.00121,0.320511,-0.555506,-0.476012,1.32359,0.447229,-0.294084,-1.04584,0.496758,-1.99878,-2.10796,-1.20307,0.422233,0.289282,1.51006,-1.13287,-0.231266,-0.124609,-0.269616,0.36564,-0.535539,0.256987,-0.969823,0.139918,-1.11845,0.295947,-1.07213,0.250508,-0.0564641,1.45281,-0.465682,-0.160365,-0.471018,0.243377,0.502926,-0.526396,1.64161,0.268601
1.46211,-0.650304,-0.495136,0.0979415,-0.222693,0.136929,-0.411287,0.432627,0.947523,0.644807,0.636208,-0.260461,1.08897,-0.00346723,-0.600576,-0.0785028,0.122389,0.42518,0.540865,0.873145,0.804972,0.846907,-0.37445,-0.397033,-0.270363,-1.07254,1.6284,-0.3021,-0.906887,-1.20295,0.761066,0.357059,-0.830875,-0.688895,1.61041,0.654289,0.0102488,-1.01337,0.582437,-1.53464,-1.98774,-0.563374,0.532192,0.650305,1.43684,-0.992544,-0.0299956,0.0238299,0.00577042,0.47673,-0.384789,0.251746,-0.875236,0.538856,-1.35593,0.578227,-1.16264,0.407125,-0.191712,1.2453,-0.803101,-0.100954,-0.59518,0.0650959,0.277913,-1.27789,1.76497,0.561738
1.70822,0.499937,-0.432369,0.700227,0.0302176,0.211394,0.0713954,0.408843,0.814625,1.113,0.255594,-0.705321,1.65732,0.124799,-1.59863,-0.383258,-0.421853,0.12647,0.159085,0.594,0.497103,0.591842,-0.713384,-0.570148,-0.117989,-0.591915,1.88571,-0.187608,-0.514293,-1.21488,0.842567,0.169316,-1.0656,-0.659065,1.21246,0.542182,-0.334453,-1.16132,0.221351,-1.94628,-2.17854,-1.13684,0.175237,0.403305,1.43718,-1.22315,-0.0353554,0.0919539,-0.289212,0.978503,-0.513963,0.641161,-0.586699,0.605508,-0.91601,0.609659,-1.15505,0.265996,-0.286422,1.1812,-0.621625,-0.237881,-0.771777,0.313841,0.876889,-0.552649,2.08398,-1.07862
1.58016,0.139575,-0.0595369,-0.141012,-0.288809,0.790104,-0.557421,0.511583,1.1638,0.84045,0.639444,-0.298807,1.49223,0.427818,-0.549823,-0.518803,-0.335058,0.217313,0.382289,0.842932,0.515009,0.428107,-0.552686,-0.490855,-0.259763,-1.15785,1.81323,-0.0913758,-0.640851,-0.724142,1.05829,0.397297,-0.876876,-0.315717,1.40286,0.354705,-0.503052,-1.30712,0.248271,-1.98042,-2.24968,-0.821503,0.23511,0.685661,1.7948,-1.24217,0.167362,0.150547,0.120745,1.01734,-0.758085,0.407786,-1.03939,0.518453,-0.89343,0.597731,-1.01908,0.0914995,-0.227114,1.19789,-0.927756,-0.530838,-0.760385,-0.0725372,0.416114,-1.62593,1.88958,0.818572
